SA4_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
397,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
399,10,4,46,22,16,11,3,34,0,143,0,0,0,0,0,0,0,3,0,4,3,6,7,3,0,0,4,0,3,31,4,11,11,9,0,7,7,19,21,81,163,407,308,245,129,83,129,441,58,1957
401,575,132,1693,594,433,385,105,331,33,4273,9,11,10,9,14,11,3,14,3,81,243,364,102,177,195,93,54,58,48,1335,218,261,251,184,221,174,97,176,221,1806,15197,41090,10850,9395,11132,5333,1898,3997,1258,100156
402,619,151,2407,926,707,744,317,782,61,6702,16,15,19,19,23,18,14,36,16,169,139,201,162,211,161,95,187,173,56,1389,215,186,470,345,291,260,343,499,425,3027,10904,25644,19882,16767,13684,6912,5500,8334,1665,109295
403,674,165,2224,880,653,680,171,507,60,6018,10,14,13,23,16,15,3,33,5,127,181,291,162,201,240,77,104,85,46,1381,192,213,391,306,260,257,151,297,323,2392,13472,33846,17817,15116,13595,6696,3148,5730,1387,110803
404,416,112,1540,655,439,394,145,360,38,4105,9,9,15,21,8,11,7,31,9,117,114,189,93,140,148,72,77,84,25,938,150,165,245,219,193,183,138,217,204,1720,8238,20570,10464,8813,8560,4055,2540,4132,946,68317
405,210,30,604,196,134,148,89,244,10,1669,10,0,6,4,4,0,6,16,4,42,40,39,30,37,27,11,37,42,16,272,185,68,180,103,84,94,123,221,84,1138,4388,5501,4733,3578,2546,1370,1432,2617,346,26520
406,128,23,419,176,101,130,82,122,14,1190,3,6,3,4,3,4,4,9,0,34,26,19,30,23,15,9,35,28,13,196,122,62,115,115,56,72,105,137,95,885,2608,4409,4090,2776,1845,906,1532,1528,377,20061
407,397,53,1040,423,232,327,112,436,39,3048,10,3,4,15,12,8,0,36,5,96,71,56,51,48,35,23,75,62,16,438,281,101,233,210,120,187,185,422,153,1890,6892,8527,7686,6164,4295,2701,2229,4718,574,43790
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
499,3,0,6,0,0,7,0,8,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,8,10,3,25,35,96,77,32,34,20,36,109,7,444
501,352,66,1141,433,297,277,246,421,36,3276,3,4,14,7,4,13,0,19,3,75,68,87,80,50,46,37,70,45,16,496,184,79,305,151,132,152,198,289,182,1676,5855,10370,11186,5649,4720,2823,3053,4181,680,48519
502,171,33,549,243,161,169,145,160,30,1658,0,3,3,3,7,5,5,3,0,32,23,41,42,25,11,19,39,19,8,238,45,36,126,68,73,51,87,78,89,650,2257,4520,5608,3002,2220,1433,1637,1621,380,22678
503,332,85,945,347,215,166,48,138,18,2292,9,3,11,17,13,10,8,22,0,98,152,284,56,80,119,51,17,41,30,839,121,183,105,88,86,74,27,79,152,922,11446,31935,5388,4868,6724,3223,866,2270,929,67652
504,486,126,1625,791,591,462,337,413,47,4883,11,12,24,17,10,18,13,29,3,151,120,177,136,161,147,54,115,74,40,1029,161,157,352,203,205,177,242,237,283,2018,8901,19750,15178,9460,9490,4494,4219,4492,1178,77166
505,1002,302,3317,1613,1314,1085,469,807,79,9995,20,20,34,36,26,32,25,61,6,257,276,371,277,298,246,128,158,157,66,1972,298,349,694,420,443,362,301,473,591,3935,22392,52297,32505,19773,21277,10443,6338,9418,2520,176968
506,813,203,2957,1256,998,803,629,783,77,8520,14,13,53,33,32,24,37,65,10,284,183,304,287,256,244,123,232,161,61,1853,266,242,594,367,355,281,419,448,525,3494,16766,42302,27786,17075,18181,8666,8176,9298,2199,150452
507,749,226,2398,1099,844,741,393,607,68,7111,12,15,22,22,20,19,21,38,0,180,202,297,239,194,183,80,125,94,76,1487,247,261,494,302,267,234,285,373,451,2915,15953,38235,23938,14060,14439,6929,5394,6577,1962,127491
509,239,45,559,235,212,153,126,235,15,1809,10,10,0,8,7,15,4,11,0,70,56,66,44,57,44,11,51,42,8,382,254,66,225,139,119,98,185,266,127,1483,6195,6621,6267,3924,3340,1605,2043,3058,468,33518
510,194,47,496,218,200,101,214,225,13,1705,3,3,8,3,11,3,12,10,0,53,40,61,72,59,42,14,116,30,13,459,98,81,265,144,105,83,166,159,156,1262,3134,6063,9218,2640,2706,948,3030,2299,611,30650
511,205,54,603,260,208,182,185,202,21,1910,4,9,18,5,3,3,4,15,3,63,32,48,50,59,28,25,67,40,23,363,118,91,223,115,81,86,211,210,151,1269,4017,6715,7399,3329,2961,1357,2653,2338,530,31299
