SA4_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
507,147641,153898,301535,5645,5959,11606,484,442,926,471,444,922,457,475,932,188,186,379,19687,20895,40582,60,86,150,145,146,292,61,74,134,12,6,19,21572,22755,44333,2647,2965,5614,372,360,737,30239,32045,62289,18051,16278,34332,195935,202219,398156
509,51929,50567,102492,2920,3015,5937,63,71,131,69,65,132,98,110,205,55,55,113,4706,4723,9426,18,25,48,29,37,74,0,8,11,0,0,0,5046,5101,10148,441,460,901,150,119,267,8558,8696,17253,7817,6370,14189,68303,65631,133934
510,31970,25250,57220,4119,4020,8141,401,247,645,355,232,585,954,453,1408,154,90,245,4855,3568,8416,69,50,122,167,148,315,16,8,23,4,3,6,6966,4796,11763,513,496,1005,409,387,796,11998,9702,21700,8599,4980,13577,52570,39927,92501
511,43444,41010,84455,3052,3067,6112,158,139,295,132,122,255,247,210,456,126,107,231,4774,4626,9404,60,41,98,84,77,167,6,6,10,3,3,9,5591,5333,10926,403,463,863,291,273,562,9335,9135,18471,7800,6271,14069,60578,56415,116994
597,259,11,272,0,0,0,3,0,3,3,0,3,4,0,6,0,0,0,45,7,53,0,0,0,0,0,0,0,0,0,0,0,0,62,8,69,11,0,15,0,0,0,73,12,84,71,8,80,408,26,434
599,814,434,1248,245,154,396,99,104,201,67,62,132,142,130,274,45,37,78,808,594,1395,15,15,22,32,17,52,4,7,13,0,0,0,1209,962,2166,189,195,387,44,36,84,1691,1346,3036,1020,617,1636,3518,2398,5915
601,83025,88501,171526,2608,2819,5430,484,541,1028,655,695,1351,600,606,1205,133,131,269,254,271,523,8391,9098,17490,90,87,171,58,68,131,0,3,3,10668,11498,22164,1116,1297,2418,248,200,449,14643,15818,30462,8971,8926,17893,106637,113251,219888
602,53134,55333,108468,1823,2066,3883,338,356,692,350,373,727,398,442,840,88,83,166,227,181,404,4823,5402,10231,59,48,113,21,24,46,0,0,0,6310,6912,13224,550,469,1017,108,127,232,8786,9570,18361,6055,6090,12145,67976,71002,138977
603,15242,14392,29638,583,613,1194,122,131,253,69,75,139,124,130,254,47,44,89,90,102,189,767,833,1600,7,16,27,6,3,12,0,0,0,1230,1334,2565,68,81,150,33,28,61,1919,2055,3971,1627,1560,3183,18787,18009,36792
604,41841,43786,85624,1788,1968,3758,240,226,466,250,247,495,338,359,695,73,72,144,141,174,313,3306,3614,6918,28,31,61,10,13,24,4,3,7,4401,4723,9123,175,181,358,123,102,226,6482,6983,13464,4406,4488,8890,52724,55254,107978
