SA4_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
111,13,168,3,1673,72,17,3,46,13,59,8,36,5,326,1806,2393,23,9,15,18,5,15,3,21,9,326,183,620,6805,1392,205,4609,437,3169,219,2622,405,15518,2194,37578
112,8,122,3,782,31,17,4,35,5,55,7,31,8,286,1246,1734,30,15,12,24,6,20,7,16,9,293,181,597,3561,1619,175,3339,273,2039,211,2231,329,11484,1672,26928
113,0,54,4,555,55,11,3,35,8,55,4,25,9,151,820,1176,34,15,18,17,3,10,3,18,5,204,126,448,3491,662,164,2500,242,1419,120,991,205,5291,1055,16142
114,13,129,4,680,27,6,0,21,6,45,0,25,5,204,983,1334,23,3,8,10,0,4,6,13,8,217,136,428,2216,883,120,1958,139,1328,119,1498,203,9514,1262,19229
115,10,122,4,1816,49,6,7,16,10,36,3,29,4,130,845,1132,38,4,5,13,4,11,3,10,10,121,75,290,3943,827,109,2178,214,1880,110,1367,176,7025,994,18818
116,3,21,3,799,72,8,8,23,12,62,5,20,18,151,779,1167,31,3,14,6,4,10,0,14,10,162,149,416,5951,637,153,2505,310,2988,97,1210,268,6958,1061,22131
117,22,165,4,6911,117,19,18,40,22,55,4,20,9,91,2467,2872,50,10,17,9,7,18,0,3,11,75,122,323,15453,1879,318,4626,567,3645,194,1497,206,4856,2679,35920
118,25,454,18,5652,118,8,10,29,15,32,4,34,15,97,1677,2046,41,15,23,14,10,21,0,19,3,137,112,396,9060,1228,223,3179,353,2328,124,1626,179,5456,1886,25640
119,6,131,6,1949,110,34,19,49,15,99,16,69,29,299,2086,2822,34,9,30,15,11,22,4,19,8,330,330,817,9451,2070,296,4772,532,5116,249,3103,488,16211,2664,44946
120,23,167,3,4099,75,24,11,25,19,33,5,23,16,106,1593,1924,33,7,8,7,5,6,5,11,6,107,132,331,9106,1360,206,3492,395,3101,175,1736,244,6749,1823,28385
121,39,966,12,8445,110,11,9,41,21,51,6,38,11,184,2357,2836,48,11,19,24,7,13,8,14,4,162,112,428,11957,1724,249,4492,489,4246,179,2933,291,11227,2567,40349
122,17,396,5,3532,76,17,4,34,15,35,8,36,6,158,1375,1765,45,11,13,19,7,7,6,11,4,162,102,393,6376,1245,168,3024,298,1928,152,1827,167,7550,1582,24315
123,3,36,5,716,66,5,3,24,18,48,3,30,15,156,780,1149,31,0,15,13,5,12,3,16,3,170,116,397,5123,603,140,2549,308,2581,123,1313,253,6611,1010,20611
124,4,74,3,1059,101,16,5,50,6,71,6,32,17,169,1072,1560,33,10,9,13,6,22,3,8,4,202,115,424,6722,1003,157,3505,365,3143,178,1808,285,8365,1314,26837
125,9,60,0,1423,75,14,8,37,7,64,7,31,19,179,1506,1951,21,11,16,22,7,13,0,10,12,218,208,535,7999,1351,210,3584,402,4544,166,2063,343,10738,1885,33281
126,7,144,3,1727,30,7,3,23,6,30,3,16,0,96,822,1039,21,0,8,4,0,9,3,8,3,79,65,190,4165,663,90,1863,201,1942,83,1105,137,5375,936,16565
127,7,52,3,647,53,15,4,32,18,74,7,37,22,204,968,1431,22,11,21,10,7,24,3,12,15,242,196,557,5109,687,180,2247,306,3142,119,1448,304,9859,1344,24741
128,20,151,3,1745,51,0,8,24,7,35,0,16,3,149,970,1273,22,7,4,6,5,9,0,11,7,179,82,330,4814,777,131,2368,259,1853,112,1470,189,7444,1117,20542
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,8,38,3,499,31,3,7,25,3,35,9,21,13,142,729,1013,17,5,12,17,3,17,4,12,3,202,109,393,2793,805,155,2344,225,1545,141,1291,209,6112,945,16578
202,11,65,4,527,33,13,9,29,5,39,5,25,8,135,720,1023,24,7,4,22,4,9,4,16,4,173,108,378,2722,829,155,2370,229,1406,139,1291,216,5986,941,16291
203,6,157,0,1184,69,9,3,37,14,68,11,39,10,270,1287,1810,26,5,10,31,7,23,0,29,3,332,188,663,5103,1343,212,3928,340,2412,235,2273,280,10885,1641,28647
204,0,77,0,548,28,15,6,35,11,51,0,26,14,191,1023,1404,48,8,12,30,3,20,3,15,19,232,136,526,3493,1078,216,2932,275,1698,180,1556,276,7077,1294,20082
205,16,109,3,955,54,26,7,46,13,86,3,55,18,299,1535,2147,67,15,26,44,9,33,5,29,17,401,259,905,4561,1580,318,4234,424,2714,282,2579,486,12960,2070,32201
206,45,581,16,10355,260,38,18,92,38,84,8,51,14,180,4249,5026,91,16,30,30,13,39,3,23,9,200,207,654,24753,3187,482,9429,994,6932,356,3629,468,10597,4614,65437
207,35,491,15,3624,58,22,12,32,9,59,7,40,7,238,1686,2165,45,17,10,21,9,8,0,20,8,277,152,571,6596,1532,161,3515,335,3242,178,2779,325,12225,2004,32890
208,21,457,8,4260,86,23,7,60,11,60,7,43,9,212,1919,2443,56,20,24,36,11,31,4,24,13,308,183,699,9515,1802,246,4829,480,3829,227,2923,327,11134,2250,37562
209,8,135,3,1887,126,11,16,65,18,111,17,52,20,301,1756,2490,63,9,25,43,7,34,4,27,15,409,257,890,9661,1687,306,5586,568,4477,268,2786,393,14399,2259,42396
210,9,70,9,1010,76,12,8,51,11,70,11,36,20,229,1121,1648,45,11,16,26,9,25,4,17,18,336,250,771,6409,933,220,3440,403,3116,182,1867,335,10301,1582,28791
211,22,159,4,2000,109,20,15,57,31,109,13,66,29,321,1959,2722,76,17,41,46,14,34,4,20,17,434,271,982,10505,1964,327,6504,649,4769,287,3480,511,15760,2460,47214
212,13,180,3,1897,159,26,21,88,23,142,6,79,35,432,2523,3540,83,9,50,46,24,35,5,35,41,585,423,1338,12748,2209,423,7327,731,6938,338,4125,690,21521,3334,60379
213,17,63,6,2403,153,30,17,87,42,156,13,101,32,357,2420,3396,90,13,49,55,14,35,7,29,28,521,430,1262,14500,1991,445,7127,851,7223,319,3322,625,16428,3195,56019
214,21,220,7,1309,79,12,6,49,15,59,8,40,10,286,1362,1924,37,9,27,28,10,27,3,24,16,404,218,810,5408,1328,245,3700,358,2660,216,2277,356,11668,1777,30004
215,6,47,4,403,57,10,3,27,4,43,6,38,10,180,757,1131,40,10,24,30,5,8,0,14,9,229,193,557,3180,786,186,2566,227,1400,151,1104,247,6220,1117,17184
216,5,49,4,344,25,10,10,27,6,42,4,21,11,139,586,873,31,4,15,22,0,15,0,6,5,189,129,426,2518,641,163,1987,190,1183,114,951,193,5381,873,14184
217,3,55,6,440,42,17,6,35,3,19,4,20,10,139,545,832,34,8,16,21,4,10,3,11,8,158,122,383,2537,765,178,2193,227,1151,122,1035,176,4669,801,13861
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,14,120,0,1181,55,7,5,36,14,55,3,19,12,143,1165,1498,29,6,12,23,3,7,5,4,13,180,106,396,5122,817,164,2892,329,2302,123,1469,272,8473,1385,23344
302,10,68,4,1318,67,4,4,30,6,31,3,16,4,137,1064,1370,24,0,6,8,4,9,0,3,3,126,93,280,6041,769,143,2958,323,2059,124,1196,221,6103,1243,21184
303,12,133,3,2169,91,12,11,43,14,47,10,46,13,150,1541,1967,39,4,12,11,3,13,0,11,7,140,123,359,8343,1435,202,4353,467,3386,189,2154,276,8680,1785,31270
304,13,216,5,1835,39,3,5,22,3,15,5,6,0,86,954,1140,16,0,8,5,0,6,3,0,0,52,49,153,3826,681,110,2171,192,1805,100,1210,142,5190,1042,16478
305,20,240,9,4043,89,12,7,33,17,37,4,31,16,46,1831,2122,22,3,18,20,0,11,0,10,8,59,58,202,9511,1453,197,4104,402,2950,174,1547,208,3958,1945,26447
306,14,91,5,945,64,18,8,39,16,67,8,36,17,156,1666,2094,45,8,17,26,3,19,3,14,14,175,157,490,5657,1176,204,3623,433,2412,232,1804,301,7148,1983,24968
307,3,43,3,431,47,8,3,22,6,47,3,14,5,126,747,1028,39,3,11,19,8,15,0,12,4,140,106,359,3215,626,158,2087,208,1333,119,850,183,4706,984,14478
308,8,57,5,1285,64,13,7,36,9,60,0,30,14,150,1626,2009,52,12,14,29,4,21,3,9,14,181,138,483,5096,749,212,3110,352,2646,158,1290,285,6390,1878,22168
309,21,400,9,2831,137,40,23,94,31,100,13,76,12,382,2964,3867,74,24,42,37,21,23,13,26,19,432,320,1027,12499,3074,406,8561,774,5610,413,4246,523,19530,3559,59197
310,4,35,3,691,84,17,3,41,14,71,9,33,16,199,1381,1870,39,7,18,17,5,15,4,9,9,199,148,467,6574,941,206,3672,414,3171,177,1752,317,8583,1691,27495
311,4,37,3,613,77,16,10,39,14,78,3,38,7,193,1184,1659,52,5,13,25,5,24,3,6,8,209,141,500,6316,994,189,3855,406,3187,162,1676,309,8655,1454,27204
312,8,47,0,946,54,3,10,45,3,52,3,20,8,110,1537,1849,48,3,25,31,7,27,3,14,10,165,127,465,4195,539,174,2525,288,2015,127,1008,236,4508,1774,17388
313,4,84,0,596,51,12,4,28,10,56,9,26,12,204,1084,1491,33,3,12,14,4,12,0,8,5,258,178,539,4056,891,176,2894,305,2550,151,1663,305,11073,1409,25480
314,4,44,3,792,50,8,3,18,7,31,0,15,6,103,941,1178,20,4,6,12,4,7,0,6,8,72,46,197,4791,631,112,2657,308,2023,132,1136,220,5393,1061,18457
315,0,5,4,406,27,5,3,8,9,31,4,3,3,38,434,560,30,3,19,3,7,12,0,3,3,58,57,198,2315,224,91,873,132,663,49,274,79,1328,541,6580
316,17,306,5,1724,69,33,6,62,13,60,6,45,22,312,2276,2914,51,22,23,21,8,19,0,22,12,338,202,713,6307,2143,271,5324,453,3274,298,3176,464,18315,2670,42688
317,3,64,3,608,35,3,3,26,6,29,0,13,6,134,809,1068,26,3,10,12,0,6,0,4,8,127,85,283,3364,631,124,2216,248,1558,92,1042,209,5339,992,15810
318,11,60,0,831,58,10,6,42,10,54,6,38,14,161,1772,2156,36,3,12,21,10,27,3,17,10,166,131,441,5443,734,189,3151,369,2575,165,1415,287,6762,2049,23143
319,7,100,3,708,61,12,10,41,8,64,6,38,14,390,1735,2380,57,14,26,25,10,29,3,20,7,514,348,1059,4576,1312,251,3665,351,3002,233,2601,424,18824,2407,37654
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,21,384,9,2723,66,23,6,36,11,52,0,31,9,181,1657,2067,23,5,15,18,3,6,3,13,5,171,91,368,5806,1552,223,4080,376,2913,208,2557,288,10361,1891,30265
402,7,51,0,626,76,16,7,59,17,84,9,35,10,310,1701,2317,29,10,11,21,3,12,3,11,9,325,217,655,7554,1409,221,5383,535,4167,252,2710,401,15005,2119,39760
403,12,139,3,1338,69,18,4,44,10,47,13,41,13,291,1845,2389,22,12,14,20,6,15,0,8,3,211,151,472,6729,1673,227,5082,513,3498,259,2954,368,14494,2191,37997
404,7,69,0,828,54,13,3,32,3,39,3,29,5,180,1167,1527,14,4,8,18,0,8,6,6,3,200,126,386,4759,978,164,2944,294,2081,164,1615,219,8197,1413,22822
405,3,41,0,347,23,5,0,26,3,36,4,18,7,163,702,986,18,4,3,14,0,7,3,6,11,128,78,277,2171,727,142,1959,178,1158,143,1074,190,5986,913,14629
406,0,27,3,315,16,0,4,13,4,21,3,18,5,77,536,703,14,9,8,15,3,5,0,6,8,98,102,257,1633,339,80,1330,121,803,82,634,114,3063,704,8902
407,14,85,0,532,35,19,6,35,8,45,4,35,10,260,1125,1581,37,12,16,30,6,12,0,21,9,243,142,526,3532,1283,209,3423,277,1712,181,1741,272,10088,1473,24199
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,12,68,3,860,36,7,3,27,3,50,4,41,12,172,1469,1830,21,10,12,14,3,9,0,10,7,158,133,391,3225,1099,232,2865,303,1735,240,1530,289,6936,1714,20152
502,8,71,3,521,21,3,3,13,3,17,0,17,10,121,936,1135,3,8,3,3,0,7,0,6,5,128,78,242,1385,394,84,1245,127,1072,94,816,192,5710,1081,12194
503,18,380,0,3634,35,9,10,29,11,30,4,15,9,68,1496,1708,15,5,11,3,4,10,0,3,4,63,56,166,4734,1095,129,2548,231,2045,89,1394,157,4086,1595,18116
504,9,45,3,1379,74,8,8,35,4,66,5,27,8,141,1793,2165,22,6,15,14,9,10,8,13,10,134,125,362,6013,1006,199,3506,402,2769,183,1630,261,6643,2027,24642
505,28,231,7,3853,129,28,9,80,26,90,11,58,16,296,3658,4394,58,17,31,37,16,20,4,14,11,341,269,818,12342,2381,375,7220,820,5315,370,3576,546,15255,4139,52341
506,24,172,7,2852,114,17,8,68,19,94,18,54,28,234,3140,3800,51,11,20,32,14,29,3,17,16,290,222,692,10583,2051,307,6363,700,5615,364,3354,536,13110,3573,46562
507,33,224,14,3047,90,15,16,65,19,88,4,54,22,272,2965,3600,38,8,13,24,7,18,5,11,13,262,191,592,8561,1501,242,5154,597,4303,288,2684,453,12070,3332,39183
509,4,62,3,750,40,18,6,31,8,46,3,27,7,127,1074,1389,49,10,20,15,4,8,0,9,4,153,104,385,3205,932,236,2415,244,1534,161,1211,241,5286,1309,16778
510,6,11,0,1108,20,0,5,8,4,27,3,10,4,21,527,623,21,3,13,5,4,4,0,0,7,31,46,127,2547,174,116,878,156,771,65,170,97,609,613,6196
511,5,47,5,767,31,9,7,23,10,37,4,20,8,69,988,1204,37,9,8,16,10,11,4,10,3,94,118,315,2805,421,148,1704,207,1257,108,692,157,3001,1187,11682
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,9,98,8,922,49,6,4,27,3,38,0,32,14,157,1172,1513,17,4,7,16,0,11,3,3,4,162,138,356,4391,1146,144,3212,320,2067,191,1933,248,8254,1456,23355
602,9,60,4,440,19,16,3,40,6,37,6,28,9,141,787,1077,17,7,6,13,0,3,0,6,12,184,97,340,2528,817,150,2202,199,1340,132,1342,225,6163,1039,16145
603,3,14,3,115,6,0,5,8,4,6,0,3,0,49,279,368,3,0,3,6,0,3,0,3,4,52,39,113,635,292,52,594,52,429,42,435,92,2105,381,5102
604,6,35,3,260,10,7,3,18,9,31,0,27,7,112,623,844,12,8,4,14,0,8,0,5,8,154,100,300,1763,578,116,1830,164,1193,97,1065,165,5434,836,13248
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,11,24,3,1606,52,7,4,21,8,28,5,9,7,40,986,1166,19,7,9,3,0,8,4,3,4,43,77,177,4983,418,154,1656,322,1402,107,427,143,1577,1109,12298
702,6,9,0,395,28,4,4,11,3,14,3,8,3,43,422,545,9,9,10,6,0,20,3,7,4,95,112,272,1915,182,95,588,118,563,45,279,78,1398,574,5841
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,36,352,12,4769,122,12,7,52,18,36,8,25,9,153,2222,2664,23,4,15,14,3,18,0,11,6,129,103,316,11718,1279,268,4521,654,3966,224,2385,406,10543,2480,38438
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,0,0,0,17,0,0,0,0,0,3,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,4,11,11,98,32,13,85,8,54,0,32,7,84,31,443
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
