SA4_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
205,301,211,513,323,176,496,14,8,22,24,9,31,83,56,136,39874,34643,74522,2387,2465,4852,888,27,918,353,73,424,427,139,561,598,213,811,2133,1818,3953,47402,39844,87246,27,28,47,0,0,0,14,6,16,94,55,148,22,26,43,18,4,21,171,112,287,0,0,0,0,0,0,23,10,33,18,22,41,5,9,16,50,40,87,429,184,611,646,342,983,88,54,140,9,3,7,26,3,36,119,64,181,3394,3621,7008,5236,8283,13517,783,758,1548,57579,52908,110486
206,15105,15105,30209,1606,1985,3596,57,21,74,18570,22673,41236,506,450,957,63179,53419,116600,2594,4917,7513,428,17,445,1673,290,1966,11487,6535,18018,1167,769,1939,17112,17528,34638,133474,123712,257190,1129,1137,2263,3,3,5,3321,3671,6990,509,565,1075,129,223,356,564,348,918,5656,5948,11604,0,3,5,506,852,1355,53,69,126,22,52,69,42,56,98,629,1029,1659,1827,1748,3577,8107,8720,16833,1231,1270,2501,75,94,172,157,143,295,1462,1497,2963,7017,7733,14754,9516,16552,26065,1243,1117,2364,160826,159332,320165
207,7282,5995,13276,3002,3079,6075,7,4,15,2024,2292,4319,167,108,275,51083,42865,93949,2022,4172,6199,428,8,435,522,52,574,1679,354,2031,526,301,825,2287,2568,4855,71030,61796,132825,1045,848,1896,0,0,0,896,823,1715,930,697,1627,166,257,422,162,72,236,3199,2693,5895,0,0,0,326,326,651,140,165,305,70,121,195,32,14,52,572,624,1200,665,494,1157,4439,3819,8252,714,661,1370,73,64,143,38,23,60,823,746,1574,4448,5235,9684,5477,9670,15145,568,556,1118,86787,81820,168603
208,12234,10110,22340,724,931,1649,27,4,31,788,945,1734,181,136,325,61980,53626,115600,2164,3739,5896,616,16,636,678,59,740,2124,495,2624,633,374,1001,1965,2552,4515,84109,72991,157100,1219,950,2169,0,0,0,1048,994,2042,1554,1217,2769,245,355,594,343,139,482,4409,3652,8061,3,0,3,37,61,103,29,35,61,37,66,106,14,17,28,123,174,293,663,481,1145,5201,4304,9500,791,823,1612,21,18,39,50,25,80,857,863,1724,4852,6492,11349,5971,11194,17164,722,628,1349,101708,96470,198179
209,8780,7899,16678,1106,1310,2419,46,15,64,902,1220,2119,352,113,467,82744,65293,148037,3652,5098,8748,1580,26,1607,726,87,810,1478,398,1874,664,335,1000,1609,1709,3315,103631,83501,187134,1190,985,2175,0,0,3,612,579,1188,2024,1642,3667,279,484,766,209,68,280,4314,3762,8077,0,0,0,133,195,333,74,69,142,65,135,200,21,23,41,294,426,717,818,574,1391,5430,4757,10190,969,1031,2002,24,38,64,55,28,75,1049,1094,2143,3404,5073,8478,7475,13932,21406,1228,1023,2257,122228,109382,231609
210,5339,5118,10453,507,631,1136,16,3,21,230,381,609,303,96,395,60051,43334,103388,3066,3867,6931,1205,26,1231,413,40,456,548,112,657,563,261,825,799,872,1676,73041,54740,127787,861,747,1608,0,3,3,343,351,699,1277,1057,2340,176,274,449,100,34,132,2755,2465,5227,0,0,0,47,68,108,77,86,159,27,70,102,7,5,15,162,225,392,657,451,1108,3578,3149,6729,620,717,1340,7,29,38,28,11,39,654,759,1415,1796,3208,5003,5073,8595,13668,1036,771,1804,85178,71229,156400
211,6476,4947,11425,1197,1175,2376,31,12,45,69,59,119,146,82,229,91696,77119,168815,4164,5194,9355,1786,24,1809,668,48,717,662,110,767,593,296,894,1611,1535,3137,109103,90599,199700,1262,879,2138,0,3,3,282,223,498,2494,1568,4061,278,470,750,159,36,200,4473,3178,7658,0,0,0,38,23,57,94,100,195,100,134,232,10,15,25,240,272,510,870,459,1321,5583,3910,9491,941,794,1732,21,39,54,50,18,66,1005,850,1855,4565,6397,10958,8229,15593,23818,1050,860,1914,129527,118197,247729
212,10219,8366,18585,1626,2152,3781,50,16,69,84,69,160,391,153,547,132246,96265,228507,6923,9080,15999,2663,59,2723,801,46,850,873,158,1034,1152,534,1682,2151,2240,4388,159172,119147,278324,1744,1572,3318,0,0,0,421,420,842,2712,1765,4477,327,648,973,180,62,242,5388,4469,9856,0,0,0,17,23,37,127,76,201,131,262,393,39,29,64,304,391,702,1252,658,1906,6943,5513,12463,1401,1414,2819,37,27,71,55,14,65,1498,1457,2951,4778,7175,11949,9928,16859,26779,1859,1368,3227,184179,151513,335693
213,13912,13877,27783,1267,1744,3007,51,27,72,192,314,510,569,170,737,121676,84704,206380,6431,9165,15595,1929,35,1963,1067,112,1180,1779,524,2303,1117,521,1636,1921,2205,4124,151899,113391,265291,2390,2308,4698,3,0,5,936,1040,1978,3008,2410,5426,415,901,1322,384,154,542,7137,6824,13962,0,0,3,44,67,114,104,80,185,77,160,240,28,24,57,265,330,593,1321,744,2065,8728,7894,16620,2047,2291,4338,25,34,61,60,31,93,2137,2349,4492,3565,6363,9921,10039,16403,26443,1954,1491,3447,178323,147887,326215
214,1151,822,1978,508,471,986,28,13,39,24,14,42,60,37,101,50370,42615,92983,2739,2786,5522,1025,25,1052,295,24,322,317,86,411,444,217,653,1422,1146,2571,58375,48271,106646,248,163,411,0,0,0,38,20,62,683,402,1087,61,102,160,40,6,46,1064,700,1767,0,0,0,3,4,4,17,25,45,58,74,130,11,11,22,93,113,204,492,222,715,1655,1027,2683,234,198,432,13,6,22,16,9,24,257,220,475,2632,3964,6596,4637,8592,13230,641,633,1273,68196,62709,130907
