SA4_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
116,912,1351,856,864,1210,458,552,421,79,6702,1319,1609,1195,2044,2012,890,720,561,157,10504,2279,1375,9231,3217,3325,1551,2752,2217,457,26409,144,101,132,234,502,244,235,248,26,1861,299,262,274,529,834,344,432,394,55,3421,175,346,174,159,325,122,192,164,36,1694,191,335,314,337,428,222,410,463,372,3078,10928,26460,14763,10758,15631,6106,7310,6156,1825,99929
117,1448,2016,897,1026,980,783,171,413,95,7835,1743,2102,1379,1818,1555,1044,192,666,157,10656,1828,1316,5464,1802,1699,1017,680,965,248,15021,136,132,91,177,252,156,42,77,11,1084,409,384,197,383,524,292,100,212,30,2528,236,472,180,171,242,133,43,136,47,1663,290,422,272,315,224,185,109,266,379,2455,22802,56881,11922,11441,14946,8452,2175,5233,2139,135989
118,1378,1940,491,744,1013,626,111,165,98,6549,1389,1515,711,1144,1264,675,102,288,108,7206,1602,854,4767,1385,1228,755,477,803,182,12058,105,91,55,118,205,111,28,49,4,762,347,366,159,359,568,326,64,142,44,2381,246,505,121,135,239,140,31,83,48,1561,289,490,167,234,264,203,66,150,255,2122,20763,47022,8289,7650,11671,6527,1422,2761,1799,107904
119,1812,2403,1497,1523,2298,1128,714,737,173,12291,2295,2344,2126,3244,3281,1736,789,1032,268,17102,3311,1742,12948,3879,3943,2143,2613,2753,634,33970,237,154,170,342,679,356,168,231,37,2373,579,446,483,877,1596,695,470,511,76,5730,367,621,311,283,604,296,229,331,63,3101,375,611,559,494,688,442,424,637,676,4904,20244,47852,22490,16731,23751,12420,8050,10143,3169,164841
120,1375,1859,695,712,1187,611,193,309,116,7061,1608,1736,1094,1339,1663,856,189,457,126,9069,1824,1121,5020,1607,1659,1058,646,927,238,14097,120,114,82,139,277,145,46,84,18,1032,397,348,231,353,714,362,119,160,41,2732,274,529,138,134,310,183,49,101,43,1752,251,392,205,202,281,181,94,215,310,2131,19888,47306,10085,8202,14564,7261,2187,4037,1939,115462
121,2263,3120,770,964,1887,866,151,279,155,10457,2045,2472,944,1418,2075,1004,157,334,116,10575,2256,1468,4938,1655,1792,1125,505,813,223,14772,164,138,100,139,343,135,34,73,15,1143,591,557,231,465,952,448,102,168,53,3576,451,862,149,135,431,164,43,71,42,2368,352,672,157,206,395,194,47,114,339,2491,34446,75115,10491,9465,20023,9029,1654,3213,2699,166130
122,1815,2552,622,923,1409,627,137,229,103,8419,1662,1754,884,1376,1700,790,165,255,115,8707,2880,1297,7898,1902,2000,1294,796,1147,256,19462,156,124,96,145,326,172,40,97,11,1172,529,449,243,429,916,428,102,144,53,3289,254,375,104,124,304,132,37,73,36,1437,255,413,187,234,376,208,92,152,218,2130,19944,33621,11582,7937,11787,6061,1799,2900,1464,97102
123,786,1292,520,807,864,306,245,205,83,5106,1140,1283,863,2010,1715,685,381,378,122,8576,2814,1426,10596,3248,3559,1745,3038,2307,442,29173,145,85,116,212,502,258,169,228,21,1736,288,207,229,495,784,319,329,315,51,3009,124,198,110,107,267,90,111,112,13,1129,203,235,286,298,382,247,340,354,231,2569,8655,17564,13831,9212,10864,4734,5306,4603,1254,76030
124,953,1748,551,1009,1066,343,196,216,68,6154,1503,1658,1051,2267,2094,735,340,410,133,10197,3503,1914,12910,4057,4770,2081,3315,2812,580,35950,162,110,144,242,590,281,165,250,16,1969,401,313,274,614,971,320,327,334,53,3606,121,208,115,125,283,93,105,141,32,1214,200,284,281,316,448,216,357,335,264,2706,11045,24066,16494,11109,13415,5166,5360,5204,1471,93333
125,1241,1629,1148,981,1594,672,572,574,154,8562,1680,1861,1656,2336,2396,1110,662,815,225,12730,2184,1259,8801,2719,2921,1386,1811,1916,486,23479,127,116,153,242,458,197,130,214,20,1657,329,312,377,608,970,350,320,382,69,3711,264,596,318,213,406,203,181,215,83,2486,289,451,455,327,506,252,316,484,476,3556,15745,42881,16934,12158,19168,8602,6335,7655,2719,132191
126,792,1164,474,447,884,351,102,160,55,4425,834,941,582,734,916,459,115,204,66,4851,1068,630,2957,920,1025,603,388,506,128,8225,75,60,50,69,174,93,12,49,10,588,221,187,110,216,487,205,61,96,24,1592,167,338,86,86,213,76,23,53,27,1071,140,256,100,101,184,87,46,92,175,1184,11303,29069,6220,4620,9562,4094,1224,2006,1048,69149
127,944,1223,919,891,1392,472,444,404,121,6803,1332,1554,1357,2341,2335,946,605,541,236,11255,2605,1269,10917,3186,3427,1637,2852,2549,573,29010,170,116,162,257,594,259,209,275,41,2081,347,223,360,603,978,408,406,418,75,3824,161,324,200,165,366,145,183,171,43,1756,249,340,444,312,491,308,409,516,463,3531,9900,22360,16092,10165,14382,5941,6136,5891,2091,92945
128,1292,1887,546,933,1287,511,107,150,55,6765,1588,1551,825,1586,1945,696,141,217,101,8641,3245,1432,9299,2235,2833,1480,1265,1413,342,23532,132,113,87,168,402,161,49,73,14,1194,380,326,239,414,1011,371,145,178,44,3102,147,258,91,105,353,105,37,55,24,1169,210,312,138,209,345,199,78,110,221,1827,13317,24712,12178,7695,11548,4838,2084,2578,1179,80126
197,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,12,3,3,3,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,14,7,11,6,7,8,3,74
199,14,27,7,18,14,4,10,7,3,100,12,28,19,48,25,14,12,30,6,198,45,38,246,70,38,31,82,93,6,657,4,0,3,8,3,7,7,14,0,46,9,6,5,16,3,13,6,13,0,67,3,8,0,0,3,3,3,5,3,29,3,14,15,16,11,8,9,21,25,117,200,562,348,285,168,119,144,278,58,2162
201,531,783,261,492,437,180,83,127,36,2927,601,718,446,1105,748,312,85,204,60,4279,1840,634,5994,2148,1572,1054,1160,1612,217,16229,85,38,82,155,203,163,56,166,9,951,131,84,122,290,195,131,81,144,12,1180,53,78,42,45,52,32,22,31,13,363,197,176,215,182,145,175,140,261,124,1614,5744,12260,7724,5714,4677,2520,1762,2897,657,43946
202,454,801,262,503,387,161,55,108,32,2765,598,715,409,1048,633,257,81,229,51,4029,1915,682,5826,2239,1471,1006,1164,1653,194,16155,86,52,77,144,170,147,59,172,4,906,166,79,116,288,221,145,94,189,20,1330,49,106,40,39,51,29,28,51,7,416,197,188,172,218,142,157,127,248,120,1561,5859,12688,7433,5666,4401,2368,1717,3058,559,43745
203,1011,1652,720,991,886,399,168,257,70,6146,1217,1485,1056,2046,1469,669,233,412,112,8706,2832,1203,11121,4189,2698,1924,1917,2780,421,29075,114,84,134,272,259,242,97,232,16,1446,243,170,207,518,417,280,172,239,35,2290,82,192,88,95,93,55,42,59,13,720,247,336,337,375,258,257,221,365,248,2631,10538,24660,14863,11139,8974,5086,3205,5075,1254,84799
204,771,818,299,585,470,180,60,152,41,3378,944,871,508,1506,857,344,124,299,59,5511,2615,784,7164,2527,1814,1231,1692,2118,281,20227,134,38,111,182,224,169,85,207,14,1166,212,84,156,344,289,183,140,224,24,1653,61,81,63,46,72,31,38,57,9,470,311,192,259,232,199,200,209,337,187,2124,7475,10976,8997,6584,4995,2700,2475,3766,734,48704
205,849,1155,422,725,587,217,89,221,51,4313,1130,1242,723,1890,1215,454,154,371,96,7269,3913,1049,11715,3712,2693,1748,2663,3353,429,31281,184,79,149,306,312,252,91,269,29,1670,292,111,225,562,358,257,172,283,28,2288,108,110,79,80,77,53,45,98,19,667,478,283,366,430,287,320,270,535,283,3243,9853,15644,14308,9269,6935,3789,3603,5576,1093,70071
206,2515,3783,1411,1631,1839,1162,189,443,172,13142,3054,3733,2316,3069,2824,1648,284,749,220,17911,3456,2190,9333,3505,3153,2078,892,1645,380,26641,198,193,146,355,355,249,60,162,19,1744,571,577,330,718,781,521,112,248,53,3919,392,937,206,239,277,178,48,131,69,2484,514,893,380,429,425,328,109,311,563,3960,42671,115219,19847,20331,27571,14969,2862,7229,3818,254513
207,1545,2182,755,894,1295,732,149,298,87,7931,1547,1585,1034,1508,1687,970,171,410,110,9022,2027,1011,4949,1780,1517,1227,483,941,218,14159,128,73,85,149,204,135,29,86,8,902,349,267,183,369,549,283,64,126,36,2226,276,514,124,129,211,128,32,57,39,1510,305,497,189,246,307,222,70,141,263,2234,23291,54953,10184,9315,15524,8238,1648,3602,1912,128665
208,2102,2940,982,1156,1820,923,201,300,113,10528,2329,2475,1385,2046,2289,1182,218,416,156,12507,3151,1476,8834,2725,2495,1697,950,1484,337,23158,143,122,105,212,313,208,47,123,14,1281,465,414,240,553,751,408,127,160,33,3159,294,562,161,147,261,176,43,80,57,1777,354,630,277,289,439,301,117,183,342,2930,28087,58879,14771,11797,17872,9467,2374,4150,2137,149528
209,1821,2569,1335,1673,1951,914,453,517,122,11361,2242,2513,2088,3476,2915,1343,629,827,190,16222,3973,1863,16947,5304,4183,2583,2799,3283,578,41507,174,136,187,361,579,304,144,248,24,2166,420,321,407,879,943,449,293,397,66,4167,213,395,225,184,282,162,120,149,52,1779,393,554,585,599,609,450,380,527,448,4557,20166,48137,24922,17950,19931,9846,6257,8245,2299,157744
210,1075,1535,929,1038,1236,518,422,379,108,7245,1556,1639,1444,2547,2138,966,585,618,160,11657,2714,1207,11943,3747,3084,1739,2546,2679,434,30099,135,92,149,264,379,220,142,218,15,1615,305,212,267,651,675,352,265,258,50,3028,138,279,161,160,181,101,131,106,25,1283,266,367,458,477,467,332,351,399,324,3438,12082,26056,17288,12274,13113,6346,5723,6178,1647,100701
211,2071,3241,1355,1833,2156,921,295,491,148,12507,2769,3035,2092,3820,3301,1499,452,753,188,17903,5743,2476,21296,5917,5070,3070,2968,3963,697,51195,213,133,242,376,596,341,145,280,30,2349,505,438,409,918,1009,550,221,366,44,4467,211,430,208,189,306,144,73,113,37,1715,433,557,556,597,537,401,291,484,445,4297,23482,49825,29231,18487,21319,10401,5222,7994,2300,168261
212,2297,2965,2311,2066,2648,1191,1020,1153,209,15867,3142,3327,3396,5508,4271,2136,1428,1699,295,25198,5679,2470,23779,7567,6104,3842,5567,6145,880,62026,267,181,318,584,741,524,299,540,42,3492,633,344,582,1267,1191,687,600,657,96,6044,354,640,367,300,450,268,272,311,70,3025,530,712,922,800,834,602,701,971,782,6858,25510,56533,36721,25100,28486,14873,12462,15365,3553,218613
213,2133,2616,2011,2056,2358,1071,949,844,199,14234,3052,3167,3062,5228,4286,1913,1553,1482,335,24083,4840,2421,20229,7230,6018,3396,5918,5623,890,56561,251,143,247,502,646,461,366,460,37,3118,567,418,523,1295,1147,639,730,657,112,6087,334,515,316,325,417,215,294,263,73,2745,501,659,829,797,717,554,837,895,740,6534,25704,56389,32116,24944,28644,13940,13819,14080,3689,213315
214,1169,1660,747,1060,1076,506,164,288,84,6747,1501,1626,1058,2312,1697,899,227,462,121,9903,3525,1359,13675,4054,2982,2127,1952,2853,429,32947,138,83,177,295,324,252,103,209,14,1592,327,203,278,671,584,361,158,257,41,2878,113,166,101,110,161,91,64,72,23,903,288,367,422,462,350,313,207,365,265,3040,11496,20952,17473,11022,9554,5816,3150,5074,1224,85761
215,655,671,159,489,275,120,58,119,29,2571,675,620,287,995,586,207,71,203,44,3689,2908,651,4896,2134,1328,996,1153,1683,222,15976,134,36,68,164,210,194,72,156,17,1055,238,75,90,328,205,153,88,181,8,1378,68,59,31,34,32,25,18,73,10,348,368,196,208,239,157,201,173,363,163,2060,6620,8556,5975,5124,3409,2084,1692,3048,561,37070
216,491,559,148,327,251,98,61,128,18,2082,609,584,290,943,553,188,79,217,24,3497,2059,498,4690,1676,1107,886,1095,1810,185,14003,82,41,59,128,145,116,41,166,3,778,157,58,99,232,145,118,68,138,15,1035,52,57,35,31,40,23,15,61,11,320,263,141,179,191,112,150,150,336,146,1669,5104,7529,5764,4153,2963,1774,1572,3112,470,32434
217,662,592,170,406,249,110,51,123,32,2394,631,453,249,830,488,200,79,204,37,3167,2382,487,4694,1777,1072,795,1166,1745,178,14299,109,32,66,149,149,109,48,194,7,855,187,58,86,262,148,130,91,180,6,1162,56,56,39,28,31,17,19,31,12,287,349,144,187,194,109,115,162,308,142,1706,5972,7715,5786,4311,2931,1737,1682,3080,480,33691
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
299,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
301,865,1278,527,577,823,255,99,165,50,4637,1460,1409,818,1796,1878,644,208,346,103,8657,2864,1348,9829,3004,3075,1689,1758,2255,356,26175,113,78,98,191,293,231,79,193,11,1291,281,175,187,420,546,281,159,238,35,2329,85,145,83,78,144,61,38,71,14,724,185,209,233,193,249,172,144,226,189,1810,10046,18548,12639,7867,9618,4217,2701,3939,981,70559
302,629,1106,475,593,693,220,135,170,62,4083,1291,1357,928,1603,1716,698,273,413,97,8368,1896,1095,7162,2499,2690,1338,1299,1645,262,19884,105,66,92,170,271,171,64,184,16,1151,180,165,152,334,475,206,123,190,26,1836,87,206,84,73,127,66,41,75,15,764,127,213,191,174,203,134,117,193,203,1541,9311,23813,10378,7594,10086,4087,2468,3650,1007,72382
303,977,1621,766,785,956,414,235,354,71,6182,1684,1804,1438,2236,2260,1025,461,754,133,11788,2442,1368,8638,2889,2938,1619,1481,2093,340,23812,137,116,149,228,297,241,105,180,9,1468,271,260,221,460,568,317,172,276,34,2570,172,388,162,169,211,118,93,147,33,1491,203,356,249,250,269,188,168,304,267,2265,15502,44762,14384,11254,15240,7308,3843,6373,1720,120393
304,669,1210,347,467,571,226,61,99,58,3713,929,1050,563,1016,1046,447,109,208,73,5444,1308,713,3823,1586,1424,804,495,720,132,11020,45,57,46,148,157,108,31,78,7,668,156,136,94,219,317,155,55,79,10,1219,87,212,63,59,106,32,9,28,18,620,128,245,81,107,134,81,34,71,107,985,10233,28344,6224,5678,7822,3228,1048,1959,860,65396
305,947,1485,460,494,750,335,102,175,60,4811,1486,1736,992,1441,1592,817,174,457,124,8828,2038,1204,5029,1840,2079,1281,594,1042,223,15331,94,100,88,181,212,174,46,111,9,1023,251,257,150,262,383,229,75,139,26,1756,138,325,92,107,137,94,30,110,18,1063,199,364,161,180,211,130,39,162,210,1653,17316,47386,9038,8191,12180,5926,1529,4111,1417,107096
306,732,1262,369,780,587,269,121,229,69,4425,1090,1083,697,1854,1269,576,214,413,106,7294,3024,1261,9894,3492,2846,1732,1998,2536,383,27177,130,87,143,263,284,314,105,302,13,1639,261,196,189,564,383,269,144,314,33,2355,104,158,101,128,91,73,48,113,10,816,291,297,334,391,247,296,241,509,257,2862,8446,16818,12516,9479,7521,4307,3052,5085,1059,68291
307,549,421,121,273,200,78,59,94,20,1811,733,362,311,720,544,160,132,235,23,3217,1972,462,4716,1394,1264,672,1372,1676,171,13705,123,21,70,125,158,130,82,234,7,964,244,65,98,221,173,124,142,191,14,1267,48,34,25,34,30,7,27,34,10,244,288,91,201,165,135,141,193,334,145,1680,5387,5759,5845,3378,3096,1488,2082,3127,434,30597
308,481,705,378,432,328,106,107,115,26,2684,784,755,629,1256,907,266,245,260,74,5173,2395,980,11891,2758,2624,1256,3406,2216,332,27864,151,82,158,226,264,293,165,318,14,1660,220,96,173,354,286,171,290,246,24,1867,54,89,76,69,45,29,83,101,9,557,237,172,280,224,178,203,344,415,184,2232,6352,12675,14373,6415,5875,2600,4866,4009,776,57945
309,2138,2837,1072,1770,1734,1024,247,496,154,11471,3250,3262,2213,5325,3804,2261,537,1177,281,22113,6879,2921,23086,7576,6416,5076,3602,5950,892,62399,262,182,266,501,591,599,172,459,39,3077,715,482,553,1220,1293,1026,362,624,100,6376,279,445,228,245,391,232,97,207,54,2189,557,684,750,675,629,671,372,723,581,5652,23068,44178,30492,22051,20555,14239,6050,11378,2766,174783
310,653,1027,466,756,671,212,174,206,55,4215,1430,1501,1079,2711,1952,725,395,582,152,10519,2838,1414,11721,4988,3803,2024,3142,3333,479,33747,141,81,194,318,390,370,210,407,29,2141,244,199,255,680,562,323,356,397,52,3060,88,143,113,99,129,70,88,101,27,853,214,209,375,346,285,227,385,524,317,2888,8665,18868,15239,11975,10513,4834,5163,6285,1379,82914
311,657,929,522,681,666,262,188,226,57,4185,1327,1296,961,2473,2078,770,451,597,105,10069,3014,1567,13070,4448,4135,2187,3563,3961,462,36415,133,80,199,292,398,354,204,389,25,2075,285,192,278,642,585,352,388,422,48,3195,82,169,147,102,166,72,113,136,26,1008,217,216,432,340,326,255,418,475,338,3021,8275,15985,16534,10631,10809,5169,5804,6833,1283,81329
