SA4_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
212,31,201,11,7859,1484,256,105,1514,158,1248,82,382,160,1075,4294,10754,106,18,87,156,31,97,6,19,49,114,329,1019,21172,3919,812,26986,2842,23015,852,6302,1306,10983,4905,103089
213,49,168,11,7804,1224,231,119,1220,161,1099,75,440,178,1016,3824,9595,124,21,61,140,26,91,13,25,50,185,392,1122,19813,3449,838,24242,3150,22857,866,6144,1478,10554,4514,97906
214,14,49,4,3073,592,146,26,807,68,383,40,164,61,241,1419,3952,54,11,30,84,8,39,6,11,20,37,77,380,6061,1395,298,11693,1079,6103,348,1572,354,2204,1569,32680
215,3,13,3,619,342,53,19,410,34,181,25,57,27,127,809,2070,29,3,14,32,4,10,9,3,10,34,43,189,2958,567,162,4892,515,2261,207,704,187,1213,923,14580
216,3,14,0,660,380,50,15,328,25,170,31,49,10,135,616,1806,36,4,10,37,8,17,4,0,10,34,46,201,2909,499,158,4334,465,2062,187,647,196,1194,700,13343
217,3,12,0,640,313,54,15,382,21,127,16,55,14,57,610,1664,16,3,16,27,4,9,0,0,7,17,25,127,2416,591,171,4651,430,1862,166,572,163,756,688,12462
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,12,42,3,3941,528,68,21,481,57,270,19,77,15,166,1633,3336,41,3,21,46,11,15,5,5,7,29,59,245,7495,880,213,8945,1031,4745,268,1090,269,1625,1735,28290
302,6,45,0,3556,357,40,23,324,46,197,14,76,30,150,1231,2476,27,3,23,30,7,19,5,3,9,14,72,215,5956,824,208,7268,1043,4467,253,1118,275,1622,1334,24367
303,21,112,3,6316,589,74,29,492,57,321,31,142,42,327,2012,4131,27,11,14,52,15,20,7,4,16,33,91,297,9472,1644,292,11894,1394,7763,388,2189,423,3554,2188,41195
304,21,100,3,5730,398,57,14,355,36,240,16,66,21,134,1513,2844,18,0,10,30,3,8,3,0,0,11,26,120,5628,779,152,7344,831,4418,193,979,209,1377,1558,23466
305,30,97,9,7805,354,46,17,301,30,186,6,48,19,89,1445,2542,21,3,9,20,4,14,3,0,6,9,30,128,5407,763,146,6816,871,4324,183,837,195,1161,1523,22232
306,13,38,4,1485,436,75,22,361,48,210,21,80,39,199,1880,3375,25,7,15,41,8,17,3,6,5,34,99,259,5387,1019,220,6381,731,3645,293,1271,367,1978,2049,23355
307,5,11,6,668,360,44,16,313,27,136,10,55,20,81,903,1955,41,7,9,17,3,9,3,0,10,24,42,168,2939,455,121,3793,429,2316,152,511,179,1017,993,12896
308,22,27,8,2460,470,56,29,403,40,270,30,80,44,177,2263,3864,33,5,20,32,14,26,3,4,12,18,80,246,5246,656,239,6717,807,5047,300,1044,395,1727,2408,24595
309,38,122,9,6059,929,193,44,940,102,593,42,245,76,425,3587,7189,81,18,65,91,27,42,12,16,32,50,163,581,13994,2916,482,18857,1931,11298,612,3349,733,4472,3871,62509
310,12,38,5,2114,578,81,38,483,76,388,31,161,65,320,1926,4149,44,12,32,44,7,23,7,9,21,69,138,404,8480,1280,284,9227,1271,7833,377,2169,584,3752,2171,37432
311,10,49,6,2143,628,83,33,521,76,440,31,152,54,355,1707,4090,60,3,33,50,12,35,3,20,21,50,134,418,8810,1300,338,9228,1244,8081,369,2187,573,3918,1936,37986
312,17,14,3,1932,319,50,21,306,34,223,23,68,28,89,2186,3349,35,0,26,34,8,18,0,6,12,25,63,225,3769,527,230,5211,617,3753,211,709,284,1026,2290,18639
313,28,33,0,1498,373,63,32,353,53,275,21,107,36,217,1379,2904,36,8,25,39,9,22,5,9,17,32,80,261,5228,889,233,6468,743,4977,289,1415,382,2562,1515,24706
314,14,37,4,3056,414,52,16,394,34,260,25,70,34,100,1466,2869,28,0,13,35,5,23,10,4,11,15,76,221,6579,811,195,8558,1017,5210,289,1038,338,1406,1573,27017
315,8,3,4,636,222,27,9,120,16,110,12,44,18,101,456,1122,22,5,13,11,4,11,3,3,5,19,64,159,2076,232,101,1589,262,1353,94,355,123,955,560,7697
316,40,72,3,2936,554,154,27,660,70,344,41,145,47,280,2643,4972,47,11,15,60,16,27,17,13,13,36,91,337,7074,2028,271,11703,1029,6056,460,2127,450,2742,2805,36743
317,7,18,0,1254,235,44,15,265,31,119,12,58,21,86,930,1809,16,3,8,12,3,11,0,6,5,12,36,111,3551,526,121,4870,528,2918,185,756,176,1202,984,15821
318,13,22,5,1883,411,51,13,330,46,197,18,75,42,178,2183,3531,47,3,20,36,9,27,3,7,15,29,71,259,5939,723,203,6541,858,4006,273,1083,327,1850,2301,24099
319,13,46,7,1056,373,68,22,382,28,220,26,158,37,311,1711,3335,28,3,23,31,5,18,6,8,15,69,115,321,4732,1119,207,6405,605,4111,322,1841,417,3752,1923,25438
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,23,82,7,6387,612,112,34,740,53,340,36,106,31,193,2093,4356,29,3,12,44,7,16,3,7,10,21,47,203,6885,1675,299,11483,1121,5557,343,1682,257,2165,2196,33675
402,10,57,3,2291,660,120,44,734,83,500,50,183,62,470,2201,5101,31,10,33,50,8,24,0,5,17,80,136,403,8816,2021,386,14105,1575,9311,543,3120,631,5878,2456,48841
403,20,46,8,3894,615,131,35,785,76,367,52,172,41,285,2187,4742,33,6,23,62,12,16,6,8,8,35,69,286,7834,1998,394,14259,1512,6600,545,2311,438,3114,2330,41335
404,12,36,3,2009,331,82,10,430,29,207,18,101,33,257,1238,2733,22,4,9,28,3,12,3,0,7,36,58,189,4628,1185,209,7445,842,4013,277,1643,296,2697,1357,24595
405,0,9,0,580,218,34,12,265,20,105,8,52,12,88,732,1556,18,0,4,18,5,9,0,0,3,15,21,99,1969,487,111,3670,361,1720,121,543,155,960,792,10891
406,0,8,0,530,159,29,10,156,15,79,6,35,18,68,589,1165,10,0,7,10,4,4,0,3,3,26,75,136,1469,339,86,2460,270,1264,110,392,116,671,687,7872
407,3,22,4,688,332,88,20,435,28,168,22,80,15,139,968,2303,25,5,6,26,6,13,0,13,4,31,40,162,3280,901,202,5941,542,2690,253,1009,222,1430,1066,17533
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,20,26,3,1600,334,71,21,448,41,221,30,77,34,118,2075,3456,23,6,9,21,3,13,3,7,5,21,58,171,2995,898,208,6162,534,3694,323,983,333,1171,2176,19487
502,20,26,0,1057,162,30,13,169,19,123,18,48,18,82,1262,1946,9,0,4,6,3,3,4,3,6,10,33,89,1522,345,85,2612,249,2095,149,550,215,802,1308,9934
503,35,120,6,6911,209,51,4,336,32,219,11,65,21,104,1386,2437,17,7,7,29,9,10,3,3,3,8,36,129,3005,772,107,5671,569,3935,132,874,165,940,1441,17613
504,30,50,0,3282,423,92,25,484,41,289,26,129,38,215,2382,4142,35,7,16,50,6,19,0,3,15,31,80,269,5749,1190,265,8815,959,6569,361,1594,464,2263,2519,30752
505,81,178,10,11098,970,218,73,1243,125,699,72,263,93,486,5487,9736,63,19,45,98,17,46,9,14,30,65,161,570,12340,2752,583,22177,2236,14132,840,3533,898,4861,5771,70139
506,66,144,7,7014,722,140,61,812,79,639,44,238,104,402,4463,7707,56,11,29,71,18,46,7,10,25,65,166,498,10436,2267,419,15829,1656,13992,591,3491,895,4941,4741,59260
507,82,157,9,7998,733,115,49,845,100,547,45,191,79,371,4867,7930,42,10,21,53,19,34,11,3,8,41,98,351,8786,1741,388,15128,1569,10983,568,2466,780,3392,5037,50824
509,6,13,3,981,372,61,12,350,25,165,28,64,20,120,1111,2324,30,0,7,24,6,17,0,3,5,19,59,174,2389,580,145,4089,389,2378,193,692,232,934,1214,13233
510,15,5,0,1737,155,25,19,117,22,90,5,29,17,109,578,1171,15,3,9,12,0,14,0,3,9,26,55,151,1920,219,139,2130,333,1938,108,259,192,821,669,8727
511,10,17,3,1285,235,35,19,225,31,135,25,34,20,114,1216,2097,22,3,6,16,4,9,3,0,10,27,94,195,2400,368,141,3396,415,2429,184,428,224,854,1344,12168
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,5,39,6,2063,390,79,17,496,34,190,20,104,34,190,1129,2685,15,3,9,14,3,6,3,10,8,43,39,154,4479,1291,186,7886,886,3326,318,1325,258,1972,1231,23160
602,7,14,7,708,244,48,6,326,21,143,14,65,18,112,702,1711,11,3,9,24,3,5,4,0,7,25,34,130,2368,694,121,4588,441,2263,199,805,200,1389,810,13879
603,0,3,0,110,69,29,5,96,3,40,0,23,11,48,181,510,3,0,3,0,0,8,0,4,0,5,15,40,579,237,47,1011,84,554,52,296,61,425,210,3554
604,8,12,3,447,190,43,15,238,27,121,17,54,22,105,606,1448,9,0,6,14,3,4,3,3,8,17,32,103,1801,483,107,3420,356,1761,161,672,171,1067,687,10693
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,15,24,4,2815,369,31,13,142,38,154,8,38,29,62,1004,1903,30,0,27,18,3,13,0,3,9,12,48,162,5046,366,200,3219,691,2963,153,472,240,699,1092,15144
702,3,3,4,565,197,25,8,67,7,71,5,65,23,267,424,1166,15,11,12,11,4,26,3,28,13,155,169,447,1887,250,117,1175,226,1241,63,496,137,2430,648,8667
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,39,149,21,11617,918,75,37,548,106,342,23,106,49,240,2565,5002,50,4,23,31,13,22,0,0,7,16,71,241,14630,1699,511,13370,2499,7442,533,1672,427,2476,2758,48008
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,0,0,0,33,15,0,3,5,0,3,0,0,0,6,22,68,0,0,0,0,0,0,3,0,0,0,3,7,119,20,10,102,13,74,5,16,9,27,34,430
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
