SA4_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
121,872,1352,1760,2195,4314,9578,5611,13847,272,39799,2476,5968,6527,6402,11629,20932,9410,17019,629,80982,285,914,1144,1026,2466,3504,1552,2233,158,13297,511,4197,2987,2222,1918,1631,799,905,202,15372,740,3333,3674,2928,5486,5678,2278,2608,207,26931,471,3746,2328,1665,2006,2551,1155,1800,173,15888,84,363,320,294,631,530,259,479,41,2999,197,1855,1271,866,973,855,310,448,120,6901,105,333,240,220,424,654,205,516,860,3551,5740,22058,20241,17824,29832,45918,21590,39856,2668,205722
122,565,755,1132,1583,2458,5459,3329,8595,202,24082,1257,3180,3802,3751,4517,8537,4193,7561,293,37083,344,884,1030,1205,2434,4174,1772,2656,210,14705,425,2985,2281,1873,1654,1325,730,786,187,12242,512,2404,2717,2355,3300,3238,1336,1456,164,17481,349,2723,1694,1305,1491,1839,851,1422,125,11805,91,365,336,316,885,636,363,514,57,3554,208,1666,1055,766,1003,959,344,512,104,6623,73,187,140,148,210,357,129,299,562,2109,3831,15149,14192,13312,17939,26520,13033,23787,1908,129685
123,282,360,415,622,2103,2882,1742,3851,152,12406,752,1336,1642,1883,4180,4912,1852,2733,232,19511,398,746,806,1054,4141,5087,2428,3203,350,18205,527,2026,1937,2340,2753,1649,939,887,256,13319,690,1570,2138,2308,5693,4015,1420,1377,198,19420,397,2740,1789,1537,2062,1511,644,883,180,11751,336,554,636,875,3242,2515,1553,2682,259,12653,340,2176,1432,1450,2584,2045,855,1032,316,12213,106,161,117,114,444,385,130,248,633,2332,3831,11661,10901,12182,27184,25004,11565,16904,2572,121806
124,401,401,584,796,2519,3591,2183,5126,163,15763,1079,2038,2609,2696,5247,6103,2674,3994,211,26653,477,925,980,1330,4662,5938,2978,3958,360,21611,674,2745,2441,2740,2978,2139,1189,985,246,16136,772,2161,2698,3021,6886,4827,1772,1761,229,24125,454,3342,2003,1654,2126,1729,751,1091,187,13342,348,598,661,921,2970,2704,1580,3351,287,13424,366,2645,1739,1642,2485,2261,929,1345,261,13661,117,148,114,131,516,450,140,274,727,2611,4692,15010,13816,14933,30398,29738,14184,21891,2670,147331
125,455,608,852,1091,4086,5833,2457,4687,256,20323,1315,2805,3167,3250,11438,15008,4039,5117,558,46703,485,1595,2174,2116,5674,6748,2648,2933,685,25067,503,2862,3194,2820,3324,2195,987,1211,383,17472,803,2416,2959,2804,9155,6406,1852,1735,348,28483,486,3830,3088,2027,3015,2373,842,1010,297,16959,268,865,1275,1249,3713,2698,1214,1753,368,13397,371,2955,3393,2207,4014,2749,1059,1061,508,18304,136,328,342,272,839,775,188,256,1608,4746,4828,18261,20440,17842,45260,44785,15272,19766,4996,191445
126,293,395,602,715,1962,3519,1815,4040,127,13465,897,2319,2479,2427,6170,8990,3224,4545,260,31318,181,511,692,663,1676,2069,878,1189,132,7978,243,1918,1391,991,988,847,325,379,115,7189,376,1395,1614,1488,3361,2854,968,900,136,13095,222,1770,1233,852,1146,1081,427,672,120,7516,51,217,235,220,501,434,176,305,32,2188,132,1031,804,554,650,544,225,278,90,4309,37,122,93,74,229,272,65,138,498,1538,2436,9684,9147,7980,16686,20612,8103,12443,1506,88601
127,339,550,590,854,2961,3850,1742,3956,251,15094,795,1578,1848,2162,6326,7051,2144,2882,330,25114,438,1329,1435,1662,5688,6606,2609,3263,601,23626,485,2717,2513,2532,2911,2039,944,1337,385,15866,782,2082,2641,2631,7682,5305,1502,1510,333,24458,375,3815,2437,1884,2559,1992,748,950,303,15057,396,1021,1081,1426,5350,3598,1659,2658,449,17630,466,2950,2295,2092,5057,3184,1180,1366,607,19192,136,308,242,236,760,599,172,292,1433,4174,4216,16341,15080,15480,39284,34219,12695,18223,4679,160218
128,410,437,703,939,2097,3880,2459,5835,141,16897,1043,2134,2922,2693,4229,6320,2881,4578,213,27016,381,652,763,985,2771,4387,2061,2930,200,15142,501,2448,1872,1856,1820,1465,885,814,132,11795,553,2030,2842,2593,4003,3689,1413,1476,158,18768,319,2681,1608,1258,1360,1572,668,1067,131,10667,134,319,285,346,860,929,476,896,85,4323,187,1529,790,679,880,945,384,548,115,6054,71,117,121,98,255,320,106,207,472,1774,3602,12360,11900,11447,18287,23502,11344,18354,1642,112434
197,0,0,0,0,0,0,0,0,0,3,3,0,3,0,6,0,0,4,0,22,10,0,0,0,6,3,0,3,0,18,9,3,4,0,3,0,0,0,0,16,6,0,0,3,3,3,0,0,0,21,5,3,0,3,3,4,0,0,0,17,7,0,0,0,4,4,0,0,0,10,6,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,3,0,3,5,43,4,9,10,22,12,4,7,4,130
199,15,12,23,11,38,75,22,80,3,274,44,57,61,52,113,159,52,95,6,649,18,38,36,44,92,115,42,68,24,480,9,60,70,78,54,50,38,60,10,430,12,28,25,29,76,43,20,29,4,261,17,24,32,30,39,39,15,14,12,224,8,20,25,32,73,51,37,80,12,339,23,60,98,91,90,96,46,45,36,582,5,3,6,5,9,10,9,3,47,103,148,298,377,371,584,638,279,475,158,3331
