SA4_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
111,719,1369,908,591,786,237,105,4717,87,72,54,42,49,14,5,329,26,31,32,11,27,5,6,134,1151,2358,1774,1294,1916,688,324,9501,73,189,118,80,95,19,9,578,149,245,117,59,81,20,12,685,225,435,234,144,177,41,21,1266,1374,2790,2012,1435,2087,731,343,10766,1835,1643,886,611,598,128,88,5789,30,40,20,20,11,4,0,128,3241,4472,2918,2059,2703,859,428,16680
112,433,1073,799,517,734,186,39,3782,52,56,27,17,31,10,3,196,14,26,31,13,25,9,3,130,695,1697,1370,1035,1495,364,107,6754,35,112,79,65,90,25,3,409,74,160,97,66,67,17,9,487,108,277,179,129,155,42,7,895,803,1977,1545,1163,1650,403,116,7649,1262,1312,705,414,477,118,39,4312,20,38,22,14,13,5,0,102,2080,3320,2267,1585,2141,524,151,12066
113,317,569,358,242,294,40,3,1831,38,40,16,7,9,3,0,115,13,20,14,12,15,0,3,88,546,1074,757,533,776,119,30,3826,40,89,58,40,30,5,4,260,58,87,39,22,25,3,0,236,98,175,95,70,52,10,4,498,641,1253,850,602,823,123,34,4325,1062,823,436,245,249,37,12,2863,36,23,24,8,3,0,0,104,1743,2102,1306,855,1076,161,48,7290
114,283,559,421,278,343,64,22,1964,38,26,17,11,22,4,0,117,3,16,9,6,18,0,0,58,435,886,728,557,772,159,50,3589,22,37,44,31,39,11,3,180,55,96,33,35,23,5,0,252,74,134,79,61,60,18,6,433,508,1025,807,620,830,174,50,4019,777,719,427,259,277,42,16,2504,7,16,19,9,8,0,0,62,1291,1754,1247,892,1114,213,67,6589
115,172,383,304,226,302,138,83,1619,13,16,12,7,15,4,3,75,4,16,11,6,10,0,3,51,373,886,768,614,916,470,257,4277,13,30,26,13,34,9,0,130,24,43,23,17,25,6,8,149,29,78,50,33,56,18,7,279,401,960,816,648,972,487,266,4562,315,300,201,157,204,117,72,1361,9,16,4,3,3,0,0,38,728,1272,1025,802,1184,610,342,5961
116,524,915,628,388,566,208,85,3314,87,65,32,22,34,16,9,261,24,45,37,21,33,10,3,177,1128,2060,1466,1039,1658,723,344,8424,85,179,101,85,109,36,16,613,147,251,133,95,104,26,16,771,233,428,234,187,212,61,32,1384,1354,2490,1704,1228,1870,786,378,9808,2441,2175,1186,772,767,257,154,7745,69,66,30,24,18,11,3,220,3865,4732,2922,2023,2653,1049,535,17775
117,227,365,248,184,209,107,70,1413,30,19,16,12,17,7,4,109,12,10,9,9,14,7,3,63,543,890,646,467,649,364,239,3795,18,45,26,27,22,13,5,151,41,56,50,20,32,11,13,215,60,99,71,39,52,25,12,369,598,992,722,506,705,386,257,4159,463,459,257,207,294,184,117,1979,14,15,5,9,0,0,0,40,1079,1455,982,717,999,575,377,6181
118,224,446,282,198,302,144,94,1701,36,26,7,13,13,3,8,100,4,16,7,8,12,3,5,57,527,1156,775,517,788,470,308,4548,14,38,14,17,30,19,5,137,33,53,27,15,18,14,10,167,46,93,43,29,43,32,18,299,574,1252,821,549,828,495,322,4846,319,362,253,184,236,159,109,1623,9,9,10,3,3,9,4,41,901,1617,1083,738,1071,667,436,6510
119,665,1240,887,640,948,519,243,5144,93,29,27,19,45,19,20,261,37,54,50,41,65,45,23,311,1385,2448,1905,1463,2298,1364,698,11566,49,134,105,70,100,61,34,554,93,286,164,123,146,98,31,954,150,422,272,197,249,160,67,1511,1533,2870,2178,1658,2549,1528,764,13073,2299,2329,1353,882,1221,661,396,9134,44,70,48,22,13,17,3,208,3872,5267,3569,2556,3784,2204,1167,22425
120,261,538,311,233,354,202,118,2020,38,17,17,14,14,9,5,113,15,15,16,7,13,12,3,88,581,1203,847,661,1026,672,380,5380,12,40,20,24,36,13,13,162,20,52,41,27,43,28,16,235,40,88,66,43,83,47,35,394,616,1291,910,712,1109,716,411,5774,464,472,297,199,310,193,138,2068,6,6,0,5,4,4,3,34,1081,1770,1210,917,1427,917,554,7873
121,262,578,473,354,509,319,175,2679,54,29,9,10,22,16,5,151,13,20,14,18,21,10,6,98,687,1539,1256,1006,1574,992,585,7635,11,35,23,18,42,27,15,176,32,56,32,31,42,28,12,224,41,90,54,52,82,47,29,399,724,1629,1311,1060,1657,1040,616,8042,330,558,391,289,429,323,184,2504,3,8,8,4,0,0,0,22,1062,2200,1707,1354,2083,1364,800,10563
122,242,588,392,252,399,170,95,2140,28,11,11,11,10,9,3,84,10,15,16,11,12,8,3,71,487,1185,925,681,1128,500,286,5180,5,36,16,8,26,9,14,108,18,42,16,12,17,8,0,119,23,79,30,24,40,11,15,218,513,1258,957,700,1162,508,300,5405,244,333,198,133,175,78,54,1213,9,9,3,7,7,3,0,42,772,1600,1160,837,1343,594,353,6661
123,483,921,612,381,518,147,78,3137,66,60,30,23,26,6,9,225,25,41,26,20,18,4,0,134,1010,1846,1356,954,1334,493,256,7242,67,150,84,61,97,21,12,497,131,226,128,88,72,9,7,657,202,373,211,150,165,26,20,1148,1212,2217,1570,1103,1493,519,279,8392,1839,1697,868,539,605,178,90,5823,56,57,21,20,17,4,4,177,3107,3975,2461,1657,2120,703,374,14394
124,650,1202,753,491,603,183,69,3948,79,49,44,23,29,4,9,232,30,46,31,16,33,6,7,178,1229,2247,1653,1217,1722,582,296,8947,61,124,63,55,81,20,12,415,125,195,89,58,56,6,4,545,188,322,156,115,137,26,17,956,1423,2568,1811,1324,1861,612,306,9911,1915,1615,769,495,501,133,60,5492,30,17,19,16,15,3,0,104,3360,4208,2594,1834,2382,748,370,15497
125,444,771,575,391,572,292,178,3227,62,35,15,17,27,15,7,184,43,44,26,25,39,31,11,214,990,1701,1319,975,1494,890,540,7900,55,107,66,60,78,40,16,424,102,218,125,78,88,44,26,669,154,329,188,136,162,82,40,1095,1144,2030,1506,1113,1661,966,583,8995,1852,1765,981,641,891,485,330,6942,26,52,24,17,14,10,5,144,3018,3839,2508,1777,2558,1460,919,16086
126,140,303,199,157,206,126,87,1216,19,14,6,5,5,8,3,53,6,4,3,5,4,6,3,38,330,701,473,374,600,432,275,3188,9,14,10,7,14,13,5,75,13,25,24,7,15,13,7,102,25,36,28,19,31,25,11,178,355,742,500,397,627,460,285,3366,234,291,155,136,158,137,92,1201,0,3,0,0,6,0,3,13,592,1031,654,532,793,593,381,4580
127,533,1041,791,550,764,370,165,4211,74,40,25,20,31,15,13,219,37,57,34,35,56,30,14,254,1192,2118,1644,1219,1840,977,494,9491,67,156,111,76,102,60,30,609,113,311,220,123,159,78,31,1036,179,466,328,198,262,138,64,1642,1371,2588,1979,1421,2101,1123,562,11134,2793,2818,1518,1070,1320,688,414,10625,68,64,49,33,18,12,3,243,4226,5470,3540,2521,3439,1824,987,22007
128,287,632,431,323,351,145,74,2244,35,14,7,3,18,16,4,104,9,18,12,3,12,0,3,55,527,1114,906,697,993,472,255,4966,13,13,13,11,27,11,4,95,32,62,22,16,25,10,0,159,42,77,40,29,53,20,3,251,571,1189,948,727,1039,493,258,5217,378,360,223,143,187,73,62,1429,5,8,4,6,4,0,0,23,945,1560,1172,873,1231,564,324,6667
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,314,646,436,260,406,97,37,2195,39,45,23,24,21,6,6,158,9,13,18,10,17,0,3,67,442,970,722,497,838,250,92,3809,30,102,58,39,27,12,7,270,69,158,71,59,56,13,3,430,99,258,137,96,87,23,5,699,539,1231,857,593,922,272,98,4512,955,831,453,321,298,75,20,2952,11,15,4,5,5,0,0,45,1505,2070,1314,916,1220,346,121,7505
202,285,670,436,299,409,120,30,2251,52,48,34,17,14,6,3,173,9,9,9,8,8,0,3,44,440,984,741,568,854,285,104,3972,25,64,46,26,47,9,3,220,53,84,53,27,39,11,0,273,79,157,102,57,86,18,3,497,516,1140,845,623,934,303,105,4462,899,817,422,268,293,79,23,2795,6,5,6,6,5,0,0,34,1430,1956,1273,887,1240,379,129,7291
203,534,975,728,501,700,231,104,3770,73,53,33,11,53,12,8,242,9,23,16,13,17,9,3,95,826,1601,1263,956,1489,562,251,6944,31,108,71,57,69,14,9,358,78,155,102,49,62,16,8,462,112,267,171,102,129,29,14,822,933,1862,1429,1057,1616,594,267,7765,1262,1205,603,441,520,171,74,4271,23,32,19,10,14,6,3,109,2221,3100,2050,1508,2151,765,349,12151
204,316,683,467,309,428,94,20,2310,35,44,23,7,19,7,0,139,14,15,15,15,23,3,3,85,500,1122,837,623,911,214,56,4262,32,75,53,35,47,7,3,245,62,103,57,29,19,8,5,288,94,178,108,68,70,10,6,536,594,1299,945,687,976,225,63,4798,859,818,406,278,294,73,17,2744,27,18,12,17,12,0,0,75,1476,2139,1359,987,1278,299,74,7611
205,495,1035,679,510,676,153,38,3585,75,58,33,37,36,4,4,250,22,27,17,13,17,4,0,108,792,1591,1141,961,1417,347,89,6346,47,141,88,65,98,21,3,467,93,232,138,66,87,14,0,632,140,373,227,136,185,39,3,1096,933,1969,1366,1094,1604,387,94,7439,1677,1514,717,477,561,134,28,5100,30,31,12,23,4,4,0,104,2640,3511,2103,1590,2168,525,121,12642
