SA4_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
502,310,1067,386,599,74,2586,148,132,891,802,1104,140,3216,7,5,39,40,138,17,247,13,7,76,164,714,25,1002,14,11,84,123,529,137,903,761,669,4114,3895,12138,1094,22678
503,1052,3303,620,407,133,7688,2316,721,6043,1153,701,303,11238,161,82,623,177,174,46,1263,195,57,544,295,666,51,1810,403,98,1142,357,378,213,2585,11958,4051,32722,8251,8747,1929,67652
504,976,3217,1098,1535,203,7992,783,571,3854,2264,2771,437,10689,76,46,377,228,443,42,1221,106,51,505,555,2626,130,3976,143,62,607,494,1492,425,3218,4879,3025,20929,13706,31228,3402,77166
505,2653,8824,2557,3213,529,20283,2250,1351,10763,5352,5599,1022,26331,152,101,904,519,799,103,2578,304,133,1229,1349,4918,240,8169,395,113,1575,1160,2914,851,7010,13080,7453,55370,31173,62726,7165,176968
506,1737,6407,1967,2568,412,15818,2030,1074,8699,4154,4780,803,21543,194,78,777,428,886,90,2447,293,135,1100,1012,4218,213,6975,436,110,1492,968,2663,893,6570,14001,5758,46830,24948,52756,6156,150452
507,1848,6495,1876,2482,357,15410,1765,1169,7706,3591,4092,683,19004,122,59,617,326,667,81,1869,184,87,710,773,3285,161,5197,351,92,1173,849,2325,666,5450,10176,5550,38058,20966,47583,5152,127491
509,491,1652,638,943,125,4093,234,201,1305,1002,1374,205,4316,23,4,92,69,168,18,371,28,14,99,177,1169,66,1553,22,12,125,145,641,258,1203,1038,1114,6822,5452,16890,2203,33518
510,322,1235,281,593,96,2735,220,216,1047,531,611,135,2756,9,5,67,44,123,19,268,31,16,97,139,849,77,1199,37,14,154,146,690,196,1241,1208,899,6186,4352,16482,1528,30650
511,417,1602,442,818,123,3635,221,203,1205,792,1023,194,3641,20,7,93,55,149,18,336,31,14,85,165,1212,56,1562,16,4,95,129,645,231,1120,1052,973,6038,4675,16776,1785,31299
597,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,28,3,47,9,3,34,54,144,10,250
599,8,28,5,5,0,57,12,5,30,9,22,0,86,0,0,10,3,4,0,20,0,0,4,0,29,0,29,3,3,17,4,42,16,86,69,20,301,133,590,58,1169
601,736,3679,824,1171,153,8560,1154,778,4053,2007,3424,405,11811,177,88,509,185,430,43,1423,139,69,376,333,1685,87,2690,101,23,302,160,760,296,1644,6428,3296,18658,9334,25019,2492,65228
602,281,2201,490,808,124,4603,520,386,2269,1258,2105,260,6799,29,20,137,98,244,29,552,39,16,126,167,1132,52,1524,29,8,141,116,548,229,1069,1990,1195,8630,5238,16688,1798,35540
603,77,342,114,195,26,893,95,48,320,277,449,65,1248,27,7,58,46,105,7,251,4,3,34,29,266,25,369,12,4,30,33,159,95,332,499,286,1792,1403,4373,584,8938
604,207,1417,405,655,60,2988,219,218,1114,1053,1754,207,4575,5,4,36,41,128,12,226,21,12,71,139,1005,34,1281,6,5,69,90,476,166,817,839,748,4586,3952,14662,1448,26238
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,23,0,30
699,0,4,0,3,0,8,0,0,6,9,3,3,26,0,0,4,0,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,3,10,12,3,40,30,58,7,149
701,616,1868,542,865,103,4832,669,384,2323,937,1098,172,5585,80,28,235,170,310,39,859,82,32,236,215,1082,79,1729,85,33,302,229,924,361,1941,3985,2146,12790,7523,20076,2201,48723
702,299,1127,299,618,146,2858,342,255,1150,611,849,218,3425,33,20,120,44,152,38,408,49,34,152,107,603,110,1049,25,18,114,67,327,255,819,1399,945,4794,3030,8174,1487,19827
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,0,4,0,6,3,18
799,6,9,0,9,0,24,4,6,21,7,5,0,46,0,0,4,0,3,0,10,0,0,0,0,0,0,7,0,0,3,0,13,5,23,31,16,90,52,175,24,387
801,1839,6640,1542,1698,220,16787,2769,1220,7111,2955,3107,488,17653,338,162,895,316,513,57,2293,429,150,986,718,2114,122,4528,431,89,934,449,888,479,3269,27619,10453,54226,21811,31984,3792,149895
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,3,7,0,3,0,14,3,0,5,4,8,0,18,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,4,22,5,50,16,33,5,139
901,18,52,18,26,11,130,8,5,24,21,24,3,84,0,0,18,8,25,3,48,0,0,4,6,37,0,43,0,0,3,10,25,16,51,63,46,259,220,630,124,1335
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
999,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8
