SOS_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOS27,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,157,257,492,309,249,168,109,24,11,1774,157,257,492,309,249,168,109,24,11,1774,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS30,..,3058,68363,116808,115462,99922,79877,37894,9164,530551,..,15424,47142,28094,20311,11611,5412,1294,219,129497,..,468,2052,5690,8264,4995,2104,1162,777,25514,300059,..,..,..,..,..,..,..,..,300059,..,72427,..,..,..,..,..,..,..,72427,..,56175,27087,10737,6388,2697,395,15,0,103482,..,11400,7806,2989,2866,3118,2407,1441,767,32810,..,9465,9383,3745,2696,1657,746,238,54,27990,..,23541,26941,8848,7054,6059,3661,1329,308,77750,..,5727,17009,18411,21232,21030,17785,9953,4907,116057,4966,7099,7103,4491,3462,2707,2064,923,279,33091,305026,204789,212883,199813,187732,153803,114465,54245,16472,1449231,..,6498,90748,127551,119402,97670,69807,26610,4312,542604,..,22974,48958,27055,19375,10101,3736,723,98,133026,..,4923,18825,32032,32069,14727,6739,4865,3204,117381,284352,..,..,..,..,..,..,..,..,284352,..,73625,..,..,..,..,..,..,..,73625,..,39344,16896,5223,3715,2391,535,18,0,68126,..,9883,5571,1965,3597,6526,6312,4611,2732,41187,..,9154,6473,1754,1450,977,407,144,61,20409
SOS31,..,897,15568,24578,26589,27393,25319,13309,2830,136479,..,4980,10675,6725,5577,3595,1815,527,70,33957,..,154,771,1741,2190,1204,591,359,210,7219,82992,..,..,..,..,..,..,..,..,82992,..,14154,..,..,..,..,..,..,..,14154,..,15295,5547,2723,1930,822,105,5,0,26425,..,2470,1413,710,886,1027,718,439,196,7868,..,1655,1432,765,645,377,187,64,15,5141,..,2863,3233,1487,1733,1688,1208,477,58,12744,..,1784,4316,4572,6605,7908,6962,4028,1624,37805,1638,2253,2013,1348,1288,1215,1022,458,108,11353,84624,46498,44969,44659,47449,45233,37931,19674,5120,376143,..,1891,21080,27703,28986,28364,22888,9295,1313,141523,..,7355,11259,6747,5618,3246,1442,339,31,36044,..,2350,6795,9100,7485,3011,1562,1467,788,32556,78976,..,..,..,..,..,..,..,..,78976,..,14001,..,..,..,..,..,..,..,14001,..,9560,2690,1159,969,608,127,4,0,15122,..,1908,680,411,935,1610,1466,1083,604,8701,..,1575,712,264,316,203,102,38,18,3231
SOS32,..,115,1716,3471,4630,5513,5254,2109,398,23201,..,606,1576,1303,1311,938,503,119,8,6369,..,28,121,268,360,213,112,73,36,1217,13027,..,..,..,..,..,..,..,..,13027,..,2044,..,..,..,..,..,..,..,2044,..,2521,925,508,379,114,22,0,0,4469,..,470,255,188,226,237,166,87,34,1660,..,188,166,89,112,92,56,20,3,733,..,192,222,201,314,370,264,102,17,1686,..,213,529,733,1355,1831,1853,862,251,7631,300,341,283,250,262,308,274,110,42,2173,13328,6720,5797,7015,8949,9629,8492,3485,786,64213,..,200,2489,4167,5240,5871,4525,1344,141,23973,..,927,1698,1443,1305,899,385,56,5,6719,..,388,995,1237,1043,456,306,225,120,4772,12295,..,..,..,..,..,..,..,..,12295,..,2045,..,..,..,..,..,..,..,2045,..,1574,494,177,185,91,25,3,0,2552,..,364,147,87,190,270,285,189,106,1644,..,201,72,53,64,53,27,7,0,485
SOS33,..,320,5813,13147,18789,20042,16247,6168,1006,81526,..,1179,3260,3276,3613,2680,1261,251,23,15541,..,47,219,638,970,627,355,257,112,3236,38017,..,..,..,..,..,..,..,..,38017,..,7775,..,..,..,..,..,..,..,7775,..,8231,3283,1675,1116,415,59,3,0,14790,..,781,369,272,371,531,554,349,202,3431,..,746,521,378,435,376,257,85,22,2807,..,517,613,525,811,963,703,219,34,4384,..,501,1184,1666,3366,4528,4001,1813,495,17561,638,958,836,714,748,864,697,181,43,5676,38656,21059,16102,22280,30225,31022,24137,9319,1946,194743,..,621,8295,16179,20989,20061,13618,3776,405,83940,..,1851,3759,3495,3791,2391,842,132,15,16271,..,459,1535,2384,2396,1064,690,565,302,9402,35521,..,..,..,..,..,..,..,..,35521,..,7895,..,..,..,..,..,..,..,7895,..,5171,1667,643,505,248,46,6,0,8278,..,555,197,121,265,662,840,628,431,3706,..,738,376,169,218,175,111,39,10,1837
SOS37,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS39,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,206,357,560,418,346,380,335,77,3,2677,206,357,560,418,346,380,335,77,3,2677,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS40,..,936,24394,40355,40656,38620,32106,17494,4916,199474,..,3684,14094,8524,6968,4561,1964,504,96,40391,..,140,670,2045,3319,2229,781,516,352,10052,97603,..,..,..,..,..,..,..,..,97603,..,29342,..,..,..,..,..,..,..,29342,..,19673,12775,4457,2929,1203,146,3,0,41191,..,4087,2769,1024,1003,1046,681,365,235,11217,..,2580,2396,913,655,400,164,32,6,7156,..,7462,8426,2687,2428,1832,1003,337,102,24260,..,2172,7534,8367,10852,10557,7871,4692,2739,54793,1568,2244,2638,1629,1325,931,722,335,138,11522,99164,72334,75692,69995,70132,61374,45439,24281,8587,527006,..,2275,32896,42482,41879,38495,29398,12886,2378,202697,..,5668,14778,8299,6933,4100,1484,317,55,41632,..,1503,6441,10732,12340,6492,2595,2144,1348,43595,92548,..,..,..,..,..,..,..,..,92548,..,29677,..,..,..,..,..,..,..,29677,..,13493,7620,1876,1491,874,188,8,0,25539,..,3496,1921,612,1064,2092,1635,1271,809,12904,..,2391,1579,384,283,175,69,25,4,4914
SOS41,..,255,4982,8405,10078,11037,10960,6082,1534,53335,..,1419,3615,2325,2199,1429,684,207,45,11924,..,42,239,625,894,496,179,119,69,2661,26867,..,..,..,..,..,..,..,..,26867,..,6094,..,..,..,..,..,..,..,6094,..,5497,2166,880,635,233,44,0,0,9461,..,692,381,201,204,230,138,78,57,1972,..,406,333,177,170,97,38,13,5,1233,..,887,929,448,473,441,255,106,26,3564,..,731,1898,2020,3067,3517,2688,1767,879,16571,595,703,665,442,414,403,431,197,50,3898,27460,16719,15210,15529,18131,17880,15416,8568,2666,137578,..,519,6684,9454,10802,11312,10273,4529,718,54288,..,2218,3658,2445,2166,1287,552,134,35,12498,..,600,2095,3110,3054,1261,532,454,278,11374,25770,..,..,..,..,..,..,..,..,25770,..,6185,..,..,..,..,..,..,..,6185,..,3324,1010,305,290,215,45,3,0,5191,..,554,205,80,229,360,365,273,156,2216,..,380,196,70,65,47,20,3,3,786
SOS42,..,64,799,1353,1801,2238,2043,1040,229,9575,..,183,552,406,440,327,181,39,6,2147,..,9,37,107,126,89,33,26,7,426,4402,..,..,..,..,..,..,..,..,4402,..,877,..,..,..,..,..,..,..,877,..,825,356,125,106,51,7,0,0,1468,..,147,91,42,60,48,47,7,16,453,..,67,46,29,22,18,15,0,0,200,..,85,89,60,79,91,67,23,4,490,..,115,317,341,635,827,702,377,150,3453,78,122,91,96,95,134,101,41,6,773,4477,2497,2378,2556,3371,3820,3193,1558,421,24261,..,119,1068,1564,2014,2301,1849,735,115,9766,..,286,601,435,425,324,127,30,0,2223,..,61,266,418,420,143,76,63,44,1499,4147,..,..,..,..,..,..,..,..,4147,..,954,..,..,..,..,..,..,..,954,..,510,157,47,44,26,8,0,0,800,..,102,33,36,43,67,47,37,30,395,..,56,20,3,13,11,4,0,4,105
SOS43,..,98,1834,4449,6716,7442,5696,2032,367,28637,..,290,1048,1054,1282,1009,428,69,10,5194,..,11,51,183,381,231,98,53,38,1048,12328,..,..,..,..,..,..,..,..,12328,..,3023,..,..,..,..,..,..,..,3023,..,2828,1157,421,296,123,13,0,0,4844,..,223,117,79,109,128,101,63,34,853,..,142,111,63,83,57,30,10,0,503,..,164,170,129,196,246,132,49,9,1091,..,217,542,735,1490,1897,1479,599,182,7137,211,317,250,222,249,315,223,62,19,1864,12539,7317,5277,7322,10807,11464,8202,2937,665,66514,..,174,2618,5355,7274,7352,4869,1325,154,29132,..,482,1128,1128,1353,919,299,38,6,5358,..,90,363,584,724,311,152,151,107,2472,11487,..,..,..,..,..,..,..,..,11487,..,3105,..,..,..,..,..,..,..,3105,..,1634,603,162,126,80,16,0,0,2625,..,177,65,21,71,140,155,110,89,818,..,137,53,36,37,34,10,8,3,328
SOS47,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS49,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,58,129,207,136,103,87,56,9,0,795,58,129,207,136,103,87,56,9,0,795,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS50,..,1535,43552,72253,70756,59759,45925,22919,5684,322382,..,6474,27231,14436,10862,6349,2768,701,126,68948,..,187,856,2542,4338,2841,1177,591,351,12883,172292,..,..,..,..,..,..,..,..,172292,..,46516,..,..,..,..,..,..,..,46516,..,32902,17832,5748,3316,1357,175,7,0,61329,..,7402,5544,1620,1426,1479,971,594,335,19366,..,4086,5619,1874,1167,623,214,67,20,13665,..,9433,14963,4767,3356,2484,1386,511,131,37037,..,3317,11967,11324,12698,12491,9897,5677,2801,70177,2189,3080,3699,2137,1606,1210,941,507,167,15531,174481,114930,131265,116703,109533,88585,63444,31578,9616,840127,..,3981,60404,79394,73230,59147,39710,16563,2615,335041,..,10667,29348,14374,10634,5563,2011,437,65,73094,..,2220,9061,15126,17015,8689,3417,2444,1536,59507,163622,..,..,..,..,..,..,..,..,163622,..,47084,..,..,..,..,..,..,..,47084,..,22806,10808,2566,1675,1071,250,11,0,39188,..,6078,3649,1026,1705,3252,2882,2128,1278,22004,..,3610,3508,762,527,346,122,44,22,8937
SOS51,..,292,6729,11588,11569,10546,8318,4076,1015,54129,..,1957,5525,3553,2818,1742,641,184,29,16444,..,64,233,673,913,441,198,113,57,2692,36051,..,..,..,..,..,..,..,..,36051,..,5832,..,..,..,..,..,..,..,5832,..,6173,1994,817,530,183,35,5,0,9729,..,1107,622,285,302,292,201,108,52,2964,..,623,611,271,195,136,63,18,3,1913,..,1204,1585,631,660,522,254,94,22,4979,..,780,2257,2183,3072,3355,2427,1254,530,15856,765,766,903,638,541,528,384,152,47,4725,36816,18790,20455,20630,20606,17733,12519,5993,1763,155316,..,668,9665,13009,12133,10586,7290,2907,449,56706,..,3023,5988,3615,2808,1500,501,130,17,17583,..,724,2441,3458,3011,1203,516,364,214,11919,34333,..,..,..,..,..,..,..,..,34333,..,5816,..,..,..,..,..,..,..,5816,..,3940,1071,365,231,182,32,0,0,5823,..,872,313,163,339,473,399,304,172,3037,..,596,368,122,99,63,18,12,10,1281
SOS52,..,102,962,1502,1832,2041,1805,849,176,9265,..,247,825,622,610,467,194,37,5,3012,..,15,46,103,159,120,54,15,15,526,5981,..,..,..,..,..,..,..,..,5981,..,780,..,..,..,..,..,..,..,780,..,1060,474,219,141,40,8,0,0,1942,..,348,172,111,98,80,81,32,14,935,..,87,70,43,29,31,14,3,0,277,..,89,136,91,128,122,84,16,5,669,..,124,334,386,695,877,712,341,103,3575,147,153,167,129,122,130,103,48,10,1005,6131,3007,3185,3205,3810,3914,3045,1351,329,27970,..,173,1310,1709,2057,2130,1540,577,83,9571,..,403,949,662,641,399,121,30,0,3206,..,161,490,530,514,250,118,96,36,2200,5728,..,..,..,..,..,..,..,..,5728,..,786,..,..,..,..,..,..,..,786,..,730,213,87,58,33,0,0,0,1126,..,251,105,64,121,158,111,62,34,915,..,80,37,22,22,10,9,0,3,183
SOS53,..,90,1840,4475,6743,6994,5381,1913,324,27762,..,344,1208,1202,1420,993,447,82,15,5708,..,16,56,164,348,209,85,61,33,971,13000,..,..,..,..,..,..,..,..,13000,..,2490,..,..,..,..,..,..,..,2490,..,2813,1065,457,257,93,12,0,0,4706,..,349,203,97,107,164,148,91,45,1204,..,168,151,106,91,94,49,21,0,670,..,134,220,143,193,211,143,48,5,1103,..,245,537,658,1257,1602,1320,496,137,6271,221,300,341,272,299,324,243,66,14,2087,13223,6956,5609,7577,10711,10686,7836,2783,581,65963,..,187,2736,5628,7406,7067,4422,1163,121,28743,..,544,1463,1346,1443,920,271,55,4,6049,..,117,443,634,732,331,169,127,89,2646,11994,..,..,..,..,..,..,..,..,11994,..,2567,..,..,..,..,..,..,..,2567,..,1649,573,178,101,65,8,0,0,2567,..,240,103,61,103,165,192,189,87,1150,..,183,109,54,66,39,22,11,4,480
SOS57,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,88,141,268,188,178,141,98,17,6,1114,88,141,268,188,178,141,98,17,6,1114,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS60,..,119,2874,4972,5525,5731,4760,2576,685,27245,..,795,2562,1617,1381,889,400,102,16,7756,..,21,136,362,594,313,131,66,50,1677,15091,..,..,..,..,..,..,..,..,15091,..,4102,..,..,..,..,..,..,..,4102,..,2563,1465,565,375,204,21,0,0,5188,..,497,276,126,120,167,110,74,25,1402,..,366,312,108,85,44,29,10,0,944,..,1272,1364,372,276,294,156,67,12,3819,..,399,1151,1220,1567,1791,1334,806,443,8708,300,419,437,258,203,203,168,80,22,2086,15393,10560,10577,9602,10129,9634,7102,3781,1246,78021,..,234,3760,5577,5684,5827,4322,1837,317,27553,..,1177,2644,1642,1328,779,285,48,3,7916,..,401,1326,1909,1936,918,405,282,182,7355,14204,..,..,..,..,..,..,..,..,14204,..,3737,..,..,..,..,..,..,..,3737,..,1794,764,272,185,121,34,4,0,3164,..,389,195,64,130,280,245,201,117,1615,..,332,240,49,53,34,15,5,0,723
SOS61,..,217,3131,4963,6169,6905,6352,3380,815,31930,..,1073,2599,1658,1406,907,428,112,25,8204,..,35,177,427,581,281,127,99,46,1770,17050,..,..,..,..,..,..,..,..,17050,..,3918,..,..,..,..,..,..,..,3918,..,3503,1318,655,453,187,36,0,0,6153,..,533,239,97,159,138,132,64,16,1377,..,298,186,95,93,62,31,10,8,796,..,967,737,245,306,289,225,76,17,2867,..,594,1257,1378,2004,2181,1772,1148,513,10845,346,497,478,264,297,251,265,144,36,2576,17395,11638,10117,9784,11463,11215,9365,5041,1474,87489,..,388,4036,5693,6685,7025,5727,2429,384,32363,..,1593,2625,1666,1389,734,321,78,6,8417,..,549,1717,2297,2172,789,417,359,225,8514,16487,..,..,..,..,..,..,..,..,16487,..,3913,..,..,..,..,..,..,..,3913,..,2199,670,277,247,180,29,0,0,3592,..,397,122,53,142,254,269,178,121,1534,..,269,111,40,38,29,13,5,0,506
SOS62,..,14,397,760,1012,1366,1281,577,99,5509,..,118,375,288,264,224,113,23,0,1410,..,8,25,49,69,42,29,11,10,241,2462,..,..,..,..,..,..,..,..,2462,..,527,..,..,..,..,..,..,..,527,..,483,174,105,64,33,8,0,0,862,..,53,25,8,13,22,19,19,8,166,..,32,25,20,14,8,4,0,0,99,..,55,45,35,42,68,61,19,3,330,..,48,145,180,357,472,381,201,83,1864,51,70,63,42,48,81,83,26,7,469,2515,1412,1266,1485,1877,2314,1971,878,208,13927,..,41,532,925,1152,1361,1129,389,38,5567,..,186,369,306,264,219,87,17,4,1453,..,48,177,257,232,110,54,45,18,941,2350,..,..,..,..,..,..,..,..,2350,..,481,..,..,..,..,..,..,..,481,..,288,102,29,33,16,3,0,0,473,..,28,14,10,16,30,30,20,13,157,..,33,18,3,11,10,0,0,0,77
SOS63,..,70,1231,2900,4306,5134,3962,1394,207,19210,..,262,874,965,1116,806,352,62,14,4457,..,9,52,154,271,205,87,59,24,854,8397,..,..,..,..,..,..,..,..,8397,..,1964,..,..,..,..,..,..,..,1964,..,1869,761,308,197,86,11,0,0,3228,..,143,73,38,70,96,66,62,23,565,..,105,73,47,39,37,26,13,3,345,..,81,119,86,171,171,131,30,12,798,..,125,328,492,963,1323,1025,451,123,4829,140,267,188,152,192,218,194,59,12,1406,8537,4899,3689,5144,7320,8071,5850,2121,421,46050,..,125,1770,3404,4864,5069,3265,832,102,19439,..,423,997,1040,1084,683,227,40,7,4498,..,95,336,523,533,269,120,129,66,2071,7812,..,..,..,..,..,..,..,..,7812,..,1960,..,..,..,..,..,..,..,1960,..,1096,369,142,111,64,13,0,0,1803,..,87,42,11,38,109,98,98,58,543,..,125,48,30,32,24,12,5,0,284
SOS67,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
