SOS_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOS27,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,42,145,420,264,195,140,24,3,0,1242,0,6,3,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,6,0,3,10,7,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,3,0,0,0,20,0,0,4,3,3,3,0,0,0,12,8,11,15,14,6,4,0,0,0,62,11,50,46,8,11,4,0,0,0,130,0,9,3,6,3,0,0,0,0,23,0,0,3,0,4,0,0,0,0,9,0,0,11,3,3,0,0,0,0,22,0,0,5,0,4,0,0,0,0,13,0,4,30,13,0,9,0,0,0,59,0,6,16,4,0,6,3,0,0,37,3,3,10,9,6,4,0,0,0,36,0,10,26,19,10,13,0,0,0,70,0,12,49,22,29,18,3,0,0,139,0,0,17,4,0,4,3,0,0,28,0,3,19,5,7,5,0,0,0,38
SOS30,40908,79489,185827,178795,163506,109419,28482,3086,330,789838,155,407,851,782,766,531,175,40,3,3709,19,152,1243,1132,667,304,34,3,3,3557,1273,1788,4884,5692,6302,3667,718,54,8,24379,33,165,965,1217,900,461,39,4,0,3776,387,1288,4269,4759,4405,2581,539,31,4,18267,392,1097,3149,3427,3476,1812,403,29,0,13784,13891,15690,17248,13704,14708,9854,2226,123,16,87465,18062,12725,13399,7878,6848,4112,824,63,17,63928,318,1353,4443,4630,4931,2877,615,56,3,19225,599,1182,2230,1835,1598,876,153,10,0,8483,293,1861,7486,7016,5396,2788,438,38,10,25319,536,1837,4060,3637,3812,2593,830,103,16,17415,1015,5327,14090,13179,9759,5316,1413,102,6,50213,645,2687,7401,6940,6869,4593,1009,70,8,30225,404,2528,11023,13498,12213,6677,877,40,4,47267,1987,5922,19285,25407,27046,17028,2855,183,17,99720,3071,13928,37633,35744,37853,27148,4846,220,10,160448,1416,2007,3015,2639,2231,1347,401,41,3,13102,1499,3452,7515,6216,5672,3301,830,47,5,28539
SOS31,10936,16681,39266,38969,39658,29728,7008,894,116,183256,132,505,1032,562,606,496,234,69,3,3640,55,294,1102,796,597,206,25,3,0,3071,415,441,1154,1222,1228,790,131,10,3,5388,14,73,320,283,237,116,14,3,0,1062,90,256,843,905,997,644,128,13,3,3875,120,230,553,579,606,356,52,4,4,2496,3944,2751,4032,4182,4579,2964,569,46,4,23068,4071,2373,3023,2423,2426,1562,305,23,5,16209,72,279,801,921,1104,751,186,21,3,4126,97,204,247,196,206,137,36,3,4,1122,72,288,883,800,792,392,45,12,0,3279,150,342,609,652,687,524,133,28,5,3131,230,609,1734,1634,1455,911,225,12,3,6814,190,442,1269,1407,1667,1122,249,35,0,6384,113,497,2063,2415,2424,1424,178,8,0,9126,362,1399,4602,6408,6570,3987,583,35,5,23939,800,2771,7154,7518,9492,7477,1128,47,4,36394,200,184,369,377,345,221,58,14,0,1764,467,786,1535,1414,1314,856,201,24,0,6595
SOS32,1528,2090,4676,5849,7040,6069,1602,214,33,29101,45,86,169,160,206,220,92,25,3,1008,5,26,75,68,71,29,7,0,0,284,36,65,119,153,217,146,34,0,4,761,0,10,24,31,41,27,0,0,0,129,20,30,118,158,203,110,16,0,0,663,15,18,61,72,103,76,15,0,0,355,495,310,458,578,758,554,113,12,0,3276,504,239,377,371,489,370,79,4,0,2430,18,19,111,160,224,157,44,7,0,736,6,15,29,40,41,26,11,0,0,167,11,32,94,125,110,61,7,3,0,443,16,30,62,66,90,90,23,4,0,388,28,77,184,266,232,181,48,0,0,997,22,55,129,255,278,207,48,0,0,994,35,96,363,469,542,309,40,3,0,1856,64,223,676,993,1078,802,111,13,0,3957,103,274,708,1035,1491,1385,211,11,0,5224,30,23,43,61,82,71,20,3,0,333,70,104,170,226,228,161,38,5,0,996
SOS33,5791,7242,14859,20260,26321,21935,7588,1756,248,106008,333,577,1403,1926,2557,2550,1720,454,55,11572,9,61,241,223,246,104,12,0,0,897,199,222,447,661,954,613,127,13,0,3240,4,14,79,126,131,80,13,0,0,455,82,128,502,758,832,471,103,10,0,2888,59,100,222,372,442,258,55,6,0,1509,1707,978,1179,1679,2228,1478,265,19,3,9531,1662,757,841,899,1075,748,183,14,0,6179,49,111,319,497,724,485,128,19,0,2331,45,63,70,122,122,82,30,0,0,533,42,120,345,393,473,232,31,4,0,1633,64,111,221,293,394,295,97,11,0,1485,173,363,838,1148,1190,704,165,17,0,4597,76,180,390,687,937,681,157,15,5,3131,63,191,648,1104,1296,774,108,8,0,4191,193,463,1561,3069,3888,2681,400,25,0,12276,399,911,1943,2980,4644,3664,617,29,3,15196,112,116,171,236,284,151,52,4,0,1126,223,324,516,707,747,444,110,6,0,3078
SOS37,3,3,3,9,8,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,52,223,564,324,310,212,59,3,0,1743,10,85,93,3,3,20,3,0,0,216,0,0,4,3,10,3,0,0,0,19,3,3,16,5,6,3,0,0,0,37,0,0,0,0,3,0,0,0,0,3,0,3,4,0,6,3,0,0,0,23,0,3,7,0,0,3,0,0,0,12,5,20,23,9,16,20,0,0,0,89,21,56,85,15,20,27,3,0,0,230,0,3,3,3,10,10,0,0,0,28,3,0,6,0,3,0,0,0,0,9,0,0,0,7,0,3,0,0,0,17,0,0,4,0,3,6,0,0,0,16,0,6,23,8,7,14,0,0,0,63,0,19,28,7,17,15,0,0,0,85,3,6,16,10,13,9,3,0,0,56,0,3,30,23,12,14,3,0,0,88,0,14,55,28,39,38,8,0,0,171,0,7,15,7,3,4,0,0,0,33,3,10,15,9,5,12,0,0,0,50
SOS40,11172,25294,62695,59604,57787,41766,10550,1234,155,270266,43,100,236,306,332,190,87,16,0,1308,3,33,256,205,178,73,19,0,0,766,530,704,1983,2279,2627,1661,308,19,6,10116,5,88,560,487,401,186,23,3,0,1760,102,407,1128,1148,1237,819,219,23,4,5094,92,299,953,1060,1183,702,155,12,0,4456,4897,5937,6168,4552,5455,3508,725,60,5,31293,5080,4466,3935,2213,1966,1158,249,17,4,19088,59,323,956,1001,1150,692,133,13,0,4317,170,336,916,653,500,336,97,8,0,3010,66,541,2526,2565,2416,1334,192,14,5,9668,81,339,886,757,831,620,203,30,3,3746,180,1170,4086,3880,3151,1979,515,46,0,15008,146,725,2299,2202,2589,1827,426,29,5,10232,77,758,4297,5187,4986,3360,408,12,0,19082,521,1891,6464,7240,8043,6342,1186,83,6,31769,618,4662,14769,13613,15538,12419,2088,86,14,63817,420,606,829,712,655,445,133,19,0,3820,352,1119,2406,1984,2130,1432,363,27,0,9814
SOS41,3575,5909,13004,13350,14988,12069,3185,477,77,66648,40,121,229,225,265,267,154,44,3,1345,3,34,142,104,103,44,7,3,0,431,249,282,623,732,792,494,86,7,3,3266,0,14,44,51,73,35,8,0,0,227,29,74,221,283,313,207,68,5,0,1203,37,80,194,224,260,145,28,4,0,974,1372,1159,1493,1546,1891,1293,239,18,0,9008,1521,944,936,803,933,609,124,7,0,5871,20,62,154,201,291,221,75,12,0,1029,34,68,117,104,88,75,15,3,0,509,28,91,362,379,387,201,34,3,0,1482,25,84,184,205,252,146,31,11,0,936,37,172,510,566,571,358,101,11,0,2331,38,154,448,507,756,515,123,12,0,2553,31,150,710,1002,1077,607,87,4,3,3668,79,440,1611,1969,2087,1668,286,20,3,8167,213,1019,2559,2885,4041,3524,541,18,3,14801,51,96,125,141,115,85,36,9,0,654,102,234,471,462,454,331,94,12,0,2157
SOS42,539,877,2023,2137,2742,2527,756,129,19,11738,8,49,82,81,110,111,64,26,0,543,0,0,7,8,19,12,0,0,0,55,27,36,85,95,156,97,19,3,0,515,5,0,7,5,14,8,0,0,0,38,5,13,36,43,64,51,10,0,0,222,12,15,34,49,52,37,3,0,0,206,183,125,199,252,295,257,35,3,0,1349,191,130,135,166,221,136,40,0,0,1020,0,12,33,41,76,66,17,3,0,248,4,3,8,11,11,14,0,0,0,56,7,13,46,59,60,30,5,0,0,223,0,11,18,27,32,11,3,0,0,111,9,14,67,96,72,72,19,4,0,349,8,26,85,87,126,92,22,0,0,444,8,26,94,125,131,95,17,0,0,490,21,78,282,321,369,311,61,5,0,1450,29,115,347,410,695,636,89,9,3,2342,10,13,13,28,22,26,12,0,0,122,13,27,80,85,70,53,12,3,3,335
SOS43,1792,2602,4938,6814,9679,8756,3096,608,113,38398,101,161,493,844,1176,1218,752,195,28,4967,0,4,32,33,30,22,4,0,0,122,121,123,187,355,463,339,80,11,3,1681,0,7,15,29,33,33,3,0,0,122,18,27,106,170,242,154,37,3,0,758,12,33,91,108,146,91,27,0,0,511,516,336,425,524,850,502,110,3,4,3270,561,266,279,289,390,321,63,8,3,2176,9,39,58,121,236,182,46,3,0,701,6,23,34,29,37,25,10,0,0,166,11,42,109,170,141,85,17,0,0,576,18,19,45,91,93,74,26,3,0,370,23,92,232,324,366,260,62,5,0,1361,29,38,133,199,321,230,50,6,0,1001,9,48,218,430,495,282,46,3,0,1531,43,177,484,893,1137,977,183,7,5,3902,99,325,712,1080,1836,1690,220,9,3,5974,30,46,48,61,102,59,13,3,0,365,49,92,116,202,249,141,38,4,0,890
SOS47,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,13,52,160,87,76,62,14,0,0,465,3,15,17,3,3,0,0,0,0,40,0,0,0,0,0,3,0,0,0,3,0,0,11,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,3,3,0,6,4,0,0,0,23,5,4,8,5,4,3,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,3,4,3,0,0,0,0,0,15,0,0,3,3,5,7,0,0,0,17,0,0,5,7,6,4,0,0,0,19,0,0,12,6,16,13,0,0,0,51,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,3
SOS50,20813,43547,116825,106040,97042,66169,17985,2087,215,470715,51,172,464,424,489,330,155,34,0,2123,34,503,3396,2604,1805,700,78,4,3,9132,799,1018,2917,3039,3055,1858,325,35,3,13051,5,139,879,785,661,334,41,3,4,2852,204,953,3722,3290,2816,1595,326,22,0,12926,164,650,1895,1736,1871,1125,226,20,0,7685,7759,9200,9975,7894,8857,5716,1200,87,4,50689,8270,6460,7262,3757,3133,1833,324,33,3,31076,189,857,2374,2142,2266,1491,287,23,0,9630,297,500,1006,752,623,400,120,17,0,3717,106,898,3894,3318,2971,1599,263,29,4,13075,185,832,2153,1803,1916,1324,432,55,3,8706,324,2250,8507,6992,5636,3012,813,70,9,27618,265,1325,4007,3586,3358,2244,531,38,3,15354,191,1324,6290,6578,6909,4627,747,30,11,26702,1032,3174,10490,13620,15952,10910,1971,129,12,57291,1266,7218,21169,19008,20003,15689,3184,160,18,87715,783,1175,1821,1479,1250,797,227,23,3,7562,865,2052,4763,3415,3329,1952,446,47,8,16869
SOS51,4448,6882,18916,19184,18641,13560,3406,435,60,85540,50,97,241,194,210,178,98,35,0,1105,24,191,893,702,480,187,21,0,0,2489,168,173,545,477,414,273,50,0,0,2107,3,28,106,95,96,53,3,0,0,390,26,152,514,532,500,301,61,4,0,2090,47,102,222,217,227,107,23,6,0,955,1829,1086,1907,1932,2216,1460,234,13,3,10687,1367,899,1554,1238,1171,738,148,16,3,7120,37,152,402,396,524,371,88,9,0,1975,60,70,117,104,93,60,9,0,0,513,43,130,442,318,322,150,22,3,0,1430,57,219,320,338,348,223,59,8,0,1576,63,189,642,664,621,401,100,9,0,2693,70,225,646,736,777,488,115,11,0,3067,77,269,1036,1211,1190,737,105,10,3,4636,108,455,1949,2998,3031,1920,314,23,3,10798,309,957,2884,3269,3589,3083,522,24,5,14656,90,96,236,233,197,145,39,7,0,1033,205,394,716,665,596,364,85,8,0,3035
SOS52,542,913,2549,2675,3210,2734,859,135,14,13639,21,45,116,77,101,70,44,20,0,488,4,14,94,106,120,49,7,0,0,400,22,21,55,66,101,55,8,0,0,332,0,0,11,13,14,7,0,0,0,47,14,25,48,60,63,46,4,0,0,263,9,27,37,38,47,30,3,0,0,184,123,93,201,223,329,230,41,3,0,1247,135,111,201,165,201,163,43,3,0,1028,3,12,42,86,109,98,31,0,0,380,0,5,14,10,15,13,4,0,0,57,8,16,50,44,45,33,0,0,0,192,3,7,33,29,26,24,7,0,0,135,7,20,68,80,86,62,15,0,0,342,7,22,62,86,127,92,27,6,0,433,19,40,182,222,243,190,41,0,0,940,23,130,362,425,507,380,68,5,0,1898,33,117,329,325,506,498,114,8,0,1936,7,19,32,32,36,23,9,0,0,158,22,54,87,70,80,65,14,0,0,400
SOS53,1822,2980,8359,9590,12023,9319,3365,714,101,48266,88,181,564,896,1180,1216,783,177,22,5104,13,81,431,265,329,128,7,0,0,1259,78,51,174,223,276,218,50,6,0,1084,0,10,32,31,48,25,0,0,0,151,21,57,242,282,334,229,38,4,0,1205,19,39,97,91,147,74,17,0,0,489,496,310,341,518,782,525,101,11,0,3076,403,249,369,313,456,329,82,13,0,2212,20,48,103,185,249,229,61,3,3,902,11,13,29,28,33,25,10,0,0,149,12,32,92,120,134,73,3,0,0,480,12,43,60,102,141,104,34,0,0,498,38,76,272,405,363,274,66,8,0,1503,25,58,160,204,350,274,54,5,3,1132,34,109,265,415,556,388,58,3,0,1836,66,163,522,1052,1447,1032,161,8,0,4454,101,288,561,815,1295,1195,211,13,0,4482,48,53,76,98,119,113,18,0,0,524,72,100,183,234,289,170,37,3,0,1081
SOS57,0,11,91,97,73,33,4,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,6,101,376,230,211,157,34,0,0,1128,0,15,25,5,3,4,0,0,0,49,0,3,9,14,5,3,0,0,0,39,0,3,12,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,4,5,0,6,0,0,0,17,0,0,5,0,0,0,0,0,0,4,5,12,16,10,12,10,0,0,0,62,4,26,52,14,17,24,0,0,0,136,0,0,13,9,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,12,7,7,4,0,0,0,38,0,10,15,6,9,10,0,0,0,53,0,0,8,0,0,9,0,0,0,17,0,4,5,10,9,10,3,0,0,41,0,9,21,9,14,15,0,0,0,67,0,0,9,0,3,0,0,0,0,20,0,0,8,3,0,3,0,0,0,15
SOS60,1845,3581,8590,8224,8494,6480,1626,207,31,39080,3,13,60,56,71,49,8,0,0,265,0,0,0,4,7,0,0,0,0,14,97,102,160,181,196,159,33,4,0,929,0,18,115,141,103,45,3,0,0,426,10,36,97,142,129,102,27,0,0,537,22,32,73,66,107,70,6,4,0,382,718,858,938,752,794,523,128,8,0,4725,823,773,792,429,382,242,58,3,0,3502,21,51,116,147,161,111,24,0,0,630,46,83,190,126,125,74,14,3,0,665,17,76,344,328,240,154,18,0,0,1176,8,61,105,105,114,92,33,7,0,515,36,106,505,511,467,308,84,8,0,2025,29,100,261,270,270,251,51,11,0,1243,36,148,935,1304,1296,780,93,3,0,4597,52,246,987,1330,1500,1191,186,14,0,5502,114,698,1904,1887,2275,1943,311,16,6,9158,71,101,184,190,158,114,23,10,0,859,52,139,334,333,297,184,68,10,0,1418
SOS61,2239,3970,8341,8041,9128,7281,1662,225,31,40922,23,57,141,153,173,107,24,7,0,682,0,0,21,20,18,12,4,0,0,68,124,169,248,329,423,289,29,0,0,1614,0,19,71,63,52,29,3,0,0,245,7,41,106,141,147,111,24,0,0,585,22,40,88,127,149,97,17,0,0,541,908,799,1045,1017,1183,750,140,12,0,5849,993,704,707,545,597,363,77,0,0,3987,26,44,115,159,233,190,44,6,0,816,20,38,91,72,82,71,3,0,0,383,24,101,298,267,225,142,14,3,0,1081,24,73,130,110,140,78,19,3,0,571,42,146,357,360,310,214,53,3,0,1485,34,100,265,305,389,252,65,6,0,1413,18,105,493,642,706,499,54,0,0,2513,45,212,871,1312,1491,1053,176,14,0,5166,152,744,1799,1814,2649,2278,320,15,0,9771,66,81,99,95,122,76,19,0,0,551,83,204,348,324,324,202,51,8,0,1544
SOS62,294,453,1094,1246,1537,1414,360,64,7,6471,4,18,19,43,48,37,20,0,0,192,0,6,9,7,14,3,3,0,0,39,25,23,41,45,71,42,6,0,0,256,0,0,12,8,9,4,0,0,0,28,0,7,12,12,18,25,11,0,0,78,6,3,18,19,16,15,0,0,0,75,98,75,102,143,174,119,26,3,0,750,101,70,128,130,149,106,30,3,0,708,3,7,20,29,39,45,12,0,0,152,0,7,11,11,11,17,0,0,0,64,0,11,34,30,25,25,3,0,0,130,3,8,11,16,14,20,9,0,0,82,7,13,50,55,53,38,22,0,0,241,3,11,36,50,67,60,7,0,0,232,3,13,67,123,106,102,15,0,0,426,4,25,112,202,223,193,20,0,0,786,25,76,168,211,343,326,62,7,0,1213,7,12,15,19,20,21,7,0,0,99,5,20,55,36,57,27,7,0,0,201
SOS63,1134,1596,3188,4530,6099,5302,1634,294,44,23827,60,91,246,327,427,419,216,63,4,1854,0,3,8,7,18,12,0,0,0,59,70,66,135,189,257,184,23,6,0,930,0,3,27,42,53,24,0,0,0,154,10,22,53,109,119,83,16,0,0,413,10,21,52,63,84,52,10,0,0,288,399,254,296,435,531,359,52,9,0,2333,384,196,228,268,327,249,66,5,0,1722,3,15,55,103,144,107,37,3,0,465,13,8,38,27,40,44,8,0,0,173,3,23,86,105,105,69,7,0,0,397,7,21,36,54,89,61,12,5,0,291,18,49,161,218,240,179,44,0,3,904,17,32,85,135,217,147,28,8,0,671,13,48,214,383,503,310,33,0,0,1504,18,63,320,661,837,638,101,5,0,2641,57,186,549,772,1351,1124,152,5,0,4191,42,41,67,81,75,89,19,0,0,415,48,86,123,150,165,109,20,0,0,704
SOS67,0,4,12,3,14,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
