SOS_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,10898,1422,363,8,14,12708,4110,580,137,9,12,4838,3679,455,119,4,8,4264,6453,866,255,12,6,7587,8381,1144,325,13,15,9866,25187,3702,1254,23,41,30207,33054,5395,1650,38,57,40197,59235,7793,1973,45,92,69141,34645,3575,867,18,65,39174,27013,2849,689,23,58,30636,17670,1723,459,19,51,19917,8766,954,242,7,16,9989,239091,30444,8332,227,433,278529
SOS51,1570,59,9,5,10,1654,897,31,6,4,3,942,808,36,3,3,4,863,1559,55,11,12,4,1645,2067,93,11,9,8,2190,6109,275,23,21,14,6448,7270,256,31,16,11,7579,9790,226,38,21,20,10095,4149,84,18,14,17,4277,2866,66,16,14,7,2964,1426,39,10,14,3,1484,1578,46,6,3,3,1641,40087,1267,173,139,114,41781
SOS52,373,0,0,10,3,382,317,0,3,5,3,328,294,8,0,0,0,302,521,0,0,4,3,533,553,3,0,6,0,568,1087,10,0,12,6,1113,945,0,0,5,3,963,1098,3,0,7,4,1115,497,0,3,0,5,503,463,0,0,3,8,473,197,0,0,4,4,208,274,0,0,8,4,287,6609,30,10,57,50,6758
SOS53,1322,0,0,19,21,1366,422,0,0,8,7,431,335,0,0,14,3,348,554,0,0,14,0,566,729,0,0,15,5,753,1972,3,4,24,6,2009,1941,0,3,33,15,1991,3080,10,4,44,23,3162,1855,4,0,18,15,1901,2022,3,0,28,18,2068,1332,7,3,19,13,1366,970,0,0,18,13,1000,16536,28,21,238,140,16953
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,1185,42,56,7,0,1281,726,19,28,0,0,776,618,29,31,0,0,679,1233,61,52,0,3,1347,1661,74,117,3,3,1854,4544,161,206,9,6,4932,4474,134,139,5,3,4753,3701,85,75,11,7,3875,1226,38,26,0,0,1295,924,31,15,0,0,971,525,20,14,0,0,563,645,17,31,0,0,694,21462,702,793,39,29,23020
SOS61,1149,34,21,3,3,1214,996,30,16,3,3,1046,948,19,12,5,4,987,1917,48,32,5,0,1995,2839,74,43,3,4,2970,6764,116,84,12,13,6990,4704,82,32,6,8,4826,2739,54,15,7,10,2823,714,20,11,0,0,744,479,8,6,0,0,500,238,6,0,4,0,254,775,18,11,4,3,807,24257,511,279,61,50,25155
SOS62,267,0,0,3,3,274,210,0,0,3,0,213,214,0,0,0,0,218,393,10,0,0,5,406,435,4,0,6,3,453,973,3,3,5,4,983,702,3,0,3,4,716,449,0,0,0,9,459,130,0,0,0,0,134,97,0,0,0,0,97,46,0,0,4,0,51,187,4,0,3,0,193,4097,27,7,33,24,4193
