SOS_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,4785,5726,10512,2205,2468,4678,3574,8733,12305,3113,12769,15883,10357,25894,36254,11063,14098,25163,27163,11729,38891,23427,14229,37656,32374,16609,48986,31859,12785,44641,27939,11083,39022,28908,8691,37592,62080,13686,75768,44724,2158,46880,30342,1367,31701,25138,5993,31129,55470,1603,57074,56051,6112,62166,5508,6972,12480,486080,182704,668779
SOS51,649,872,1529,413,463,876,666,1825,2484,770,2995,3764,2326,5783,8102,2535,2907,5441,6441,2512,8948,4680,2719,7398,6122,2960,9076,6032,2165,8198,5122,1945,7066,5538,1632,7170,11296,2788,14082,7896,332,8224,5337,195,5532,3926,1089,5017,7486,285,7773,11298,936,12233,1526,1891,3416,90043,36294,126344
SOS52,131,182,314,105,121,226,173,495,667,177,624,800,616,1359,1973,539,538,1079,1458,468,1927,1058,558,1616,1166,562,1730,1141,380,1516,874,344,1219,921,277,1198,1661,468,2131,1065,39,1105,621,16,635,480,151,635,824,20,851,2043,126,2166,381,443,827,15428,7188,22615
SOS53,482,446,926,283,207,488,331,640,972,225,877,1099,1168,1573,2745,913,910,1818,2382,844,3221,2140,982,3125,2789,985,3770,2766,652,3412,2043,513,2554,2373,389,2760,4414,547,4964,3030,54,3088,1965,34,2000,1494,285,1778,3376,36,3417,5425,200,5625,733,537,1273,38326,10710,49039
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,278,461,739,145,302,451,345,1272,1616,400,2119,2525,1239,4317,5564,1568,2473,4045,3526,2026,5551,3230,2196,5423,4076,2275,6350,3941,1460,5403,3090,1180,4274,2958,813,3770,5671,921,6590,3659,152,3811,2275,80,2356,1490,339,1832,2741,49,2791,4065,606,4668,548,1062,1612,45248,24109,69360
SOS61,283,513,795,229,347,572,487,1992,2478,589,3041,3626,2119,6728,8849,2275,3018,5288,6218,2323,8539,4341,2427,6764,5346,2060,7408,4954,1224,6175,3544,906,4450,3315,616,3931,5518,586,6109,3126,77,3203,1632,32,1667,896,262,1162,1494,42,1536,4610,433,5038,912,1486,2397,51882,28120,80004
SOS62,61,85,148,41,36,74,58,266,327,66,453,516,342,987,1329,359,366,722,965,306,1274,684,349,1031,847,281,1127,750,139,889,561,142,700,532,115,645,817,102,913,513,13,519,264,7,262,157,38,194,248,7,249,907,44,954,165,227,399,8323,3961,12287
SOS63,204,219,422,169,136,308,213,726,943,180,901,1084,991,1856,2850,926,854,1784,2661,772,3429,2071,862,2929,2602,713,3314,2504,389,2888,1867,306,2172,1836,179,2012,3058,207,3266,1848,34,1882,1010,6,1019,578,100,675,1034,9,1046,2952,130,3081,405,421,823,27112,8816,35932
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,133,198,335,65,82,146,119,263,383,133,582,714,349,672,1025,365,435,803,673,477,1156,742,689,1432,1171,960,2136,1339,895,2237,1365,808,2173,1571,741,2309,3787,1231,5017,2989,265,3252,2361,205,2564,2082,599,2682,4428,328,4755,3089,544,3628,364,399,759,27131,10379,37506
SOS71,50,72,119,56,52,104,113,117,234,61,216,277,218,221,436,190,194,384,320,235,552,392,305,694,496,384,880,547,364,910,510,336,841,570,288,856,1259,397,1660,1025,64,1094,664,42,708,485,117,599,828,54,883,1295,148,1439,202,209,411,9267,3824,13088
SOS72,19,27,45,49,16,60,109,94,206,46,73,121,200,89,289,156,61,215,252,109,366,299,122,422,322,173,493,304,159,465,227,99,330,221,126,342,389,142,538,252,14,265,187,8,196,110,34,149,227,11,235,544,25,576,348,80,432,4280,1465,5742
SOS73,53,71,125,42,32,73,69,115,182,35,145,180,221,177,399,120,114,234,282,131,414,301,171,475,365,172,539,404,170,580,291,123,417,324,93,418,813,147,968,612,25,640,519,17,532,368,66,432,844,19,868,852,58,910,208,124,336,6723,2000,8721
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,493,918,1410,239,453,694,449,1380,1824,457,2212,2667,1231,3521,4753,1377,2464,3838,2867,2515,5383,3204,3149,6353,4952,4015,8969,5580,3862,9448,5225,3760,8988,5508,2650,8155,13161,5447,18610,11324,759,12084,9097,450,9550,7615,1822,9433,17508,493,18003,9086,1379,10464,677,1045,1723,100059,42291,142353
SOS82,0,0,0,0,0,0,0,0,0,0,3,3,0,6,7,0,3,3,3,0,3,3,0,3,3,3,7,4,0,4,3,0,3,3,3,10,5,0,10,9,0,9,3,0,3,4,0,4,20,0,20,14,0,11,0,0,3,78,24,99
SOS83,3,0,3,0,3,3,0,0,0,0,3,3,0,6,6,3,0,4,3,3,3,0,3,3,3,6,5,12,0,12,5,4,12,10,3,16,18,3,20,21,0,17,22,0,22,14,0,18,39,0,39,19,0,19,0,3,5,170,40,214
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,5,0,3,3,0,0,3,3,6,14,3,3,4,8,3,8,6,8,11,14,10,23,14,8,26,12,8,26,28,7,35,49,25,74,40,3,40,29,0,29,19,6,25,38,0,38,35,0,33,3,0,3,299,101,399
SOS92,0,6,7,4,0,6,7,12,16,5,11,14,10,30,42,13,22,28,20,13,37,24,16,44,50,3,53,35,3,40,23,6,32,22,4,22,36,8,43,25,0,27,6,0,6,8,3,11,17,0,17,44,3,45,6,11,18,360,146,510
SOS93,3,3,7,4,3,6,0,5,8,0,15,12,5,22,33,12,22,33,22,22,43,25,12,39,38,9,47,38,0,40,26,8,36,18,4,23,32,5,41,11,0,11,4,0,4,6,3,4,7,0,7,38,0,39,19,5,22,318,132,454
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
