SOS_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SOS63,831,893,716,332,60,16,3743,229,514,684,866,786,352,62,7,3496,25,110,147,176,170,92,22,5,759,207,335,356,313,216,118,14,8,1560,8,8,0,10,18,19,3,0,66,7,36,52,55,63,30,11,0,253,540,358,488,646,717,618,319,59,3742,1539,3053,4069,4854,4804,2726,839,159,22049,21,146,243,281,298,212,48,7,1255,51,83,122,112,115,46,6,0,532,411,913,1341,1804,1892,1198,407,66,8030,222,455,444,663,766,386,134,16,3080,240,471,688,682,446,229,78,11,2853,154,490,647,1034,1256,627,205,36,4442,52,330,630,740,1031,731,195,31,3737,289,853,1161,1311,1173,625,118,26,5546,280,603,851,1117,1078,589,101,13,4639,58,180,236,253,288,207,53,8,1272,281,473,547,491,374,203,34,7,2414,19,10,10,16,29,38,15,5,143,19,64,98,129,137,83,25,4,559,1154,769,1024,1422,1609,1322,663,140,8107,3248,5830,8041,10055
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,3,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,6,19,6,5
SOS69,13,4,5,0,0,0,29,3,9,4,3,7,3,0,0,27,0,7,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,12,7,17,6,11,0,0,60,20,47,35,38,46,18,7,0,208,0,7,0,0,3,8,0,0,12,0,3,0,0,0,0,0,0,4,9,17,11,10,9,7,0,0,59,0,3,6,0,6,4,0,0,20,4,3,0,3,0,0,0,0,16,3,7,8,10,11,0,0,0,42,0,3,0,3,4,3,0,0,19,8,11,10,5,7,4,0,0,47,3,9,10,12,12,3,0,0,47,0,10,6,4,0,4,0,0,21,9,12,0,3,0,0,0,0,28,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,7,34,44,34,37,18,13,6,0,186,67,127,93,80
SOS70,1601,1116,625,225,52,12,6330,365,1356,1056,838,610,189,47,3,4469,80,314,200,112,62,27,7,3,809,317,616,364,242,101,46,22,4,1710,20,19,8,11,3,5,3,0,70,16,81,84,79,37,16,3,0,321,928,1488,986,817,709,388,178,76,5570,2904,8994,6693,4904,3442,1464,476,135,29021,88,372,399,290,202,97,20,8,1473,168,501,443,196,112,34,3,0,1454,828,3158,2346,1959,1326,635,211,40,10511,207,1076,660,521,382,226,81,14,3172,76,281,324,183,145,49,14,6,1076,356,1938,1314,944,729,296,98,26,5706,123,908,963,858,751,384,106,12,4110,851,3223,2535,1883,1102,426,91,19,10128,551,1951,1599,1286,958,353,99,10,6808,140,473,334,193,122,59,16,8,1345,438,1020,629,444,204,89,29,7,2848,40,50,22,24,20,14,4,0,167,67,244,217,177,90,42,9,4,858,2168,3778,2668,2191,1656,870,354,135,13826,6111,18972,14451,11144
SOS71,390,351,223,50,16,7,1589,87,425,330,319,234,54,12,3,1460,30,73,64,43,31,4,0,0,257,92,145,102,91,48,18,4,3,501,3,8,7,3,0,4,4,0,28,6,28,26,33,12,5,0,0,108,570,818,606,566,413,185,66,37,3253,1068,2859,2344,2165,1559,518,167,64,10750,16,85,78,63,47,23,7,0,319,15,80,58,46,35,7,3,0,246,181,549,483,525,402,173,41,13,2369,44,218,196,156,123,57,22,4,822,53,125,117,94,47,18,4,0,461,95,655,548,496,364,121,48,13,2328,35,350,365,379,369,150,39,4,1689,144,667,599,536,376,96,21,6,2445,130,663,574,522,401,100,29,3,2419,59,129,100,76,60,14,5,0,449,146,232,178,173,85,33,10,3,864,4,8,6,11,9,11,4,0,53,16,75,61,71,33,8,0,0,263,1227,1612,1221,1125,838,410,153,54,6641,2183,5458,4578,4272
SOS72,98,107,69,19,3,0,493,41,141,115,115,75,11,0,0,502,4,30,14,9,13,6,0,0,73,50,67,38,19,10,4,0,0,183,3,3,0,7,0,0,0,0,13,3,10,8,11,5,0,0,0,36,502,450,370,345,188,109,34,10,2004,706,1120,870,865,609,220,50,7,4450,8,14,33,21,13,3,0,0,87,8,23,14,3,8,0,0,0,54,60,182,189,196,156,62,13,3,862,20,94,63,64,51,24,9,3,322,32,80,70,68,26,8,0,0,285,30,102,123,121,129,33,3,0,544,20,172,127,177,169,55,13,0,734,64,202,148,154,114,39,4,0,731,68,205,178,170,121,25,8,0,770,8,39,30,20,19,14,0,0,133,80,118,54,44,31,9,0,0,332,6,6,3,8,3,0,0,0,22,11,26,26,34,13,3,0,0,118,1037,906,704,701,404,207,67,13,4035,1445,2181,1770,1761
SOS73,293,284,149,64,8,0,1124,69,168,180,175,135,43,7,3,787,6,31,29,27,26,13,0,0,131,47,107,89,84,36,8,0,0,367,0,3,4,0,8,0,0,0,20,6,6,14,13,11,4,0,0,65,546,433,384,394,323,147,41,9,2278,915,1402,1472,1446,1014,440,88,17,6801,9,37,56,61,33,13,5,0,225,16,24,32,19,18,0,0,0,107,257,604,571,674,462,226,55,3,2850,70,205,205,182,159,70,30,0,925,132,168,165,165,83,33,3,3,751,45,156,172,198,167,81,22,3,848,24,142,211,221,194,101,14,4,911,118,295,368,397,225,90,14,3,1517,87,220,235,249,175,64,10,5,1045,22,44,48,38,35,23,4,0,214,68,156,136,134,68,28,3,0,596,3,3,8,3,8,5,0,0,37,14,32,61,54,33,12,3,0,211,1342,1170,979,964,763,409,101,15,5742,2199,3247,3259,3370
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,7,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,15,3,27,21,7
SOS79,15,12,18,3,0,0,73,10,15,15,9,9,4,0,0,62,5,4,0,3,3,3,0,0,20,3,10,8,4,5,0,0,0,34,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,41,93,73,87,44,32,5,0,368,80,192,144,141,123,62,8,0,740,3,4,8,3,0,3,0,0,20,0,3,0,0,5,0,0,0,13,3,27,24,41,46,34,4,0,179,8,14,11,8,9,16,0,0,70,8,10,8,9,3,0,3,0,36,0,22,15,18,28,6,0,0,92,0,19,6,9,22,14,0,0,72,15,22,27,23,25,14,0,0,123,12,23,22,17,13,9,0,0,89,9,16,3,8,3,3,0,0,28,8,15,11,4,14,7,0,0,51,18,0,0,0,0,0,0,0,20,3,0,0,4,0,3,0,0,9,76,198,156,195,110,72,11,0,823,162,376,295,324
SOS80,5999,4713,3116,1783,557,227,24680,2017,6843,5739,4500,3514,2039,603,147,25415,537,1635,1291,898,498,271,115,49,5306,724,1271,935,637,389,227,79,24,4285,51,14,15,16,19,28,22,11,178,89,435,490,389,249,154,64,29,1897,1638,2127,1649,1457,1342,1119,973,930,11229,9375,27748,24303,19342,14940,9299,4038,1924,110965,1039,2831,2543,2354,1889,1331,473,181,12639,976,3919,4075,2745,1599,470,48,0,13829,1071,4121,3945,3598,3059,2253,1137,422,19604,781,2303,1780,1444,1136,824,448,135,8856,249,819,865,702,509,290,144,34,3599,938,4417,3595,3012,2740,1494,793,269,17263,544,2784,2981,2522,2694,2131,949,229,14840,3165,10598,10183,8168,5506,3125,967,366,42077,3149,11001,9315,7492,6214,4181,1337,382,43061,987,2781,2148,1469,888,455,173,68,8958,1060,2212,1667,1118,660,384,141,44,7289,111,31,29,20,39,45,42,22,340,186,755,882,741,508,345,177,78,3673,3402,4677,3661,3148,2607,2155,1735,1323,22702,17658,53262,47664,38532
SOS82,5,0,4,0,0,0,13,0,0,0,4,3,0,0,0,12,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,4,11,21,14,14,3,0,69,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,7,0,0,7,0,16,0,0,0,10,0,4,3,0,15,0,0,3,0,3,0,0,0,6,0,0,3,0,0,5,3,0,15,0,0,0,0,8,3,0,0,13,0,0,3,3,5,0,0,0,22,0,0,7,7,3,4,0,0,22,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,8,11,8,23,35
SOS83,17,10,10,0,0,0,45,3,13,12,10,3,3,0,0,43,0,0,3,6,0,0,0,0,13,0,3,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,8,3,6,3,3,3,0,41,16,50,53,41,23,7,5,3,204,0,9,8,3,8,3,0,0,24,0,0,3,3,0,0,0,0,14,6,11,7,11,7,3,0,0,47,4,12,4,10,3,3,0,0,39,0,0,6,3,3,0,0,0,14,0,3,9,7,6,0,0,0,25,4,3,3,9,3,0,0,0,32,0,15,20,12,10,0,0,0,56,10,16,25,8,3,9,0,0,66,0,3,8,6,0,3,0,0,16,0,3,8,4,3,0,4,0,19,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,20,16,16,15,10,3,5,0,83,37,96,115,95
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,7,3,3,0,0,0,30,3,11,9,7,7,0,0,0,37,0,3,7,0,0,0,0,0,6,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,9,5,3,0,0,0,31,34,36,30,18,25,8,0,0,151,0,3,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,11,9,6,6,3,9,0,0,0,31,0,0,0,0,0,0,0,0,6,4,3,0,4,0,0,0,0,13,0,5,7,3,3,0,0,0,20,3,0,0,0,5,4,0,0,15,10,8,8,0,3,0,0,0,37,9,14,10,8,5,3,0,0,55,0,3,3,0,0,0,0,0,11,0,7,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,16,31,20,20,8,0,0,115,58,68,75,54
SOS91,27,15,8,0,0,0,75,0,13,5,4,4,0,0,0,26,0,6,0,0,0,0,0,0,6,3,7,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,15,16,14,30,28,8,0,0,105,25,73,68,82,51,14,0,0,317,0,4,7,3,3,0,0,0,21,0,11,0,3,0,0,0,0,10,8,22,28,34,19,15,0,0,128,3,6,3,12,6,0,0,0,40,0,6,3,3,4,0,0,0,20,6,6,4,4,9,3,0,0,34,4,8,21,17,3,0,0,0,54,4,22,42,25,7,0,0,0,113,4,19,18,12,11,4,0,0,59,0,4,0,0,0,0,0,0,3,3,9,10,0,10,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,11,33,43,29,56,59,33,4,0,261,64,164,170,184
SOS92,21,13,18,11,3,0,89,5,6,5,4,3,4,0,0,31,0,0,3,4,0,0,0,0,9,3,9,4,8,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,8,20,10,10,8,0,78,33,64,69,55,61,30,19,8,332,0,3,6,0,0,0,0,0,20,0,3,4,0,0,0,0,0,8,6,17,15,19,24,16,5,0,107,3,0,4,9,22,11,3,0,46,0,0,7,0,3,0,0,0,18,0,3,6,8,10,3,0,0,32,0,12,14,10,9,11,5,0,59,8,23,24,24,20,16,4,0,118,7,16,15,9,4,7,0,0,63,0,0,3,7,0,3,0,0,10,0,13,10,15,3,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,15,24,19,16,31,28,20,13,0,155,62,116,132,128
SOS93,15,16,17,13,0,0,72,0,4,8,10,4,3,0,0,34,0,0,3,0,3,0,0,0,16,4,4,7,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,13,15,14,16,11,4,81,18,30,62,57,67,46,25,4,315,0,3,5,0,5,3,0,0,19,0,0,0,0,0,0,0,0,8,4,5,12,20,26,16,5,3,94,0,6,8,18,11,5,8,0,51,3,3,3,8,3,0,0,0,21,0,0,9,3,10,17,7,3,48,0,0,10,5,11,4,0,0,32,0,14,17,21,21,15,3,0,90,3,5,11,10,5,4,3,0,43,0,0,3,0,3,3,0,0,17,4,7,13,8,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,111,77,52,38,28,18,7,383,71,151,176,144
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SOS99,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,5,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,6,0,7,5
