SOS_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
SOS29,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
SOS30,19775,21373,41147,25379,30785,56164,1244,1220,2462,806,998,1800,1577,1196,2770,524679,453893,978579,33400,45389,78783,11115,257,11368,13384,1481,14867,13668,4217,17885,7091,3073,10161,22081,21787,43864,674181,585662,1259844,3435,3551,6989,27,36,60,19,25,42,5258,5355,10610,918,1287,2204,758,203,965,10418,10460,20876,285,281,560,221,354,576,1736,2262,3991,820,1829,2652,532,390,928,3593,5118,8714,6978,3819,10797,20990,19393,40385,1772,1725,3501,546,509,1052,415,175,591,2728,2408,5141,28918,42148,71065,56770,88199,144972,6246,5274,11520,789838,743094,1532936
SOS31,259,252,508,3708,1256,4965,260,86,344,18,10,25,328,360,685,124797,111886,236682,10842,11720,22559,3565,96,3666,2702,286,2987,2235,804,3040,1616,752,2364,6342,6848,13194,156672,134358,291026,36,48,91,0,3,3,0,0,0,255,237,493,25,35,63,15,9,17,336,328,661,141,50,186,0,0,0,336,144,481,93,91,184,47,19,69,621,303,927,2014,939,2954,2965,1580,4546,59,72,138,572,141,707,129,50,181,761,264,1023,4249,8168,12415,16534,20564,37102,2077,1722,3798,183256,166656,349905
SOS32,48,38,82,431,158,593,34,29,63,8,0,8,8,6,15,18579,16095,34678,1499,1421,2921,850,31,881,297,42,333,204,100,301,429,197,625,1983,2123,4106,24365,20240,44603,0,0,4,0,0,0,0,0,0,43,40,89,7,8,13,0,0,3,51,53,108,3,13,19,0,0,0,43,20,65,11,12,20,9,9,15,67,51,116,323,213,537,441,318,763,15,8,25,31,24,53,27,17,45,77,49,128,1218,1806,3020,2560,3149,5712,436,336,773,29101,25898,54996
SOS33,263,264,533,1506,428,1932,42,14,54,5,7,10,45,25,71,63232,54526,117755,3843,4060,7910,3841,162,4002,1252,172,1420,331,86,415,1732,704,2438,5381,3515,8897,81471,63967,145442,25,15,40,0,0,0,0,0,0,340,302,637,32,50,81,18,6,22,406,370,779,21,3,25,0,0,0,152,123,281,31,55,91,33,11,47,248,196,441,908,318,1226,1567,887,2449,62,57,114,112,22,133,102,23,130,276,105,376,13061,12762,25826,8119,10448,18571,1513,1292,2801,106008,89460,195465
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
SOS39,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
SOS40,3987,4465,8456,11876,15486,27367,78,21,96,1173,1560,2734,723,392,1120,189313,155652,344970,9205,14955,24161,2451,63,2518,2305,270,2573,4907,1598,6509,2408,798,3204,5883,5720,11599,234313,200995,435307,776,678,1453,3,0,3,81,103,184,678,876,1555,102,157,255,143,41,178,1778,1861,3638,4,0,3,138,178,314,892,1483,2383,314,785,1094,186,144,329,1533,2589,4122,2491,1824,4313,5808,6268,12077,316,409,725,162,206,373,126,68,198,606,688,1293,7330,9866,17193,20059,34597,54651,2156,1897,4054,270266,254310,524576
SOS41,203,260,460,933,574,1508,17,5,27,7,7,17,115,101,216,48344,42147,90489,3154,3491,6646,772,18,794,460,43,499,530,127,656,619,203,819,2009,2047,4053,57158,49018,106179,41,28,73,0,0,0,7,0,13,102,113,219,8,10,20,6,0,3,166,161,326,0,0,0,6,0,3,178,158,330,36,44,88,18,3,24,239,206,444,475,189,668,882,555,1437,21,39,61,18,21,40,25,9,35,64,73,133,1723,2731,4455,6127,9078,15203,688,672,1363,66648,62130,128771
SOS42,11,18,29,106,60,169,7,3,4,0,0,0,5,3,11,8060,6419,14486,412,451,862,248,3,251,56,3,55,97,31,131,153,56,206,725,821,1548,9879,7885,17760,3,0,3,0,0,0,0,0,0,12,16,30,0,0,0,0,0,0,12,20,34,0,0,0,0,0,0,37,47,88,3,12,15,3,3,4,44,58,106,98,34,125,156,109,263,5,4,8,3,3,8,5,0,8,9,11,25,424,613,1039,1136,1664,2794,139,119,257,11738,10395,22141
SOS43,51,46,98,349,166,515,11,3,19,3,5,8,13,13,23,23143,18917,42056,1025,1221,2249,906,36,935,264,34,298,115,34,152,728,184,910,2238,1207,3443,28843,21868,50714,10,7,14,0,0,0,0,0,0,49,51,102,5,4,13,0,3,3,64,66,127,0,0,0,0,0,0,90,132,223,20,20,37,3,8,17,118,154,273,308,116,427,488,343,826,11,17,26,14,3,17,54,11,61,70,32,102,5565,4403,9970,2906,4411,7315,523,433,954,38398,31488,69883
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SOS49,3,3,4,22,12,34,0,0,0,0,0,0,3,0,3,251,102,355,37,49,85,6,0,9,5,0,6,3,3,6,11,3,21,26,24,50,372,200,577,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,3,0,3,3,0,4,8,3,17,0,0,0,0,0,0,0,0,0,0,4,4,14,11,18,64,47,112,8,0,10,465,263,734
SOS50,12269,13156,25432,19137,14447,33583,143,60,208,81,53,139,1128,534,1663,310294,260431,570723,18209,22793,40997,5356,154,5509,3798,419,4218,7234,2056,9295,8517,2172,10689,9093,8991,18078,395270,325262,720531,7302,6797,14100,7,5,11,7,7,10,4378,4671,9046,607,985,1589,572,192,768,12870,12658,25525,25,14,41,9,4,9,708,806,1522,442,815,1257,401,166,563,1588,1800,3391,3721,1663,5379,18175,16118,34298,2073,2458,4528,262,132,393,177,56,234,2516,2646,5162,12880,20271,33153,37041,50636,87675,4834,3550,8380,470715,418485,889202
SOS51,71,54,125,3133,669,3804,24,9,32,3,8,11,155,160,311,57032,50304,107340,5357,5025,10388,1161,39,1198,892,259,1150,1335,637,1977,1303,376,1686,2602,3077,5679,73071,60614,133689,32,36,64,0,0,0,0,3,3,69,88,155,10,11,18,10,0,10,123,132,254,3,0,3,0,0,0,176,37,216,40,45,87,67,15,78,287,102,387,704,319,1028,1116,556,1669,28,29,54,41,17,58,32,26,57,100,69,171,1551,3199,4750,8436,9442,17878,1254,911,2160,85540,74778,160316
SOS52,22,19,38,593,151,740,6,5,15,0,0,0,9,8,12,7860,6430,14289,707,617,1324,371,15,391,55,13,60,147,98,239,300,88,388,1237,1441,2678,11302,8870,20178,3,3,8,0,0,0,0,0,0,31,39,65,0,3,6,0,0,0,32,51,85,0,0,0,0,0,0,22,12,37,10,6,13,10,3,11,48,17,62,114,38,157,189,108,302,3,5,10,7,3,9,10,0,6,21,12,27,393,622,1016,1466,1497,2966,263,205,468,13639,11319,24959
SOS53,112,138,247,5748,660,6406,14,0,14,4,0,5,36,14,49,22216,17854,40069,1976,1341,3317,1320,52,1369,257,60,318,129,75,201,2198,545,2740,3199,1978,5174,37193,22719,59913,16,17,29,0,0,0,0,0,0,157,162,319,11,13,22,3,0,3,187,191,378,0,0,0,0,0,0,35,16,49,16,9,20,54,3,52,99,27,129,307,109,409,590,332,920,37,35,75,49,13,60,44,6,47,135,56,188,5266,5109,10379,3848,4099,7944,1234,579,1814,48266,32888,81157
SOS57,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,0,13,3,0,3,0,0,0,0,0,0,0,0,0,218,11,226,55,5,56,296,11,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,6,14,0,14,316,17,334
SOS59,11,14,24,175,34,207,3,0,3,0,0,0,3,0,3,398,200,603,91,53,138,28,6,32,7,3,9,11,7,12,72,25,97,113,130,244,899,472,1371,9,8,21,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,12,30,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,4,5,5,15,28,20,48,3,0,3,0,3,3,0,0,0,5,3,8,16,33,48,135,99,229,46,17,69,1128,648,1773
SOS60,15,7,23,1733,2255,3987,5,3,10,5,12,13,170,110,282,25293,22258,47545,1921,3318,5235,373,8,385,504,67,565,826,257,1079,288,135,427,2480,2602,5084,33611,31026,64636,3,0,4,0,0,0,0,0,4,12,7,16,0,0,0,4,0,3,22,12,29,0,0,3,0,0,0,68,190,262,66,146,216,26,40,66,165,374,541,334,228,566,516,620,1138,8,0,13,25,34,61,18,11,29,52,47,95,1316,1633,2950,3231,5785,9014,354,327,682,39080,39433,78514
SOS61,14,6,19,406,428,834,14,3,18,3,11,16,124,129,254,29760,26765,56532,2100,2637,4741,505,13,514,342,37,381,334,82,422,335,134,472,1602,1673,3271,35543,31929,67466,3,4,5,0,0,0,0,0,0,7,8,10,0,4,4,4,0,4,12,13,26,0,0,0,0,0,0,24,60,85,24,39,62,7,12,24,57,117,171,312,195,505,383,316,700,0,3,3,11,12,17,20,7,24,29,17,50,988,1414,2405,3574,5818,9389,408,389,795,40922,39882,80808
SOS62,0,0,3,53,50,107,3,0,3,0,0,0,6,0,7,4487,3723,8215,325,361,687,125,4,134,30,3,31,35,12,48,76,28,99,277,286,564,5417,4472,9890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,7,18,3,5,11,0,0,0,13,14,29,43,20,67,60,38,99,0,0,0,3,3,3,4,3,10,3,9,16,283,353,641,614,979,1596,77,69,152,6471,5921,12383
SOS63,5,3,7,147,140,281,5,3,12,3,6,11,20,17,31,15782,13195,28976,776,1076,1857,646,18,666,255,52,316,70,29,103,301,94,400,914,585,1498,18925,15230,34148,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,37,45,81,22,31,48,4,5,12,56,76,139,194,86,275,254,164,421,0,0,6,3,10,15,13,3,16,24,15,36,2178,1964,4140,2090,3129,5216,364,257,621,23827,20753,44577
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,7,0,7,33,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,38,9,47
SOS69,0,0,0,9,8,10,0,0,0,0,0,0,0,0,0,72,43,113,16,8,23,0,0,0,4,0,4,4,0,8,3,0,10,9,11,18,120,72,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,45,3,0,3,152,98,247
SOS70,19,12,35,2650,1209,3863,10,3,11,7,6,12,92,83,175,21448,18261,39707,1632,2316,3950,217,9,228,802,166,961,906,567,1469,453,149,602,1376,1268,2646,29605,24048,53651,0,0,3,0,0,0,0,0,0,7,3,15,0,0,0,0,0,0,16,7,19,0,0,0,0,0,0,614,109,722,65,97,164,119,23,140,801,226,1027,320,179,506,1138,416,1555,4,4,3,37,27,61,23,16,35,63,38,101,461,832,1290,2132,2527,4659,395,296,690,33793,28155,61953
SOS71,4,0,9,313,143,450,7,3,9,0,0,0,46,44,89,5774,5591,11358,700,908,1613,94,5,101,204,67,273,463,356,814,99,65,162,969,1160,2134,8668,8337,17010,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,14,7,18,3,3,8,4,0,6,27,13,34,102,76,171,129,86,215,0,0,0,4,3,8,6,3,11,7,10,20,144,237,375,665,802,1468,135,170,306,9746,9649,19395
SOS72,0,0,0,93,66,160,12,3,18,0,0,0,0,4,4,1472,1056,2529,274,293,569,30,4,32,26,14,36,69,49,120,61,30,91,1106,1379,2484,3148,2898,6049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,19,0,17,5,7,9,0,3,4,25,15,41,58,70,126,83,81,162,0,0,0,5,10,11,9,11,20,18,17,33,54,55,110,221,239,463,117,88,203,3638,3386,7025
SOS73,0,0,5,251,88,342,10,0,10,0,0,0,4,8,16,4377,3777,8151,395,380,770,182,3,182,86,26,110,93,41,135,209,74,281,683,596,1275,6283,4990,11272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,167,31,197,12,10,20,13,0,16,190,44,230,68,25,96,262,68,333,3,0,0,3,0,3,3,0,9,14,3,12,396,454,851,487,525,1010,151,108,259,7587,6148,13740
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,21,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,22,4,28
SOS79,0,0,0,57,12,64,0,0,0,0,0,0,0,0,0,79,48,127,19,21,42,6,0,6,6,0,6,4,6,15,19,21,39,66,78,142,259,193,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,4,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,5,9,14,26,40,41,75,8,3,9,320,252,574
SOS80,97,51,147,5925,6276,12205,23,12,41,25,24,50,192,126,315,69206,61130,130329,4106,8177,12283,948,20,963,1770,207,1970,3726,1632,5358,729,324,1054,4958,4278,9242,91698,82264,173962,17,9,23,0,0,0,3,0,4,47,26,72,0,3,8,11,0,9,78,43,119,0,3,3,3,0,4,401,461,861,254,422,683,159,130,290,822,1012,1839,942,653,1600,1843,1709,3550,24,19,44,91,80,173,61,25,83,173,125,300,2702,3557,6261,7263,12338,19596,637,568,1200,104319,100550,204869
