SOS_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,11,5,0,0,0,29
SOS29,0,0,0,3,3,0,0,0,0,7,0,0,4,25,5,3,3,0,0,41,0,0,0,9,3,0,0,0,0,11,0,0,3,10,0,7,3,0,0,22,0,0,7,4,0,3,0,0,0,13,0,0,0,13,4,0,3,0,0,25,0,0,0,0,0,4,0,0,0,6,0,0,4,10,0,3,0,0,0,28,0,0,18,33,4,0,0,0,0,64,0,0,3,11,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,12,9,0,3,0,0,26,4,0,13,17,3,3,3,0,0,47,0,0,17,31,11,10,3,0,0,76,0,0,0,8,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,11,19,79,163,42,22,19,4,4,359,46,55,177,503,161,131,74,15,5,1162,379,367,1254,3135,975,816,482,121,38,7565
SOS30,84,869,1636,4219,2973,1849,711,372,82,12799,295,2043,3398,11760,5565,3894,1535,391,94,28977,3,56,108,1381,496,940,630,378,345,4349,55,644,755,3067,3143,3246,3321,1970,733,16937,105,487,1259,2110,843,765,364,114,25,6074,214,2485,5007,11254,6390,3730,2127,863,258,32329,3,3,31,345,453,576,494,329,96,2332,69,690,792,3315,1391,1149,731,322,116,8574,185,466,1936,7673,1233,1453,726,151,26,13860,173,911,1314,3987,1089,487,184,29,6,8191,5,6,42,212,228,194,136,68,16,898,15,45,91,520,354,148,99,41,11,1323,299,1583,1779,4545,1981,1621,1185,346,108,13445,123,668,1499,7083,3778,2991,1239,477,197,18055,27,235,316,1057,896,657,703,363,148,4396,11,220,867,2561,1396,1053,406,121,29,6658,1222,6554,11497,36980,14180,10895,7762,4263,1683,95039,11041,19643,27133,62400,28487,24527,19625,12644,8330,213824,207804,418385,448200,933701,428041,354606,265108,135751,60437,3252041
SOS31,10,148,149,661,508,281,103,40,11,1911,164,1121,953,3383,1426,919,399,83,16,8463,0,0,3,116,42,89,68,47,39,414,5,76,99,400,464,641,859,449,146,3143,7,31,31,121,80,71,33,6,0,380,12,566,758,1712,1087,561,320,142,41,5193,0,0,0,12,38,52,83,53,12,245,16,113,60,491,127,85,53,22,17,987,14,23,249,935,21,20,7,0,0,1260,24,123,147,558,215,84,20,0,0,1176,0,0,3,5,15,3,5,0,0,32,0,4,0,43,39,19,12,4,0,120,26,186,147,554,293,323,323,99,27,1977,14,133,129,571,151,64,27,3,0,1099,0,28,39,130,136,134,162,101,30,750,3,113,178,487,345,219,72,34,3,1460,89,519,644,2671,1411,1276,1265,764,298,8940,3659,6989,7647,19208,10439,9845,8239,5056,2390,73469,57329,119522,102236,213317,111716,105789,87643,47969,18647,864172
SOS32,3,25,29,117,115,117,34,9,3,454,13,46,47,227,111,113,67,3,0,629,0,0,3,12,10,10,23,5,6,66,0,4,15,50,68,117,127,68,4,446,3,0,0,11,17,8,6,0,0,49,0,29,53,132,116,67,59,24,0,483,0,0,0,0,9,14,14,10,0,40,0,3,0,7,4,7,6,0,0,29,3,10,3,40,3,0,3,0,0,54,6,15,19,63,35,6,3,0,0,153,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,7,22,29,61,53,82,76,20,11,354,0,3,6,20,8,6,0,0,0,38,0,3,3,22,25,23,23,9,3,103,0,0,20,38,52,31,20,4,3,167,14,46,66,255,225,273,248,120,40,1281,472,1128,1121,2715,2019,2106,1932,860,260,12615,8599,19193,14992,30659,20584,21853,18174,7421,2085,143553
SOS33,3,45,42,263,277,206,52,19,3,915,24,123,101,599,285,285,102,15,3,1534,0,0,3,50,23,51,35,14,10,188,4,28,28,147,253,292,370,115,22,1262,4,14,25,52,50,32,18,4,0,196,17,158,239,639,480,281,189,67,10,2077,0,0,0,5,13,42,44,34,4,149,4,12,8,49,20,31,26,4,0,157,3,20,37,175,19,25,22,4,0,299,12,42,34,202,108,42,9,3,0,446,0,0,0,5,3,3,3,4,0,20,0,0,0,5,15,12,7,0,0,40,8,91,83,219,227,268,235,62,22,1216,0,15,12,133,76,58,21,5,0,327,0,8,22,54,85,71,88,25,3,358,0,19,44,158,152,129,47,16,3,578,29,167,201,989,818,885,724,364,78,4261,1635,4062,3775,9527,7343,7162,5358,2179,537,41559,22385,58642,46157,93338,69689,68226,49736,18283,4307,430761
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,4,4,0,4,11,0,0,19,3,4,16,27,24,30,33,16,4,150
SOS39,0,3,8,16,15,5,3,3,0,42,4,3,5,24,8,7,5,3,0,53,0,0,0,12,0,3,0,0,0,17,0,0,12,22,10,20,24,7,0,89,0,0,6,10,0,0,0,0,0,15,0,0,0,24,14,5,12,0,0,52,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,12,3,4,26,95,0,0,0,0,0,121,0,0,3,8,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,21,24,4,10,5,3,0,67,0,0,8,7,6,3,0,0,0,28,0,0,14,6,0,8,3,0,0,35,0,0,6,3,3,3,3,0,0,16,3,8,73,139,25,43,27,5,0,334,43,65,256,656,266,378,256,75,15,2011,339,489,1539,3776,1663,2373,1916,381,44,12510
SOS40,0,30,37,259,202,95,31,22,4,677,112,804,1242,4118,1717,1151,494,154,38,9830,7,35,90,998,541,1168,752,488,491,4566,14,255,333,1087,1520,2021,1940,1241,489,8902,47,210,455,790,291,263,197,51,13,2323,32,451,832,1614,1002,537,359,136,49,4999,0,0,17,239,274,368,342,295,125,1663,59,395,325,1716,476,211,147,85,21,3433,27,57,224,746,103,56,36,4,0,1259,34,146,298,1355,275,131,36,14,0,2286,0,7,13,49,53,77,72,77,18,356,5,23,33,132,96,77,45,48,22,487,75,372,372,1050,512,429,340,95,33,3279,78,360,1151,4841,2857,2633,916,381,168,13376,6,96,125,357,385,426,355,276,111,2132,11,88,161,415,210,139,32,12,0,1068,530,2809,4528,12298,4692,3605,3056,2362,1371,35256,2969,5024,6740,16385,8545,8139,6924,4961,2987,62677,68946,132362,152811,316795,154069,139495,107279,62177,31706,1165632
SOS41,0,10,3,48,50,17,5,7,0,142,33,291,246,847,311,213,89,31,6,2063,0,3,10,62,28,46,36,30,30,247,0,38,31,161,345,513,560,360,126,2140,3,8,3,28,18,18,15,3,0,105,11,127,154,351,246,126,78,29,12,1128,0,0,0,7,24,31,32,49,10,140,3,40,18,161,36,11,18,4,0,284,0,3,70,221,4,5,0,0,0,304,15,97,74,131,56,19,9,0,0,397,0,0,0,3,3,5,5,3,0,19,0,0,0,18,12,17,7,4,0,60,13,55,66,163,108,127,83,28,10,658,11,34,44,204,72,24,14,0,0,402,3,12,16,49,77,103,107,73,25,471,0,30,42,100,58,47,11,12,0,288,35,194,164,693,356,398,449,357,156,2803,843,1798,1920,4755,3065,3217,2995,2013,1142,21755,17948,38644,35007,69740,41134,41101,37156,21546,9636,311919
SOS42,0,0,0,9,5,9,0,0,0,25,3,21,9,82,34,21,5,4,0,176,0,0,0,9,7,11,3,3,3,36,0,3,0,9,31,71,77,34,13,243,0,4,0,5,8,4,0,0,0,17,3,20,21,41,26,25,10,4,0,150,0,0,0,0,7,6,15,3,0,29,0,0,0,5,3,3,0,0,0,17,3,0,13,45,0,0,0,0,0,62,3,5,4,21,13,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,3,9,22,11,15,16,5,0,83,0,0,6,32,21,10,3,0,0,73,0,0,0,7,9,25,15,7,0,58,0,5,4,13,5,3,0,0,0,27,3,19,13,55,56,74,76,39,14,363,160,301,316,811,615,725,687,333,227,4172,2959,6248,5282,11010,7452,8402,7180,3567,1559,53667
SOS43,0,0,0,21,26,12,3,3,0,69,4,52,23,162,56,49,26,0,0,373,0,0,0,26,12,23,25,9,6,98,0,23,17,60,124,203,180,72,12,700,3,6,0,11,10,8,4,0,0,48,3,33,35,88,67,55,26,9,0,317,0,0,0,0,10,14,16,9,0,51,0,0,0,33,9,3,6,0,0,48,0,3,9,35,3,4,0,0,0,59,0,11,18,57,18,8,0,0,0,113,0,0,0,0,0,3,0,0,0,6,0,0,3,8,6,10,0,3,0,39,0,22,31,65,69,67,57,17,3,330,0,10,12,177,117,110,27,11,5,472,0,0,7,20,39,43,42,20,4,176,0,4,12,29,18,24,3,3,0,99,3,32,62,226,204,239,203,89,35,1099,374,970,978,2279,1986,2153,1536,588,157,11025,7135,18551,15132,29051,23752,24519,16965,5909,1555,142568
