SOS_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,2888,1226,1849,305,6270,1308,407,747,146,2613,1290,716,2139,252,4397,777,480,2551,97,3897,6009,1543,3984,377,11914,3719,2259,6444,396,12828,18713,3662,6475,609,29458,11676,6026,6870,764,25332,15214,10572,7772,897,34448,13633,12901,5865,903,33304,9752,13892,4532,675,28841,10397,14744,3775,576,29494,22856,33075,5655,1095,62685,15957,25029,2409,597,43990,10493,17582,999,338,29413,7435,15477,1250,163,24325,14792,36242,1195,310,52541,16150,32266,6669,436,55517,2737,1802,1215,117,5876,185788,229904,72391,9069,497150
SOS51,382,102,257,28,769,231,65,154,19,460,201,91,505,23,826,161,65,692,17,929,1262,249,1038,66,2623,762,330,1680,48,2824,4373,625,1694,99,6793,2357,1007,1426,123,4904,2792,1873,1513,134,6316,2758,2308,996,115,6185,1845,2576,738,54,5213,2164,2787,601,67,5625,4289,6119,859,121,11391,2986,4468,272,60,7780,2070,2969,137,41,5214,1326,2339,166,27,3861,2462,4399,146,36,7043,3470,6300,1332,75,11166,771,394,414,39,1613,36662,39070,14618,1191,91533
SOS52,93,14,42,5,149,78,17,39,3,137,44,32,171,12,256,37,13,195,6,247,396,155,221,22,789,186,132,304,16,641,1003,236,303,32,1570,522,263,273,45,1103,597,385,206,21,1205,532,398,176,23,1133,321,428,103,10,865,391,439,72,4,915,695,831,112,17,1646,450,566,37,7,1061,283,301,16,3,606,180,245,32,3,462,310,430,29,3,772,615,1103,282,26,2020,182,137,111,15,445,6904,6120,2731,267,16023
SOS53,379,92,83,7,560,212,55,37,3,314,175,71,163,8,422,92,29,170,3,295,889,206,269,25,1380,461,218,346,21,1041,1871,372,328,27,2596,1312,648,301,31,2290,1633,941,336,37,2955,1537,1083,214,34,2866,851,1026,172,16,2065,1207,1058,146,20,2431,2034,2190,211,30,4466,1254,1666,91,18,3030,800,1078,50,11,1933,545,872,54,3,1470,1204,1894,65,11,3171,1626,3281,444,33,5378,405,270,127,11,815,18488,17041,3615,342,39485
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,188,55,81,12,339,89,23,46,12,163,123,38,233,15,413,49,26,383,6,463,593,133,599,44,1373,427,233,1039,38,1749,2196,385,1034,83,3693,1529,670,1063,95,3360,1890,1139,1052,101,4178,1794,1382,736,86,3993,1184,1318,567,51,3115,1224,1340,347,53,2962,2271,2805,513,72,5657,1306,2123,150,31,3608,753,1383,58,7,2204,452,914,73,3,1440,795,1751,53,9,2605,1161,2002,827,35,4025,272,114,166,16,569,18285,17813,9031,774,45900
SOS61,164,46,93,16,322,138,27,72,8,246,142,55,315,24,536,84,31,559,11,676,1202,222,791,66,2282,681,285,1428,39,2432,4332,632,1355,87,6401,2065,1038,1239,102,4446,2358,1776,1150,112,5394,2175,2019,723,65,4981,1255,1759,477,33,3528,1235,1701,326,28,3292,2143,2917,372,44,5478,1078,1855,127,15,3070,507,1038,38,3,1582,260,539,51,3,853,494,870,51,9,1417,1378,2265,877,42,4565,479,173,257,23,939,22176,19250,10287,734,52447
SOS62,47,6,15,0,69,31,7,8,0,40,26,4,33,3,64,15,6,55,0,81,248,23,100,3,374,157,55,181,0,386,761,79,145,13,995,399,158,126,5,700,445,268,129,9,847,400,283,55,7,743,220,282,51,5,556,237,267,41,7,546,331,426,45,5,814,197,289,12,3,503,97,152,3,0,258,52,93,5,0,148,92,141,6,0,232,321,422,151,3,896,111,28,27,3,171,4185,2986,1176,74,8421
