SOS_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOS29,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
SOS30,21571,19750,41320,95319,89434,184756,26105,25917,52028,18534,18462,36994,139957,133819,273774,59887,56738,116622,22879,21888,44765,22522,22370,44895,105284,100999,206286,5302,6167,11464,4437,8559,12990,5967,4979,10945,8037,14300,22336,198,239,441,23938,34238,58175,42199,52820,95021,16484,20462,36946,4553,6574,11126,14620,24071,38691,259,341,596,78117,104272,182385,4557,5984,10540,6043,11694,17737,173,197,369,10778,17879,28648,112649,112311,224959,492292,523253,1015550
SOS31,5017,4817,9836,28746,26628,55379,7098,7152,14246,3755,3687,7443,39595,37472,77065,18590,17684,36273,5978,5663,11639,3722,3714,7437,28287,27065,55351,659,836,1496,526,1203,1731,1495,1595,3089,1699,4072,5775,70,71,138,4448,7778,12224,2041,3692,5737,1067,2523,3596,634,1300,1931,2418,5388,7809,17,61,77,6176,12965,19146,679,870,1545,1291,2772,4063,54,56,114,2022,3698,5722,39913,36663,76578,125462,130456,255916
SOS32,724,729,1450,5174,4851,10022,737,790,1528,507,483,989,6423,6129,12548,2888,2805,5695,690,660,1351,576,545,1121,4157,4006,8166,81,111,188,55,176,233,184,219,403,219,566,784,7,9,13,551,1076,1627,261,446,709,126,319,447,65,141,210,258,699,954,3,7,10,719,1612,2326,91,145,236,178,397,575,7,15,19,271,557,823,7389,6310,13693,20226,20413,40633
SOS33,2090,1907,3995,13697,12437,26127,3053,2964,6017,2402,2307,4710,19154,17701,36855,8981,8466,17451,2775,2545,5322,2736,2718,5451,14489,13729,28218,290,360,651,136,432,568,779,632,1405,621,1526,2147,31,28,57,1854,2975,4829,1440,2381,3820,405,976,1386,310,531,841,767,2207,2977,9,31,35,2940,6123,9058,257,309,572,432,1151,1585,24,30,48,718,1490,2210,24008,18983,42989,65251,62908,128159
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,21,14,18,33
SOS39,19,15,31,91,93,182,8,10,21,34,29,66,129,133,264,54,47,97,6,0,4,12,12,21,70,59,128,12,10,22,11,17,24,8,19,33,17,25,41,3,7,9,53,80,136,53,75,127,40,63,100,12,10,19,26,22,52,3,5,9,126,171,301,20,29,51,18,39,57,0,3,5,41,71,112,1598,1045,2650,2039,1581,3621
SOS40,7336,6991,14329,32403,30146,62549,10310,10126,20442,7343,7329,14669,50056,47598,97658,17399,16290,33689,7681,7849,15532,7532,7388,14915,32611,31523,64135,2196,2173,4367,2133,3339,5472,2180,1725,3903,3700,5834,9534,92,95,187,10297,13170,23464,17294,20405,37695,7046,8022,15073,1644,2035,3682,4782,7630,12406,92,155,244,30857,38246,69107,1487,1858,3348,2059,3531,5585,66,82,147,3614,5470,9083,32753,33467,66223,167521,176474,344000
SOS41,1930,1826,3758,9731,9209,18939,2129,2041,4172,2435,2410,4851,14298,13658,27956,5695,5446,11145,1370,1470,2833,1818,1800,3619,8886,8717,17599,326,421,746,208,587,796,701,656,1359,794,1511,2311,25,21,47,2060,3192,5260,893,1522,2414,378,771,1153,151,286,433,624,1459,2091,11,25,34,2055,4065,6123,194,259,457,311,748,1062,18,13,26,525,1019,1544,11881,11512,23397,41633,43993,85628
SOS42,318,306,617,1933,1766,3703,152,139,285,243,248,492,2331,2154,4481,1058,1041,2106,108,108,211,205,220,426,1372,1373,2747,36,45,84,19,81,103,124,98,219,132,264,391,5,5,11,311,497,810,104,202,306,42,97,141,20,28,49,78,211,287,0,4,4,248,543,793,31,39,68,48,119,162,0,4,4,79,161,240,2118,2078,4202,6768,7109,13878
SOS43,825,746,1573,4928,4352,9279,675,618,1295,1307,1259,2565,6908,6225,13138,2899,2812,5712,440,460,903,1016,1067,2085,4359,4339,8694,88,107,202,58,160,218,356,230,582,254,554,805,4,11,13,757,1062,1818,533,813,1343,122,242,360,70,123,199,226,533,766,5,11,17,958,1723,2680,68,83,154,133,313,446,5,7,7,212,399,607,6786,5201,11989,20806,19697,40503
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,5,8,8,28,30,55,0,3,5,0,5,8,29,43,76,34,38,70,0,0,0,4,6,15,39,47,86,4,5,12,7,10,20,0,4,3,3,7,10,0,0,0,21,24,43,22,12,35,16,19,33,0,3,3,7,9,12,0,0,0,40,38,81,11,10,21,7,3,13,0,0,0,18,11,29,403,220,625,552,393,946
SOS50,11773,11216,22989,55896,51744,107647,14326,14130,28465,11083,11103,22189,81310,76987,158294,33058,31211,64270,13755,13835,27587,14392,14416,28808,61203,59461,120667,4657,4097,8752,3434,5045,8480,4488,2583,7076,4846,7642,12482,177,138,314,17597,19505,37100,23843,27117,50962,8994,10804,19796,2860,3765,6628,7790,12254,20039,164,252,414,43646,54185,97833,2593,2942,5535,3448,6410,9864,97,113,211,6147,9467,15609,66155,63315,129472,287818,294144,581963
SOS51,2564,2277,4848,12380,11609,23983,2799,2914,5713,1735,1686,3420,16914,16207,33120,8211,7806,16020,2135,2291,4425,1502,1470,2971,11854,11566,23420,513,567,1082,238,558,790,960,784,1745,953,2108,3065,30,47,71,2699,4060,6757,426,828,1247,356,797,1159,115,297,419,793,1951,2745,11,20,30,1700,3896,5594,266,316,580,413,879,1288,23,19,37,694,1208,1908,19603,17621,37224,56026,56845,112874
SOS52,413,371,779,2262,2193,4454,332,332,659,224,254,478,2815,2776,5592,1312,1225,2537,184,206,392,271,291,563,1762,1727,3488,59,57,118,8,59,68,112,103,219,107,248,357,8,3,11,293,480,772,59,117,179,34,96,132,12,46,63,80,237,318,0,0,3,190,498,689,36,48,88,48,122,167,4,6,9,89,182,268,4055,3716,7774,9622,9745,19365
SOS53,880,730,1610,4499,4303,8802,1057,952,2008,996,941,1931,6547,6196,12744,2864,2433,5296,845,806,1653,1179,1241,2427,4891,4485,9378,177,164,338,68,133,202,406,212,615,351,593,942,10,13,24,1019,1112,2130,388,659,1048,118,248,375,91,125,212,317,600,917,6,3,10,920,1641,2559,100,109,213,130,358,491,11,9,12,246,476,720,14306,7209,21510,28803,21841,50646
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,3,0,3,70,8,75,87,6,94
SOS59,14,7,17,51,51,96,13,3,16,13,14,26,72,70,139,21,26,49,0,3,7,3,3,7,27,35,61,5,7,9,14,10,28,3,3,11,14,14,30,0,0,0,34,40,67,27,34,61,25,14,38,4,3,8,9,19,25,0,0,0,67,70,128,8,10,20,14,11,27,0,0,0,28,16,43,982,607,1592,1215,838,2049
SOS60,689,670,1361,5316,4814,10129,1617,1718,3335,862,859,1717,7796,7388,15184,3059,2675,5738,1303,1420,2720,1083,1039,2122,5439,5135,10579,510,504,1015,257,411,664,423,286,709,519,769,1284,13,22,33,1717,1990,3704,2113,2340,4454,1171,1210,2386,212,278,493,860,1606,2463,9,18,27,4370,5448,9824,148,190,338,284,493,778,9,11,23,439,688,1133,6083,6046,12133,26545,27369,53912
SOS61,824,712,1531,6583,6305,12892,1455,1393,2846,806,744,1543,8840,8442,17286,3811,3747,7558,1106,1158,2268,794,787,1576,5717,5688,11404,679,749,1433,268,457,728,510,407,918,512,879,1388,19,14,36,1989,2513,4504,1191,1380,2571,588,702,1291,120,198,314,544,1198,1744,7,20,25,2448,3496,5946,141,186,328,228,443,676,3,11,16,374,644,1023,7363,8040,15401,27554,29536,57096
SOS62,100,102,195,1025,979,2006,165,176,339,117,102,219,1304,1258,2559,547,507,1053,128,143,275,103,96,198,776,748,1529,90,79,169,15,41,57,71,42,111,64,114,175,4,0,6,236,277,519,70,88,161,37,63,95,3,32,32,76,179,258,3,0,3,186,357,546,19,30,52,28,66,97,0,0,0,51,94,146,1322,1374,2692,3978,4212,8193
SOS63,325,319,640,3260,2924,6183,774,777,1547,485,495,979,4520,4197,8714,1913,1699,3614,696,669,1370,462,473,934,3073,2843,5918,288,285,573,55,119,176,290,151,439,254,436,688,11,4,8,889,1000,1887,260,385,648,103,227,329,34,68,97,220,598,810,7,6,16,614,1286,1900,87,103,190,83,208,289,12,9,18,185,318,499,4128,3794,7916,13733,13746,27481
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,7
SOS69,3,3,4,8,12,18,3,0,4,3,0,8,9,17,24,4,6,13,0,3,3,0,3,3,4,12,20,3,9,8,0,0,0,0,4,7,0,0,0,0,0,0,3,9,13,5,8,17,12,3,17,0,0,0,0,6,3,0,0,0,20,21,39,0,0,0,3,3,5,0,0,0,3,3,5,119,61,181,165,121,285
SOS70,910,868,1779,3489,3322,6811,690,593,1289,734,723,1452,4911,4637,9554,2141,2063,4198,525,528,1047,657,761,1425,3327,3346,6671,93,77,168,97,134,226,180,163,343,380,637,1018,10,13,25,768,1016,1782,646,776,1424,580,863,1440,190,315,499,851,1630,2477,8,19,31,2279,3597,5871,113,123,233,249,559,806,10,11,21,367,695,1063,8428,5970,14401,20982,20137,41117
SOS71,444,427,872,1586,1462,3046,471,452,921,311,314,621,2368,2227,4596,921,764,1685,376,308,690,358,362,722,1661,1433,3091,31,14,46,23,28,52,70,53,129,134,243,376,7,0,5,263,348,606,31,71,102,72,130,205,21,62,79,259,607,866,3,5,6,386,881,1263,51,37,89,78,134,214,4,3,12,130,182,316,3470,3300,6773,8725,8798,17518
SOS72,276,303,577,1474,1371,2846,75,75,159,41,53,96,1595,1506,3102,594,618,1211,53,35,89,106,131,236,756,783,1539,19,18,33,12,31,40,13,12,19,32,99,132,0,3,7,71,161,230,8,25,33,14,41,57,13,13,20,70,127,199,0,0,6,101,206,315,15,16,30,23,33,55,0,3,3,35,56,88,1751,1655,3407,4587,4662,9255
SOS73,239,239,473,1266,1148,2413,142,110,255,199,183,381,1612,1442,3047,587,541,1123,124,114,237,278,257,528,988,903,1890,16,11,27,13,22,27,74,45,118,73,123,197,4,0,5,184,203,384,45,56,101,30,62,90,25,48,72,66,240,314,3,0,3,175,412,579,27,17,45,34,84,115,8,3,13,70,100,172,3528,2399,5928,6784,5687,12470
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,13,16,7,23
SOS79,3,0,3,22,25,48,3,0,5,3,6,10,32,35,62,5,7,11,0,0,0,0,0,3,7,3,13,17,5,27,3,0,6,3,0,3,3,3,8,0,0,0,25,11,39,3,0,3,0,7,8,0,0,0,6,3,10,0,0,0,12,13,18,9,14,16,4,4,7,0,0,0,10,14,22,449,379,822,527,450,986
SOS80,3099,2786,5885,10686,9988,20669,4197,3882,8078,1989,1956,3943,16872,15822,32694,6896,6675,13572,3283,3064,6340,2063,2132,4198,12239,11873,24107,597,606,1205,590,777,1370,1171,761,1935,1430,2150,3578,29,24,51,3823,4310,8130,8119,8973,17095,3373,3112,6489,760,974,1738,3680,5083,8765,43,51,93,15981,18198,34175,456,436,889,739,1484,2226,15,20,34,1209,1937,3147,11676,11251,22926,64894,66180,131068
SOS82,0,4,4,3,4,9,7,4,13,10,3,15,17,15,36,3,4,4,3,6,11,5,3,8,6,17,20,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,6,7,10,0,0,0,0,3,0,0,3,3,0,0,0,8,9,19,0,0,0,0,0,4,0,0,0,3,0,3,4,7,9,39,54,90
SOS83,6,3,13,27,10,37,16,16,27,4,3,10,41,31,74,5,18,28,11,6,14,3,3,7,18,29,51,0,0,0,0,0,0,10,3,10,3,7,12,0,0,0,8,7,20,9,9,15,3,3,8,0,0,0,0,7,5,0,0,0,8,22,33,3,4,9,0,3,4,0,0,0,3,3,7,43,46,86,141,143,288
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,3,0,5,11,12,20,0,0,3,0,0,0,11,12,16,3,4,3,0,0,0,0,0,0,5,4,6,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,3,5,7,18,13,28,10,8,18,0,4,4,3,3,6,0,0,0,29,31,62,0,3,3,0,0,0,0,0,0,0,6,6,76,25,105,123,84,211
SOS91,22,9,28,65,63,125,0,0,0,0,0,0,61,63,131,37,57,97,0,0,0,0,0,3,38,58,96,0,0,0,3,3,3,0,0,3,3,0,3,0,0,0,11,8,17,0,0,0,0,0,3,0,0,0,9,5,12,0,0,0,5,5,14,0,0,5,0,4,4,0,0,0,0,8,12,164,113,280,309,266,571
SOS92,7,8,13,65,51,120,0,0,0,0,0,0,65,51,120,36,37,78,0,0,3,0,3,3,36,45,83,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,8,6,0,0,0,0,3,3,0,0,0,4,3,3,0,0,0,6,6,10,6,0,6,0,0,0,0,3,3,6,4,13,73,61,132,198,180,379
SOS93,17,13,34,47,46,97,0,0,0,0,0,0,51,46,99,39,34,69,0,0,0,0,0,4,34,33,68,0,0,0,0,0,0,4,0,5,3,0,3,0,0,0,10,7,14,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,3,7,5,0,0,0,0,0,5,0,0,0,0,0,5,304,77,382,424,187,611
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,7,6,16
