SOS_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOS61,250,5585,582,6413,299,5527,484,6309,753,9505,821,11077,1018,8887,773,10680,1444,10118,976,12540,1675,9877,1004,12560,1212,8415,1266,10897,605,4363,896,5865,148,1443,362,1954,7399,63726,7170,78296,264,5310,566,6137,412,5271,420,6103,1374,9601,804,11776,1921,9222,761,11904,2540,10417,947,13904,2897,9959,1120,13979,1774,8983,1450,12210,591,5500,1300,7390,114,2832,640,3583,11887,67100,8008,86997,518,10892,1145,12550,709,10799,902,12410,2121,19109,1625,22857,2941,18105,1536,22585,3984,20539,1927,26447,4567,19839,2124,26533,2993,17398,2717,23111,1199,9862,2195,13256,255,4275,1004,5538,19294,130824,15177,165288
SOS62,32,709,126,868,33,563,56,652,83,1188,97,1369,161,1321,125,1604,223,1678,192,2091,333,2032,244,2610,269,1731,280,2280,81,754,187,1021,12,189,64,276,1236,10175,1367,12777,25,648,105,777,52,528,64,642,154,1191,118,1466,285,1378,126,1793,391,1606,178,2179,511,1900,202,2612,311,1575,267,2156,90,729,209,1032,14,275,76,369,1839,9831,1343,13020,63,1361,231,1651,84,1092,116,1294,239,2382,214,2831,447,2703,254,3395,622,3284,370,4268,843,3934,446,5220,579,3306,550,4435,174,1490,394,2055,29,467,144,642,3079,20005,2710,25793
SOS63,114,2562,430,3108,118,1955,190,2266,284,3459,354,4095,526,4690,480,5693,881,6533,671,8089,1225,7068,807,9090,701,5248,729,6675,223,1770,376,2371,39,338,91,466,4113,33606,4125,41846,126,2331,364,2826,117,1590,158,1868,501,3471,333,4305,850,4670,444,5965,1461,6010,597,8066,1813,5941,680,8438,794,4093,594,5483,196,1349,311,1856,37,354,69,456,5898,29817,3548,39262,247,4899,788,5929,233,3549,355,4134,788,6926,683,8396,1381,9361,923,11659,2344,12542,1272,16160,3033,13011,1487,17527,1497,9338,1320,12150,421,3120,687,4225,73,687,160,926,10004,63425,7670,81103
SOS67,0,0,0,0,0,4,0,6,0,15,4,15,0,3,3,5,0,12,0,10,0,3,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,39,7,49,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,0,8,0,8,0,21,4,23,0,3,3,5,0,11,0,15,0,8,0,12,0,3,0,7,0,0,0,0,0,0,0,0,0,56,8,73
SOS69,0,26,3,34,6,35,19,56,9,78,37,120,5,62,31,93,10,44,20,77,3,44,7,52,4,31,10,48,0,7,6,8,0,0,0,0,33,321,130,481,0,25,7,33,5,22,7,29,4,54,12,69,6,43,8,54,7,39,17,59,12,40,6,56,4,24,11,38,0,5,0,5,0,0,0,0,36,258,61,350,0,55,9,62,8,61,20,90,11,125,44,183,10,101,36,147,16,85,35,135,16,85,14,113,5,60,20,84,0,7,4,12,0,0,0,3,72,580,189,835
SOS70,149,2737,476,3362,169,3704,802,4680,510,10072,2281,12865,638,7723,1644,9999,612,6423,1297,8332,478,4735,913,6128,282,2528,490,3296,104,795,174,1071,31,167,45,245,2970,38886,8121,49980,160,2473,423,3058,201,3203,530,3926,760,9510,1456,11727,973,7004,961,8939,950,5590,793,7340,738,4098,698,5533,386,2085,393,2864,103,831,159,1098,13,257,52,323,4288,35063,5468,44816,313,5209,896,6422,373,6904,1330,8610,1269,19583,3740,24590,1611,14731,2605,18940,1567,12010,2095,15672,1216,8837,1607,11658,669,4609,886,6161,205,1628,329,2169,40,429,100,572,7255,73946,13592,94796
SOS71,150,1257,326,1735,140,1204,252,1590,336,3011,698,4053,333,2477,544,3357,310,2421,502,3235,203,1852,403,2455,73,852,211,1137,36,235,77,344,0,53,20,74,1584,13358,3033,17971,134,1095,264,1493,160,1220,229,1609,511,3224,741,4479,484,2546,537,3568,443,2448,529,3412,320,1828,371,2518,97,726,185,1004,34,273,76,389,5,96,35,136,2191,13444,2969,18607,281,2352,592,3230,293,2420,478,3197,849,6233,1443,8531,819,5021,1078,6924,754,4864,1031,6653,520,3681,776,4971,176,1577,392,2139,64,509,158,731,10,149,53,209,3767,26801,6007,36577
SOS72,104,711,268,1083,129,785,173,1092,269,1582,346,2188,187,1275,246,1700,174,1091,316,1578,104,824,181,1111,50,352,86,493,4,109,24,140,0,23,3,27,1016,6755,1642,9422,117,637,226,977,166,789,185,1147,326,1684,335,2351,288,1244,286,1824,280,1156,271,1709,173,803,175,1146,71,331,84,491,17,106,19,147,4,29,5,40,1440,6795,1585,9815,215,1353,490,2063,295,1579,361,2241,594,3266,678,4538,478,2522,528,3522,447,2252,586,3289,279,1620,353,2251,116,690,174,980,22,214,49,289,8,52,13,69,2462,13548,3225,19234
SOS73,75,838,365,1276,75,888,425,1392,182,1779,681,2640,192,1813,555,2556,221,2058,552,2826,165,1616,402,2185,87,878,245,1215,24,225,61,306,3,34,9,45,1015,10128,3293,14437,90,682,283,1055,98,692,238,1032,244,1618,389,2248,300,1631,337,2273,319,1720,369,2410,231,1244,306,1779,115,620,149,889,22,170,43,242,0,36,6,45,1421,8421,2122,11958,163,1518,651,2328,172,1577,669,2417,422,3395,1067,4891,491,3448,892,4827,537,3772,922,5235,398,2862,709,3962,206,1501,397,2104,44,395,103,541,3,73,14,88,2439,18548,5410,26395
SOS77,0,0,0,0,0,4,0,4,0,18,5,23,0,12,7,16,0,5,4,11,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,33,17,61,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,9,0,0,0,0,0,4,0,3,0,20,3,30,0,12,10,19,0,4,4,9,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,5,39,27,72
SOS79,0,15,4,16,0,64,38,98,5,126,85,219,12,118,84,215,15,141,105,257,14,151,63,229,7,129,35,174,0,12,12,20,0,0,0,0,53,762,428,1240,0,16,0,17,3,45,40,85,10,141,86,239,16,94,67,180,16,110,77,203,19,142,50,212,9,76,24,105,0,5,5,10,0,0,0,0,75,628,343,1043,0,25,8,32,7,105,73,183,17,267,171,457,26,210,156,396,27,253,179,461,32,298,106,438,16,202,59,278,0,24,15,38,0,0,0,0,124,1388,770,2281
SOS80,513,11030,772,12311,647,14030,1122,15795,1814,28027,2477,32310,2622,24207,1955,28789,3255,20016,1597,24876,3071,15497,1229,19803,1958,10877,1051,13888,871,4790,755,6417,251,1645,422,2319,15007,130116,11378,156508,637,10725,712,12080,867,13635,1006,15502,2664,28792,2111,33573,3806,23951,1584,29342,4900,19600,1375,25880,4798,15342,1364,21502,2913,11397,1157,15462,1007,5890,1008,7902,217,2681,937,3836,21805,132017,11249,165069,1154,21750,1484,24393,1505,27668,2122,31297,4480,56820,4586,65889,6430,48158,3542,58129,8156,39620,2976,50749,7869,30838,2589,41302,4870,22270,2214,29352,1880,10682,1764,14316,464,4325,1356,6151,36816,262132,22634,321581
SOS82,0,5,0,5,0,4,5,10,0,3,0,5,0,17,0,13,3,14,0,23,3,12,0,16,3,14,0,16,0,10,0,14,0,3,0,3,12,85,8,103,0,14,0,18,0,5,0,5,0,9,0,9,0,14,0,19,7,13,7,26,7,14,0,25,5,11,0,12,0,6,0,6,0,0,0,0,15,95,9,116,0,19,0,18,0,7,5,12,0,8,0,13,0,29,0,30,12,32,6,44,4,30,0,39,10,28,0,29,0,18,0,19,0,4,0,4,27,173,15,217
SOS83,0,27,5,28,0,17,3,25,0,41,11,50,5,56,10,65,3,53,10,64,7,32,9,50,3,11,0,18,0,6,0,6,0,0,0,0,23,249,40,317,0,22,8,31,0,17,3,20,5,47,5,61,3,59,5,65,9,38,8,55,7,29,3,39,6,14,3,21,0,3,3,6,0,0,0,3,33,225,41,295,0,50,12,58,0,32,7,41,3,93,18,111,7,112,12,133,14,90,16,118,12,62,13,91,8,30,4,42,0,8,3,11,0,0,0,3,57,476,77,610
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,10,3,16,0,33,6,36,5,50,12,63,6,44,22,67,10,20,16,43,3,19,19,38,0,14,4,15,0,3,0,5,0,0,0,0,28,189,81,297,3,9,4,20,0,30,8,42,4,36,3,44,3,28,9,40,6,17,3,26,6,25,10,34,0,5,0,9,0,4,0,4,0,3,0,3,20,153,32,209,3,21,10,35,4,63,9,79,6,84,15,108,9,70,30,107,10,35,23,68,11,40,22,78,3,20,4,24,0,4,0,8,0,3,0,3,49,343,118,506
SOS91,0,25,11,37,3,31,7,41,5,80,26,114,16,87,18,112,7,108,28,145,8,106,34,147,3,85,23,106,0,14,3,24,0,0,0,0,44,538,148,724,0,22,5,34,5,28,3,36,8,70,21,103,14,81,11,106,8,90,29,126,11,84,18,113,3,25,3,38,0,10,0,9,0,3,0,3,54,409,98,562,0,49,20,65,8,51,16,76,20,153,46,221,29,167,23,218,20,199,56,272,16,190,55,261,7,107,24,139,0,26,3,30,0,3,0,3,91,949,244,1285
SOS92,0,28,9,35,3,30,11,45,10,56,16,77,15,79,6,98,12,82,13,116,13,75,13,104,7,66,12,88,9,27,6,34,0,6,0,10,67,450,85,599,0,30,13,43,3,19,3,26,7,76,4,93,22,73,6,103,18,76,13,110,22,88,14,126,16,56,7,84,4,25,7,40,0,7,0,12,100,453,75,623,5,55,20,79,3,47,11,64,14,130,24,169,37,145,13,200,31,163,28,219,38,162,21,223,26,125,23,169,13,49,16,71,0,13,3,22,161,902,160,1222
SOS93,0,27,4,30,0,11,40,54,0,25,108,132,5,59,72,131,10,61,44,115,15,76,20,112,3,49,13,64,0,29,7,37,6,9,3,14,43,354,297,693,6,19,5,28,0,4,0,9,5,38,9,47,15,59,8,80,16,68,11,98,23,62,19,101,15,62,14,88,8,32,4,46,3,12,5,13,86,358,77,519,8,46,11,66,5,14,38,60,4,62,116,185,17,120,81,213,29,134,50,215,35,147,35,214,22,108,21,150,6,62,10,82,9,16,4,29,122,713,371,1207
SOS97,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SOS99,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,3,0,4,0,6,0,0,0,0,0,0,0,0,3,12,3,21,0,0,0,3,0,4,0,4,0,0,0,0,4,0,0,5,0,4,0,4,0,3,0,4,0,5,0,6,0,0,0,0,0,0,0,0,5,23,4,30,0,0,4,3,0,3,4,10,0,0,0,0,3,5,0,5,0,5,0,9,3,8,0,11,0,10,0,13,0,0,0,0,0,0,0,0,5,35,8,46
