SOS_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOS63,488,517,175,252,224,76,38,79,27,1874,567,383,274,515,377,129,55,134,34,2471,1931,410,4104,1371,1071,527,871,1207,192,11685,96,29,70,115,151,103,47,151,6,775,163,77,98,250,193,96,52,142,16,1088,49,39,30,32,39,20,16,28,0,250,242,117,172,134,121,126,128,254,102,1397,5041,6236,5238,3170,2836,1232,1248,2210,461,27659
SOS67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
SOS69,0,4,0,0,0,0,3,0,0,7,0,4,4,4,5,0,0,0,0,15,4,0,20,11,3,0,4,9,0,49,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,7,45,31,22,13,4,5,23,3,149
SOS70,420,502,278,363,299,96,66,91,28,2144,736,704,572,982,754,229,118,180,68,4345,1381,764,5976,1749,1748,623,916,993,307,14456,68,70,100,163,203,109,62,102,9,882,131,108,118,263,241,106,70,118,23,1180,51,101,93,59,62,29,20,63,19,502,111,140,199,166,148,112,97,190,179,1344,5656,11469,8182,5293,5298,1925,1594,2303,813,42550
SOS71,125,229,49,170,92,30,17,21,17,750,210,242,116,374,219,54,39,45,13,1306,458,287,1357,724,555,180,250,279,98,4188,29,43,19,93,71,50,14,39,20,379,39,47,32,112,63,33,15,46,19,402,15,33,13,23,24,18,8,14,8,160,52,97,62,113,66,35,46,80,78,624,1606,4057,1803,2155,1489,505,432,643,300,12997
SOS72,44,70,22,42,30,3,3,11,3,224,63,47,45,101,46,7,3,25,4,345,165,156,420,239,147,51,106,136,41,1453,13,37,21,79,39,14,16,31,7,254,20,38,15,64,27,14,18,15,13,222,3,4,7,12,3,0,0,8,5,39,25,69,22,79,28,29,19,62,100,433,567,1138,583,774,408,147,178,325,186,4300
SOS73,84,130,52,66,64,13,15,25,0,441,183,120,106,181,172,40,19,40,20,878,514,236,1688,384,424,133,335,423,61,4203,32,31,20,42,56,23,8,58,5,276,34,25,41,61,84,27,21,42,9,356,3,18,7,8,12,3,4,8,3,63,62,44,67,62,64,27,48,97,43,514,1292,1646,2075,916,1084,296,480,748,170,8702
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,0,0,0,0,7,0,18
SOS79,0,3,3,3,0,0,0,6,0,19,3,3,3,7,3,3,5,5,0,37,7,12,52,12,5,3,17,25,0,136,0,0,10,3,0,0,0,0,0,13,0,0,9,7,0,3,0,3,0,22,0,3,3,3,0,0,0,0,0,7,0,3,0,0,0,0,0,7,0,16,28,102,85,54,22,12,31,54,4,387
SOS80,1619,2226,684,1068,1775,424,107,230,194,8339,2477,2585,1337,2235,3043,627,177,400,341,13217,3133,2262,9006,3721,4270,1393,1029,1511,562,26888,192,174,158,375,486,265,67,183,30,1936,386,394,191,496,914,263,100,204,74,3021,205,443,130,150,238,77,33,83,48,1416,252,388,288,264,396,172,73,219,309,2364,26527,56985,14264,13453,22959,5424,2082,4232,3575,149496
SOS82,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,7,0,11,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15,8,9,8,0,3,0,80
SOS83,7,10,0,3,8,0,0,0,0,32,11,8,7,8,3,0,0,0,0,34,21,5,40,17,11,3,3,9,0,112,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,70,83,54,33,41,12,10,9,9,315
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,3,0,0,0,0,0,0,8,0,3,0,3,3,0,0,0,3,14,0,0,5,8,9,0,3,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,47,11,21,29,7,3,8,9,139
SOS91,10,3,3,4,0,0,0,6,0,22,7,13,6,16,8,0,0,8,4,53,20,3,85,32,28,4,17,13,3,201,3,0,0,6,3,0,4,7,0,19,0,0,4,3,8,0,7,0,0,22,0,0,0,0,0,0,0,4,0,8,5,3,7,7,3,0,6,3,0,35,81,73,109,77,62,9,37,48,14,505
SOS92,8,5,3,6,3,5,0,0,0,31,6,3,7,7,11,0,0,4,0,41,25,6,58,21,11,4,10,18,0,156,0,3,0,4,0,0,0,0,0,19,7,0,3,6,0,7,0,7,3,30,0,0,0,0,0,0,0,0,0,3,7,9,3,3,3,4,4,12,0,46,100,82,76,66,39,21,23,45,14,462
SOS93,3,7,3,3,5,3,0,3,0,30,4,0,4,10,9,3,0,3,0,37,18,4,76,9,7,4,6,7,0,138,0,0,0,0,3,0,0,0,0,8,4,3,3,9,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,3,3,0,6,5,4,0,3,3,30,59,54,90,54,50,25,9,18,5,373
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
SOS99,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
