SOS_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS27,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,154,279,344,173,120,132,83,17,3,1302,154,279,344,173,120,132,83,17,3,1302,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,314,539,839,476,367,299,190,47,14,3080,314,539,839,476,367,299,190,47,14,3080
SOS30,..,23560,19580,5284,5499,5522,3174,1154,276,64049,..,5601,13379,12811,17737,28032,31980,25370,14386,149290,4944,7860,6127,3008,3158,3747,2932,1594,752,34128,289303,203415,226557,216690,205999,169690,125624,65088,25810,1528171,..,9557,159111,244359,234863,197593,149689,64503,13478,1073154,..,38394,96098,55153,39679,21713,9147,2017,317,262525,..,5388,20875,37720,40336,19728,8850,6030,3977,142894,584409,..,..,..,..,..,..,..,..,584409,..,146052,..,..,..,..,..,..,..,146052,..,95513,43983,15965,10104,5083,927,30,0,171603,..,21288,13381,4953,6464,9646,8717,6049,3495,73997,..,18619,15851,5501,4151,2634,1162,379,114,48399,..,47101,46523,14130,12552,11580,6838,2487,583,141794,..,11336,30389,31221,38966,49061,49762,35318,19293,265348,9918,14956,13228,7500,6619,6456,5000,2517,1027,67217,594327,408204,439440,416503,393734,323492,240091,119335,42283,2977402
SOS31,..,2761,2370,849,1427,1480,1047,377,76,10384,..,1775,2877,2425,5084,8225,9924,8655,4431,43395,1599,2087,1489,833,1144,1540,1276,748,272,10989,80581,45264,49955,49500,51964,48282,39829,22002,7538,394914,..,2787,36650,52280,55574,55751,48209,22598,4142,278000,..,12340,21937,13469,11199,6838,3257,865,107,70003,..,2501,7563,10842,9681,4214,2147,1828,1003,39782,161966,..,..,..,..,..,..,..,..,161966,..,28154,..,..,..,..,..,..,..,28154,..,24848,8238,3887,2898,1429,227,11,0,41545,..,4384,2093,1124,1818,2637,2189,1522,802,16571,..,3229,2146,1029,967,580,287,103,34,8370,..,5624,5600,2337,3160,3167,2257,856,140,23125,..,3560,7195,6999,11691,16132,16886,12682,6055,81195,3239,4345,3501,2183,2430,2755,2301,1209,385,22346,165203,91763,94921,94157,99409,93508,77759,41671,12659,771061
SOS32,..,256,171,125,287,338,202,58,14,1459,..,196,322,346,808,1492,1600,1160,414,6322,288,359,195,157,206,315,300,106,29,1952,12577,6512,6587,7793,9330,9790,7647,3148,836,64213,..,315,4206,7641,9870,11382,9773,3454,537,47177,..,1538,3274,2743,2624,1841,884,175,15,13088,..,416,1121,1505,1403,675,418,304,160,5993,25320,..,..,..,..,..,..,..,..,25320,..,4082,..,..,..,..,..,..,..,4082,..,4100,1415,689,565,206,44,3,0,7018,..,837,398,276,417,510,445,275,134,3300,..,391,242,148,178,144,82,27,3,1218,..,455,400,323,605,714,459,159,32,3147,..,407,843,1080,2160,3318,3454,2021,666,13954,588,697,485,407,470,623,571,222,65,4120,25908,13236,12384,14800,18285,19415,16142,6636,1625,128429
SOS33,..,512,430,311,675,802,488,111,26,3362,..,337,518,666,1654,2784,2740,1704,623,11019,582,877,579,333,573,848,613,211,64,4677,36101,19018,17344,24298,31069,29033,19991,7168,1876,185900,..,935,14106,29332,39775,40101,29861,9947,1409,165473,..,3028,7017,6767,7403,5073,2107,380,40,31814,..,515,1756,3023,3363,1693,1048,818,416,12637,73537,..,..,..,..,..,..,..,..,73537,..,15662,..,..,..,..,..,..,..,15662,..,13406,4953,2311,1624,666,107,7,0,23067,..,1339,562,388,643,1196,1394,975,630,7135,..,1482,890,542,658,545,362,127,30,4644,..,1029,1041,839,1488,1770,1191,332,61,7742,..,840,1698,2335,5021,7310,6743,3514,1124,28584,1216,1837,1414,1042,1321,1707,1312,391,104,10350,74760,40072,33445,46581,61293,60056,44128,16492,3817,380645
SOS37,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,9,0,0,3,0,0,0,4,0,0,9
SOS39,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,197,296,383,206,262,480,297,51,0,2180,197,296,383,206,262,480,297,51,0,2180,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,402,654,939,620,610,860,634,126,5,4858,402,654,939,620,610,860,634,126,5,4858
SOS40,..,6940,5697,1464,1546,1638,920,326,87,18615,..,2125,5862,5254,7821,13061,14699,12851,8286,69949,1453,2387,2025,994,996,1160,1081,652,362,11117,94005,69957,78816,72096,74354,68091,52058,30482,13327,553199,..,3212,57294,82835,82534,77116,61505,30381,7288,402170,..,9356,28867,16824,13900,8662,3445,821,151,82023,..,1646,7115,12777,15657,8724,3374,2654,1701,53651,190148,..,..,..,..,..,..,..,..,190148,..,59023,..,..,..,..,..,..,..,59023,..,33165,20395,6333,4420,2075,335,13,0,66733,..,7590,4682,1637,2066,3137,2313,1640,1046,24118,..,4973,3974,1298,942,572,234,59,11,12071,..,14403,14116,4151,3975,3468,1923,660,180,42881,..,4300,13399,13618,18671,23618,22573,17545,11030,124745,3023,4626,4668,2626,2319,2086,1797,989,506,22643,193167,142293,154516,142096,144487,129463,97499,54764,21915,1080202
SOS41,..,731,576,204,367,392,260,106,25,2658,..,705,1237,1026,2160,3663,4554,4324,2578,20241,577,785,488,314,390,560,569,289,104,4070,26341,15993,16141,17024,19520,19088,17158,10116,3885,145272,..,774,11666,17860,20883,22349,21231,10611,2246,107623,..,3634,7269,4778,4362,2720,1236,346,78,24420,..,638,2330,3731,3949,1752,712,569,347,14031,52629,..,..,..,..,..,..,..,..,52629,..,12274,..,..,..,..,..,..,..,12274,..,8824,3177,1194,926,445,85,4,0,14655,..,1251,583,280,427,588,497,353,207,4187,..,787,530,247,235,147,54,15,11,2025,..,1616,1508,654,835,830,518,210,56,6218,..,1430,3135,3050,5232,7178,7246,6091,3458,36813,1169,1486,1157,755,798,963,1001,483,153,7970,53799,32711,31357,32551,37647,36970,32574,18679,6553,282848
SOS42,..,47,58,32,73,94,47,20,3,368,..,84,147,130,327,598,726,595,363,2968,70,117,80,46,75,116,119,52,20,705,4222,2338,2432,2712,3426,3680,3002,1530,582,23927,..,185,1867,2923,3818,4540,3896,1782,348,19342,..,470,1156,845,870,647,307,71,5,4372,..,65,304,525,552,232,111,92,54,1926,8547,..,..,..,..,..,..,..,..,8547,..,1836,..,..,..,..,..,..,..,1836,..,1344,517,172,145,77,16,0,0,2267,..,251,127,78,100,116,95,48,44,847,..,124,67,31,35,30,21,0,4,305,..,137,143,84,152,185,110,40,5,855,..,195,468,469,958,1426,1425,965,509,6420,148,239,173,147,166,246,221,98,28,1477,8694,4833,4810,5273,6795,7501,6196,3087,999,48191
SOS43,..,118,97,63,181,199,122,32,4,814,..,113,197,210,563,988,976,664,289,4005,186,315,191,112,169,280,193,73,25,1541,11672,6350,5322,7675,10495,10291,6793,2410,674,61682,..,274,4460,9800,13994,14794,10566,3359,521,57770,..,778,2172,2184,2635,1926,726,106,14,10551,..,99,418,761,1103,545,245,203,143,3521,23815,..,..,..,..,..,..,..,..,23815,..,6131,..,..,..,..,..,..,..,6131,..,4465,1763,585,425,198,31,0,0,7466,..,396,181,96,181,266,258,169,122,1670,..,286,168,98,118,96,45,18,4,825,..,283,267,193,375,444,252,81,16,1910,..,337,740,942,2053,2884,2453,1267,469,11144,393,625,440,327,423,595,420,136,45,3403,24207,13666,10602,14996,21301,21752,14992,5345,1338,128199
SOS47,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,60,76,104,59,70,61,34,7,3,485,60,76,104,59,70,61,34,7,3,485,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,120,206,309,199,168,154,94,21,3,1277,120,206,309,199,168,154,94,21,3,1277
SOS50,..,7831,9334,2297,2044,2087,1213,460,138,25409,..,2840,8814,7296,9191,15627,17593,15407,8574,85340,2158,3340,2982,1445,1324,1687,1481,876,445,15736,165780,110463,137906,124295,117343,97457,68674,38369,14668,874964,..,5516,103961,151651,143983,118901,85637,39480,8301,657431,..,17144,56574,28812,21497,11911,4778,1138,191,142041,..,2402,9917,17670,21352,11531,4592,3041,1886,72391,335911,..,..,..,..,..,..,..,..,335911,..,93603,..,..,..,..,..,..,..,93603,..,55708,28637,8311,4994,2422,421,15,3,100514,..,13483,9191,2650,3129,4729,3852,2717,1616,41370,..,7699,9124,2635,1694,962,335,112,39,22602,..,17265,24295,7071,5397,4570,2599,970,271,62448,..,6154,20779,18623,21888,28121,27491,21088,11372,155513,4350,6420,6685,3581,2927,2895,2419,1381,610,31267,340260,225392,269174,240994,226873,186044,132121,69947,24281,1715089
