SOS_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOS30,12155,50196,14539,17943,2181,119181,18242,8956,67371,32371,38479,4997,170422,994,502,5021,3221,5977,661,16374,1651,791,6166,7517,25870,1319,43321,2328,586,7769,5579,15703,5568,37529,90927,41477,307357,175224,373454,37718,1026153
SOS31,2656,11668,3227,5369,580,25762,2143,1564,11075,7417,11350,1304,34852,55,37,353,377,960,124,1912,162,109,717,1341,7934,397,10666,131,84,688,852,4201,1413,7362,7796,6522,43408,32514,113066,10593,213909
SOS32,366,1755,559,914,136,4119,247,219,1326,1188,1668,241,4890,16,8,81,78,199,12,394,22,27,103,165,1221,115,1661,22,7,110,133,747,290,1310,1085,933,5818,5169,17691,2225,32924
SOS33,1214,5125,1981,2825,386,12727,998,715,4610,3327,4275,612,14539,59,25,286,272,546,66,1258,73,52,368,587,3790,192,5068,124,52,556,621,2566,905,4827,4483,3316,22676,18771,58628,6697,114572
SOS37,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,19,0,33
SOS39,10,40,10,24,0,117,24,10,96,36,35,13,211,3,0,19,5,19,3,53,9,0,14,5,46,0,76,3,3,24,15,54,35,126,115,48,613,267,773,144,1957
SOS40,3754,17413,5315,4894,672,40249,7378,3733,26817,12470,15466,2055,67919,353,172,1483,921,1622,181,4724,625,320,2224,2190,9345,531,15236,627,161,2067,1305,3786,1523,9468,33266,14674,108279,57319,121597,12705,347844
SOS41,907,4267,1516,1657,187,9503,807,626,4263,3124,4898,498,14219,37,20,151,149,369,50,774,81,48,299,404,2690,115,3624,46,31,258,247,1099,422,2098,3358,2536,16244,12603,39322,3911,77974
SOS42,156,685,282,317,48,1596,87,69,559,598,729,84,2142,4,3,21,28,58,10,126,6,12,66,61,496,21,662,4,4,38,47,226,83,396,370,386,2293,2106,6929,790,12873
SOS43,415,1737,769,805,110,4252,357,320,1815,1338,1658,228,5717,21,16,104,72,176,22,410,21,25,114,156,1299,65,1675,35,27,166,177,601,233,1240,1586,1345,8399,7011,19462,2450,40253
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS49,3,13,3,3,0,35,5,0,20,8,16,3,47,0,0,5,0,3,0,13,0,0,4,3,10,0,12,0,0,4,3,16,12,34,30,11,116,62,181,46,444
SOS50,8374,28609,8199,10290,1632,67830,9170,4915,37327,16767,18397,3291,89862,706,360,3279,1671,2950,362,9326,1068,463,4081,3998,15667,798,26076,1718,469,5967,3852,9788,3049,24845,54164,25931,194416,99715,205305,23915,603457
SOS51,1424,4939,1511,2623,311,11533,873,770,4668,2902,4069,572,13845,46,23,279,217,551,48,1164,102,58,400,596,3632,178,4967,70,42,397,476,2095,668,3748,3531,3345,20388,15480,52460,5200,100406
SOS52,203,782,200,485,85,1857,72,71,410,395,587,115,1661,10,5,51,33,90,15,201,12,6,44,52,517,45,675,8,4,54,59,329,125,584,378,429,2548,2076,7650,1091,14184
SOS53,496,1851,728,1003,168,4551,226,204,1358,957,1143,213,4098,15,13,137,90,267,39,565,28,21,143,225,1377,77,1878,67,30,248,249,1029,289,1915,1598,1411,10076,7716,24859,2697,48353
SOS57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,28,3,47,9,3,34,54,144,10,250
SOS59,8,28,5,5,0,57,12,5,30,9,22,0,86,0,0,10,3,4,0,20,0,0,4,0,29,0,29,3,3,17,4,42,16,86,69,20,301,133,590,58,1169
SOS60,609,3037,644,898,115,7039,1007,659,3467,1574,2650,320,9690,151,74,441,149,346,30,1187,126,59,318,268,1235,71,2080,89,20,254,120,524,226,1235,5584,2806,15879,7329,18678,1881,52156
SOS61,388,2918,695,1198,149,6109,612,481,2794,1872,3365,382,9513,23,18,146,102,302,31,633,46,31,183,268,1749,60,2331,31,9,151,153,775,288,1413,2339,1557,10511,7097,24763,2309,48573
SOS62,65,396,103,157,23,898,85,56,321,239,374,51,1128,12,3,30,29,47,3,122,9,0,28,34,259,16,339,11,3,20,24,115,67,244,432,246,1509,1126,3753,482,7548
SOS63,241,1292,382,573,76,2990,277,234,1173,903,1345,175,4102,47,19,117,80,206,24,504,26,9,79,106,848,48,1117,17,15,114,92,520,208,963,1397,919,5771,4377,13550,1644,27659
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,23,0,30
SOS69,0,4,0,3,0,8,0,0,6,9,3,3,26,0,0,4,0,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,3,10,12,3,40,30,58,7,149
SOS70,550,1664,452,684,89,4223,647,352,2202,841,958,165,5162,77,20,218,149,267,31,769,74,28,223,191,849,74,1431,78,33,277,197,747,311,1647,3812,1943,11873,6557,16514,1846,42550
SOS71,205,738,186,350,75,1812,294,214,951,491,615,132,2692,23,13,62,27,84,20,226,39,24,113,76,329,48,633,17,13,75,48,208,110,472,1060,710,3390,2075,4972,785,12997
SOS72,71,282,63,170,49,725,29,35,139,75,171,61,510,12,3,40,13,52,14,122,12,4,29,22,191,47,309,6,3,26,10,84,107,233,237,162,925,574,1933,470,4300
SOS73,96,307,134,281,40,933,48,43,187,135,205,31,646,4,3,34,29,66,10,153,8,5,31,35,311,14,410,7,9,49,41,220,93,415,275,282,1395,1341,4830,582,8702
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,0,4,0,6,3,18
SOS79,6,9,0,9,0,24,4,6,21,7,5,0,46,0,0,4,0,3,0,10,0,0,0,0,0,0,7,0,0,3,0,13,5,23,31,16,90,52,175,24,387
SOS80,1839,6628,1534,1683,220,16741,2769,1215,7101,2946,3097,488,17620,340,162,891,315,506,56,2273,427,150,981,720,2109,122,4510,431,89,929,445,886,480,3257,27571,10438,54134,21739,31843,3784,149496
SOS82,0,4,0,0,0,7,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,28,10,30,0,80
SOS83,0,11,7,9,0,39,3,0,12,3,4,0,27,3,0,7,4,11,0,22,0,0,0,4,11,0,11,0,0,0,3,5,0,11,37,9,73,63,117,10,315
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,3,7,0,3,0,14,3,0,5,4,8,0,18,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,4,22,5,50,16,33,5,139
SOS91,16,17,3,9,6,48,3,0,9,9,9,0,32,0,0,6,0,10,0,20,0,0,0,0,10,0,10,0,0,3,3,10,3,19,29,26,83,79,241,43,505
SOS92,6,21,5,14,0,52,6,0,6,4,8,0,21,0,0,3,0,5,0,13,0,0,0,6,12,0,19,0,0,3,5,8,9,16,19,10,100,71,208,50,462
SOS93,3,11,3,6,3,35,3,0,12,6,6,3,30,0,0,8,3,4,4,21,0,0,3,0,10,0,13,0,0,0,3,5,3,14,19,8,70,69,177,32,373
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8
