SOS_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,23
SOS29,7,3,12,11,31,40,17,52,7,178,34,34,33,40,54,108,31,64,7,405,6,10,26,18,59,70,35,55,5,297,13,59,40,55,28,32,21,19,8,277,15,14,23,21,45,33,9,10,7,182,3,29,16,16,30,13,7,11,6,134,14,11,11,14,42,35,15,48,13,200,6,46,42,46,51,47,19,31,12,307,8,10,7,0,0,3,3,3,23,57,111,212,205,226,348,385,170,296,84,2033
SOS30,4319,5480,6613,10499,27669,38151,25202,58776,1564,178281,12967,24957,28093,39636,64020,75292,34823,55775,2622,338183,5379,10128,11157,15965,46341,49519,27267,37799,2927,206483,6999,32379,28119,35018,30163,19440,10336,12495,2672,177623,7599,20971,23641,28035,64049,40006,17181,16545,1960,219985,4308,39567,22440,22391,24137,16852,8897,14293,1946,154833,2648,4999,5708,8374,20055,15502,10403,19313,1665,88667,4184,28862,20303,21603,27406,18375,8650,12033,2814,144232,1018,1855,1311,1642,3652,3724,1354,2874,7216,24644,49426,169194,147383,183165,307492,276863,144124,229901,25390,1532936
SOS31,1028,1218,1226,2112,4742,5861,4501,12536,389,33621,2520,3628,4323,6858,9438,10129,5560,9402,462,52316,2015,2864,2591,4053,12627,11621,9141,14404,916,60235,1909,6257,6090,8962,7103,4166,2322,3288,692,40791,1646,4519,4654,6131,11291,6609,3247,3421,408,41923,1157,8961,4797,5688,5649,2980,2033,2681,486,34425,1581,1410,1475,2017,5094,4541,5645,12165,726,34648,1550,8704,5271,6777,8704,6056,3426,4962,1059,46513,336,399,233,344,686,595,303,716,1834,5437,13734,37958,30654,42953,65339,52551,36181,63568,6971,349905
SOS32,198,268,269,394,781,980,632,2697,76,6291,409,616,708,1063,1235,1367,703,1253,68,7429,347,577,441,741,1752,1728,1034,2032,167,8819,302,995,958,1462,1051,657,351,493,122,6378,249,755,832,1019,1594,979,437,533,80,6465,160,1095,677,729,739,391,243,399,74,4504,290,287,247,382,888,886,755,2019,141,5894,322,1467,909,1165,1373,1161,554,1053,198,8194,70,82,42,73,124,102,50,146,341,1016,2345,6135,5084,7030,9529,8247,4749,10621,1257,54996
SOS33,974,2009,1624,2452,2812,5740,3022,20648,775,40056,1271,2322,2751,3651,3739,4556,2201,4782,257,25528,1028,1844,1621,2223,5259,5859,3592,7547,533,29500,787,3053,2851,3631,2449,1554,873,1292,328,16818,820,3184,3050,3517,4847,3317,1470,2196,309,22704,434,3652,2026,2117,1996,1273,741,1392,218,13842,871,856,906,1184,2314,2521,2115,6907,449,18124,880,4279,2601,3212,3682,3723,1843,4663,608,25493,224,235,166,183,294,386,141,527,1250,3401,7288,21435,17613,22159,27391,28937,15982,49942,4727,195465
SOS37,0,0,0,0,0,0,3,6,0,13,0,0,0,0,0,4,0,0,0,8,4,4,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,0,7,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
SOS39,20,21,12,25,26,37,20,82,9,264,47,34,31,52,73,96,26,72,10,446,30,23,22,28,62,82,33,96,17,392,15,54,52,61,48,40,23,41,13,349,22,24,17,16,55,25,29,30,3,226,13,26,33,29,21,23,13,13,10,182,21,9,16,32,51,40,29,94,11,300,24,69,101,156,134,110,65,127,33,825,12,3,3,3,4,9,0,12,51,97,195,274,297,410,473,463,235,575,158,3087
SOS40,1508,2229,2490,4257,10498,11575,9115,16200,456,58326,4998,9360,11266,14743,26266,22524,12126,16034,833,118145,1918,3895,4174,6331,17865,15501,8380,9327,925,68309,2951,13498,10455,13450,10411,6126,3447,3647,941,64919,2829,7601,8719,10991,23707,10867,5503,4133,578,74931,1732,15459,7588,7708,7851,4621,2904,3364,638,51853,929,1686,1930,2919,8042,4797,3410,4385,443,28543,1589,12597,7332,7670,10070,5450,2963,2948,899,51514,422,679,442,620,1505,1029,459,688,2189,8022,18870,67000,54395,68688,116212,82486,48295,60727,7893,524576
SOS41,514,644,621,1093,2037,2597,2092,4406,169,14175,1011,1525,2128,2781,3818,3466,2275,3302,169,20479,684,1163,1120,1655,4359,4281,2376,3208,268,19121,823,3029,2615,3590,2481,1422,859,1054,239,16109,630,1866,1942,2597,3917,1928,1038,893,106,14922,522,3628,2057,2314,1977,1040,849,849,138,13357,444,544,568,647,1873,1539,1492,2886,177,10162,806,4184,2247,2542,3268,2651,1169,1193,340,18400,129,154,119,130,298,246,153,211,608,2045,5553,16740,13416,17344,24034,19162,12299,18001,2222,128771
SOS42,137,173,156,256,399,540,379,1103,44,3182,159,260,331,463,465,496,282,448,28,2936,156,259,228,331,708,753,382,638,48,3497,133,545,460,581,337,216,132,161,51,2612,120,359,347,406,521,276,154,130,14,2330,78,454,275,288,231,174,125,149,23,1809,91,137,124,136,349,285,251,572,38,1981,147,754,401,486,583,458,260,306,60,3453,29,24,9,27,42,42,18,31,124,348,1054,2969,2344,2967,3628,3251,1970,3528,428,22141
SOS43,615,1061,922,1435,1387,2922,1789,7934,281,18338,553,853,1255,1419,1353,1490,857,1515,129,9423,342,634,603,905,1768,1881,1035,1770,158,9099,345,1241,1089,1269,724,491,293,381,97,5934,289,1176,1139,1306,1468,914,403,511,85,7297,182,1289,703,759,570,416,267,411,88,4688,226,302,272,376,715,737,536,1492,100,4748,373,1830,999,1190,1426,1473,651,1107,221,9277,88,100,70,82,109,131,33,150,323,1082,3009,8494,7062,8735,9530,10457,5871,15263,1470,69883
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOS49,4,0,4,6,7,8,4,13,0,54,15,15,13,10,23,20,5,16,3,103,10,5,12,9,20,18,6,26,3,112,4,13,10,4,8,3,3,3,0,53,3,4,10,12,12,6,5,7,0,57,3,12,9,13,6,3,4,0,3,49,0,6,6,11,17,8,16,13,11,85,13,24,18,32,50,36,17,14,12,212,0,0,0,0,0,0,0,0,8,11,53,82,68,103,139,100,63,98,32,734
SOS50,2616,3819,4447,6154,15171,23741,14782,29845,827,101408,7808,16440,18398,20523,36846,46579,21512,30510,1576,200198,4835,7381,7972,9880,28191,32906,16420,27616,2188,137393,4018,20070,16084,17106,14710,10987,5265,6739,1521,96505,4248,13781,15075,15299,31091,22986,9104,8470,1074,121136,2590,24213,13046,10742,11160,8688,4133,6149,1034,81754,2644,3428,3363,4425,11223,9176,6725,15211,1101,57296,2871,18732,12270,10226,11783,9263,4223,8273,1474,79117,671,1177,883,929,2022,2238,882,1819,3778,14396,32305,109042,91536,95287,162204,166574,83045,134635,14577,889202
SOS51,662,690,601,1029,2106,2980,2223,5414,167,15866,1271,1791,2156,2555,4173,4832,2719,4101,174,23772,1461,1417,1361,1925,4706,5943,4667,8700,492,30684,941,2921,2485,3553,2751,2077,1192,1482,275,17680,791,2253,2267,2681,4409,2973,1414,1607,176,18576,564,3818,1956,2203,2344,1484,906,1061,244,14575,1113,708,660,786,1562,1868,2805,6870,344,16719,977,4102,2345,2724,2663,2369,1377,2695,425,19682,192,187,110,148,314,351,241,464,761,2768,7979,17890,13940,17603,25026,24875,17533,32395,3068,160316
SOS52,141,166,141,206,292,530,343,1304,46,3170,201,252,266,310,476,597,337,561,37,3032,219,261,238,339,625,868,560,1202,86,4393,154,420,382,540,391,397,191,267,79,2815,125,403,357,420,509,429,172,245,27,2696,67,364,212,262,206,210,131,159,18,1637,226,165,132,168,347,348,386,1312,74,3170,193,638,401,445,425,503,269,519,97,3497,40,27,25,20,50,60,30,102,191,552,1370,2705,2159,2705,3329,3935,2430,5668,656,24959
SOS53,765,1113,1054,1326,1025,2648,1695,8865,302,18792,526,996,1136,1211,1203,1527,912,2291,109,9915,775,711,770,914,1610,2241,1386,5843,239,14491,308,1049,928,1034,730,673,318,591,98,5729,321,1312,1169,1209,1268,1103,501,908,92,7882,148,1152,623,634,517,451,254,437,67,4282,617,429,372,384,695,782,861,4584,180,8905,479,1586,895,1017,863,1222,665,2902,189,9821,93,124,63,72,110,134,63,310,374,1342,4041,8465,7019,7793,8021,10784,6647,26736,1657,81157
SOS57,3,0,0,0,0,0,0,8,0,11,0,0,3,0,3,5,3,64,0,78,3,0,0,0,3,0,0,71,0,87,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,35,0,0,5,0,0,3,3,79,3,100,0,3,0,0,0,0,0,9,0,9,16,12,11,0,4,14,11,274,4,334
SOS59,17,7,4,3,4,16,9,48,3,104,29,26,14,20,25,44,25,58,3,235,27,21,19,15,40,35,21,161,11,349,9,20,25,18,19,17,12,34,7,162,7,15,10,9,20,16,16,21,0,114,5,17,14,11,17,11,8,5,3,90,19,15,15,16,24,24,18,139,3,276,12,35,48,44,48,56,25,114,10,386,10,4,3,3,0,6,0,8,24,58,140,151,146,136,200,222,136,587,60,1773
SOS60,250,367,404,661,1588,1748,1237,2472,59,8793,872,1546,2013,2706,4109,3303,1784,2353,111,18803,248,661,587,903,2436,2536,1146,1122,117,9756,451,2143,1669,2105,1514,923,558,663,138,10163,522,1150,1380,1631,3813,1675,821,676,71,11729,325,2392,1109,1029,1242,667,406,419,89,7678,116,283,254,308,732,546,461,464,82,3250,283,1879,1028,1011,1176,787,344,366,128,7017,89,106,104,105,284,181,59,108,299,1331,3151,10529,8546,10459,16884,12373,6820,8651,1096,78514
SOS61,261,307,337,596,1394,1556,1153,2380,77,8070,654,1065,1398,1811,2759,2373,1275,1798,100,13235,391,727,701,974,2916,2855,1488,1532,158,11749,575,2057,1987,2358,1498,873,499,588,160,10587,448,1116,1255,1625,2776,1453,685,645,62,10056,359,2556,1384,1414,1491,778,478,543,103,9109,267,380,401,505,1301,1044,923,1222,116,6163,499,2424,1420,1543,1926,1217,588,632,230,10476,64,109,85,103,234,176,78,116,397,1367,3511,10733,8975,10928,16302,12329,7173,9458,1397,80808
SOS62,75,86,74,118,199,284,184,487,20,1531,116,196,263,292,309,308,163,260,27,1937,87,140,130,201,389,447,217,293,36,1946,91,266,265,311,173,117,75,96,25,1409,71,196,214,210,342,184,92,76,12,1402,58,303,158,164,156,114,51,77,18,1094,47,52,63,75,178,172,179,236,19,1022,90,413,207,264,275,262,94,164,44,1811,20,14,12,23,29,37,10,21,75,241,650,1674,1385,1646,2062,1918,1070,1714,270,12383
SOS63,310,521,476,641,796,1385,783,2991,149,8058,364,657,968,1037,1140,1043,533,931,68,6737,251,477,477,652,1437,1581,754,997,117,6743,261,875,952,1003,572,325,243,268,67,4563,251,705,739,831,1190,652,260,309,50,4983,141,994,580,526,494,299,181,234,54,3505,181,219,230,248,570,595,473,752,87,3347,290,1206,705,732,957,831,388,572,132,5814,51,62,58,43,123,82,47,110,255,832,2077,5724,5188,5715,7267,6795,3659,7162,982,44577
SOS67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,14,0,0,0,0,4,4,0,0,0,9,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,23,0,47
SOS69,0,3,0,0,3,4,0,6,0,17,3,0,3,3,3,12,8,10,0,49,0,3,0,3,8,13,3,4,0,38,3,3,7,7,8,0,0,0,5,33,0,5,3,3,7,3,0,0,0,27,0,3,4,4,0,0,0,0,0,14,0,4,3,0,5,0,0,3,0,20,0,8,10,4,5,7,0,6,0,54,0,0,0,0,0,0,0,0,0,3,14,38,27,28,45,38,17,39,10,247
SOS70,263,144,169,298,1233,1596,1087,2647,70,7519,625,560,579,1001,2820,2826,1386,2612,123,12530,381,325,322,436,1982,2104,1249,3271,197,10275,421,718,818,865,1609,1371,888,1178,167,8042,379,462,513,800,3028,1858,765,1012,110,8922,137,983,612,600,928,518,298,444,84,4605,134,109,174,215,707,552,393,1079,78,3443,169,663,639,619,812,672,328,1276,148,5337,83,48,39,58,209,189,82,227,347,1275,2588,4015,3872,4900,13335,11687,6478,13744,1335,61953
SOS71,80,59,47,77,452,426,310,719,19,2192,217,189,239,353,1264,1124,490,683,49,4614,91,79,72,123,515,574,372,498,33,2360,162,247,262,361,871,565,245,493,77,3272,124,134,119,247,970,493,225,231,21,2566,48,262,104,159,310,136,97,136,36,1278,45,46,42,65,174,110,128,227,21,853,58,241,127,224,362,276,117,205,60,1665,27,31,18,25,94,76,36,51,223,583,839,1295,1029,1630,5008,3786,2026,3247,536,19395
SOS72,37,16,16,36,129,150,74,304,14,775,78,90,83,128,301,340,132,258,33,1448,45,33,53,61,146,181,75,214,23,823,57,126,142,213,296,238,84,159,48,1356,40,35,50,72,204,140,53,85,16,693,16,46,50,50,80,74,29,30,5,375,29,33,24,43,50,70,34,144,18,433,18,78,72,103,154,193,48,121,21,797,23,33,15,24,32,26,12,25,144,324,332,496,506,716,1393,1414,528,1322,316,7025
SOS73,73,58,56,91,255,371,197,855,40,1996,126,126,150,192,401,395,183,346,33,1952,122,101,94,145,420,567,306,814,61,2615,85,123,139,194,281,252,130,191,33,1426,106,119,150,186,545,368,151,233,25,1880,23,157,91,93,123,94,58,78,12,735,57,39,46,70,166,132,88,456,29,1084,73,162,150,156,200,256,114,544,59,1713,21,8,15,22,49,30,12,68,106,340,688,905,887,1150,2426,2458,1240,3586,400,13740
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,14,10,28
SOS79,9,3,3,0,9,6,10,9,0,41,17,3,14,7,19,13,11,29,0,108,7,3,3,0,9,32,14,45,0,104,12,5,4,13,14,16,8,13,5,84,4,4,3,3,4,3,4,7,0,34,4,4,0,5,11,3,0,5,0,32,7,0,3,0,6,5,4,36,0,63,0,4,9,9,16,13,5,39,5,104,0,0,0,0,3,3,0,0,3,15,52,28,40,30,78,93,56,175,18,574
SOS80,1277,851,1156,2063,5902,7460,5340,8368,223,32635,2775,3804,3926,5744,15524,15033,7043,8224,480,62555,507,1057,1059,1408,4672,5120,2339,3118,252,19538,922,4668,3164,3100,3653,2443,1419,1782,428,21586,1695,2466,2782,3721,11443,6789,3000,2370,287,34551,513,4456,2099,1765,2001,1228,692,918,238,13914,166,475,340,426,780,872,596,914,96,4673,321,2482,1684,1311,1624,1305,573,784,221,10307,264,258,222,335,1222,1055,421,547,780,5112,8435,20517,16438,19883,46826,41307,21416,27033,3009,204869
SOS82,0,0,0,0,0,0,4,18,0,25,0,3,3,3,0,3,4,4,0,22,0,3,0,3,0,3,0,3,0,12,0,9,3,0,0,0,4,0,0,15,3,3,6,0,9,3,0,0,0,20,0,4,4,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,25,12,16,15,13,10,29,3,130
SOS83,3,7,7,8,6,16,10,35,0,94,7,5,6,14,11,18,10,17,0,86,3,0,3,5,12,22,3,18,0,72,0,10,3,5,12,9,3,7,0,50,7,3,4,7,23,9,4,3,0,62,0,8,6,0,4,0,0,0,0,21,0,3,0,0,0,0,0,6,0,14,5,0,0,0,3,9,0,3,4,23,0,0,0,0,0,3,0,0,0,8,24,33,33,50,76,81,40,82,8,424
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,6,0,7,3,21,3,9,3,4,5,13,6,7,0,57,0,0,0,0,5,10,0,4,0,14,3,5,0,8,8,3,0,5,0,34,3,9,0,3,11,5,0,0,0,28,0,4,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,3,0,3,3,3,3,0,0,20,0,0,0,0,0,0,0,0,3,6,9,28,14,22,35,46,12,35,6,202
SOS91,6,6,4,3,34,17,14,23,0,100,3,4,5,6,32,21,8,4,0,85,7,6,12,14,36,30,25,25,0,145,7,10,3,13,16,8,30,28,3,120,12,7,11,9,38,20,4,6,0,103,3,0,3,0,3,0,0,0,0,13,5,6,3,3,34,13,13,22,3,101,13,19,9,7,46,21,10,9,7,132,0,4,0,0,4,0,3,3,3,19,55,60,48,55,228,129,105,120,17,820
SOS92,8,5,3,9,12,25,12,66,5,142,7,3,3,7,13,24,8,16,0,87,6,7,3,13,30,14,19,16,3,113,4,14,15,17,18,15,10,14,8,104,9,5,6,10,21,5,9,12,0,64,0,12,8,16,8,4,8,7,0,58,0,3,0,0,15,0,0,6,6,37,4,21,12,26,25,10,3,11,5,119,0,7,0,0,0,3,0,3,3,16,43,75,46,90,146,103,71,143,30,756
SOS93,0,4,3,17,14,14,15,20,3,92,0,9,9,3,10,17,5,10,0,67,4,10,4,3,36,22,9,15,3,112,3,10,16,10,13,12,5,3,0,76,3,8,6,15,24,14,7,5,0,83,0,11,7,9,7,4,3,4,0,59,0,4,3,7,3,4,3,0,0,25,3,7,5,6,15,6,0,4,0,48,0,0,0,0,4,3,0,3,3,12,20,65,54,70,125,104,52,70,16,573
