SOS_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,6,4,8,0,0,0,11,0,11,0,0,0,8,0,14,0,0,0,8,4,12,0,0,3,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,7,0,0,0,9,0,7,0,0,0,5,0,9,0,0,0,5,3,4,0,0,0,5,3,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,4,3,7,0,0,0,46,16,63,3,3,4,49,21,68
SOS69,3,0,3,20,12,38,0,0,0,27,20,40,0,0,0,7,9,18,0,0,0,7,12,21,0,0,0,8,10,13,0,0,0,8,9,20,3,3,9,23,31,52,3,0,0,34,33,62,7,4,6,45,22,69,8,3,12,56,29,90,3,3,5,51,32,80,16,5,15,66,38,103,0,0,0,43,23,66,9,3,10,55,29,79,5,0,9,42,32,72,6,0,6,53,30,80,3,0,3,33,21,55,6,0,6,36,24,65,3,3,3,29,20,56,3,5,9,37,29,67,3,3,4,26,24,57,7,3,7,38,36,69,0,0,0,23,29,48,6,0,7,28,25,55,0,0,0,23,26,50,3,3,4,24,30,58,4,3,6,41,41,81,10,9,18,52,44,100,34,22,55,418,338,755,68,33,104,524,393,912
SOS70,559,511,1064,3563,3502,7072,429,402,830,4550,4413,8966,581,540,1119,3132,2932,6061,351,329,675,4063,3803,7862,581,561,1143,2586,2545,5133,280,274,554,3445,3384,6832,530,480,1014,2539,2299,4835,286,285,573,3362,3058,6422,549,421,976,3568,3074,6646,557,428,987,4680,3926,8610,495,406,900,5128,4846,9971,905,647,1553,6524,5903,12429,439,346,786,5103,4904,10006,797,575,1370,6338,5828,12164,370,321,697,4285,3986,8270,671,418,1090,5326,4729,10061,350,342,692,3771,3485,7257,553,386,935,4676,4210,8884,292,331,623,3608,3187,6794,568,351,920,4472,3866,8340,242,262,502,3163,2876,6042,458,330,790,3856,3470,7331,187,199,388,2763,2595,5361,406,301,706,3348,3099,6452,148,176,325,2297,1985,4284,332,274,599,2774,2436,5213,170,255,428,3954,3631,7589,492,397,882,4618,4282,8903,5505,5151,10658,49466,45855,95328,7067,5401,12476,62041,56416,118456
SOS71,927,804,1732,926,886,1812,186,130,317,2036,1826,3865,1024,902,1923,840,831,1673,134,127,256,1993,1856,3858,1034,856,1887,715,670,1388,161,120,281,1905,1642,3545,901,852,1755,687,529,1217,141,111,256,1735,1493,3230,798,808,1601,635,664,1301,156,136,294,1590,1609,3197,723,766,1482,1014,1203,2217,224,270,494,1959,2237,4195,747,805,1551,1126,1217,2339,222,218,443,2092,2243,4330,623,658,1277,936,1032,1965,143,172,321,1702,1859,3560,612,642,1257,894,913,1811,144,154,300,1659,1703,3366,540,595,1131,948,964,1912,175,183,357,1664,1744,3407,427,546,971,979,970,1942,167,157,329,1573,1673,3243,286,390,675,893,883,1772,148,148,295,1329,1420,2748,237,285,519,740,678,1422,154,128,283,1125,1099,2227,271,431,699,1053,907,1958,226,189,422,1552,1524,3081,9139,9334,18475,12382,12352,24731,2388,2254,4640,23913,23934,47847
SOS72,969,941,1906,172,191,360,49,43,90,1187,1167,2353,1032,974,2005,196,154,353,47,46,98,1278,1175,2454,976,933,1905,127,117,251,31,41,68,1131,1087,2223,954,880,1837,100,69,170,27,27,57,1083,977,2063,870,968,1838,160,132,289,62,54,113,1092,1147,2241,867,882,1755,252,278,528,70,75,144,1194,1235,2431,692,774,1465,244,292,539,59,53,107,996,1118,2114,549,658,1205,258,222,487,56,65,117,871,940,1812,522,637,1160,253,197,448,53,42,103,833,879,1711,484,637,1119,257,244,500,83,63,146,824,940,1768,389,457,849,291,239,530,82,68,142,754,766,1523,295,348,641,289,236,525,70,42,113,651,628,1279,177,279,458,228,196,426,48,40,90,454,518,973,271,397,667,324,219,546,63,54,121,662,674,1331,9051,9757,18810,3158,2795,5948,812,700,1508,13019,13250,26270
SOS73,452,425,880,604,617,1225,127,137,260,1181,1178,2364,470,491,958,708,620,1322,146,131,275,1320,1238,2557,497,436,934,619,576,1200,153,109,255,1269,1116,2392,522,473,997,606,472,1073,149,111,256,1276,1055,2328,597,414,1005,642,495,1136,148,124,278,1392,1032,2417,464,350,812,681,596,1278,185,127,304,1327,1066,2395,414,348,760,729,697,1422,171,140,308,1313,1177,2491,326,298,629,764,698,1458,181,131,309,1273,1127,2396,328,296,626,795,727,1523,160,121,286,1281,1149,2428,272,251,524,965,850,1816,206,164,377,1448,1268,2716,220,245,468,949,751,1704,209,147,348,1380,1144,2522,171,199,368,803,688,1491,184,151,330,1154,1034,2196,126,132,264,732,506,1236,170,101,269,1030,740,1766,177,221,395,1173,806,1976,217,149,373,1569,1173,2738,5041,4570,9609,10767,9094,19862,2403,1836,4236,18212,15494,33706
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,3,0,0,0,7,4,10,0,0,0,8,4,11,0,0,0,12,3,13,4,0,4,14,3,17,0,0,0,10,0,10,0,0,0,10,0,7,0,0,0,7,0,7,5,0,5,11,0,11,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,47,7,61,11,4,15,61,14,70
SOS79,3,5,9,32,25,54,9,4,18,45,34,81,3,0,7,21,47,70,7,11,17,31,56,93,3,4,8,14,7,23,0,5,4,19,14,30,13,9,20,3,5,14,0,0,3,16,17,32,34,26,60,45,44,93,16,12,32,98,85,183,29,26,60,67,67,132,26,38,61,122,129,251,30,32,69,56,59,112,12,17,32,98,106,206,42,34,74,44,38,80,13,11,26,97,83,179,46,48,98,55,35,91,18,10,27,122,95,213,60,51,112,53,40,88,20,10,24,131,99,225,55,39,89,59,50,109,17,22,31,126,104,233,31,21,55,60,69,130,14,14,29,110,100,215,20,12,32,81,85,168,15,17,28,118,107,223,18,3,18,144,94,240,36,17,56,196,117,311,394,305,696,733,664,1402,204,181,387,1332,1157,2489
SOS80,379,348,728,12814,11985,24797,652,538,1187,13843,12868,26710,367,304,674,12285,11417,23701,516,454,962,13165,12174,25338,318,306,625,10648,10114,20762,392,383,778,11354,10805,22165,328,342,674,11491,11226,22714,498,507,1002,12311,12080,24393,376,309,683,14545,14344,28887,875,849,1726,15795,15502,31297,275,299,575,14608,15244,29850,1002,942,1942,15880,16487,32372,208,242,452,15202,15967,31162,1025,879,1904,16432,17084,33516,181,202,385,13987,14192,28182,772,716,1488,14935,15108,30049,168,198,368,12925,13385,26309,755,652,1407,13854,14234,28084,192,171,361,12210,12563,24774,709,612,1319,13111,13343,26451,156,173,332,10982,11773,22754,627,583,1215,11763,12535,24299,110,129,237,10071,10793,20864,562,581,1148,10747,11503,22252,98,78,170,8491,9387,17879,463,532,996,9053,9991,19049,91,113,205,21196,25499,46701,1333,1583,2916,22622,27198,49821,3246,3218,6464,181444,187897,369338,10189,9805,19992,194879,200914,395790
SOS82,0,0,0,0,5,8,0,0,0,0,5,8,0,0,0,15,8,26,0,0,0,15,8,26,0,0,0,11,10,27,0,0,0,11,10,27,0,0,0,5,10,15,0,0,0,5,18,18,0,0,0,3,5,10,4,0,4,10,5,12,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,3,7,7,0,0,0,3,7,7,0,0,0,4,3,10,0,0,0,4,3,10,0,0,0,11,17,26,0,0,0,11,17,26,0,0,0,14,9,25,0,0,0,14,9,27,0,0,0,6,14,22,0,3,3,6,13,19,0,0,0,10,5,12,0,0,0,10,5,12,0,0,0,8,16,21,0,0,0,8,14,27,0,0,0,33,23,56,0,0,0,34,23,55,3,0,7,126,133,263,4,3,10,135,140,271
SOS83,3,0,3,38,18,58,4,3,10,45,23,66,0,0,0,31,25,62,3,3,3,37,26,67,0,0,0,21,20,44,0,0,0,18,25,41,0,0,0,24,29,49,3,4,6,28,31,58,0,0,0,25,19,41,0,3,5,25,20,41,0,0,0,25,22,48,3,3,7,29,28,55,0,0,0,23,27,50,3,4,10,26,32,59,0,0,0,32,32,67,9,0,8,43,33,75,0,0,0,26,27,54,3,4,6,26,34,62,0,0,0,25,23,46,0,4,4,25,24,51,0,0,0,33,21,58,5,4,8,44,24,69,0,0,0,22,24,48,4,0,3,24,27,53,0,0,0,23,9,28,4,0,8,25,12,40,0,0,0,26,25,47,0,5,5,26,29,57,5,0,12,367,323,694,42,46,86,422,368,793
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,8,6,14,0,0,0,5,6,12,0,0,3,5,7,13,0,0,0,7,7,22,0,0,0,0,0,3,0,0,0,0,0,3,4,0,5,15,14,29,0,3,4,16,20,35,3,3,7,35,31,66,6,4,5,36,42,79,0,0,0,31,23,51,3,0,3,36,21,60,0,0,3,24,12,41,0,0,5,32,20,47,0,4,3,29,18,43,4,3,7,31,25,59,6,0,6,28,9,40,8,0,8,37,9,45,0,0,0,16,6,24,0,0,3,14,11,26,0,0,0,24,16,41,3,0,4,32,15,43,0,0,3,11,18,29,3,3,7,20,22,41,0,0,0,17,13,30,3,0,9,26,15,36,0,0,0,19,15,33,3,0,3,20,15,37,15,12,33,255,199,454,37,18,62,312,228,538
SOS91,0,0,0,60,40,98,3,4,7,64,41,105,0,0,0,52,45,91,12,3,19,61,54,107,0,0,0,31,50,89,4,6,10,40,61,100,0,0,0,30,31,59,10,4,8,37,34,65,0,0,0,30,28,57,6,3,14,41,36,76,0,0,0,49,39,86,12,5,22,57,47,104,0,0,0,44,46,88,11,11,27,61,61,117,0,0,0,50,53,100,10,4,13,61,57,116,0,0,0,50,43,92,3,7,13,55,48,106,0,0,0,52,53,102,9,12,22,63,62,128,0,0,0,67,52,121,13,12,27,85,65,149,0,0,0,57,52,105,13,12,26,68,66,128,0,0,3,60,43,100,15,8,27,79,49,130,0,0,0,102,42,147,26,5,32,131,45,175,3,7,9,734,603,1339,154,101,255,888,710,1599
SOS92,4,4,10,35,48,81,3,0,3,36,53,90,4,0,8,45,37,84,3,3,9,53,37,97,4,3,3,39,33,74,0,3,5,49,35,84,0,8,11,33,31,65,0,7,6,35,43,79,3,0,4,35,18,58,8,3,7,45,26,64,0,0,0,26,34,60,6,4,8,35,39,69,0,0,0,42,53,92,3,0,3,44,52,97,3,3,3,50,37,83,0,0,0,52,42,90,0,5,9,47,55,100,0,4,9,52,63,109,4,3,4,38,44,87,3,3,4,49,48,95,3,0,5,56,48,109,8,3,16,66,53,123,0,0,3,55,59,115,3,3,11,60,66,125,0,0,0,35,55,89,3,4,11,40,60,104,0,7,5,116,117,233,8,16,24,131,133,263,26,39,62,649,666,1316,58,53,106,735,752,1495
SOS93,3,3,8,32,22,55,0,0,0,34,30,61,4,7,19,30,33,66,0,0,0,40,44,80,11,6,17,26,31,56,3,0,3,42,38,82,6,6,13,28,20,47,0,3,3,30,28,66,3,3,6,43,4,52,0,0,0,54,9,60,3,7,4,64,10,75,3,0,3,67,15,85,9,3,10,57,25,85,5,3,6,68,32,96,4,5,12,63,33,102,0,0,0,68,43,113,3,9,13,51,27,85,6,3,6,60,41,104,7,12,13,53,36,85,3,3,10,59,51,107,8,3,6,44,44,89,3,3,9,52,54,102,4,6,17,55,42,94,3,7,10,64,55,120,3,0,3,44,38,77,4,5,9,47,50,94,9,6,12,102,122,223,10,21,27,115,147,259,77,76,153,693,496,1183,41,56,94,810,624,1429
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,6
SOS99,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,4,3,0,0,3,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,3,6,7,0,0,0,6,5,8,0,0,0,6,8,13,3,0,3,20,29,51,0,3,3,21,28,55
