SOS_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOS29,120,13,0,0,0,0,0,50,178,297,29,13,3,0,0,0,112,453,279,43,15,5,3,3,0,104,450,161,32,28,20,3,0,3,92,345,78,23,27,17,7,7,4,78,253,69,23,27,22,11,4,7,67,229,43,14,23,27,11,5,3,48,170,47,21,36,15,10,3,0,47,177,31,9,47,32,15,9,3,41,188,24,13,35,32,8,3,3,35,169,22,11,34,32,18,0,3,17,141,6,0,18,9,10,10,0,17,62,5,3,6,8,4,0,0,4,32,0,0,4,3,0,0,3,3,16,3,0,6,6,0,4,5,9,28,1190,232,328,236,96,44,38,716,2883
SOS30,91176,1093,148,30,21,5,25,10311,102797,95893,8376,3517,800,176,26,61,11004,119862,75595,18225,12281,4211,1217,328,180,10436,122469,45902,26159,27492,10061,3269,1047,701,8799,123433,24671,19845,37638,16223,5451,1764,1296,7079,113972,19098,17503,42636,20537,6951,2217,1784,6869,117590,17465,16366,41614,21099,7264,2341,1810,6936,114896,15377,13872,37730,20873,7540,2332,1660,6556,105942,12731,11482,34449,21287,8053,2436,1522,6204,98168,9985,9382,30380,19430,7668,2235,1359,5717,86168,7911,7673,28267,18585,7490,2307,1390,5403,79032,5590,5042,19051,14469,6435,2278,1506,4388,58755,3760,3016,11113,10430,6107,2628,1941,3849,42834,2519,2163,6766,7011,4670,2291,2161,3713,31303,3013,3192,7822,7271,4840,2528,2553,7586,38799,430678,163381,340895,192317,77137,26769,19967,104871,1356018
SOS31,21627,617,94,22,10,7,7,3229,25611,16338,3460,1783,487,77,16,19,2433,24610,12014,5102,4791,1923,618,182,70,2492,27198,6686,4972,7896,4013,1410,496,306,2183,27955,3722,3378,8449,5060,2100,759,581,1816,25857,3352,3320,9150,5791,2396,955,770,2011,27743,3324,3330,9566,5922,2507,903,774,2131,28455,3231,3029,9377,6244,2697,998,692,2148,28420,2968,2621,9007,6603,2898,948,639,2174,27853,2566,2408,8379,6164,2770,919,562,2022,25793,2256,2016,8028,6011,2832,908,583,2053,24683,1595,1395,5691,4921,2681,993,734,1794,19803,1107,859,3374,3563,2398,1105,933,1520,14866,750,599,1899,2220,1794,942,1009,1317,10523,802,793,2110,2097,1645,929,1139,2148,11661,82341,37891,89593,61054,28819,11061,8817,31471,351044
SOS32,3091,109,13,0,0,0,0,707,3922,1998,559,300,81,27,3,4,429,3399,1325,650,616,338,101,35,20,342,3423,837,595,1076,578,239,97,72,307,3797,605,478,1157,709,328,148,127,297,3855,601,525,1424,899,427,166,174,370,4588,689,580,1551,964,426,189,179,395,4967,697,576,1663,1080,526,184,142,442,5310,655,548,1772,1274,586,175,147,435,5597,591,428,1693,1256,578,143,143,424,5252,400,435,1546,1241,565,213,130,409,4931,263,258,965,901,502,218,142,358,3599,159,129,483,489,369,179,169,251,2219,63,74,208,272,259,132,139,145,1296,69,72,180,208,172,114,144,164,1134,12040,6007,14656,10285,5101,2000,1725,5476,57294
SOS33,10611,125,25,7,3,3,4,1778,12551,6704,877,406,84,23,3,6,1022,9128,4111,1557,1523,557,197,36,23,886,8893,2426,1818,3033,1647,558,151,80,929,10656,1662,1444,3845,2425,977,270,214,1004,11840,1733,1667,4996,3269,1389,407,286,1279,15013,2045,1675,5691,3626,1586,474,312,1433,16837,2098,1705,5684,3989,1736,560,335,1526,17636,1923,1505,5328,4251,1888,529,316,1506,17248,1465,1266,4802,3797,1759,562,307,1323,15269,1048,982,4092,3402,1725,550,330,1199,13326,634,596,2478,2346,1302,495,356,867,9071,360,316,1075,1238,901,437,335,552,5217,173,139,466,595,457,272,300,290,2692,131,153,376,403,352,210,258,261,2140,37122,15815,43835,31623,14850,4962,3440,15861,167514
SOS37,4,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,5,8,0,0,0,3,14,0,0,4,0,0,0,0,0,3,3,0,3,3,4,0,0,4,12,0,0,0,3,0,0,0,0,9,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,18,18,5,3,0,9,81
SOS39,157,0,0,0,0,0,0,33,203,412,17,15,4,3,0,0,118,576,436,23,21,7,7,0,0,138,627,198,33,32,9,11,0,3,83,374,78,31,45,22,15,3,3,65,261,70,33,35,28,6,5,5,68,256,66,39,59,33,14,9,7,72,298,87,32,104,60,20,12,7,84,393,91,56,166,112,48,12,14,100,592,53,47,207,154,64,14,10,91,639,42,35,175,129,56,16,5,82,539,20,20,60,65,38,14,9,33,254,5,6,29,23,18,3,8,29,118,4,5,3,9,3,0,0,0,34,3,3,0,7,0,0,0,10,18,1728,366,959,652,307,89,77,1006,5179
SOS40,30905,284,56,12,4,0,4,3359,34631,33854,2298,948,183,38,3,14,3190,40535,27109,6258,3744,1086,295,77,49,2756,41372,16021,9972,9718,2980,855,304,185,2369,42406,8245,7195,13418,5021,1462,475,367,1891,38082,6285,6088,14699,6044,1850,611,465,1718,37760,6290,5876,15301,6965,2035,580,496,1901,39443,6240,5355,14938,7038,2304,679,482,1905,38944,5567,4876,14856,7374,2498,655,437,1967,38242,4536,4265,13809,6992,2285,637,356,1765,34637,3506,3461,13227,7067,2333,604,377,1810,32384,2177,2051,9406,6079,2181,669,417,1575,24555,1421,1326,5935,5157,2566,970,640,1396,19413,955,1101,3934,3881,2307,971,807,1356,15316,1479,1767,5101,4477,2642,1316,1123,2413,20318,154606,62183,139078,70364,25659,8542,6228,31377,498030
SOS41,7717,123,19,3,3,0,0,1027,8897,6048,910,467,75,28,3,4,639,8171,4089,1606,1492,505,167,42,20,559,8481,2187,1716,2663,1188,395,118,64,517,8849,1237,1181,3006,1776,546,207,102,441,8495,1142,1180,3618,2018,742,232,140,532,9609,1313,1296,3963,2186,802,249,190,610,10614,1292,1170,3804,2263,799,296,160,653,10429,1196,1115,4030,2406,873,281,154,728,10777,1084,994,3947,2413,925,196,133,610,10305,886,869,4164,2667,946,265,140,735,10667,658,581,2903,2383,1053,327,210,667,8770,433,357,1691,1816,1104,440,286,588,6720,275,235,964,1201,910,460,364,500,4912,360,388,1199,1242,915,493,500,930,6035,29917,13723,37925,24150,10209,3601,2468,9742,131734
SOS42,1203,17,8,3,0,0,0,186,1412,825,131,49,14,5,0,0,115,1141,584,253,233,97,19,3,4,107,1296,289,234,410,224,72,21,11,98,1360,177,170,467,316,86,28,16,115,1370,213,174,544,335,133,37,22,85,1547,194,208,616,381,137,46,32,119,1726,240,206,706,475,160,37,32,127,1990,245,216,752,466,174,57,27,130,2074,200,170,774,470,187,52,31,149,2037,167,155,693,489,201,57,31,156,1947,96,94,465,444,191,69,33,119,1503,51,45,228,289,178,82,63,83,1015,35,29,104,192,158,76,84,86,772,53,52,174,199,166,78,79,182,982,4588,2143,6218,4396,1872,640,475,1852,22179
SOS43,3530,27,6,0,0,0,3,584,4147,2243,205,102,15,4,0,4,254,2823,1343,426,407,158,37,10,7,205,2588,751,553,1014,510,155,38,23,220,3265,479,428,1275,864,285,62,47,236,3677,486,478,1702,1115,370,88,73,300,4604,630,537,1984,1367,481,114,73,374,5554,710,596,2059,1333,524,166,81,404,5881,697,506,2129,1443,599,153,92,437,6064,549,464,1942,1320,560,140,64,409,5464,351,348,1706,1157,479,135,73,324,4568,237,199,994,796,383,113,79,229,3035,98,95,426,457,297,112,86,144,1723,62,36,197,229,184,68,84,63,930,45,54,148,186,124,63,88,94,796,12203,4942,16084,10972,4480,1268,878,4286,55110
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
