SOS_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,8,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,4,3,11,5,0,0,0,25
SOS29,52,191,377,169,132,102,19,0,0,1038,90,157,230,172,129,178,157,40,23,1175,38,102,182,144,89,73,32,7,5,669,178,453,795,479,347,352,204,49,28,2883,27,136,482,250,171,109,19,0,0,1194,32,136,187,94,91,86,17,3,0,641,3,5,35,21,22,20,3,3,0,111,6,12,22,20,16,3,0,0,0,84,64,289,726,386,300,215,42,7,0,2033,21,52,148,83,72,30,5,0,0,410,29,59,54,29,13,20,3,0,0,204,47,111,202,111,90,48,10,0,0,613,117,397,921,499,388,268,51,7,0,2647,165,284,449,311,262,338,355,95,28,2291,74,215,474,477,328,210,80,16,5,1886,357,898,1848,1295,975,816,482,121,38,6825
SOS30,58926,87391,181690,175049,169169,106429,20729,1580,236,801190,38895,24785,48355,44027,39667,67235,107946,65266,31441,467621,4979,7681,15859,12488,12002,10676,9113,7291,7125,87205,102797,119862,245900,231564,220836,184335,137788,74134,38799,1356018,16392,81850,243008,234539,226732,133637,20899,1183,146,958378,67025,67784,91515,94169,85065,66205,24832,2904,235,499735,2725,4167,14549,9885,7922,7861,2072,206,37,49426,2108,3464,6219,5149,4334,2775,893,320,126,25390,88251,157261,355293,343745,324058,210474,48693,4610,547,1532936,7427,12427,16506,12633,12231,8530,609,70,27,70463,17363,9370,8596,6589,5061,4479,1169,107,12,52745,24790,21802,25099,19219,17290,13013,1777,183,40,123210,113042,179064,380395,362960,341346,223489,50472,4794,585,1656142,85227,44671,69627,61932,61370,109591,196809,118232,49516,796976,10358,15835,32468,26321,25326,21530,17822,12731,10336,172733,208634,239568,482484,451215,428041,354606,265108,135751,60437,2625846
SOS31,14535,17095,37451,38613,41223,27372,4909,519,80,181789,9449,5519,13574,11449,11800,22481,36013,22156,9768,142211,1631,1996,4136,3538,3861,3800,3560,2713,1809,27050,25611,24610,55156,53602,56880,53652,44485,25389,11661,351044,5789,20103,49635,49547,52867,34216,5039,391,57,217640,15659,9992,18924,21412,21411,17596,5722,764,79,111562,747,965,3543,2424,2553,2720,690,81,16,13734,706,754,1418,1339,1330,887,327,166,44,6971,22897,31820,73527,74725,78155,55408,11776,1396,196,349905,2709,3720,4803,3956,4087,3003,167,20,7,22469,3057,1323,2016,1698,1434,1402,269,29,5,11244,5768,5039,6819,5650,5523,4410,434,54,15,33716,28661,36859,80340,80377,83681,59816,12213,1454,207,383622,20709,8636,18383,16832,19286,37765,68301,41609,15609,247141,3230,4133,9218,8160,8745,8207,7122,4913,2835,56562,52606,49633,107945,105374,111716,105789,87643,47969,18647,687318
SOS32,1894,2060,4579,5939,7175,5488,1057,113,17,28324,1711,1006,2096,1933,2367,4596,6758,3029,963,24459,317,340,548,566,737,762,720,383,152,4519,3922,3399,7224,8436,10279,10853,8532,3516,1134,57294,864,2382,5710,7252,8964,6676,1148,128,20,33146,2001,1257,2459,3394,3955,3796,1228,147,22,18250,110,130,420,443,538,522,159,22,5,2345,114,103,214,244,254,202,98,23,5,1257,3095,3869,8797,11329,13713,11190,2632,321,48,54996,402,480,692,660,816,727,53,9,3,3830,324,180,279,267,258,267,48,12,0,1639,725,661,969,923,1077,989,97,23,7,5467,3817,4535,9768,12250,14793,12179,2730,342,52,60464,3662,1670,3109,3107,4167,8028,13855,6309,1766,45668,656,654,1175,1256,1622,1644,1590,767,267,9626,8132,6856,14049,16612,20584,21853,18174,7421,2085,115759
SOS33,6675,6644,13177,19571,25214,18025,4715,783,91,94896,4980,1696,4763,5168,6521,11890,15653,6263,1730,58660,896,789,1610,2115,2733,2604,2026,860,318,13957,12551,9128,19550,26852,34470,32520,22396,7908,2140,167514,3559,8419,18280,25661,34066,24286,6505,1323,141,122246,7179,4058,7010,11143,13739,12296,4738,917,131,61207,369,388,1379,1201,1553,1713,562,89,26,7288,389,374,577,872,1031,793,450,204,44,4727,11498,13236,27246,38878,50388,39084,12252,2529,344,195465,905,1088,1253,1294,1794,1557,97,16,3,8015,1180,419,510,616,636,760,132,16,0,4268,2085,1503,1763,1914,2432,2319,228,28,3,12282,13583,14738,29014,40791,52822,41408,12483,2560,344,207751,11017,3181,7170,8025,10868,21026,32677,13725,3369,111062,1897,1740,3726,4605,5998,5796,4569,1997,599,30922,26495,19656,39910,53426,69689,68226,49736,18283,4307,349730
SOS37,4,0,6,4,4,9,0,0,0,35,0,3,0,0,3,6,11,6,0,32,0,0,0,0,0,4,4,0,0,9,5,4,6,3,7,19,16,7,0,81,0,3,3,8,8,9,0,0,0,32,3,0,5,0,3,5,0,0,0,16,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,3,9,8,11,19,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,9,14,13,17,3,0,0,68,0,3,0,0,7,7,23,12,3,57,0,3,0,0,0,4,7,0,0,22,11,11,11,14,24,30,33,16,4,144
SOS39,89,305,538,205,263,280,28,0,0,1712,81,148,257,185,285,756,663,116,16,2514,29,118,212,122,140,184,102,36,6,959,203,576,1005,514,688,1224,798,153,18,5179,40,257,610,294,302,216,26,5,0,1749,52,181,299,115,141,155,38,0,0,978,4,15,46,30,44,50,6,0,0,195,9,19,50,35,23,9,5,3,0,158,103,480,1010,470,509,430,76,6,0,3087,52,107,189,148,137,117,8,0,0,757,32,27,51,36,32,42,10,0,0,228,83,140,234,191,166,150,15,0,0,986,179,618,1245,662,678,581,94,8,0,4074,162,287,505,383,570,1362,1548,304,24,5145,72,228,535,436,418,430,273,70,13,2472,408,1133,2293,1485,1663,2373,1916,381,44,11693
SOS40,17412,28419,61421,56833,59642,41702,7977,659,112,274175,15947,10322,18481,15959,15581,28015,45898,31478,18091,199769,1268,1793,3878,3042,3158,3165,3063,2591,2122,24087,34631,40535,83779,75838,78384,72874,56946,34727,20318,498030,3251,21917,77530,72186,75717,49467,7153,444,56,307724,20224,25809,34694,35574,34243,28227,9988,1195,127,190086,860,1548,5533,3674,3057,3154,908,103,23,18870,538,1077,1994,1456,1405,899,358,123,48,7893,24876,50353,119757,112893,114423,81748,18407,1871,261,524576,1849,4303,6784,5140,4640,3047,146,25,7,25952,5977,3850,3170,2427,2021,1651,289,49,4,19436,7827,8150,9952,7574,6659,4701,436,68,19,45393,32700,58509,129707,120462,121085,86446,18839,1943,273,569969,35336,20081,27954,24012,26159,46682,82708,55741,28252,346928,2518,3670,8008,6647,6826,6365,5731,4494,3184,47440,70554,82252,165670,151122,154069,139495,107279,62177,31706,964327
SOS41,4786,6037,12178,13542,15843,11562,2296,225,46,66516,3705,1666,4219,3683,4101,8307,15883,10352,5184,57108,410,466,935,877,1094,1212,1260,1061,802,8114,8897,8171,17335,18108,21044,21080,19438,11631,6035,131734,1472,6165,15444,16099,18982,13109,1993,183,43,73495,5627,4470,7202,8630,9640,8560,2951,391,39,47499,264,430,1323,942,1020,1153,348,61,7,5553,205,228,422,375,437,322,145,60,26,2222,7566,11297,24396,26053,30070,23138,5435,700,123,128771,652,1099,1298,1145,1233,859,41,9,4,6344,1089,513,585,524,509,475,88,15,4,3805,1740,1613,1885,1673,1745,1335,130,23,5,10148,9304,12914,26282,27723,31819,24478,5561,720,125,138925,8187,2871,6118,5764,7015,14157,29148,18926,8279,100465,817,916,1966,1892,2301,2467,2444,1892,1233,15944,18310,16700,34361,35374,41134,41101,37156,21546,9636,255330
SOS42,649,815,1798,2119,2788,2268,469,72,17,11001,700,239,685,628,713,1585,2731,1561,812,9651,67,81,171,174,215,252,256,158,158,1528,1412,1141,2661,2917,3719,4108,3456,1789,982,22179,262,905,2316,2444,3298,2633,458,47,14,12378,755,611,1137,1496,1820,1714,623,109,15,8278,41,64,208,150,200,270,106,18,0,1054,35,31,65,64,84,83,27,36,6,428,1089,1612,3724,4160,5406,4702,1215,202,35,22141,74,157,170,158,229,184,7,0,0,984,117,50,65,60,88,109,17,0,0,502,193,207,232,217,316,291,23,0,0,1483,1286,1817,3960,4374,5717,4990,1232,209,35,23622,1445,423,979,993,1260,2881,5392,3057,1286,17719,155,156,346,359,470,538,545,307,243,3116,2891,2392,5278,5731,7452,8402,7180,3567,1559,44462
SOS43,1986,2132,4141,6347,8872,7122,1915,288,54,32852,1926,516,1345,1456,1866,3605,5164,2122,660,18647,235,176,370,480,700,797,530,235,87,3613,4147,2823,5851,8278,11439,11525,7601,2649,796,55110,926,2616,5663,8071,11746,9260,2359,381,71,41109,2323,1639,2566,4136,5609,5325,2224,403,62,24298,123,168,446,474,623,829,280,48,12,3009,142,130,202,248,288,252,130,63,13,1470,3514,4552,8883,12929,18276,15667,4995,898,164,69883,183,273,322,298,433,397,20,3,0,1924,324,136,123,167,200,248,38,3,0,1230,499,414,439,465,628,648,63,3,0,3160,4015,4969,9318,13399,18899,16311,5059,902,168,73041,4227,973,2056,2349,3318,6509,10696,4491,1220,35839,507,439,859,1069,1539,1698,1208,513,164,8003,8754,6381,12234,16817,23752,24519,16965,5909,1555,116882
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
