SOS_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOS69,524,393,912,27,20,40,16,22,36,34,33,62,56,29,90,120,69,183,93,54,147,77,59,135,52,56,113,48,38,84,8,5,12,0,0,3,0,0,0,524,393,912,34,22,54,4,0,4,3,0,3,34,22,55,376,286,659,72,66,139,378,300,680,31,31,67,363,301,666,3,9,11,12,18,33,10,21,28,4,6,9,15,15,28,141,149,296,32,24,62,121,85,209,37,23,51,19,13,34,0,0,3,0,0,0,0,0,0
SOS70,62041,56416,118456,4550,4413,8966,7512,7184,14697,3362,3058,6422,4680,3926,8610,12865,11727,24590,9999,8939,18940,8332,7340,15672,6128,5533,11658,3296,2864,6161,1071,1098,2169,245,323,572,58372,53650,112017,3667,2764,6436,4850,4529,9380,239,213,454,414,409,821,5505,5151,10658,38102,34198,72303,16359,16348,32703,40690,37194,77878,13138,13537,26681,45817,42577,88392,807,810,1612,6613,6336,12950,2097,2061,4161,819,1067,1880,2221,3891,6112,24518,25083,49601,5885,4653,10541,8102,6382,14488,1856,1617,3469,1449,1461,2910,280,326,603,50817,50047,100872,16966,10198,27164
SOS71,23913,23934,47847,2036,1826,3865,3899,3502,7406,1735,1493,3230,1590,1609,3197,4053,4479,8531,3357,3568,6924,3235,3412,6653,2455,2518,4971,1137,1004,2139,344,389,731,74,136,209,22254,22362,44611,1662,1571,3237,8883,9096,17983,56,46,102,200,185,391,9139,9334,18475,17439,17396,34831,3743,3958,7702,12497,12378,24870,8290,8664,16959,19146,19231,38373,385,386,766,3253,2999,6253,881,759,1640,124,174,297,607,1173,1785,6320,7631,13949,2304,2196,4497,3477,3190,6664,1192,1112,2302,1408,1310,2718,308,254,562,20108,20385,40496,5677,5465,11146
SOS72,13019,13250,26270,1187,1167,2353,2412,2267,4676,1083,977,2063,1092,1147,2241,2188,2351,4538,1700,1824,3522,1578,1709,3289,1111,1146,2251,493,491,980,140,147,289,27,40,69,12144,12332,24482,873,917,1791,8876,9550,18426,41,46,81,139,164,301,9051,9757,18810,11382,11681,23067,673,699,1378,4011,3666,7679,7721,8366,16088,11722,11992,23719,237,282,526,2027,1936,3956,365,350,712,41,63,100,166,385,554,2189,2526,4714,999,1177,2175,1906,1849,3758,991,1014,2003,1440,1444,2885,307,309,611,11600,11947,23547,3022,2685,5711
SOS73,18212,15494,33706,1181,1178,2364,2591,2357,4949,1276,1055,2328,1392,1032,2417,2640,2248,4891,2556,2273,4827,2826,2410,5235,2185,1779,3962,1215,889,2104,306,242,541,45,45,88,17163,14652,31824,1045,838,1889,4902,4440,9338,57,45,98,87,84,178,5041,4570,9609,13998,11940,25939,1619,1551,3169,11263,9549,20811,3642,3697,7344,14694,13016,27711,233,223,449,2133,1948,4079,564,479,1038,99,124,225,222,525,754,3672,4321,7996,1788,1428,3217,3450,2295,5743,1026,668,1698,1067,903,1970,195,225,416,14098,13146,27243,8422,5282,13703
SOS77,61,14,70,0,0,0,0,3,3,0,0,0,4,0,3,23,3,30,16,0,19,11,0,9,3,0,3,0,0,0,0,3,3,0,0,0,61,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,16,47,3,53,16,10,27,37,3,37,11,7,21,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,42,3,42,0,3,6,5,3,8,8,0,8,0,0,0,0,0,0,0,0,0,185,68,252
SOS79,1332,1157,2489,45,34,81,48,76,123,16,17,32,98,85,183,219,239,457,215,180,396,257,203,461,229,212,438,174,105,278,20,10,38,0,0,0,0,0,0,1332,1157,2489,381,297,683,5,4,11,4,3,7,394,305,696,750,630,1379,191,209,402,720,642,1364,234,218,455,945,813,1750,0,0,4,33,44,84,14,9,18,18,3,21,20,16,33,304,348,654,97,78,170,262,175,434,81,60,144,80,44,124,15,7,19,0,0,0,0,0,0
SOS80,194879,200914,395790,13843,12868,26710,24524,22975,47504,12311,12080,24393,15795,15502,31297,32310,33573,65889,28789,29342,58129,24876,25880,50749,19803,21502,41302,13888,15462,29352,6417,7902,14316,2319,3836,6151,184922,191251,376175,9956,9662,19619,3063,3034,6093,88,92,183,91,93,184,3246,3218,6464,133359,135475,268841,50494,54421,104916,142380,145337,287716,41419,45117,86537,164959,169682,334641,2416,2302,4720,23068,21737,44797,9871,9931,19799,7897,8259,16152,9974,12700,22673,109589,113669,223252,7817,7670,15482,19147,22138,41287,5125,5707,10835,3418,4332,7744,613,776,1395,176224,182908,359139,18620,16899,35519
SOS82,135,140,271,0,5,8,26,21,51,5,18,18,10,5,12,5,9,13,13,19,30,23,26,44,16,25,39,16,12,29,14,6,19,3,0,4,129,129,259,6,12,17,3,0,7,0,0,0,0,0,0,3,0,7,107,115,226,16,21,40,124,131,258,3,8,10,122,131,257,0,0,0,26,21,51,3,14,15,0,0,8,4,8,12,65,71,137,4,8,12,26,27,48,0,3,5,3,3,4,0,0,0,127,131,256,4,3,9
SOS83,422,368,793,45,23,66,57,50,108,28,31,58,25,20,41,50,61,111,65,65,133,64,55,118,50,39,91,18,21,42,6,6,11,0,3,3,386,350,736,34,18,57,5,0,12,0,0,0,0,0,0,5,0,12,338,290,626,43,44,86,353,312,665,25,17,41,366,320,683,11,3,14,51,44,101,20,26,45,7,11,19,8,18,28,175,182,357,21,16,40,61,55,117,12,7,24,7,0,8,0,0,0,343,296,643,107,81,191
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12
SOS89,312,228,538,5,6,12,10,12,22,16,20,35,36,42,79,63,44,108,67,40,107,43,26,68,38,34,78,15,9,24,5,4,8,0,3,3,0,0,0,312,228,538,13,12,29,0,0,0,0,0,0,15,12,33,209,144,351,58,65,130,190,160,355,42,41,82,208,166,372,3,0,5,10,12,20,3,13,16,17,11,29,20,21,42,120,138,257,11,10,20,63,23,86,17,10,23,8,5,12,3,0,3,0,0,0,0,0,0
SOS91,888,710,1599,64,41,105,97,112,208,37,34,65,41,36,76,114,103,221,112,106,218,145,126,272,147,113,261,106,38,139,24,9,30,0,3,3,808,661,1467,81,54,136,0,3,3,3,0,8,0,0,0,3,7,9,391,304,697,319,292,615,293,215,503,445,396,837,573,438,1011,20,13,30,82,95,174,24,16,43,4,5,4,19,25,42,274,247,521,54,41,92,125,92,212,18,13,35,89,47,136,15,22,32,560,501,1059,400,255,655
SOS92,735,752,1495,36,53,90,102,80,181,35,43,79,45,26,64,77,93,169,98,103,200,116,110,219,104,126,223,88,84,169,34,40,71,10,12,22,704,714,1420,30,40,76,26,29,55,5,3,8,0,0,3,26,39,62,508,505,1015,159,177,331,324,297,624,349,403,756,636,626,1262,5,9,14,88,67,152,16,22,38,3,0,4,10,17,34,249,284,536,41,48,86,135,134,264,35,17,58,20,16,33,48,58,103,630,667,1303,339,259,595
SOS93,810,624,1429,34,30,61,80,79,157,30,28,66,54,9,60,132,47,185,131,80,213,115,98,215,112,101,214,64,88,150,37,46,82,14,13,29,777,587,1365,29,37,66,77,77,154,0,0,0,0,0,0,77,76,153,399,397,793,343,169,507,259,307,560,255,264,524,479,508,992,17,11,24,73,63,136,22,21,46,3,3,7,6,10,15,171,233,405,34,40,71,133,133,271,39,31,64,14,12,22,3,0,3,523,567,1090,349,123,469
SOS97,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,17,3,19
SOS99,21,28,55,0,0,3,0,3,3,0,3,3,6,4,10,0,0,0,4,5,5,3,4,9,3,4,11,6,6,13,0,0,0,0,0,0,0,0,0,21,28,55,3,0,3,0,0,0,0,0,0,3,0,3,14,15,24,9,17,22,20,21,40,5,10,10,16,19,39,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,16,25,0,3,3,6,10,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
