SOS_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS40,316,509,1781,2026,2819,5288,11839,12922,8542,46050,76,302,1017,1407,1715,1642,1441,1813,912,10326,2841,4311,9427,8229,8747,8627,8756,7868,5609,64408,30595,81617,165379,150959,153883,139325,107154,62121,31680,922721
SOS41,101,118,409,512,735,1802,4799,4815,3105,16397,15,44,122,185,194,140,153,171,78,1103,962,1201,2654,2647,3210,3339,3715,3235,2222,23177,7351,16585,34327,35362,41124,41076,37142,21528,9634,244130
SOS42,26,29,99,93,164,371,982,918,549,3236,3,10,10,11,23,25,39,25,7,156,179,198,406,467,623,691,750,508,362,4185,1217,2386,5275,5727,7450,8401,7173,3569,1559,42762
SOS43,39,47,139,183,392,870,2219,1340,522,5751,6,8,28,39,50,87,82,95,33,432,581,542,1196,1492,2082,2187,1694,733,246,10754,3518,6350,12224,16810,23740,24515,16965,5905,1555,111575
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SOS49,3,12,15,19,20,22,38,12,7,139,3,0,6,7,0,9,3,0,0,30,32,55,106,127,144,88,48,13,10,612,111,262,554,417,475,403,271,59,22,2575
SOS50,361,563,2013,2779,3575,5959,10339,12283,6439,44322,88,386,1444,1501,1596,1592,1258,1500,761,10131,5459,8992,23438,17976,16676,14861,13677,12252,8558,121885,54859,128637,298411,263183,247267,203700,145862,79349,33885,1455153
SOS51,132,120,338,495,693,1399,2629,2925,1419,10160,24,65,163,157,191,192,193,185,120,1282,1720,2080,5822,5265,5394,4763,3878,2955,1737,33625,10603,19694,50740,49725,48877,42335,29831,15593,6180,273584
SOS52,76,77,160,169,254,458,725,627,263,2806,9,6,23,19,39,59,88,58,17,321,413,412,1074,1013,1127,1183,971,643,275,7122,2014,3277,8040,7784,9172,9189,6744,3263,1007,50490
SOS53,54,51,152,225,356,690,1252,1013,315,4121,12,10,63,50,83,92,86,78,24,497,838,1410,4142,3852,3769,2913,1932,906,228,19987,4448,7769,20144,22986,28306,25535,16439,5680,1288,132601
SOS57,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,24,16,15,8,0,0,0,72,0,20,126,126,105,43,8,3,3,429
SOS59,3,6,4,11,20,34,52,14,3,142,0,4,5,4,4,6,0,3,0,30,43,131,374,308,348,209,125,26,5,1570,132,503,1306,910,957,973,633,98,23,5534
SOS60,73,97,232,239,315,713,1078,1411,1169,5324,12,30,89,126,166,129,81,72,35,737,552,759,1657,1427,1590,1753,1748,1478,799,11766,4873,11893,23727,22026,23002,22731,17579,10047,4648,140535
SOS61,93,121,261,309,509,1152,1956,2485,1981,8869,21,48,99,139,186,118,91,89,52,847,707,839,1537,1481,1957,2233,2797,2231,1167,14945,6252,12382,22846,22573,26432,26521,23090,13246,5537,158883
SOS62,9,3,23,34,56,193,357,336,205,1223,0,0,3,7,4,9,14,5,15,57,121,101,195,245,389,477,526,392,151,2606,840,1289,2833,3396,4268,5222,4431,2053,642,24972
SOS63,18,22,73,80,222,608,924,689,308,2950,9,11,12,18,33,40,49,26,3,201,387,301,652,872,1241,1564,1320,692,164,7203,2790,4131,8394,11647,16155,17527,12151,4223,926,77939
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,8,23,5,15,12,7,0,0,73
SOS69,3,3,0,4,9,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,10,22,44,33,37,15,18,3,0,187,48,90,183,147,135,113,84,12,3,825
SOS70,37,44,198,272,376,572,692,412,131,2732,4,31,72,80,83,132,95,77,31,605,595,1226,3599,2513,2069,1616,913,364,140,13030,3027,8582,24562,18917,15659,11655,6154,2169,572,91289
SOS71,160,193,406,391,450,418,334,137,41,2534,23,32,85,74,105,89,68,54,24,563,410,473,1367,1077,1002,788,405,165,59,5745,1713,3173,8519,6905,6636,4969,2136,731,209,34991
SOS72,252,291,560,483,469,389,223,67,13,2744,27,35,64,60,98,110,123,78,23,611,271,347,619,500,581,379,181,49,13,2928,1391,2216,4512,3509,3275,2251,979,289,69,18492
SOS73,88,118,277,310,326,355,302,103,22,1907,5,10,38,34,84,92,86,58,11,416,508,643,1066,885,921,727,400,100,17,5271,1439,2408,4885,4827,5230,3961,2104,541,88,25488
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,3,30,19,9,3,0,3,0,71
SOS79,0,0,8,25,39,25,26,3,0,124,0,0,7,0,11,3,3,0,0,18,3,66,182,140,157,110,58,15,0,737,24,183,457,396,461,440,278,38,0,2275
SOS80,67,120,261,364,538,1091,1709,1612,895,6652,10,60,173,174,219,217,198,233,103,1390,1018,1925,4297,3271,2850,2539,2254,1833,1396,21383,11200,31232,65833,58086,50728,41263,29329,14306,6146,308118
SOS82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,10,11,12,13,30,44,39,29,19,4,211
SOS83,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,4,10,12,17,13,3,3,0,70,25,41,111,133,118,91,42,11,3,583
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,9,7,16,27,19,17,6,3,0,102,30,79,108,107,68,78,24,8,3,502
SOS91,0,0,3,7,10,50,46,15,3,138,0,0,0,0,7,12,9,5,0,32,15,15,46,27,55,50,33,3,0,247,29,76,221,218,269,257,140,30,3,1237
SOS92,0,0,0,4,11,7,3,4,3,31,0,0,0,0,8,38,39,20,0,103,10,11,14,20,23,30,16,13,0,136,37,67,169,199,219,223,172,71,22,1172
SOS93,0,0,0,0,3,8,3,8,0,24,0,0,0,0,0,0,0,0,0,3,8,39,111,74,49,34,24,17,3,370,22,60,185,214,215,214,150,82,29,1166
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,3,10,0,5,9,11,13,0,0,46
