SOS_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOS40,576,2773,2170,2704,4722,3459,1985,2293,198,20882,599,1943,1276,1578,3102,2391,968,1692,3454,17005,18870,67000,54395,68688,116212,82486,48295,60727,7893,524576
SOS41,161,776,453,587,969,871,494,640,53,5009,188,468,298,330,601,552,247,458,921,4066,5553,16740,13416,17344,24034,19162,12299,18001,2222,128771
SOS42,37,109,72,99,173,171,76,134,11,875,55,113,44,60,95,108,57,102,179,802,1054,2969,2344,2967,3628,3251,1970,3528,428,22141
SOS43,72,293,200,271,434,400,212,401,28,2312,138,284,171,242,303,327,128,371,585,2561,3009,8494,7062,8735,9530,10457,5871,15263,1470,69883
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOS49,0,10,0,4,0,3,0,0,0,23,3,3,6,4,10,3,0,7,14,46,53,82,68,103,139,100,63,98,32,734
SOS50,922,4928,3727,3988,6956,6552,3252,4660,329,35315,1394,4413,3173,3035,6385,7955,2932,5607,6529,41422,32305,109042,91536,95287,162204,166574,83045,134635,14577,889202
SOS51,231,846,584,727,1098,1182,712,1356,92,6839,350,716,387,500,832,996,482,1163,1305,6734,7979,17890,13940,17603,25026,24875,17533,32395,3068,160316
SOS52,36,128,108,112,163,222,77,178,26,1036,72,145,79,75,119,160,79,187,303,1215,1370,2705,2159,2705,3329,3935,2430,5668,656,24959
SOS53,94,333,237,284,350,473,237,566,41,2618,184,354,246,266,309,528,197,846,645,3580,4041,8465,7019,7793,8021,10784,6647,26736,1657,81157
SOS57,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,50,0,60,16,12,11,0,4,14,11,274,4,334
SOS59,0,6,3,3,8,6,7,5,0,44,17,9,8,8,6,7,10,27,33,126,140,151,146,136,200,222,136,587,60,1773
SOS60,74,425,320,393,604,426,253,330,20,2856,98,277,192,210,355,323,108,196,486,2248,3151,10529,8546,10459,16884,12373,6820,8651,1096,78514
SOS61,89,462,372,406,692,563,296,341,36,3246,138,335,210,256,445,411,177,269,618,2866,3511,10733,8975,10928,16302,12329,7173,9458,1397,80808
SOS62,21,58,48,43,91,99,34,56,4,465,25,60,39,52,63,56,29,51,107,472,650,1674,1385,1646,2062,1918,1070,1714,270,12383
SOS63,52,210,170,188,289,274,119,204,29,1543,113,206,118,170,224,233,78,207,425,1776,2077,5724,5188,5715,7267,6795,3659,7162,982,44577
SOS67,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,23,0,47
SOS69,0,0,0,0,0,0,0,0,3,6,3,5,0,0,0,7,0,4,0,18,14,38,27,28,45,38,17,39,10,247
SOS70,51,167,145,175,453,400,210,340,28,1969,98,165,124,153,412,449,173,521,585,2680,2588,4015,3872,4900,13335,11687,6478,13744,1335,61953
SOS71,37,109,68,83,280,201,73,118,30,994,40,47,31,41,150,129,41,100,280,861,839,1295,1029,1630,5008,3786,2026,3247,536,19395
SOS72,19,52,64,62,122,119,29,69,25,560,26,25,10,23,40,45,22,36,175,402,332,496,506,716,1393,1414,528,1322,316,7025
SOS73,19,54,41,76,121,145,53,125,16,654,41,46,33,53,103,111,41,137,171,733,688,905,887,1150,2426,2458,1240,3586,400,13740
SOS77,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,4,6,9,3,3,0,0,0,0,0,14,10,28
SOS79,0,0,0,0,0,0,0,0,0,9,4,3,7,0,3,3,0,5,4,36,52,28,40,30,78,93,56,175,18,574
SOS80,152,819,608,676,1269,1026,617,846,70,6081,189,599,369,370,795,906,349,554,1214,5330,8435,20517,16438,19883,46826,41307,21416,27033,3009,204869
SOS82,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,6,9,25,12,16,15,13,10,29,3,130
SOS83,0,0,0,5,0,3,0,5,0,18,0,0,0,0,3,3,0,0,4,11,24,33,33,50,76,81,40,82,8,424
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,5,11,9,28,14,22,35,46,12,35,6,202
SOS91,0,3,4,3,0,4,0,3,0,19,0,4,0,0,4,6,3,6,7,39,55,60,48,55,228,129,105,120,17,820
SOS92,3,0,0,3,0,7,3,0,0,21,6,5,0,5,10,3,0,7,14,47,43,75,46,90,146,103,71,143,30,756
SOS93,0,0,3,3,8,3,0,3,0,12,0,4,0,3,0,7,0,3,12,25,20,65,54,70,125,104,52,70,16,573
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,11
