SOS_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,8,0,3,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,5,0,3,0,0,9,0,0,0,0,14,0,5,0,3,3,0,0,0,0,18,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,25,0,14,6,3,0,4,0,63,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,8,10,0,0,0,0,9,0,31,0,0,8,0,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,7,0,14,0,4,0,0,0,0,0,23,0,10,0,0,0,0,0,0,0,8,0,3,3,3,9,0,0,0,0,18,0,5,0,3,5,3,0,4,0,25,0,3,0,0,0,0,0,0,0,5
SOS70,175,2270,75,499,263,100,12,68,34,3497,242,1525,28,378,185,45,8,45,18,2466,952,942,77,424,2013,485,37,162,70,5158,398,1093,55,1072,604,160,20,116,37,3565,88,222,30,77,120,63,3,25,7,632,122,45,304,268,284,124,22,112,23,1291,0,5,0,3,10,0,0,9,3,40,34,45,9,51,53,16,0,10,9,235,42,55,21,80,102,59,4,51,85,506,2265,6780,858,3031,3922,1167,139,724,302,19181,181,550,139,93,117,34,17,48,7,1191,188,386,199,86,145,73,44,73,16,1218,928,1248,4511,404,375,243,594,549,133,8986,395,188,1217,114,85,47,187,352,54,2648,118,186,164,79,105,40,45,110,10,860,288,3079,141,683,308,117,43,106,52,4824,364,1931,81,464,238,52,35,71,33,3266,1912,1632,334,778,2454,727,243,326,124,8534,679,1632,160,1751,777,217,79,202,70,5560,143,346,147,116,144,79,19,54,11,1070
SOS71,82,1050,28,215,94,18,4,16,13,1522,91,656,6,165,61,18,0,11,7,1011,254,170,26,136,538,108,16,47,25,1322,115,389,19,425,176,33,3,30,18,1215,38,76,5,27,20,17,0,7,3,196,30,21,70,86,102,42,5,34,4,400,0,7,0,3,0,0,0,0,3,17,8,31,4,17,22,3,0,0,4,93,14,44,6,64,49,21,10,32,42,282,689,2569,219,1182,1144,307,45,216,122,6485,45,121,24,15,24,7,0,11,9,268,24,68,36,16,26,14,12,13,3,203,218,270,932,151,83,48,151,126,50,2029,121,44,284,52,31,9,47,67,16,667,56,76,47,41,43,21,19,46,10,365,114,1351,44,289,106,22,15,30,19,1999,145,899,26,213,69,20,12,19,10,1409,468,306,78,257,648,164,48,90,37,2102,199,636,39,773,224,51,30,53,35,2044,60,118,38,47,30,32,8,19,3,354
SOS72,19,154,4,68,30,10,3,12,3,301,38,276,6,88,23,7,3,8,5,449,71,69,4,42,137,26,7,16,4,385,37,71,11,158,38,18,0,14,6,352,10,15,0,12,8,4,0,3,0,53,19,8,29,32,17,16,0,13,0,142,0,0,0,0,0,0,0,0,0,0,8,6,0,4,3,4,0,0,3,26,3,37,10,49,20,18,0,19,41,193,223,685,77,475,301,109,22,99,63,2052,11,32,3,19,5,0,3,3,0,79,5,6,13,8,5,3,4,4,0,42,82,99,280,41,32,6,46,80,17,689,29,11,81,12,8,7,21,32,15,215,25,54,26,19,26,0,8,19,5,193,31,225,10,81,28,10,12,19,3,412,80,368,10,100,27,7,3,11,7,611,154,90,22,80,158,36,26,24,11,593,69,102,14,247,51,27,10,24,11,554,12,38,4,22,10,4,3,4,0,99
SOS73,43,284,21,77,73,15,6,19,6,556,64,324,9,99,43,9,5,9,10,561,175,128,15,43,404,82,13,29,14,908,69,135,26,230,112,15,3,20,11,621,11,31,3,15,27,10,0,4,0,101,34,16,77,31,74,24,6,29,4,294,0,0,0,0,3,0,0,3,0,9,9,9,3,10,11,5,0,3,0,52,18,17,10,45,48,17,6,30,17,211,509,1076,238,571,896,205,42,227,69,3826,32,89,26,8,22,6,0,7,3,191,7,28,23,3,11,4,3,3,3,90,268,177,1210,75,83,37,219,191,42,2309,148,22,336,16,13,13,48,111,10,716,142,115,67,33,63,22,36,135,6,608,59,346,29,94,82,15,12,29,6,677,92,393,24,110,53,9,14,15,9,722,281,178,52,79,435,101,31,51,19,1224,99,164,35,331,127,19,9,31,16,830,26,46,12,17,25,16,3,8,4,164
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,3,33,3,8,3,0,0,0,0,44,3,7,0,0,3,0,0,0,0,18,9,4,3,5,6,3,0,3,0,29,0,7,0,9,0,0,4,3,0,27,0,4,0,6,0,0,0,0,0,8,0,0,3,4,0,0,0,7,0,18,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,13,60,16,40,16,3,9,21,3,178,0,6,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,4,16,34,3,3,0,9,8,0,82,0,3,12,0,0,4,3,4,0,29,0,5,0,0,0,0,0,5,0,14,3,33,3,5,0,0,3,0,0,53,3,12,0,3,3,0,0,3,0,28,10,3,6,7,6,0,0,6,0,47,0,10,3,11,6,5,4,8,3,44,0,6,0,6,0,0,0,3,0,16
SOS80,588,6146,265,1321,932,196,13,78,93,9641,781,4875,63,1036,702,122,11,81,83,7763,3802,4475,227,1160,6657,1130,39,344,408,18236,3183,7582,280,3174,3532,479,33,257,428,18945,683,1648,144,315,813,258,12,56,79,4013,310,163,799,592,748,292,15,143,60,3117,10,10,0,6,5,6,0,7,3,49,282,379,26,152,335,61,6,34,61,1336,97,178,48,163,250,84,0,56,179,1049,11390,29630,2535,8511,15610,3048,191,1278,1615,73797,1650,4342,513,464,1145,228,57,161,210,8781,1989,6619,893,333,916,304,130,209,311,11694,2255,3817,4268,586,1029,423,664,770,262,14084,1307,819,3198,165,427,187,192,499,111,6906,489,706,572,142,415,94,69,180,53,2722,878,8376,376,1768,1087,240,50,135,143,13056,1128,6413,119,1257,864,172,47,160,120,10280,8031,8760,755,1881,9043,1892,315,775,775,32229,6126,12901,642,4937,5141,810,188,555,811,32107,1135,2910,472,515,1122,426,62,176,131,6946
SOS82,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,0,7,0,4,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,9,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,10,7,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,0,8,5,5,0,0,0,3,0,0,0,17,8,8,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3
SOS83,4,4,3,0,3,0,0,0,0,13,0,13,0,3,0,0,0,0,0,16,14,7,0,0,16,0,0,0,0,38,3,10,0,14,4,0,0,0,0,29,0,7,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,24,44,9,18,28,3,0,0,3,138,5,10,0,0,0,0,0,0,4,22,0,4,0,0,0,0,0,0,4,14,6,7,16,0,0,0,5,3,0,40,4,0,20,0,0,0,3,7,0,34,3,4,0,0,3,0,0,0,0,9,4,11,3,0,5,0,0,0,0,20,3,15,0,4,0,0,0,0,0,26,24,9,3,0,16,0,0,0,0,50,12,10,0,20,5,3,0,0,0,53,3,9,0,0,3,0,0,0,0,14
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,7,3,3,0,0,8,0,0,0,0,21,0,10,0,10,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,3,12,18,3,0,3,0,72,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,4,5,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,3,0,4,0,0,0,0,3,8,0,3,0,0,5,0,0,0,0,12,7,10,0,0,8,0,0,0,0,24,5,12,0,14,3,0,0,3,0,34,0,3,0,0,0,0,0,0,0,8
SOS91,0,6,0,3,9,0,0,0,0,22,4,22,0,5,4,0,0,0,0,39,16,8,4,3,27,0,3,3,0,62,0,7,0,11,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,3,3,4,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,9,3,0,0,0,0,11,31,46,9,39,43,9,6,13,0,195,4,3,4,3,3,0,0,7,0,22,0,0,0,3,0,0,0,0,0,6,16,5,63,3,3,0,10,9,3,120,5,0,15,7,0,0,4,3,0,35,10,7,0,0,0,0,0,6,3,20,0,14,3,5,9,0,0,0,0,30,9,26,4,5,4,0,0,0,0,52,30,9,3,11,26,0,0,12,0,103,6,6,0,28,8,0,0,0,0,50,0,0,0,0,0,0,0,0,0,8
SOS92,3,10,0,4,0,3,0,0,0,19,9,19,0,6,3,0,0,0,0,37,12,4,0,10,22,3,0,4,0,63,3,6,0,12,0,6,0,3,0,27,0,0,0,0,0,0,0,0,0,9,3,0,9,8,0,3,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,5,0,0,4,0,17,36,41,16,41,32,18,0,17,3,212,3,3,3,0,3,0,0,0,0,16,3,0,4,0,0,0,0,0,0,8,19,10,27,8,0,0,13,9,0,92,4,0,19,0,0,0,0,4,0,33,3,6,3,0,0,3,0,4,0,10,7,11,0,8,0,0,0,0,0,28,7,22,0,6,3,0,0,3,0,47,32,4,3,15,22,3,0,4,3,91,9,15,3,17,3,6,0,3,3,54,0,0,0,0,0,0,0,0,0,11
SOS93,0,10,0,6,4,0,0,0,0,31,0,10,0,7,0,0,0,0,0,14,5,0,0,16,21,0,0,4,0,57,6,3,0,5,8,0,0,0,0,20,3,7,0,0,0,0,0,3,0,14,3,0,5,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,24,33,8,49,44,9,0,12,0,186,3,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,15,3,35,3,0,7,4,3,0,70,9,3,23,0,0,0,0,5,0,37,3,0,5,0,3,0,0,0,0,17,0,19,0,6,4,0,0,0,0,33,3,9,0,6,0,0,0,0,0,23,17,3,3,16,21,8,0,4,0,75,4,5,0,4,4,0,0,0,0,31,3,3,0,0,0,0,0,3,0,19
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
