SOS_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOS52,19,23,186,156,77,249,24,266,33,1038,81,176,413,273,188,139,128,298,38,1738,448,702,1013,515,492,266,498,643,72,4667,619,663,933,553,558,251,625,599,107,4905,859,736,990,651,654,350,909,811,136,6085,757,582,699,549,550,282,747,667,99,4934,307,135,143,109,154,91,214,188,38,1378,75,17,12,8,19,4,20,24,20,204,9,3,3,0,0,0,0,4,3,18,3170,3032,4393,2815,2696,1637,3170,3497,552,24959
SOS53,100,68,687,507,161,909,96,848,59,3436,364,400,1324,590,426,459,395,1008,73,5026,1909,1796,3318,808,1138,419,1606,1914,174,13096,3489,2282,3155,1047,1654,596,1919,1711,246,16105,5049,2710,3447,1506,2271,910,2591,2067,334,20884,4666,2081,2081,1056,1783,753,1878,1627,270,16199,2467,514,441,188,402,207,378,533,133,5265,661,55,42,12,48,20,30,89,47,1003,84,4,3,3,3,0,4,19,12,135,18792,9915,14491,5729,7882,4282,8905,9821,1342,81157
SOS57,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,19,3,21,21,0,3,0,9,41,0,100,3,28,26,0,4,0,15,28,4,98,5,20,26,0,0,0,9,16,0,82,0,8,13,0,0,0,6,10,7,35,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,87,3,10,0,35,100,9,334
SOS59,0,0,3,5,3,10,0,8,0,26,8,14,27,36,9,16,16,57,4,202,21,91,127,62,20,22,65,167,20,598,25,48,78,16,25,16,72,35,9,332,23,28,66,27,20,16,67,50,14,308,20,45,41,15,31,7,45,56,7,266,9,9,5,4,3,0,9,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,235,349,162,114,90,276,386,58,1773
SOS60,55,67,362,780,205,1620,72,853,58,4065,295,804,1175,1599,817,1397,211,914,109,7310,1529,4574,2550,2274,2337,1412,609,1285,282,16854,2277,4780,2055,1898,2619,1044,576,1171,266,16685,2511,4410,1942,1934,3005,1087,847,1313,303,17352,1672,3317,1381,1402,2233,840,757,1213,191,13012,389,755,264,258,467,244,161,236,69,2848,53,82,29,19,44,26,16,28,31,327,3,13,3,0,3,4,4,3,14,50,8793,18803,9756,10163,11729,7678,3250,7017,1331,78514
SOS61,79,69,585,737,225,1959,123,1067,72,4914,365,673,1610,1318,702,1339,420,1181,108,7716,1419,3129,2908,1920,1767,1492,1076,1855,244,15816,1907,3130,2220,2012,2143,1368,1205,1822,273,16085,2214,3146,2293,2528,2708,1584,1660,2323,307,18754,1631,2498,1802,1777,2063,1113,1352,1802,225,14257,384,528,288,272,420,232,295,367,98,2887,66,55,29,19,38,21,28,50,28,330,9,6,0,4,3,0,6,7,12,47,8070,13235,11749,10587,10056,9109,6163,10476,1367,80808
SOS62,14,10,90,93,21,205,18,143,11,604,49,63,171,133,80,113,56,170,26,867,201,335,430,212,220,154,166,272,43,2033,345,466,386,282,264,186,190,303,45,2472,397,473,440,374,383,197,270,440,61,3034,364,472,364,270,335,181,248,403,37,2666,138,106,51,40,82,43,70,78,10,614,19,14,13,0,11,11,3,7,12,82,0,7,3,0,0,3,0,0,3,14,1531,1937,1946,1409,1402,1094,1022,1811,241,12383
SOS63,75,31,377,341,81,776,66,542,50,2341,179,158,697,408,223,388,195,575,48,2869,836,916,1241,641,682,395,415,846,86,6053,1546,1553,1363,919,1022,557,638,1035,146,8776,2139,1916,1603,1236,1524,722,1057,1426,220,11851,2036,1725,1234,871,1187,550,804,1093,177,9679,969,412,218,135,237,106,150,248,66,2539,252,23,12,14,15,16,11,36,39,423,29,4,0,3,10,0,3,3,8,63,8058,6737,6743,4563,4983,3505,3347,5814,832,44577
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,6,0,0,0,3,0,21,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,14,0,0,4,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,9,0,0,3,15,0,47
SOS69,0,0,0,0,3,6,0,3,0,12,0,3,3,5,0,0,0,6,0,22,4,18,10,13,8,0,4,23,0,86,3,11,4,3,10,5,9,7,0,47,9,6,7,8,5,3,6,10,0,46,0,6,8,7,3,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,49,38,33,27,14,20,54,3,247
SOS70,41,70,321,506,241,958,74,426,58,2697,303,564,1118,1361,864,730,327,615,152,6037,1639,4033,3564,2551,2347,1035,901,1517,338,17916,1968,3272,2350,1676,2054,731,695,1093,274,14111,2006,2473,1740,1180,1854,636,721,938,241,11788,1270,1679,985,629,1251,372,581,611,152,7535,260,411,182,120,301,117,125,130,51,1701,21,32,19,5,16,22,7,4,11,144,0,0,3,0,0,0,0,3,6,14,7519,12530,10275,8042,8922,4605,3443,5337,1275,61953
SOS71,12,36,97,157,74,306,15,166,35,898,74,188,262,278,225,152,57,178,61,1475,411,1275,686,909,588,259,183,378,148,4830,476,1115,476,762,536,198,179,295,126,4159,611,1061,442,642,601,186,203,336,120,4204,484,781,313,425,437,141,177,243,72,3077,109,144,77,85,93,37,46,67,22,684,15,12,3,5,9,3,3,4,3,61,0,0,0,0,0,0,0,0,0,4,2192,4614,2360,3272,2566,1278,853,1665,583,19395
SOS72,8,15,21,52,17,39,4,36,26,219,23,88,82,159,41,38,34,91,43,600,137,373,206,375,175,115,92,221,85,1767,157,337,205,298,172,67,93,167,65,1560,220,303,186,295,148,73,114,145,57,1539,186,275,92,150,117,33,75,109,35,1070,46,58,28,30,23,9,14,28,6,237,0,3,0,3,0,3,0,0,3,20,3,0,0,0,0,0,0,0,0,4,775,1448,823,1356,693,375,433,797,324,7025
SOS73,10,22,139,82,55,155,15,182,21,682,36,111,290,149,125,85,54,276,36,1169,299,417,618,309,366,105,192,327,66,2707,514,474,603,319,428,115,211,284,69,3019,621,488,580,327,510,144,323,327,83,3401,380,334,313,190,301,111,211,240,44,2134,109,82,60,35,88,28,61,65,22,555,15,13,9,4,4,0,5,4,3,67,0,3,0,0,0,0,0,0,0,4,1996,1952,2615,1426,1880,735,1084,1713,340,13740
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,8,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,13,0,28
SOS79,0,0,6,3,0,0,0,0,0,18,0,4,12,18,0,4,3,23,0,75,7,43,23,32,0,10,9,32,3,169,9,30,12,12,8,5,9,16,4,97,7,18,26,9,9,6,20,23,0,111,8,8,17,7,12,3,13,14,3,89,0,0,5,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,108,104,84,34,32,63,104,15,574
SOS80,459,382,872,2773,628,3662,207,1566,141,10698,1509,3402,2727,4550,3326,3118,428,1441,374,20867,6487,19243,5983,5019,8650,2514,940,2342,1305,52482,9483,17048,4194,3674,7954,1639,863,1793,1348,47990,9236,12676,3344,3237,7927,1477,1071,1560,1127,41658,4561,7653,1911,1879,4906,1086,878,1241,590,24706,798,1934,457,427,1058,362,269,325,161,5791,89,195,39,36,101,47,20,34,35,590,11,15,5,0,7,3,0,7,22,78,32635,62555,19538,21586,34551,13914,4673,10307,5112,204869
SOS82,0,0,0,6,0,3,0,0,0,14,0,0,0,0,3,3,0,0,0,7,0,6,0,0,0,0,0,0,0,12,7,3,3,6,4,3,0,0,0,29,11,7,6,4,7,3,0,3,0,38,3,5,6,0,4,3,0,0,0,24,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,12,15,20,11,6,4,0,130
SOS83,0,0,3,7,0,8,0,3,0,25,3,4,9,7,4,0,0,3,0,34,6,20,21,11,19,3,0,4,3,85,29,34,14,7,17,3,0,3,3,114,29,18,18,5,10,3,3,3,0,94,13,10,3,3,10,3,7,6,3,52,7,0,0,4,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,94,86,72,50,62,21,14,23,8,424
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,3,0,0,0,0,0,10,3,11,4,14,5,3,0,4,0,39,4,18,3,10,6,4,7,6,0,57,3,8,6,8,9,0,0,5,0,41,4,3,6,3,3,0,0,3,3,28,6,13,0,0,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,57,14,34,28,12,8,20,6,202
SOS91,0,0,0,4,0,0,0,0,0,9,0,3,6,7,10,0,6,10,0,48,13,24,26,34,17,0,18,25,3,155,36,17,28,22,26,4,14,10,5,163,29,18,32,33,26,3,9,32,3,197,20,17,29,17,16,3,22,39,0,161,5,4,20,3,3,0,24,14,0,81,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,100,85,145,120,103,13,101,132,19,820
