SOS_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,5,0,0,0,0,0,5,172,114,346,1066,386,290,161,45,7,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,0,0,7,4,0,0,0,0,12,0,0,0,4,0,0,0,0,0,8,0,0,24,17,3,7,0,0,0,50,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,9,0,0,13,51,22,15,23,11,0,141,0,0,0,0,0,0,0,0,0,3,0,0,4,11,0,0,0,0,0,17,0,0,8,3,0,3,4,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,3,0,0,0,11,5,3,17,58,0,3,3,0,0,84,0,0,0,5,0,0,0,0,0,6,0,0,0,4,0,3,0,0,0,12,3,3,4,4,0,0,0,0,0,15
SOS30,6,122,554,952,146,84,26,10,0,1905,96703,176895,162825,284414,128347,107878,77166,35753,12529,1082511,32,106,114,779,162,78,17,4,0,1288,0,4,101,530,337,302,139,86,10,1513,5,43,60,212,180,126,56,25,8,722,89,294,389,1598,677,493,326,121,41,4026,8,28,61,374,178,113,117,42,9,935,222,840,4933,8221,1981,1489,928,425,177,19220,0,8,37,225,259,282,316,334,43,1514,28,128,99,269,125,161,224,111,44,1188,433,4026,4773,13124,14665,11223,11986,6498,2059,68780,23,194,440,2045,1012,807,420,161,34,5130,21,109,227,918,385,248,234,91,36,2278,23,146,367,1251,973,886,1952,966,268,6835,0,32,33,150,143,265,423,412,136,1591,45,208,1150,1772,506,698,293,117,17,4817,414,1441,3204,14974,1968,1043,733,333,111,24220,46,197,395,871,228,227,240,161,64,2435,38,305,320,1926,403,212,123,45,15,3384,48,214,142,626,240,120,36,20,5,1455
SOS31,0,7,30,54,11,4,0,0,0,113,26903,54347,44071,79215,40562,39118,30406,15358,4770,334755,0,21,9,123,26,7,0,0,0,198,0,0,0,14,3,3,8,9,0,37,3,10,4,20,9,0,3,0,0,45,17,35,30,181,81,92,72,42,3,543,0,6,3,25,14,5,10,0,0,66,7,47,54,255,94,47,35,20,10,566,0,0,0,6,14,30,38,58,6,160,3,18,0,36,8,13,23,14,0,121,37,435,516,1612,2333,2319,3271,1870,474,12858,4,37,50,183,94,66,34,18,0,488,0,12,51,115,59,45,68,21,6,379,5,22,58,164,181,241,497,360,66,1583,0,0,8,11,6,25,27,37,6,113,0,4,44,84,30,22,15,5,0,203,44,172,139,1438,191,81,73,42,18,2201,3,25,30,80,22,19,37,26,20,258,0,8,3,73,14,5,13,8,0,127,0,3,3,31,19,3,0,0,0,62
SOS32,0,0,0,0,0,0,0,0,0,0,4162,9011,6732,12329,7942,8330,6718,2622,674,58526,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,3,24,17,5,15,4,0,72,0,0,0,0,5,0,0,0,0,6,0,0,3,15,4,0,5,3,0,30,0,0,0,0,8,3,3,8,0,31,0,0,0,0,0,0,3,0,0,5,0,48,92,207,414,514,726,320,50,2376,0,0,0,21,21,8,3,0,0,55,0,0,6,11,11,8,14,3,0,52,0,4,11,29,28,66,105,80,10,333,0,0,0,0,0,3,10,0,0,16,0,0,0,3,0,6,3,3,0,17,3,3,0,66,11,15,8,12,0,116,0,3,0,3,3,5,16,3,3,34,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3
SOS33,0,0,0,8,0,3,0,0,0,12,10533,27461,21250,37541,26685,26845,19312,6991,1485,178106,0,0,0,8,0,0,0,0,0,11,0,0,0,0,3,3,0,3,0,11,0,5,8,43,23,17,3,0,0,90,6,16,9,65,66,64,51,19,3,301,0,0,0,17,0,7,4,0,0,32,0,14,27,40,13,22,15,14,6,147,0,0,3,0,13,28,30,35,5,114,0,0,0,3,0,10,9,8,0,34,10,240,287,722,1417,1593,1849,770,150,7036,0,7,7,37,24,25,11,7,0,123,0,8,15,46,43,31,36,11,4,195,0,6,17,83,151,164,330,197,20,976,0,3,4,0,6,6,13,7,0,44,0,6,24,15,16,12,3,4,0,80,5,13,28,140,49,40,44,17,3,332,3,5,6,18,11,17,32,18,4,113,0,3,0,9,9,6,4,0,0,33,0,0,0,6,6,0,0,3,0,9
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,6,8,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,136,190,384,1276,620,736,690,141,12,4186,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,3,0,0,0,29,0,0,0,3,4,0,0,0,0,7,0,4,16,16,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,67,82,54,67,112,12,3,411,0,0,0,3,3,4,0,0,0,12,0,0,11,31,3,0,0,0,0,44,0,0,8,13,4,4,13,7,0,51,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,9,0,0,8,18,3,3,0,0,0,33,0,0,3,3,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SOS40,27,272,1018,1517,389,193,49,8,7,3472,32423,56210,56995,102687,49066,41358,28014,12616,5355,384718,28,133,61,624,77,22,6,3,0,954,0,3,57,330,182,204,76,55,4,910,14,51,81,484,348,220,137,42,11,1382,22,45,75,323,137,138,72,20,11,849,3,13,16,128,45,53,51,20,0,330,120,411,3540,4648,803,580,386,169,54,10711,0,0,26,201,162,234,250,271,67,1209,14,81,49,216,46,99,133,75,18,727,127,1376,1724,4372,7536,7359,6113,3976,1570,34141,0,22,42,191,96,72,36,17,3,474,3,28,46,152,111,65,58,30,7,495,6,54,86,321,370,476,1258,496,306,3364,0,27,44,153,268,671,1014,1169,367,3722,15,44,712,573,104,161,91,41,3,1736,308,1329,1422,8599,1119,436,334,162,82,13793,35,91,110,382,50,56,53,34,12,824,39,263,318,1146,285,156,83,42,10,2349,10,82,126,334,145,76,25,10,0,799
SOS41,0,8,58,191,81,25,3,0,0,373,8557,17923,15926,28084,15169,14752,12353,6340,2303,121402,0,8,0,39,3,0,0,0,0,57,0,0,0,5,6,4,4,8,0,30,0,0,0,13,3,0,0,0,0,25,0,16,6,35,33,19,21,3,4,140,0,0,0,4,12,0,0,0,0,21,5,18,46,178,44,26,8,0,0,336,0,0,0,8,20,22,44,48,9,151,0,0,0,12,3,0,11,8,0,37,16,192,222,650,1648,1913,1904,1409,427,8376,0,4,0,32,10,10,3,7,0,59,0,4,3,20,13,22,8,6,0,80,0,5,11,47,71,132,315,145,82,813,0,0,0,15,14,36,76,73,24,240,0,3,11,33,3,5,0,3,0,63,9,47,30,348,54,30,30,25,6,585,0,4,5,21,4,6,8,10,0,49,0,6,3,21,11,4,0,0,0,48,0,0,0,8,4,0,0,0,0,16
SOS42,0,0,0,5,0,0,0,0,0,5,1388,3028,2455,4643,2936,3298,2640,1263,424,22082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,7,3,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,15,0,0,0,0,3,3,5,7,3,25,0,0,0,0,0,3,0,0,0,6,3,14,32,89,269,342,377,188,36,1344,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,0,4,0,0,15,0,0,0,10,14,30,57,22,7,131,0,0,0,0,0,4,4,5,0,16,0,0,3,0,0,0,0,0,0,11,0,3,5,30,3,3,8,3,0,54,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
SOS43,0,0,0,9,0,0,0,0,0,14,3510,8867,7294,12597,9817,9904,6659,2099,486,61228,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,23,14,15,7,0,0,66,0,3,3,15,12,11,8,0,0,58,0,0,0,0,0,0,0,0,0,3,0,4,7,12,4,8,4,0,0,36,0,0,0,0,3,13,25,12,0,56,0,0,0,0,0,0,5,0,0,7,5,61,86,236,755,918,830,374,72,3338,0,0,3,4,8,5,0,0,0,18,0,0,3,11,9,8,8,0,0,34,0,0,10,25,26,94,137,60,12,371,0,0,0,0,15,40,66,53,20,207,0,5,4,3,0,4,0,3,0,14,0,8,18,58,22,33,20,4,3,154,0,6,0,5,5,0,3,3,0,23,0,0,3,8,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,6
