SOS_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,35,263,239,26,25,175,764,9,627,23,35,12,12,720,123,1271,298,196,52,21,1959,613,938,589,232,71,31,2466,680,425,583,75,35,14,1814,1834,288,1260,57,124,19,3582,3054,117,1810,45,177,17,5220,2036,39,970,27,67,6,3141,637,6,257,6,14,4,926,191,4,71,0,8,0,280,51,0,28,0,3,0,84,25,3,6,0,4,0,36,4,0,0,0,0,0,13,16,5,10,0,3,0,36,120,190,143,45,36,24,555,9422,4179,6290,749,617,327,21581
SOS61,34,350,306,57,85,220,1057,28,650,63,88,32,12,873,401,1444,522,243,104,39,2752,1621,1171,1154,322,176,63,4507,1534,607,1198,122,132,34,3620,3235,240,1835,32,181,40,5569,2741,71,1340,25,124,21,4314,844,25,293,17,32,8,1212,103,11,42,3,0,0,168,14,4,21,0,0,0,42,4,4,7,0,0,0,15,4,0,3,0,0,0,14,0,0,0,0,0,0,4,5,14,9,0,3,0,34,127,252,160,51,75,37,698,10697,4848,6961,966,940,472,24875
SOS62,12,19,95,9,92,60,290,5,36,16,10,8,0,66,62,74,117,29,19,11,307,156,42,211,18,24,10,456,121,9,167,3,20,0,326,228,9,193,5,8,0,439,167,0,135,0,12,0,324,68,0,44,0,3,0,112,7,0,4,0,0,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,6,22,12,27,3,14,5,87,864,198,1011,82,210,93,2446
SOS63,8,7,453,16,307,404,1188,13,10,74,4,30,0,129,50,20,360,24,95,6,545,182,14,437,10,88,7,733,155,5,354,3,45,0,558,324,4,345,0,36,4,714,309,0,273,3,19,4,613,159,3,117,0,8,3,284,26,0,26,3,0,0,53,6,0,11,0,0,0,13,3,0,3,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,7,18,10,129,0,113,11,287,1255,64,2577,60,732,448,5132
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,43,478,135,33,200,108,1001,0,481,4,20,3,6,508,17,526,51,44,27,8,675,43,295,69,35,26,6,465,72,86,97,10,79,0,343,180,152,133,9,755,7,1234,851,103,326,13,324,12,1630,2188,101,863,17,162,24,3349,2444,92,897,3,121,9,3570,1734,20,487,0,53,7,2296,919,3,228,0,25,5,1187,416,0,79,0,18,3,519,174,10,42,0,9,0,229,198,0,58,0,26,3,282,202,153,117,17,279,26,800,9482,2508,3591,188,2101,220,18087
SOS71,68,838,26,98,761,178,1974,3,362,0,15,38,3,425,14,419,24,53,123,7,646,18,267,54,25,84,7,449,43,84,44,43,41,0,251,146,76,71,12,89,3,402,320,44,115,9,52,7,538,626,50,237,3,48,3,958,455,19,173,3,33,3,686,190,8,61,0,18,0,276,66,5,23,0,5,0,99,36,3,9,0,3,0,45,9,3,3,0,0,0,12,7,0,3,0,11,0,19,50,212,46,29,325,17,685,2041,2391,883,284,1627,231,7467
SOS72,0,1118,25,311,585,162,2208,4,336,4,35,206,0,577,0,296,5,49,144,0,498,3,116,18,30,145,0,320,3,27,12,5,29,0,78,8,12,10,5,25,0,67,6,9,28,0,17,0,60,11,13,24,0,18,0,62,14,3,18,0,7,0,45,3,0,3,0,3,0,14,9,0,0,0,0,0,9,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,363,17,51,134,13,575,67,2299,171,502,1315,176,4531
