SOS_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,4,43,31,0,3,0,0,0,82,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,24,32,16,18,16,3,0,116,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,7,0,0,3,3,3,0,6,0,0,19,0,0,0,0,3,0,0,3,0,3,0,0,5,11,0,0,0,0,0,18,3,0,12,30,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3,0,0,0,0,12,0,0,3,4,0,0,0,0,0,9,0,0,6,7,3,0,8,0,0,19,0,0,0,0,0,0,0,0,0,9,0,0,8,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4
SOS30,215,827,6221,11548,3266,2035,988,558,208,25873,0,6,45,248,287,291,298,263,74,1514,21,124,75,202,85,136,184,88,56,971,421,3788,4585,12718,13419,10578,11159,6709,2950,66323,17,178,466,2364,1221,995,462,228,41,5972,21,110,232,930,355,242,212,125,44,2275,28,128,413,1655,1070,940,1888,881,457,7453,6,22,45,117,99,192,395,381,151,1404,51,211,1066,1823,722,899,315,116,31,5223,415,1383,1917,12318,1667,1058,690,352,154,19956,51,221,468,1605,537,368,289,160,81,3781,32,275,295,1587,289,189,115,41,21,2845,78,193,164,551,154,81,22,13,3,1263,43,331,199,1679,616,484,468,307,156,4286,15,80,139,575,335,570,992,960,530,4190,85,385,784,4139,1481,445,247,108,60,7738,116,526,1409,5145,1131,368,153,53,12,8914,5,21,11,145,154,119,82,35,13,578,72,319,1250,2548,1294,1036,577,210,67,7381,0,6,11,46,64,176,333,125,43,806
SOS31,3,44,73,409,184,101,33,22,13,879,0,3,0,11,32,30,36,25,4,141,9,19,0,26,10,12,12,10,3,102,47,393,574,1775,2354,2424,3116,1792,651,13127,6,30,69,222,137,81,40,13,3,595,0,12,40,104,59,45,56,35,10,344,3,27,76,266,203,307,465,282,120,1751,0,3,0,13,7,17,21,25,10,88,0,9,54,112,32,29,6,4,3,249,49,168,125,1212,120,98,77,41,13,1911,8,30,29,164,61,52,40,31,22,441,0,3,3,57,5,12,9,3,0,89,3,9,4,25,0,0,3,0,0,44,6,62,37,218,89,62,94,55,26,631,0,11,18,78,46,102,246,333,211,1047,8,29,56,299,56,24,17,3,4,502,4,24,115,355,20,9,6,0,0,525,0,3,0,12,6,6,3,3,0,31,6,20,33,197,111,106,52,16,4,534,0,0,0,7,12,32,107,50,27,242
SOS32,0,0,0,11,13,7,6,0,0,50,0,0,0,0,3,12,0,5,0,18,0,0,0,0,0,3,4,0,0,8,5,43,90,292,485,522,643,269,55,2401,0,7,9,17,11,14,6,0,0,63,0,3,0,17,8,12,11,0,0,45,0,5,5,50,50,59,117,43,14,335,0,0,0,0,0,0,5,0,0,11,0,0,0,5,5,9,0,0,0,28,3,3,3,53,10,13,7,3,0,92,0,3,0,23,10,7,15,5,4,68,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,26,13,12,16,7,4,87,0,0,3,13,7,15,44,31,31,142,0,3,9,52,12,3,0,0,0,78,0,0,0,9,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,4,12,17,14,12,4,0,69,0,0,0,0,0,7,11,8,4,32
SOS33,3,16,21,89,57,29,12,11,0,241,0,0,0,0,11,19,11,20,0,62,0,0,0,0,3,3,3,5,4,22,14,180,292,918,1702,1627,1638,572,116,7048,0,3,6,52,40,42,19,5,3,171,0,10,20,52,34,31,35,7,0,188,5,8,37,176,191,213,286,90,23,1027,0,0,0,3,4,6,8,5,3,32,0,9,31,36,16,20,5,4,0,116,7,15,13,106,29,26,35,12,10,249,0,13,8,55,22,28,26,9,3,173,0,0,0,5,4,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,19,20,78,51,38,37,28,3,262,0,0,5,21,33,70,134,104,45,413,4,0,25,98,43,17,13,3,0,207,0,10,16,65,3,11,0,0,0,105,0,0,0,3,3,5,0,0,0,12,0,4,15,60,55,69,30,0,0,240,0,0,0,3,10,28,56,21,6,110
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,3,20,37,3,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86,88,47,90,90,12,0,411,0,0,0,4,0,0,0,0,0,10,0,0,15,22,0,3,0,0,0,42,0,0,18,12,0,10,4,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,16,3,0,3,15,0,0,3,0,0,26,0,0,4,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,15,4,3,3,0,0,0,32,0,0,6,15,0,0,0,0,0,21,0,0,0,15,0,0,3,0,0,16,0,0,9,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
SOS40,100,495,3406,6181,1262,911,416,190,70,13034,0,3,25,180,202,245,270,252,79,1263,14,77,37,170,59,86,111,65,47,660,111,1214,1658,4112,7434,7381,6722,4908,2303,35853,0,16,37,210,108,88,58,25,4,541,5,29,45,175,104,76,61,51,21,569,3,42,112,399,339,530,1308,693,530,3957,0,28,49,127,188,625,1172,1433,465,4084,21,60,503,593,138,225,100,22,9,1658,292,1209,1040,7726,818,502,362,203,87,12241,33,81,112,545,118,68,72,36,15,1079,23,203,297,1011,221,150,86,43,21,2046,11,52,115,280,102,46,25,7,3,654,6,83,50,282,171,200,190,209,77,1268,10,31,68,234,468,1319,2425,2713,1292,8563,12,38,115,492,151,40,40,13,7,921,27,177,318,1016,252,66,21,6,0,1879,6,12,50,184,138,148,103,44,26,715,48,203,844,1531,479,435,334,89,38,4001,0,0,6,20,34,137,236,132,60,620
SOS41,0,26,32,199,67,28,13,3,0,363,0,0,0,0,6,18,40,38,7,112,0,0,0,4,0,3,3,4,0,23,20,162,232,711,1753,2060,2196,1601,578,9311,0,7,6,31,15,6,3,0,0,65,0,3,6,17,28,18,14,7,7,110,0,3,5,72,116,142,324,183,118,972,0,3,3,8,7,27,72,86,21,231,0,5,3,28,8,8,0,5,0,59,15,52,36,303,41,35,32,13,12,546,0,9,5,47,11,10,7,0,3,98,0,0,8,25,3,3,0,0,0,36,0,0,0,8,0,3,0,0,0,7,0,4,11,39,29,29,39,37,8,208,0,0,5,8,31,55,132,189,74,503,0,10,3,53,22,3,6,0,0,102,0,5,9,53,4,0,3,0,0,84,0,0,0,3,3,3,0,0,0,16,0,4,12,80,35,26,19,5,0,168,0,0,0,0,7,19,28,9,6,74
SOS42,0,0,4,6,9,7,0,0,0,29,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,12,21,84,341,354,359,187,58,1427,0,0,0,0,0,3,3,0,0,9,0,0,0,3,6,0,0,0,0,10,0,0,4,11,8,16,48,20,15,117,0,0,0,0,0,0,6,0,0,11,0,0,0,4,0,0,0,0,0,6,3,0,0,21,0,4,7,0,5,48,0,0,0,6,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,3,13,3,0,36,0,0,0,0,0,3,14,7,9,38,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,14,0,0,0,0,0,3,3,0,0,6
SOS43,0,4,3,31,11,7,3,0,0,64,0,0,0,0,3,9,13,5,0,31,0,0,0,0,0,0,3,3,0,7,0,60,84,298,793,1062,793,315,56,3459,0,0,3,8,6,3,0,0,0,26,0,0,0,18,16,8,11,3,0,45,0,0,4,52,59,76,101,51,17,363,0,0,0,3,9,40,60,55,12,168,0,4,0,8,4,0,0,0,0,18,4,3,3,56,22,21,17,8,3,146,0,0,3,18,8,6,0,3,0,39,0,0,0,9,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,25,17,16,9,8,0,87,0,0,6,8,19,62,73,88,16,267,0,4,3,7,13,0,0,0,0,33,0,6,4,12,0,0,0,0,0,25,0,3,0,4,3,0,3,3,0,17,0,3,7,15,13,15,12,0,0,63,0,0,0,3,0,7,4,3,0,24
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
