SOS_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,223631,325978,100541,9823,659970,128147,32499,820621,12960,5769,7258,687,26679,28995,2613,58286,21549,17402,15323,1641,55920,27422,7843,91194,34513,23174,22583,2331,82601,56416,10459,149479,10898,4897,5697,916,22410,30236,4881,57536,13448,4525,3940,1010,22922,21488,6355,50765,20430,5497,3340,973,30240,22491,6902,59636,34,27,30,6,98,116,32,247,44818,14944,13009,2900,75675,74333,18174,168176,724,95,130,12,959,2067,102,3126,544,108,116,10,779,1678,80,2534,27,30,10,0,66,84,4,156,235,265,149,18,666,288,94,1048,1529,492,405,37,2476,4118,275,6868,1016,735,370,37,2158,2330,290,4782,305505,365329,136911,15137,822876,265343,61703,1149922
SOS31,81295,82580,33431,2689,199995,54695,8570,263259,3493,1187,1589,176,6449,9151,631,16232,1577,741,977,84,3377,3708,502,7589,5070,1927,2568,263,9828,12860,1134,23826,2233,1039,1529,169,4973,8846,752,14569,257,50,124,4,441,600,87,1132,476,108,64,14,656,560,77,1300,13,9,6,0,29,38,0,70,2981,1202,1730,186,6100,10050,922,17065,707,98,105,14,925,1818,99,2838,238,35,36,7,322,643,44,1009,68,45,18,4,137,119,15,270,189,140,63,14,411,241,44,699,1212,311,229,40,1789,2824,204,4818,411,234,120,9,777,775,71,1621,90969,86259,38075,3177,218484,81193,10909,310591
SOS32,15783,13180,5198,518,34685,11610,1407,47695,213,136,103,12,467,402,35,900,32,24,13,0,70,47,9,121,247,160,116,11,531,452,37,1022,156,67,99,11,335,653,39,1028,12,3,3,0,21,16,0,40,3,0,0,0,5,14,0,19,0,0,3,0,3,9,0,13,174,76,101,11,362,696,37,1096,286,30,33,6,351,627,23,1000,50,3,0,0,55,108,7,167,40,17,8,0,76,83,4,167,65,35,23,0,125,82,5,216,448,83,60,10,603,905,43,1556,202,122,55,7,387,294,24,702,16855,13622,5527,562,36571,13954,1546,52068
SOS33,48994,47564,11422,982,108957,25614,3502,138072,146,115,70,5,341,188,28,556,29,30,12,0,73,26,7,105,173,142,85,5,414,215,33,658,74,43,32,0,153,191,14,360,3,0,0,0,3,0,0,4,0,0,0,0,3,8,0,16,20,12,5,0,32,24,0,60,102,48,45,0,197,227,17,437,463,104,46,10,624,1272,67,1966,145,31,41,3,223,320,39,581,189,139,57,7,385,348,24,763,88,73,13,3,174,75,12,266,878,347,163,22,1407,2020,144,3577,423,407,113,10,949,504,46,1503,50574,48514,11817,1021,111931,28580,3737,144249
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,87541,114308,40275,3861,245989,67980,10838,324804,12361,7984,6815,876,28031,29028,2877,59934,5398,4299,2483,438,12618,6314,1840,20770,17755,12282,9295,1316,40647,35341,4713,80704,5244,3230,2049,418,10939,15743,1661,28344,794,396,191,83,1466,2060,433,3960,1499,400,237,124,2258,2600,761,5622,11,16,4,3,42,42,9,86,7547,4043,2483,627,14704,20451,2864,38014,76,26,13,0,106,193,5,313,49,11,13,0,75,144,6,223,3,4,5,0,17,19,0,40,107,108,57,15,285,145,57,487,234,146,84,14,478,508,73,1057,302,275,120,17,714,471,63,1254,113389,131056,52262,5837,302544,124747,18551,445836
SOS41,33172,29276,11630,797,74870,26258,2364,103488,2278,1113,1737,127,5267,7007,411,12677,143,80,59,3,287,184,30,496,2426,1194,1797,131,5554,7191,436,13174,492,147,213,37,882,2631,114,3630,17,0,0,0,15,35,0,57,11,3,3,0,11,17,0,29,4,3,0,0,3,0,0,6,520,151,216,37,918,2683,116,3716,118,13,12,0,143,245,3,397,42,15,3,3,63,131,9,201,4,5,3,0,17,15,3,39,53,32,9,0,93,54,3,150,221,65,29,4,322,446,14,780,146,95,53,6,298,242,8,548,36482,30778,13719,977,81957,36817,2942,121711
SOS42,6673,4999,1776,148,13593,5645,404,19643,56,24,17,3,103,334,5,445,6,0,0,0,12,3,0,15,59,24,25,3,115,340,5,457,25,8,13,0,45,154,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,8,13,0,49,151,0,203,46,7,0,0,55,101,5,161,18,3,0,0,21,25,4,45,0,3,0,0,8,31,0,37,51,34,16,3,101,51,3,158,114,44,20,0,176,211,11,402,55,24,13,0,97,79,8,175,6933,5098,1846,157,14031,6419,430,20886
SOS43,17365,16611,3308,307,37590,10381,894,48863,42,19,6,0,67,90,5,163,3,0,0,0,4,5,0,5,42,23,6,0,72,94,5,174,9,8,0,0,14,22,3,37,3,0,0,0,3,15,0,21,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,14,9,3,0,22,36,3,64,94,10,14,0,115,207,14,334,70,7,8,0,87,125,9,220,26,12,3,0,40,78,5,121,33,21,3,0,64,39,3,105,220,61,31,7,311,443,31,784,130,133,28,0,288,179,6,478,17771,16831,3373,309,38283,11139,933,50362
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,138070,204498,56261,6406,405242,87813,17006,510058,19434,13185,8506,1309,42443,34545,4180,81162,8484,5865,2578,542,17465,8821,2402,28687,27919,19048,11085,1848,59904,43363,6576,109846,3830,1523,1072,256,6678,9334,1087,17094,2981,923,516,228,4646,5768,992,11413,5618,1442,594,292,7944,7523,1359,16833,9,8,3,0,16,30,3,49,12436,3893,2183,773,19290,22661,3441,45387,222,23,38,3,283,594,21,907,144,27,32,3,200,343,18,560,15,9,5,0,20,22,0,50,118,131,53,9,313,128,37,476,499,189,119,11,817,1097,75,1986,371,328,104,20,824,584,88,1495,179297,227960,69756,9065,486080,155518,27183,668779
SOS51,31760,36973,12573,1005,82309,22676,3305,108296,2029,989,1060,119,4203,5546,363,10109,482,313,148,18,960,564,100,1622,2515,1307,1204,135,5165,6109,458,11726,649,244,179,23,1094,1729,131,2958,48,8,10,0,78,85,9,162,40,14,7,0,59,68,5,132,6,0,3,0,9,8,0,12,744,264,203,26,1239,1881,150,3266,378,46,38,0,458,811,31,1303,253,15,16,5,291,358,9,651,36,17,4,0,52,56,5,112,74,76,32,5,185,110,17,316,741,154,85,12,991,1332,64,2388,162,125,51,10,344,297,17,664,35915,38820,14116,1187,90043,32296,3998,126344
SOS52,6298,5804,2354,253,14705,5598,508,20815,146,67,77,14,301,400,28,734,10,0,4,0,10,16,4,33,154,70,86,14,314,417,29,767,35,9,20,0,74,197,7,277,3,0,0,0,4,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,43,13,20,0,81,209,7,305,81,13,4,3,101,212,4,311,4,0,0,0,5,11,0,21,3,3,3,0,19,24,3,41,50,24,13,0,86,41,10,134,138,41,23,3,208,288,17,506,52,50,16,4,118,95,13,227,6686,5971,2503,269,15428,6612,573,22615
SOS53,17049,16484,3238,336,37101,8694,861,46657,48,31,8,0,89,107,8,198,7,6,0,0,14,7,3,19,50,37,8,0,96,109,10,216,29,12,5,0,48,49,5,105,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,5,10,0,12,36,12,12,0,61,57,5,121,231,39,23,3,300,452,16,764,56,14,3,0,73,88,5,172,106,81,24,3,206,138,12,364,56,37,5,0,101,31,7,141,451,163,61,7,682,715,41,1441,214,132,33,9,384,203,15,598,17799,16830,3349,346,38326,9778,930,49039
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,15682,16788,7614,606,40694,14160,2035,56890,414,181,328,32,954,1688,170,2814,467,224,205,33,939,869,218,2021,885,408,538,66,1895,2556,380,4831,932,377,562,68,1946,3253,409,5603,194,41,38,18,296,527,110,927,134,34,21,10,199,368,65,623,14,11,4,0,26,36,3,62,1282,461,624,98,2457,4185,585,7225,9,3,4,0,16,17,0,31,14,3,3,0,23,29,3,57,0,0,0,0,0,12,0,14,30,33,13,0,79,39,17,141,58,40,19,0,118,95,19,240,38,28,18,0,84,77,17,178,17941,17725,8813,768,45248,21078,3034,69360
SOS61,20192,18528,9161,623,48504,18852,1920,69279,710,210,405,54,1379,3452,194,5028,255,172,107,18,553,520,78,1153,967,382,510,69,1935,3969,274,6181,525,170,312,34,1044,2195,143,3380,12,6,7,0,29,110,15,155,20,3,3,0,28,159,3,193,13,7,11,0,28,57,6,95,567,185,339,35,1126,2522,166,3814,30,8,5,0,47,91,0,140,38,6,0,0,46,93,8,147,10,7,0,0,14,10,0,25,42,31,30,3,106,73,20,195,117,50,35,6,212,269,29,508,47,39,24,4,108,104,14,228,21891,19186,10072,732,51882,25716,2404,80004
SOS62,4003,2922,1104,71,8103,3266,286,11661,36,13,24,0,69,162,7,243,3,0,0,0,3,0,0,3,37,16,22,0,79,162,7,248,18,6,6,4,33,116,3,151,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,19,6,6,4,35,119,3,164,9,3,3,0,13,27,0,45,3,0,0,0,3,14,3,22,0,0,0,0,0,6,0,6,26,18,9,0,52,27,0,75,37,22,11,0,69,73,3,144,22,6,8,0,39,32,5,77,4126,2975,1149,76,8323,3658,301,12287
