SOS_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOS62,9,28,3,38,722,114,868,40,22,0,63,547,47,652,501,52,14,568,709,90,1369,845,47,26,913,581,107,1604,497,75,15,583,1331,173,2091,102,199,3,306,2084,224,2610,12,152,0,166,1854,253,2280,3,30,0,33,817,169,1021,4,3,0,5,203,62,276,2015,608,61,2684,8855,1236,12777,14,63,3,72,610,95,777,109,47,7,167,417,63,642,703,88,58,841,519,102,1466,1033,73,55,1172,512,115,1793,425,212,29,668,1339,173,2179,36,441,4,482,1945,189,2612,8,259,0,270,1643,247,2156,3,33,0,35,805,190,1032,3,3,0,3,296,69,369,2335,1214,161,3705,8080,1234,13020,14,88,3,112,1327,207,1651,155,68,7,225,959,106,1294,1203,139,66,1412,1226,195,2831,1880,117,84,2084,1094,215,3395,918,288,46,1252,2670,346,4268,138,641,7,786,4026,410,5220,25,411,0,439,3500,503,4435,6,65,0,73,1627,355,2055,7,9,0,12
SOS63,15,101,0,113,2598,393,3108,139,80,3,223,1867,172,2266,1474,138,50,1657,2109,326,4095,3012,136,90,3241,2010,442,5693,2081,294,59,2440,5043,611,8089,437,694,17,1153,7205,741,9090,82,521,3,601,5414,661,6675,12,96,0,104,1927,340,2371,6,13,0,20,374,76,466,7260,2055,227,9543,28532,3770,41846,28,231,0,262,2212,348,2826,247,120,15,378,1342,147,1868,2137,188,141,2464,1546,289,4305,3540,230,180,3957,1604,400,5965,1782,735,78,2588,4952,528,8066,148,1501,6,1657,6142,638,8438,43,743,3,794,4138,554,5483,14,91,0,108,1481,271,1856,15,6,0,24,375,66,456,7955,3851,426,12226,23794,3242,39262,46,329,0,377,4807,742,5929,391,195,21,605,3209,321,4134,3610,319,188,4122,3657,623,8396,6560,368,272,7197,3618,847,11659,3861,1027,143,5027,9995,1132,16160,580,2196,23,2804,13342,1379,17527,121,1259,6,1392,9549,1215,12150,20,187,0,206,3409,606,4225,22,19,0,38
SOS67,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,11,4,15,3,0,0,3,3,3,5,3,0,0,3,6,0,10,0,0,0,0,6,0,8,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,41,6,49,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,21,4,23,3,0,0,3,3,3,5,7,0,0,7,10,0,15,0,0,0,0,12,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,3,27,3,34,3,0,0,3,34,19,56,17,3,0,24,65,34,120,14,3,0,20,49,22,93,5,0,0,9,46,20,77,3,0,0,3,39,7,52,0,0,0,0,36,12,48,0,0,0,0,4,6,8,0,0,0,0,0,0,0,46,13,0,63,302,122,481,0,0,0,0,25,7,33,10,0,0,9,21,7,29,11,4,3,21,36,9,69,19,4,0,21,29,5,54,6,0,0,5,40,17,59,0,12,0,12,45,8,56,0,5,0,5,30,9,38,0,0,0,0,5,0,5,0,0,0,0,0,0,0,39,22,6,70,231,58,350,0,0,0,3,56,9,62,9,3,0,13,55,20,90,33,9,3,42,96,43,183,35,9,0,40,77,30,147,9,3,0,17,90,35,135,3,10,0,14,80,15,113,0,5,0,5,70,18,84,0,0,0,0,9,4,12,0,0,0,0
SOS70,17,185,4,205,2707,450,3362,182,151,0,336,3574,773,4680,2400,296,43,2738,7901,2228,12865,3831,176,78,4078,4331,1585,9999,1861,235,59,2154,4920,1262,8332,405,397,19,815,4430,874,6128,73,300,7,378,2460,453,3296,9,59,0,69,851,152,1071,3,7,0,4,201,45,245,8783,1801,203,10780,31378,7825,49980,47,296,3,349,2316,397,3058,438,235,17,683,2741,510,3926,3705,438,172,4314,5994,1423,11727,4456,306,193,4952,3089,896,8939,1561,550,91,2197,4377,764,7340,161,949,7,1120,3750,665,5533,33,511,3,543,1977,347,2864,11,83,0,96,849,151,1098,0,3,0,6,273,49,323,10411,3366,488,14261,25356,5201,44816,59,483,9,551,5026,841,6422,614,380,20,1015,6308,1285,8610,6108,731,214,7053,13892,3647,24590,8290,477,268,9035,7420,2483,18940,3417,788,146,4349,9293,2020,15672,567,1351,24,1937,8182,1540,11658,106,814,8,922,4437,802,6161,23,137,0,165,1702,308,2169,4,9,0,8
SOS71,47,243,19,307,1121,304,1735,159,161,54,371,973,240,1590,1019,256,139,1420,1987,644,4053,1194,187,127,1511,1340,504,3357,653,244,68,966,1811,466,3235,139,224,14,370,1697,384,2455,30,104,3,137,802,200,1137,3,11,0,16,251,73,344,0,0,0,0,55,17,74,3242,1428,425,5099,10042,2834,17971,103,292,29,420,839,238,1493,331,198,81,608,787,205,1609,1542,329,226,2101,1704,677,4479,1424,289,195,1908,1170,489,3568,603,425,86,1113,1821,480,3412,69,422,31,525,1636,360,2518,11,133,3,145,692,166,1004,4,32,0,42,272,75,389,0,5,0,5,99,36,136,4086,2121,653,6863,9022,2720,18607,146,532,42,720,1961,544,3230,491,361,135,985,1767,443,3197,2563,583,371,3515,3688,1317,8531,2624,476,319,3415,2517,996,6924,1257,670,150,2074,3627,946,6653,205,645,47,893,3333,744,4971,41,241,5,287,1488,361,2139,11,48,0,55,528,146,731,0,5,0,4
SOS72,41,206,20,267,600,220,1083,173,171,50,397,558,138,1092,629,243,104,976,955,259,2188,515,164,94,784,739,183,1700,225,219,60,496,804,276,1578,56,149,20,225,715,171,1111,5,70,4,86,337,73,493,5,9,3,17,99,24,140,0,0,0,3,23,3,27,1661,1244,342,3245,4828,1345,9422,61,235,35,328,467,178,977,316,185,92,600,402,147,1147,884,279,166,1333,760,254,2351,620,254,137,1009,604,202,1824,224,390,72,690,788,225,1709,40,287,17,348,653,149,1146,13,113,13,141,276,72,491,0,22,4,28,95,20,147,3,3,0,10,25,7,40,2155,1782,549,4482,4068,1262,9815,103,438,51,598,1070,397,2063,493,362,140,992,954,284,2241,1516,523,269,2309,1713,513,4538,1138,416,236,1793,1340,388,3522,449,611,133,1191,1596,502,3289,100,437,36,572,1370,317,2251,15,190,19,225,609,146,980,6,33,3,45,199,43,289,3,7,0,12
SOS73,12,99,10,120,794,360,1276,86,91,19,199,782,410,1392,622,124,62,806,1159,678,2640,898,118,48,1071,965,522,2556,558,152,44,755,1555,512,2826,127,182,3,311,1477,397,2185,22,97,9,126,851,241,1215,10,24,3,28,220,54,306,0,0,0,0,36,5,45,2335,891,194,3421,7832,3180,14437,30,131,16,173,608,268,1055,175,111,36,317,475,232,1032,856,169,106,1130,748,366,2248,1046,159,123,1328,631,314,2273,448,282,46,780,1286,343,2410,54,338,12,403,1084,292,1779,17,155,7,176,576,129,889,5,19,4,32,158,50,242,0,0,0,3,37,8,45,2636,1365,349,4351,5600,2013,11958,44,231,26,302,1401,623,2328,257,207,50,518,1254,647,2417,1479,291,165,1939,1907,1047,4891,1943,276,172,2397,1592,840,4827,1007,437,89,1534,2838,864,5235,179,512,19,711,2557,692,3962,36,257,9,307,1432,370,2104,12,45,3,65,380,103,541,0,0,0,3
SOS77,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,19,5,23,0,0,0,0,12,7,16,0,0,0,0,4,3,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,38,18,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,17,3,30,0,0,0,0,12,10,19,0,0,0,0,4,3,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SOS79,0,0,0,0,17,4,16,0,3,0,0,60,37,98,12,7,0,25,105,94,219,30,9,0,38,99,84,215,13,3,0,17,135,103,257,7,8,0,10,163,55,229,0,3,0,3,135,36,174,0,0,0,0,18,11,20,0,0,0,0,0,0,0,70,30,0,95,723,416,1240,0,0,0,0,12,0,17,0,3,0,3,47,39,85,28,7,0,40,117,80,239,42,3,0,47,69,68,180,17,5,0,17,112,75,203,0,4,0,4,159,44,212,0,3,0,3,80,24,105,0,0,0,0,9,3,10,0,0,0,0,0,0,0,81,34,0,114,599,329,1043,0,0,0,3,29,8,32,3,3,0,10,108,74,183,42,16,0,61,221,173,457,74,12,0,82,162,145,396,30,7,0,34,243,181,461,7,13,0,13,325,99,438,0,10,0,10,215,58,278,0,0,0,0,24,9,38,0,0,0,0
SOS80,30,598,3,630,10932,753,12311,284,412,17,719,14005,1075,15795,6702,784,159,7644,22273,2399,32310,14317,505,393,15218,11722,1851,28789,8000,655,217,8871,14437,1562,24876,1392,1946,35,3378,15235,1190,19803,212,2629,15,2850,10034,1004,13888,44,608,3,655,5041,728,6417,9,35,0,43,1874,399,2319,30986,8164,846,39999,105552,10959,156508,71,985,4,1061,10337,678,12080,742,826,33,1606,12929,965,15502,10454,1396,510,12358,19168,2051,33573,16764,909,863,18526,9352,1461,29342,7256,1545,336,9137,15412,1327,25880,583,4451,56,5089,15127,1286,21502,148,4150,29,4328,10067,1076,15462,46,734,0,783,6186,929,7902,13,53,0,63,2891,875,3836,36064,15055,1835,52949,101475,10648,165069,101,1579,12,1691,21269,1430,24393,1031,1239,58,2322,26933,2039,31297,17154,2178,667,19998,41437,4449,65889,31077,1410,1261,33750,21067,3315,58129,15257,2200,555,18012,29851,2893,50749,1970,6400,90,8463,30370,2470,41302,357,6779,41,7175,20105,2078,29352,86,1342,5,1433,11223,1660,14316,13,92,3,111
SOS82,0,0,0,0,3,0,5,0,0,0,0,4,5,10,0,0,0,0,0,0,5,9,0,0,9,5,0,13,12,0,0,8,7,0,23,0,0,0,3,10,0,16,0,3,0,3,13,0,16,0,0,0,0,10,0,14,0,0,0,0,3,0,3,20,10,0,28,65,11,103,0,3,0,3,12,0,18,0,0,0,0,5,0,5,3,0,0,3,5,0,9,14,0,0,14,3,0,19,6,0,0,6,10,4,26,0,7,0,7,14,3,25,0,3,0,3,10,0,12,0,0,0,0,7,0,6,0,0,0,0,0,0,0,22,12,0,43,66,4,116,0,4,0,4,13,0,18,0,0,0,0,7,5,12,3,0,0,3,4,0,13,20,0,0,20,13,0,30,21,0,0,22,23,4,44,0,4,0,7,26,4,39,0,7,0,11,21,0,29,0,3,0,3,18,0,19,0,0,0,0
SOS83,0,0,0,0,24,5,28,0,0,0,0,20,0,25,14,0,0,15,27,6,50,40,0,0,37,21,10,65,12,0,0,14,46,10,64,0,0,0,0,41,9,50,0,3,0,5,17,0,18,0,0,0,0,6,0,6,0,0,0,0,0,0,0,73,6,3,79,201,34,317,0,4,0,4,23,6,31,0,0,0,0,15,3,20,25,0,0,27,29,10,61,40,0,0,47,14,5,65,5,0,0,9,38,8,55,0,4,0,6,27,3,39,0,6,0,9,12,3,21,0,0,0,0,3,3,6,0,0,0,0,0,0,3,74,20,7,101,158,41,295,0,3,0,3,49,13,58,3,0,0,3,40,5,41,33,0,3,39,58,14,111,78,6,0,86,37,11,133,20,3,0,25,76,16,118,3,9,0,13,67,13,91,4,10,0,11,26,3,42,0,0,0,0,10,3,11,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,10,3,16,0,3,0,3,32,6,36,7,0,0,8,50,8,63,12,3,0,12,29,22,67,4,0,0,4,24,16,43,3,0,0,5,25,15,38,0,0,0,0,15,3,15,0,0,0,0,3,0,5,0,0,0,0,0,0,0,19,9,0,32,181,82,297,0,4,0,6,9,4,20,0,3,0,3,28,8,42,5,4,0,11,25,3,44,5,0,0,4,28,9,40,7,0,0,7,13,5,26,0,11,3,14,16,8,34,0,0,0,0,11,0,9,0,0,0,0,4,0,4,0,0,0,0,3,0,3,20,22,3,41,141,31,209,0,4,0,6,23,10,35,0,4,0,4,57,9,79,12,5,0,17,76,16,108,14,3,3,20,58,26,107,6,3,0,13,41,20,68,3,8,3,13,40,24,78,0,0,0,0,21,3,24,0,0,0,0,4,0,8,0,0,0,0
SOS91,0,0,0,0,23,10,37,0,0,0,3,32,7,41,23,0,0,26,68,22,114,52,0,3,54,40,14,112,35,3,0,40,85,28,145,3,3,0,3,110,33,147,0,0,0,0,84,20,106,0,0,0,0,14,3,24,0,0,0,0,0,0,0,113,10,3,127,463,138,724,0,3,0,3,28,5,34,4,3,0,8,19,3,36,40,3,0,44,42,18,103,57,0,0,63,35,11,106,21,0,0,24,74,28,126,0,10,0,11,83,18,113,0,0,0,0,29,9,38,0,3,0,3,10,0,9,0,0,0,0,3,0,3,126,26,4,157,315,94,562,0,3,0,3,50,18,65,6,5,0,11,50,16,76,61,4,0,70,105,41,221,112,3,6,118,73,23,218,53,7,5,65,152,50,272,7,12,0,12,192,51,261,0,0,0,0,112,27,139,0,3,0,3,25,3,30,0,0,0,0
SOS92,0,3,0,3,26,4,35,0,0,0,3,31,11,45,15,0,3,22,44,13,77,42,3,0,48,42,6,98,18,6,0,23,77,12,116,7,4,0,16,78,11,104,0,13,0,14,64,10,88,0,0,0,3,32,6,34,0,0,0,0,7,0,10,96,28,4,125,397,77,599,0,8,0,8,23,13,43,5,4,0,7,14,3,26,40,4,3,49,35,4,93,50,10,4,62,33,5,103,13,13,0,30,69,15,110,0,16,0,16,92,16,126,3,10,0,12,66,6,84,3,0,0,3,27,7,40,0,0,0,0,10,0,12,106,63,13,182,368,76,623,0,13,0,13,54,16,79,6,5,0,12,42,11,64,59,11,3,67,77,16,169,90,8,3,106,76,12,200,30,14,6,51,144,24,219,6,21,0,28,171,26,223,3,22,0,26,129,20,169,3,3,0,4,53,16,71,0,0,0,0
SOS93,0,0,0,0,31,4,30,0,0,0,0,12,40,54,11,0,0,15,18,108,132,33,0,3,36,30,67,131,27,3,0,27,41,42,115,8,11,0,19,79,16,112,0,3,0,6,49,9,64,0,3,0,3,25,3,37,0,0,0,0,12,3,14,79,25,3,113,292,289,693,0,4,0,4,14,5,28,0,0,0,0,7,0,9,21,0,0,26,20,5,47,32,7,0,42,31,8,80,28,12,0,40,53,10,98,3,19,0,23,65,17,101,0,14,0,15,57,13,88,0,0,0,3,32,8,46,0,0,0,0,12,5,13,94,55,3,152,300,65,519,0,5,0,9,47,11,66,0,0,0,0,19,38,60,31,4,0,34,34,113,185,67,6,0,79,57,79,213,52,13,0,65,100,48,215,17,26,0,43,139,32,214,7,21,0,27,109,18,150,0,7,0,8,61,11,82,0,0,0,0
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,0,4,0,0,0,0,3,0,4,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,18,4,30,0,0,0,0,0,4,3,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,3,0,9,0,0,0,0,10,0,11,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0
