SOS_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,62,1167,93811,95039,2834,14417,85396,102650,67594,47903,90285,205778,115674,29230,50424,195323,114142,21631,48499,184274,98827,12710,39558,151092,79020,6267,27110,112397,37595,1592,14134,53326,9097,286,6815,16196,524840,135211,456033,1116079,165,2274,88784,91218,6107,20933,77298,104339,89756,49950,80721,220430,126150,28458,59067,213673,117989,20785,64066,202845,96552,11224,58165,165941,69148,4400,49148,122691,26431,903,36160,63493,4276,133,20648,25062,536564,139065,534060,1209687,222,3441,182594,186256,8942,35351,162696,206988,157351,97859,171001,426210,241819,57691,109489,409005,232125,42420,112573,387112,195374,23928,97722,317030,148169,10664,76256,235090,64026,2503,50291,116819,13373,423,27463,41256,1061409,274277,990089,2325771
SOS31,17,468,23224,23707,825,4568,15142,20532,15371,10880,16705,42955,24287,7015,12007,43310,26260,5906,13992,46158,27101,3886,13030,44011,25085,2045,9770,36903,13215,617,5378,19212,2817,82,2110,5006,134973,35466,111362,281805,50,1123,21215,22391,1760,6314,12715,20790,20817,11525,16128,48470,27355,7098,14212,48664,28623,5982,16218,50822,28089,3525,15129,46738,22677,1649,14227,38556,9237,398,11622,21254,1303,44,5923,7267,139904,37661,127380,304944,65,1594,44439,46100,2578,10887,27861,41322,36186,22397,32838,91419,51640,14111,26224,91974,54884,11888,30206,96981,55185,7407,28153,90752,47761,3699,23994,75459,22453,1008,16998,40465,4121,133,8032,12275,274875,73128,238742,586749
SOS32,3,55,3578,3634,96,562,2086,2748,1684,1613,2213,5511,3422,1354,1987,6767,4575,1366,2742,8688,5457,1001,2866,9321,5200,554,2471,8222,2088,139,1145,3376,395,13,341,752,22917,6655,19440,49017,3,119,3218,3342,186,819,1805,2817,2439,1742,2204,6384,4104,1504,2026,7635,5184,1367,2578,9129,5818,951,2701,9472,4474,430,2435,7347,1330,69,1641,3045,141,5,652,804,23685,7012,19275,49972,9,174,6798,6979,285,1385,3896,5561,4121,3357,4417,11897,7520,2861,4019,14398,9759,2729,5328,17813,11275,1952,5573,18794,9673,987,4908,15568,3421,203,2789,6420,538,21,999,1555,46599,13674,38717,98982
SOS33,8,97,11841,11944,291,1097,6766,8151,5711,3361,6187,15262,13023,3396,5148,21571,18591,3812,7082,29482,19808,2913,7442,30160,16068,1440,5934,23444,6111,305,2724,9140,1000,34,868,1898,80614,16450,53984,151056,13,232,10513,10760,586,1644,5151,7375,8166,3887,4714,16765,16018,3651,4292,23968,20743,4035,5710,30497,19844,2610,5736,28189,13493,972,4918,19376,3746,164,3058,6963,400,24,1390,1815,83001,17211,45494,145706,21,332,22357,22709,874,2737,11916,15530,13876,7248,10906,32027,29044,7049,9444,45539,39336,7843,12789,59974,39655,5516,13179,58347,29556,2411,10851,42814,9856,468,5779,16106,1395,59,2264,3713,163619,33664,99478,296763
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,23,239,32708,32972,879,3488,32757,37122,24197,14293,34569,73056,40052,8828,19487,68369,40291,7331,21186,68810,38271,4914,17267,60447,31877,2197,10655,44721,17426,578,5943,23942,4894,120,3438,8447,197895,41977,178014,417877,67,486,30973,31533,2157,5226,28657,36041,32646,15032,29116,76794,42110,8670,20321,71106,41464,7343,24546,73356,38150,4443,24328,66931,29236,1653,20095,50982,12829,373,16628,29830,2361,71,10533,12963,201020,43302,205204,449533,87,729,63683,64500,3038,8711,61416,73165,56834,29325,63682,149848,82159,17502,39816,139468,81759,14672,45737,142166,76420,9356,41598,127376,61107,3843,30751,95704,30256,947,22569,53776,7253,185,13967,21409,398914,85280,383215,867408
SOS41,6,126,8534,8662,235,1299,5813,7351,4930,3671,5948,14546,8342,2391,4345,15081,10005,2279,5442,17715,10955,1516,5015,17482,10898,741,3342,14984,6061,232,2082,8374,1524,51,1041,2613,52956,12300,41560,106812,10,283,7778,8074,493,1951,4689,7137,6615,3723,5315,15654,9379,2520,4806,16707,10691,2276,6163,19129,11240,1358,5931,18530,10218,608,5763,16592,4506,157,5161,9824,710,39,3036,3784,53870,12914,48652,115437,16,406,16310,16737,736,3256,10501,14487,11545,7396,11264,30205,17720,4912,9159,31790,20696,4549,11608,36846,22195,2874,10941,36010,21111,1351,9109,31574,10568,388,7241,18195,2233,90,4075,6400,106822,25216,90203,222246
SOS42,11,13,1301,1326,49,173,827,1048,793,554,934,2285,1341,420,696,2462,1787,462,1028,3277,2213,351,1118,3689,2028,197,866,3091,1035,46,428,1513,227,8,177,409,9490,2231,7374,19093,18,37,1204,1256,104,245,615,964,1054,613,682,2355,1548,454,666,2670,1999,440,912,3354,2271,348,945,3565,1841,134,907,2880,736,33,715,1477,113,6,438,558,9677,2310,7087,19080,24,47,2506,2576,159,419,1438,2012,1853,1166,1619,4642,2887,876,1364,5125,3787,896,1948,6626,4487,705,2061,7252,3870,332,1774,5970,1767,81,1143,2989,339,9,618,970,19169,4538,14457,38171
SOS43,3,27,4099,4130,92,269,2510,2876,1823,1066,2139,5024,4407,1095,1598,7102,6669,1333,2554,10555,7383,1062,2691,11144,5643,478,1852,7970,2027,77,770,2876,363,8,268,643,28419,5416,18495,52326,5,53,3636,3700,163,439,1743,2338,2600,1142,1386,5135,5316,1168,1081,7564,7213,1415,1692,10323,7299,968,1737,10008,4838,329,1428,6598,1320,38,969,2330,149,8,488,652,28912,5575,14164,48651,12,79,7735,7824,255,705,4250,5216,4426,2209,3528,10159,9726,2267,2678,14667,13885,2746,4251,20883,14686,2037,4430,21156,10480,814,3278,14571,3346,121,1736,5208,519,17,755,1292,57331,10993,32658,100981
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
SOS50,16,410,53765,54192,1439,6139,50082,57655,43141,27647,56786,127564,71736,14958,27872,114566,70086,11540,26308,107925,59220,6884,21274,87379,45518,3174,13814,62511,22774,845,7446,31065,5654,157,3641,9451,319583,71751,260975,652305,79,907,50533,51521,3772,9892,41940,55602,59870,29875,45176,134923,78698,15067,29083,122849,72531,11334,32159,116025,58615,6096,31069,95773,39385,2339,25473,67193,16465,530,20495,37498,2595,87,11545,14223,332011,76120,287475,695613,104,1312,104292,105707,5213,16030,92018,113257,103013,57524,101955,262486,150432,30027,56953,237413,142612,22873,58466,223951,117832,12979,52336,183150,84903,5513,39291,129706,39241,1377,27947,68563,8243,240,15187,23676,651599,147876,548444,1347919
SOS51,5,173,9651,9833,262,1802,6123,8195,6643,5616,7293,19547,11470,3671,4856,19992,11454,2937,5676,20063,10461,1825,4923,17207,8259,702,3175,12136,4058,201,1589,5842,1010,33,676,1718,53621,16953,43963,114536,24,392,8769,9181,613,2668,4792,8075,9535,6117,6663,22316,12881,3743,5571,22189,12016,2923,6161,21099,10494,1590,5731,17819,7249,547,4541,12334,2888,139,3748,6781,449,14,1890,2355,56148,18138,47857,122147,28,568,18422,19013,876,4471,10911,16265,16181,11732,13958,41869,24347,7412,10424,42187,23470,5852,11836,41165,20958,3418,10653,35028,15506,1244,7713,24462,6945,341,5333,12625,1459,46,2569,4076,109770,35093,91823,236687
SOS52,10,26,1495,1536,81,229,1004,1317,943,847,1229,3021,1485,643,958,3083,1806,634,1247,3689,2013,497,1279,3781,1785,212,948,2947,846,44,411,1301,169,6,142,317,9140,3130,8710,20983,24,59,1367,1442,141,358,849,1343,1289,973,1190,3450,1684,683,960,3332,2024,676,1244,3947,2106,427,1221,3749,1523,133,911,2571,577,30,735,1346,79,4,284,365,9442,3337,8766,21544,29,82,2865,2977,224,584,1850,2661,2230,1821,2419,6473,3172,1323,1914,6414,3826,1316,2491,7634,4115,919,2495,7528,3313,342,1862,5516,1421,76,1150,2646,250,9,423,686,18580,6467,17479,42524
SOS53,11,23,3904,3933,74,321,2322,2718,1820,1228,2228,5272,4433,1248,1622,7304,6670,1491,2254,10413,6941,1042,2378,10366,5341,485,1766,7588,1898,97,717,2714,321,15,229,567,27518,5951,17412,50879,17,58,3314,3392,165,490,1671,2330,2707,1497,1559,5762,5573,1410,1220,8196,7330,1516,1664,10516,7010,986,1643,9639,4399,297,1349,6046,1161,59,889,2108,126,4,403,528,28471,6320,13719,48511,28,77,7216,7326,243,817,3991,5050,4523,2719,3788,11036,10008,2655,2843,15504,14001,3006,3917,20924,13946,2027,4022,20001,9735,779,3116,13635,3062,158,1603,4817,445,26,627,1091,55993,12274,31122,99384
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,0,69,4925,4989,113,730,4301,5150,2856,2582,4707,10141,4925,1660,2759,9346,5478,1430,3021,9927,5680,940,2817,9432,4724,439,1777,6939,2561,118,1021,3699,677,21,530,1227,27019,7986,25845,60847,5,127,4507,4643,214,1062,3814,5088,3724,2685,4493,10901,5529,1689,3420,10638,5619,1398,3928,10943,5785,823,4062,10666,4305,308,3484,8091,1819,64,2832,4719,308,6,1630,1947,27310,8159,32171,67636,10,194,9426,9634,326,1794,8112,10235,6575,5261,9198,21040,10458,3350,6177,19983,11093,2823,6949,20867,11465,1761,6879,20101,9029,743,5260,15030,4382,179,3851,8415,985,26,2159,3174,54327,16138,58015,128484
SOS61,8,111,5638,5754,205,968,4211,5383,3113,2618,3903,9636,4917,1700,2899,9519,6106,1466,3601,11171,6846,968,3150,10961,6310,473,2323,9101,3361,137,1398,4893,809,28,606,1444,31674,8455,27729,67858,14,209,5229,5447,372,1395,3473,5231,4006,2659,3988,10654,5640,1719,3663,11017,6620,1452,4611,12683,6976,784,4489,12250,5689,364,4254,10303,2410,96,3678,6185,377,14,1834,2228,32099,8684,35214,76001,22,318,10871,11206,573,2355,7687,10618,7118,5280,7895,20291,10556,3415,6559,20535,12726,2921,8207,23852,13824,1748,7645,23211,11998,833,6578,19404,5769,233,5073,11077,1188,38,2437,3666,63771,17137,62946,143857
