SOS_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
SOS30,18,52,239,841,804,1043,1545,1457,396,401,385,455,458,304,221,8616,61,222,505,265,735,3223,7618,10874,2146,2573,3270,3986,4531,2956,2137,45091,3,77,599,1080,131,357,525,76,15,22,14,6,6,10,104,3022,0,200,323,243,81,236,320,291,43,83,95,61,58,53,74,2157,26,46,150,479,1056,3093,2803,1771,307,267,264,242,231,115,259,11099,24,3117,1955,1511,1672,1146,1725,1448,203,215,213,197,237,184,451,14293,47,536,1011,610,155,121,121,65,28,73,28,28,24,7,151,2992,19,51,119,382,944,2589,1961,1121,273,373,431,518,553,346,358,10042,22,268,262,1094,683,1745,5060,16799,1865,2106,3033,4095,3483,2318,1345,44177,14,192,310,297,460,685,1540,962,205,204,241,216,440,290,163,6218,0,19,17,67,271,494,711,1357,620,777,936,370,307,146,129,6226,0,3,12,34,39,120,528,583,142,114,325,273,125,322,87,2719,31,243,424,1116,798,1169,1235,1890
SOS31,3,9,47,201,117,165,199,184,54,65,75,48,50,21,40,1279,11,22,36,17,25,74,211,420,70,72,91,109,126,72,85,1441,0,17,98,103,22,14,17,4,3,0,6,0,3,0,7,296,0,18,26,25,7,8,17,27,9,4,16,17,16,8,19,223,3,7,22,73,85,198,203,204,45,85,44,32,38,17,32,1089,5,716,671,505,389,224,266,229,27,47,18,44,39,40,108,3329,0,48,65,46,14,3,11,0,0,13,0,0,0,0,10,206,7,7,13,29,44,60,47,51,17,12,21,28,44,20,47,449,7,50,51,104,52,70,341,1819,182,259,276,333,274,159,145,4113,4,64,64,50,33,40,136,115,28,30,29,25,34,16,33,696,0,0,0,17,22,20,23,39,22,27,14,22,14,3,5,212,0,0,0,8,0,0,10,23,3,11,0,17,14,0,9,106,8,54,82,224,114,142,128,199
SOS32,0,0,4,44,33,24,29,22,3,4,0,5,10,7,11,200,0,6,10,4,3,8,11,22,3,0,0,4,3,10,4,83,0,0,16,18,0,6,0,0,0,0,0,0,0,0,4,49,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,18,0,4,7,11,15,24,15,24,3,4,3,3,0,0,9,118,3,145,134,92,92,43,50,34,6,0,4,14,5,4,31,670,0,6,5,3,0,0,0,0,0,3,0,0,0,0,0,19,0,0,3,9,6,5,3,3,0,3,3,0,3,0,3,42,0,7,7,27,9,6,22,75,5,16,5,9,16,8,6,210,0,15,13,15,6,10,14,16,6,0,3,3,3,0,9,102,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,16,44,23,13,19,17
SOS33,3,7,45,128,92,84,106,90,16,24,14,9,8,11,22,652,3,14,38,6,3,25,49,73,20,12,21,30,37,23,41,389,0,8,72,68,12,7,3,0,0,0,0,0,0,0,9,180,0,6,17,11,3,0,3,5,0,0,0,0,0,0,0,52,0,12,21,28,43,54,52,32,0,3,21,4,3,0,12,293,0,379,312,304,350,169,207,114,15,23,21,18,16,5,50,1999,0,15,20,15,0,3,4,0,0,0,0,0,3,0,5,72,4,3,4,25,17,24,23,15,4,10,11,7,10,14,30,202,3,16,25,68,40,57,58,158,15,17,24,34,20,12,32,583,0,30,43,34,20,19,43,27,15,4,9,7,7,8,10,288,0,0,0,4,12,0,5,0,3,8,0,0,0,0,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,58,111,39,60,88,86
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,6,0,3,3,6,3,0,0,0,20,14,6,58,0,0,0,0,0,4,3,9,0,4,5,11,16,25,20,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,3,0,0,0,0,0,0,0,3,14,0,10,13,6,3,3,3,0,0,0,0,5,13,22,7,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,17,0,3,3,0,3,3,9,7,0,0,0,6,3,15,3,62,0,0,0,0,0,0,3,0,0,0,3,0,0,3,4,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,3,0,3,0,3
SOS40,3,16,85,201,221,211,346,262,53,67,70,64,67,46,30,1741,9,32,223,99,450,1019,2933,6203,1229,1446,1709,2828,2984,1520,1044,23739,6,117,528,761,92,252,578,32,8,9,7,9,4,3,69,2475,3,158,203,79,58,127,123,243,51,69,86,59,63,41,27,1385,3,13,43,44,112,269,230,163,22,18,25,25,17,14,15,1022,17,2862,1546,825,486,304,427,335,83,57,46,35,45,45,203,7322,27,1325,3910,1483,242,153,98,35,32,83,52,27,23,14,293,7802,5,6,47,111,235,594,520,468,120,176,237,269,310,164,139,3400,17,150,163,626,258,580,2213,11571,1091,1331,1608,1781,2344,1627,680,26034,4,48,72,76,122,168,334,281,73,74,93,119,249,145,43,1910,0,5,8,20,158,393,717,805,289,477,708,287,304,126,106,4398,0,0,4,7,3,66,561,351,122,61,92,85,51,19,27,1450,8,106,297,626,230,330,213,317
SOS41,0,3,14,60,45,31,65,39,3,10,4,5,3,3,7,298,0,3,14,6,3,17,91,201,19,34,30,85,113,21,57,696,3,17,101,113,13,3,3,0,0,0,0,0,0,0,10,268,0,9,10,4,0,4,3,15,0,0,0,3,0,0,3,52,0,4,8,0,7,21,8,34,4,10,6,3,0,15,0,125,0,660,423,256,92,92,95,44,7,5,12,4,10,6,60,1776,9,74,216,100,24,11,4,4,0,0,3,4,0,0,31,479,0,0,5,7,9,12,9,6,4,4,3,8,20,6,15,120,0,23,19,60,26,48,125,463,49,49,65,61,74,28,38,1129,0,13,9,10,7,9,34,22,3,3,4,9,16,7,3,149,0,0,0,0,7,16,13,19,10,5,4,0,3,4,4,87,0,0,0,0,0,0,7,3,0,0,4,0,0,0,6,20,3,14,75,119,30,35,38,34
SOS42,0,0,3,3,6,5,8,4,0,0,0,0,0,0,0,36,0,0,4,0,0,0,10,16,0,3,0,0,10,0,3,52,0,4,16,12,0,3,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,5,0,0,0,0,0,0,0,0,0,0,11,0,98,65,30,15,12,12,7,0,0,0,0,0,0,10,256,0,6,11,8,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,18,0,6,6,15,3,3,9,26,0,3,3,6,5,0,5,100,0,3,3,0,0,4,4,4,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,30,5,6,6,9
SOS43,0,0,4,15,22,15,36,18,3,0,0,3,3,0,4,137,0,0,13,4,5,8,25,19,4,0,5,4,6,5,0,106,3,9,35,35,4,5,0,0,0,0,0,0,0,0,3,89,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,4,3,7,6,3,3,0,3,4,0,0,5,40,0,219,176,95,88,47,34,30,12,7,0,10,8,0,17,743,0,51,197,68,26,6,0,0,0,0,0,0,0,0,20,377,0,0,3,3,4,5,3,3,0,0,4,0,4,0,3,32,0,10,14,23,31,48,62,71,0,5,7,7,3,3,18,300,0,7,10,3,10,6,7,6,0,3,7,0,3,3,3,63,0,0,0,0,5,0,4,4,3,4,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,24,50,15,19,17,10
