SOS_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
SOS29,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
SOS30,941,18228,63378,51286,48147,34818,13477,3805,1522,235601,304,8061,45247,39228,35036,23206,7368,1666,587,160708,150,3143,33981,37699,34125,21305,5272,1211,449,137341,65,1253,19241,25836,23388,13763,3305,806,303,87962,61,1016,23514,39322,35853,19340,4590,1142,432,125282,178,520,7407,22244,23926,13532,4502,1465,575,74351,17042,19872,39478,32837,31592,26937,23646,18015,15212,224632,208634,239568,482484,451215,428041,354606,265108,135751,60437,2625846
SOS31,285,4083,11672,10605,11233,8751,3369,1052,372,51417,93,1950,8071,7671,7771,5439,1459,350,102,32901,47,996,6230,7098,7382,4998,1030,268,74,28125,31,579,4043,5057,5078,3369,657,128,37,18989,27,616,6551,8127,7984,4588,792,206,71,28954,72,176,2139,3696,3665,2371,699,294,92,13206,5841,5069,11013,9975,10617,10253,9439,6887,4257,73355,52606,49633,107945,105374,111716,105789,87643,47969,18647,687318
SOS32,53,478,1420,1634,1959,1764,648,180,45,8173,12,229,956,1106,1349,1024,304,60,12,5049,7,105,647,1005,1210,937,191,25,12,4129,5,41,419,689,774,513,109,24,5,2581,0,51,583,968,1095,740,150,42,7,3635,12,35,177,398,472,369,150,53,13,1671,1309,887,1603,1686,2101,2134,2082,1040,333,13167,8132,6856,14049,16612,20584,21853,18174,7421,2085,115759
SOS33,137,1521,4261,5283,6838,5471,2174,539,105,26325,47,687,2795,3814,4786,3641,1118,272,45,17206,19,324,2200,3607,4515,3095,760,148,44,14712,14,166,1309,2290,2844,2007,540,119,31,9318,9,157,1920,3705,4173,2640,709,159,26,13502,28,75,733,2068,2640,1777,779,228,46,8374,3666,2469,5256,6106,7681,7454,5950,2639,731,41962,26495,19656,39910,53426,69689,68226,49736,18283,4307,349730
SOS37,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,7,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,4,8,0,0,24,11,11,11,14,24,30,33,16,4,144
SOS39,3,50,160,92,72,102,47,12,0,535,0,20,63,49,62,50,15,0,0,264,0,3,85,52,52,32,16,0,0,242,0,3,26,28,28,22,3,0,0,122,0,0,51,47,46,33,4,0,0,185,0,10,20,22,28,14,10,4,0,109,72,230,495,331,332,424,297,73,17,2272,408,1133,2293,1485,1663,2373,1916,381,44,11693
SOS40,150,4696,21591,17423,17634,13958,5653,1668,877,83654,58,1815,14386,12523,11979,8697,2984,699,328,53488,26,675,10586,11589,10783,7893,2015,484,268,44325,27,207,5612,8108,7938,5698,1355,352,165,29462,24,215,5574,10816,11037,7162,1797,473,206,37305,72,151,1576,5025,6304,4413,1769,609,340,20264,4863,4940,10360,8703,9097,8300,7928,6643,5540,66384,70554,82252,165670,151122,154069,139495,107279,62177,31706,964327
SOS41,59,1204,4007,3871,4493,3794,1529,528,208,19692,13,574,2775,2640,3002,2319,750,148,51,12283,8,208,1987,2295,2635,2027,483,136,37,9820,7,103,1171,1772,1995,1367,295,57,37,6797,3,81,1257,2235,2469,1578,320,101,40,8077,17,38,362,882,1014,754,319,130,70,3592,1840,1308,2783,2650,3023,3239,3446,2809,2227,23330,18310,16700,34361,35374,41134,41101,37156,21546,9636,255330
SOS42,15,153,599,651,818,793,284,91,38,3442,8,81,385,395,500,431,126,22,13,1965,3,19,264,349,437,350,89,24,15,1553,0,12,169,239,287,250,53,12,0,1026,0,15,163,271,387,247,60,15,11,1174,3,8,57,110,141,108,44,17,9,499,366,205,430,437,594,710,700,473,328,4244,2891,2392,5278,5731,7452,8402,7180,3567,1559,44462
SOS43,40,437,1459,1854,2626,2359,913,200,45,9927,7,183,908,1244,1794,1400,480,96,17,6130,9,75,656,1109,1436,1226,320,67,21,4924,3,27,336,697,985,844,246,31,7,3169,3,36,463,997,1343,991,288,49,18,4187,16,17,126,490,781,744,318,78,20,2590,1170,607,1289,1541,2076,2190,1599,664,226,11366,8754,6381,12234,16817,23752,24519,16965,5909,1555,116882
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SOS49,0,8,43,26,20,19,8,0,0,122,0,3,14,14,12,6,0,0,0,51,0,0,6,15,12,5,3,0,0,37,0,0,9,0,5,10,3,0,0,21,0,0,7,11,11,5,0,0,0,40,3,0,3,3,4,0,0,0,0,19,11,33,71,61,100,64,34,10,7,400,173,266,556,421,474,403,271,59,22,2648
SOS50,435,10156,36639,25703,25188,19574,7834,2240,951,128712,121,5290,28266,21245,19831,14041,4538,977,353,94656,73,2418,23743,20470,19101,12831,3380,748,258,83017,33,1094,15688,16543,15211,9997,2367,476,200,61612,30,1208,22738,29958,27608,16649,3574,775,274,102803,82,470,8095,19724,20736,11732,3254,935,335,65359,8778,10196,25109,19163,17686,14874,12778,10690,8341,127619,115359,129031,298774,263462,247498,203928,145991,79433,33920,1517390
SOS51,187,1772,5038,4613,4682,3616,1363,405,155,21829,65,991,3700,3573,3570,2484,706,167,52,15304,39,681,3508,3418,3514,2510,533,122,39,14365,22,432,2733,2970,2896,2023,339,82,28,11523,31,500,4714,5756,5442,3257,506,102,36,20337,35,173,1927,2884,2579,1569,447,113,38,9767,2809,2239,5980,5314,5397,4624,3620,2670,1701,34350,21827,19714,50764,49760,48895,42357,29846,15608,6189,284961
SOS52,29,232,690,648,768,758,266,82,31,3500,11,151,472,505,593,443,150,32,7,2363,9,89,434,403,573,474,102,24,4,2111,3,41,323,362,464,348,79,11,9,1641,4,57,577,668,793,531,103,13,7,2765,7,20,157,327,349,239,76,25,7,1205,672,464,1093,1046,1124,1131,882,549,253,7214,3579,3277,8045,7790,9179,9195,6744,3265,1011,52084
SOS53,95,676,1623,1795,2553,2176,905,209,40,10067,30,378,1273,1467,1920,1527,524,115,28,7264,11,224,1060,1407,1933,1366,438,81,20,6553,10,161,946,1195,1544,1118,279,62,12,5326,11,283,2263,2598,2995,1769,444,90,15,10472,12,122,1537,2022,2293,1372,412,99,18,7886,1460,1470,4271,4015,3859,3038,1937,807,211,21072,9078,7782,20155,22994,28322,25541,16447,5691,1288,137303
SOS57,0,3,6,3,0,0,0,0,0,19,0,0,4,3,4,3,0,0,0,14,0,0,10,6,3,8,3,0,0,24,0,0,6,10,6,4,0,0,0,25,0,4,43,21,20,6,0,0,0,95,0,0,27,61,42,12,0,0,0,138,0,3,28,21,20,6,0,0,0,89,0,20,127,127,105,43,8,3,3,434
SOS59,0,21,97,57,33,35,18,3,0,258,0,11,51,23,31,25,9,0,0,154,0,7,47,35,35,25,5,0,0,153,0,7,45,24,25,27,3,0,0,130,0,10,76,64,60,36,14,0,0,246,0,5,39,41,31,26,3,0,0,153,24,95,268,136,176,168,111,20,8,1007,151,503,1306,910,957,977,633,98,23,5559
SOS60,25,718,3069,2512,2708,2338,1027,366,161,12912,3,260,2020,1982,1965,1488,494,137,69,8430,3,71,1406,1767,1854,1401,346,110,47,6993,3,35,733,1287,1395,936,189,66,34,4673,3,21,678,1528,1869,1184,273,90,48,5691,7,31,185,658,910,690,265,92,45,2893,881,848,1747,1499,1548,1660,1543,1169,786,11686,10883,11926,23740,22036,23022,22751,17594,10056,4651,146664
SOS61,29,719,2765,2499,2910,2376,819,280,97,12497,15,294,1720,1650,1854,1362,350,75,35,7364,6,124,1120,1327,1685,1208,213,69,35,5782,5,41,619,991,1124,776,140,23,11,3728,3,16,520,971,1138,757,156,42,15,3625,17,35,163,378,518,468,183,74,36,1873,1182,924,1628,1532,1849,2044,2294,1742,1017,14207,12550,12410,22857,22585,26447,26533,23111,13256,5538,165288
SOS62,9,107,354,353,408,402,154,40,17,1840,0,40,239,256,283,259,84,19,0,1170,0,22,148,191,252,204,50,8,7,884,0,3,90,159,198,145,23,5,0,620,0,7,85,163,208,148,52,18,3,694,4,8,35,58,81,92,26,17,5,324,220,111,193,239,354,440,452,291,127,2423,1651,1294,2831,3395,4268,5220,4435,2055,642,25793
SOS63,28,262,1063,1297,1709,1475,548,122,28,6540,3,117,636,903,1129,931,260,47,7,4039,4,32,402,829,1047,821,185,27,7,3361,0,16,227,463,664,509,96,21,3,1995,0,23,198,556,761,563,138,22,7,2264,3,14,69,240,388,307,158,20,9,1215,759,349,650,901,1204,1471,1207,517,122,7185,5929,4134,8396,11659,16160,17527,12150,4225,926,81103
SOS67,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,9,0,8,23,5,15,12,7,0,0,73
SOS69,0,3,12,10,5,4,0,0,0,36,0,0,3,7,7,8,0,0,0,27,0,0,7,3,0,0,0,0,0,9,0,0,5,0,0,3,0,0,0,9,0,0,7,4,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,4,7,19,37,22,27,16,16,6,0,138,62,90,183,147,135,113,84,12,3,835
SOS70,111,1220,3186,2002,1581,1125,431,97,21,9787,26,698,2696,1686,1418,917,284,37,10,7763,16,340,2241,1766,1367,898,214,41,6,6893,3,126,1380,1468,1345,786,162,16,5,5296,3,131,2102,2394,2106,1290,234,36,10,8301,10,67,1019,1362,1253,803,176,37,4,4724,928,1322,3732,2578,2094,1580,847,338,123,13545,6422,8610,24590,18940,15672,11658,6161,2169,572,94796
SOS71,28,285,909,595,644,471,117,19,7,3075,10,129,724,524,556,382,90,8,0,2415,8,66,557,536,502,346,63,8,0,2084,0,34,311,392,460,365,60,0,0,1624,0,28,415,566,577,419,59,7,3,2075,4,3,68,181,260,175,44,3,0,738,697,489,1418,1067,1009,763,381,141,52,6027,3230,3197,8531,6924,6653,4971,2139,731,209,36577
SOS72,8,56,229,152,177,136,31,0,0,789,0,37,158,127,143,117,31,5,0,615,3,18,121,112,126,101,17,0,0,494,0,8,57,75,112,107,15,0,0,385,0,5,108,169,173,169,22,0,0,649,0,3,53,75,66,39,14,0,0,249,697,486,878,674,670,402,163,42,11,4019,2063,2241,4538,3522,3289,2251,980,289,69,19234
SOS73,24,191,447,363,487,301,125,13,3,1956,9,124,353,382,453,277,58,9,0,1666,0,61,300,366,450,246,44,7,0,1478,0,22,199,254,312,197,38,3,0,1029,7,28,313,481,470,255,60,8,0,1631,3,18,124,222,219,111,34,0,0,733,671,681,1101,912,924,708,366,90,12,5475,2328,2417,4891,4827,5235,3962,2104,541,88,26395
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,0,0,0,25,0,3,30,19,9,3,0,3,0,72
SOS79,0,3,24,17,12,26,6,0,0,88,0,3,21,18,16,7,9,0,0,69,0,0,17,11,5,13,4,0,0,49,0,0,5,15,12,0,0,0,0,33,0,3,22,10,18,10,0,0,0,58,0,0,6,8,16,8,3,0,0,39,4,47,143,96,111,81,51,12,0,551,32,183,457,396,461,438,278,38,0,2281
SOS80,171,3235,8515,5218,4302,3988,2698,953,386,29465,36,1651,9288,5456,4359,3550,1814,533,214,26905,19,546,7809,6431,5346,3528,1467,400,151,25702,9,156,4414,5096,4031,2597,904,211,99,17506,23,120,5785,11251,10378,5636,1429,297,132,35054,21,58,1243,4088,5118,3143,874,244,98,14881,1525,2159,4646,3509,3039,2520,2140,1640,1418,22596,24393,31297,65889,58129,50749,41302,29352,14316,6151,321581
SOS82,0,0,5,4,4,4,3,0,0,22,0,0,0,3,3,3,0,0,0,6,0,0,0,4,4,0,0,0,0,7,0,0,0,3,9,0,0,0,0,10,0,0,0,0,6,5,3,0,0,12,0,0,0,8,11,4,3,0,0,27,0,5,0,0,5,0,0,0,0,18,18,12,13,30,44,39,29,19,4,217
SOS83,0,3,13,9,21,7,3,0,0,58,0,0,15,18,12,4,5,0,0,50,0,0,7,16,13,9,0,0,0,46,0,0,7,6,9,4,3,0,0,33,0,0,6,25,10,9,0,0,0,46,0,0,3,10,9,4,3,0,0,38,14,6,18,14,14,13,6,4,0,83,58,41,111,133,118,91,42,11,3,610
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,9,7,3,3,3,0,0,0,27,0,4,6,7,0,3,0,0,0,21,0,0,6,5,3,8,0,0,0,20,0,0,4,0,0,3,0,0,0,8,0,0,3,0,3,3,0,0,0,13,0,0,0,3,0,4,0,0,0,9,6,9,9,26,6,20,0,3,0,88,35,79,108,107,68,78,24,8,3,506
SOS91,0,11,28,28,29,20,11,0,0,133,0,3,21,18,20,33,15,0,0,107,0,9,12,19,32,24,14,0,0,112,0,0,22,25,21,12,8,0,0,91,0,7,21,30,43,29,14,0,0,138,0,0,7,9,4,9,4,0,0,33,19,11,46,29,49,50,28,3,0,235,65,76,221,218,272,261,139,30,3,1285
SOS92,0,3,17,12,13,20,4,0,0,77,3,8,9,10,15,7,3,0,0,52,0,3,8,10,3,4,3,0,0,35,0,0,3,7,8,6,0,0,0,30,0,0,8,11,15,9,0,0,0,40,0,0,0,3,3,6,4,0,0,12,17,12,16,12,23,18,14,10,5,134,79,64,169,200,219,223,169,71,22,1222
SOS93,0,0,5,14,17,17,8,0,0,62,0,0,5,9,9,3,3,3,0,28,0,0,3,4,5,5,0,0,0,26,0,0,0,8,3,7,3,0,0,22,0,0,0,5,6,4,0,0,0,20,0,0,0,3,0,4,0,0,0,9,13,42,114,84,52,31,22,13,4,388,66,60,185,213,215,214,150,82,29,1207
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SOS99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,3,10,0,5,9,11,13,0,0,46
