SOS_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOS27,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,12,0,10,0,26,0,0,0,0,0,0,4,3,0,10,3,35,6,61,4,0,3,0,9,0,13,0,0,6,7,98,8,124,5,0,5,3,6,0,17,0,0,13,3,18,0,34,8,4,10,13,21,8,59,3,4,12,7,19,7,48,0,0,3,3,7,0,13,9,0,12,7,0,0,21,0,0,6,3,3,0,13,9,5,35,4,10,3,67,4,0,3,7,14,0,28,6,4,9,5,15,0,42,4,7,9,10,5,0,30,15,0,18,8,11,3,51,3,0,8,0,10,0,25,3,0,5,6,12,3,34,12,0,7,4,23,11,50,85,28,178,99,318,55,761,0,0,3,0,0,3,9,0,0,0,0,3,0,6,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,3,0,0,0,7,0,0,10,4,15,0,34,7,0,43,12
SOS30,261,68,851,512,1454,203,3346,1255,329,3101,1175,5068,234,11167,1724,478,5941,5119,26391,1392,41048,805,248,1942,1483,4007,190,8671,1354,457,7511,7278,67077,2679,86349,1030,260,3307,2507,8316,562,15982,1498,378,7201,5262,16680,1327,32350,1317,221,5711,5100,12003,1174,25528,1724,561,5755,6196,16216,1665,32115,654,204,2882,1745,2960,264,8716,2049,761,6516,3975,2598,401,16310,818,275,3209,1785,4496,469,11054,8630,2488,25438,6963,6879,1290,51687,877,298,3644,2571,7473,753,15614,4169,2235,11840,9786,14119,1074,43225,8803,3049,13638,3225,4750,654,34130,6671,1904,17074,5383,7089,1137,39253,519,206,2435,1522,3501,355,8534,916,324,2642,2381,15665,645,22578,1364,263,4166,2902,12069,3330,24088,46433,15007,134817,76869,238825,19799,531756,164,67,631,403,575,121,1965,434,170,1163,358,455,63,2646,689,240,3146,2685,4394,607,11763,312,141,996,541,634,63,2681,421,261,2783,2637,4162,440,10704,509,211,2112,1656,2624,314,7427,1392,559,9188,8253,15813,1895,37093,1268,346,6949,6265
SOS31,96,37,566,506,2058,383,3652,248,140,1191,1077,10120,433,13207,171,75,826,925,8558,469,11022,95,38,357,506,2202,113,3315,69,48,539,952,15388,701,17693,43,24,271,329,2707,148,3523,113,43,704,629,4590,359,6434,88,36,497,738,3006,313,4680,101,87,464,907,4929,473,6967,23,8,129,154,526,40,888,55,42,321,369,296,38,1116,25,20,185,207,958,85,1484,328,159,1890,745,1600,188,4914,47,24,214,351,1844,162,2644,381,278,1552,2035,3701,316,8256,783,642,2847,625,1187,131,6217,805,295,2371,1115,1850,224,6659,23,9,151,160,502,62,899,106,59,334,426,5057,238,6227,80,36,320,459,3263,848,5004,3675,2108,15735,13225,74346,5722,114809,45,30,489,313,536,188,1612,73,44,492,291,799,60,1766,67,30,446,470,1238,157,2405,27,16,144,162,325,16,685,29,31,313,446,1030,95,1952,26,13,189,197,610,59,1095,78,72,1070,1364,4613,619,7824,101,52,867,1197
SOS32,8,13,102,128,658,110,1014,6,11,61,90,950,66,1179,12,6,66,118,1276,89,1576,3,4,24,54,364,15,469,10,14,83,162,2517,173,2963,4,3,23,43,315,20,414,11,5,86,76,629,71,885,9,5,69,99,418,43,639,9,4,62,134,780,95,1080,7,3,19,15,62,4,107,8,8,40,38,45,7,137,3,3,16,27,117,12,185,60,23,242,133,188,29,677,3,0,36,64,296,17,417,55,50,234,409,1038,133,1927,121,105,419,102,201,27,980,67,41,257,166,277,46,859,7,3,31,39,117,7,202,6,3,33,48,831,72,1001,9,6,48,72,578,178,889,432,311,1955,2017,11663,1226,17606,10,0,94,96,171,52,425,8,4,36,29,83,10,165,8,7,53,69,195,25,355,0,0,13,26,40,0,84,3,3,60,81,168,21,344,0,0,28,30,64,8,128,15,14,141,198,664,102,1127,15,15,118,187
SOS33,148,61,1117,1434,5699,816,9268,75,34,328,346,3217,174,4164,82,42,378,480,4259,252,5485,34,18,112,199,1036,41,1441,60,27,380,652,9150,520,10791,35,19,185,208,1055,100,1602,41,21,277,262,1813,176,2597,35,11,188,243,1054,98,1628,40,23,231,472,2378,251,3388,17,6,86,72,242,21,449,32,24,178,167,166,24,585,14,14,108,107,476,41,773,371,101,1220,453,780,94,3022,35,9,136,179,882,85,1321,203,131,630,851,1724,171,3707,380,257,1091,359,607,86,2782,320,121,836,454,616,87,2432,30,8,106,117,306,38,611,40,8,146,148,2589,108,3043,61,27,246,288,1991,550,3163,2057,972,7983,7492,40029,3715,62252,108,122,1339,1248,1747,428,4988,13,13,122,88,221,23,483,31,34,304,323,704,103,1509,24,5,72,68,119,11,296,22,22,282,337,698,82,1443,16,16,142,175,342,38,726,44,40,516,680,1798,270,3344,34,22,411,462
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
SOS39,3,0,39,15,44,9,112,6,0,11,5,24,5,44,7,0,4,9,36,3,54,0,0,3,0,11,0,15,3,0,7,9,146,17,174,0,0,3,8,11,3,14,0,0,10,3,25,3,45,4,0,23,15,44,3,97,0,0,11,9,40,6,67,3,0,3,0,5,0,10,0,0,0,4,0,0,4,0,0,8,0,7,0,18,3,0,25,9,9,5,57,3,0,6,7,18,0,36,0,3,21,3,22,3,51,16,0,14,3,7,0,48,10,0,25,3,13,6,55,0,0,11,3,16,0,27,0,0,3,3,28,0,37,3,0,12,6,45,22,87,60,19,243,113,545,80,1070,4,0,77,22,17,17,141,0,0,0,0,7,0,9,0,0,11,4,7,0,22,0,0,0,0,0,0,0,0,0,3,0,5,0,16,0,0,3,0,5,0,8,0,3,13,8,13,0,44,6,4,52,31
SOS40,99,39,354,222,565,66,1344,289,57,794,259,1089,60,2547,988,268,3390,2493,10918,648,18699,305,113,888,574,1578,90,3547,369,118,2281,1918,17680,864,23232,362,103,1300,962,3077,221,6028,716,149,2933,1774,5824,460,11860,531,70,1870,1291,3462,353,7577,563,164,1592,1567,4435,487,8801,293,86,1065,651,1208,98,3401,565,290,1938,1647,922,141,5502,153,75,718,638,1018,109,2710,2578,840,8116,2260,2134,365,16298,343,92,1097,841,2589,271,5234,1877,859,4920,3392,5316,436,16800,3467,1037,5327,1300,1514,222,12863,2847,766,6743,2152,3139,453,16108,153,73,719,461,935,93,2434,349,136,992,835,5668,294,8277,349,75,1155,759,2845,896,6074,17203,5400,48188,26000,75922,6627,179338,51,19,194,120,149,58,595,82,33,267,83,96,7,568,358,100,1529,984,1669,242,4894,116,64,408,218,349,37,1183,142,56,717,638,1100,125,2781,165,64,799,475,817,89,2403,497,219,3276,2096,5613,709,12403,445,97,2019,1298
SOS41,47,23,254,196,1324,235,2084,74,10,245,161,1397,84,1966,120,63,636,529,3990,281,5629,15,10,81,106,625,33,869,29,24,207,286,4884,239,5667,22,14,173,183,914,75,1380,43,23,299,292,1912,150,2721,17,10,143,189,979,107,1451,20,16,103,228,1332,155,1856,12,11,92,67,227,14,425,47,17,136,224,123,27,573,12,11,56,113,248,22,459,217,82,759,337,456,68,1908,20,10,105,158,747,73,1106,166,139,540,808,1468,110,3237,344,214,1162,311,420,52,2503,294,90,888,395,720,102,2494,18,8,49,69,196,31,367,46,25,159,132,1675,59,2098,26,13,120,136,798,253,1342,1580,812,6214,4912,24431,2180,40133,19,9,133,128,245,64,598,13,10,77,44,101,10,248,52,31,340,282,687,106,1499,8,6,26,29,52,4,124,5,9,106,132,336,30,613,12,13,85,92,233,22,462,33,31,384,458,1906,227,3044,16,7,224,292
SOS42,7,3,76,80,546,73,790,3,0,11,17,201,12,240,7,13,55,72,556,29,737,0,3,9,7,121,5,152,0,3,28,40,914,41,1019,3,11,16,32,173,19,246,10,0,42,34,294,34,416,9,0,16,22,156,22,226,4,0,21,41,270,37,367,0,0,6,12,33,3,52,0,5,11,28,19,3,58,0,4,3,12,32,3,53,25,13,53,42,79,9,231,3,0,20,22,141,16,190,20,17,75,118,231,19,483,36,40,185,50,88,12,406,20,11,87,53,97,11,284,0,0,11,21,27,7,63,3,5,29,20,334,11,407,8,3,17,19,172,48,269,164,138,764,736,4478,422,6702,3,4,55,36,97,20,219,0,0,5,9,9,0,26,3,7,46,46,107,19,226,0,0,5,5,3,0,13,0,4,19,16,81,9,128,0,0,13,14,52,10,92,8,3,61,85,304,43,502,0,0,43,53
SOS43,89,48,680,822,3045,474,5150,21,4,100,56,598,36,814,48,36,282,259,1525,121,2264,6,3,29,39,301,20,396,8,8,101,189,2409,159,2878,8,3,67,83,396,34,594,8,8,92,87,604,56,853,4,3,64,57,346,32,503,9,8,55,107,623,93,899,0,3,33,25,90,0,151,11,8,60,72,57,7,222,6,4,28,48,100,8,201,132,48,376,155,194,33,930,13,4,51,65,321,30,491,72,56,215,297,471,52,1156,138,90,363,134,201,12,942,120,42,312,115,229,22,842,9,6,49,30,90,18,192,13,13,60,47,902,41,1065,20,3,75,65,434,145,751,731,388,3096,2760,12935,1392,21303,49,84,599,607,789,188,2316,6,3,20,8,35,0,69,20,26,208,157,325,52,788,3,0,16,14,28,3,64,7,3,83,92,171,26,381,4,3,56,54,116,13,255,12,13,193,221,645,91,1175,13,9,118,114
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,3,9,3,13,3,36,0,0,0,3,6,0,7,0,0,3,0,15,3,21,0,0,0,0,5,0,6,0,0,0,3,34,3,41,0,0,0,3,8,0,6,0,0,3,0,3,0,8,0,0,5,3,8,0,12,0,0,3,3,12,3,20,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,3,4,9,0,19,0,0,0,0,0,0,8,4,0,3,3,5,0,11,9,0,7,0,0,0,12,3,0,6,0,3,3,15,0,0,3,0,3,0,9,0,0,0,0,5,0,6,0,0,0,3,8,9,26,18,7,53,32,137,34,279,0,0,16,3,3,5,26,0,0,0,0,3,0,3,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,3,3
SOS50,130,35,480,262,740,110,1765,2879,704,7552,2873,12512,722,27234,1242,313,4628,3225,14805,755,24966,608,145,1488,734,2281,133,5396,1130,349,6114,5593,36252,1709,51143,609,160,2265,1476,4424,356,9289,1209,241,5078,2775,7788,735,17825,700,159,3526,3022,5275,586,13265,1026,282,3549,3530,7875,905,17171,386,124,1421,926,1434,153,4446,1048,481,3748,2065,1139,258,8748,336,164,1737,1194,1825,238,5493,5300,1374,16725,4524,3937,843,32704,555,177,2193,1403,3774,405,8510,2432,1294,6560,4909,6945,704,22840,4517,2097,7717,1592,2348,354,18630,3231,910,8646,2479,3154,627,19054,367,132,1571,801,1637,174,4691,608,193,1799,1420,9705,377,14097,1104,227,3464,2212,7758,1750,16502,29405,9564,90267,47025,135617,11891,323766,69,31,363,188,261,67,991,944,355,2841,953,1359,191,6638,484,211,2153,1453,2046,344,6685,270,111,770,340,423,50,1961,417,228,2269,1788,2617,360,7672,259,122,1326,868,1268,187,4032,1044,394,6198,4245,8137,1300,21317,680,173,4194,2984
SOS51,39,9,210,189,988,140,1578,239,97,991,919,7000,325,9571,89,45,568,400,3299,176,4573,31,10,120,169,1065,50,1440,46,16,346,637,7464,326,8834,16,10,120,163,952,51,1315,60,19,335,316,1876,140,2747,53,14,285,337,1197,154,2039,57,35,277,510,2181,218,3285,7,8,67,60,194,15,342,29,19,113,172,101,27,456,13,7,106,148,434,43,747,151,65,772,381,614,84,2066,28,10,157,145,820,75,1238,210,149,713,887,1378,147,3482,263,368,1196,295,506,41,2664,317,129,993,348,653,93,2539,19,6,106,95,269,17,520,68,22,182,150,2353,93,2866,39,19,191,231,1676,381,2542,1783,1058,7848,6557,35021,2597,54851,10,13,122,127,230,63,568,55,40,385,285,617,72,1454,35,34,249,222,478,74,1088,15,3,43,49,104,7,232,14,15,169,230,560,65,1054,6,10,58,82,236,27,429,66,39,577,656,2278,326,3938,61,21,596,593
SOS52,4,0,91,66,393,79,632,25,6,105,124,886,63,1217,6,0,45,56,491,38,641,4,3,10,7,123,5,153,3,5,29,61,922,54,1071,3,0,31,23,146,19,219,3,3,50,36,179,27,290,0,0,38,38,178,21,273,3,3,13,32,317,37,403,0,0,3,3,11,0,18,4,4,8,10,25,0,50,0,0,10,13,34,4,53,16,10,80,42,63,12,218,7,0,10,29,122,18,183,24,24,111,190,324,49,718,23,61,174,22,102,21,407,15,14,78,64,116,21,306,7,5,19,15,56,7,102,8,3,16,15,364,33,443,4,0,15,23,258,72,374,157,149,926,873,5113,581,7794,0,8,70,35,94,48,261,6,3,40,41,97,12,196,0,4,35,29,62,15,148,0,0,3,0,10,0,19,0,0,22,30,72,12,134,4,3,16,12,54,4,86,7,4,60,79,221,53,419,15,8,68,71
SOS53,80,39,849,704,2496,359,4531,185,62,724,579,3864,144,5561,35,11,203,171,1360,93,1874,3,3,54,51,317,14,444,37,18,338,456,3895,178,4922,12,8,72,77,366,22,549,3,6,86,90,510,35,736,17,9,108,90,439,36,706,14,12,74,159,748,72,1074,3,3,20,20,58,10,117,11,10,62,62,64,11,217,3,0,44,63,190,22,322,109,39,553,245,525,48,1519,6,6,56,63,400,37,568,52,28,200,319,679,41,1316,79,92,360,117,215,31,902,64,26,218,98,153,23,591,6,0,62,31,140,14,257,12,5,47,65,995,42,1168,38,15,125,106,833,173,1285,786,390,4253,3567,18249,1413,28667,56,120,781,610,750,262,2579,41,34,229,155,299,25,782,21,26,142,116,212,31,552,4,6,28,14,32,3,81,7,20,135,145,278,40,629,5,8,49,55,106,18,236,19,17,208,223,622,88,1171,13,16,181,171
SOS57,0,0,0,3,7,0,14,6,0,8,14,51,3,79,0,0,0,0,6,0,11,0,0,0,0,3,0,5,0,0,0,3,10,0,19,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,23,13,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,27,3,45,9,3,25,53,134,11,234,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,8,0,5,8,25,5,44,5,0,29,7,91,8,136,0,0,3,7,22,0,36,0,0,0,0,13,0,10,3,0,3,3,102,7,117,0,0,0,0,12,0,11,0,0,6,3,12,0,26,0,0,5,4,32,0,52,0,0,10,13,29,3,55,0,0,0,0,4,0,5,0,0,0,3,3,0,9,0,0,0,0,4,0,11,5,0,22,7,12,0,42,0,0,3,3,18,0,27,0,0,7,0,16,0,27,4,4,9,3,0,0,19,7,0,10,0,6,0,24,0,0,0,0,4,0,12,0,0,0,0,21,0,23,3,0,5,0,35,13,57,41,5,136,67,445,40,740,0,0,16,0,6,0,26,0,0,10,4,14,0,31,0,0,6,0,3,0,15,0,0,0,0,0,0,0,0,0,0,3,6,0,10,0,0,0,0,3,0,3,0,0,10,7,17,0,26,4,0,27,13
SOS60,40,22,149,69,221,21,513,3,0,21,5,70,4,113,60,22,232,220,1204,66,1800,107,31,301,150,308,17,911,29,11,181,203,2915,80,3425,20,9,76,74,310,23,513,61,15,333,218,940,90,1658,95,22,342,171,739,63,1432,46,12,147,181,536,64,979,34,12,183,112,232,17,587,58,39,251,212,123,15,698,18,20,75,79,107,26,324,432,150,1246,300,313,54,2494,46,13,116,92,278,21,571,345,271,913,521,890,87,3019,703,170,962,184,283,35,2338,372,131,898,302,549,57,2306,75,29,227,84,209,19,643,50,24,149,76,705,31,1038,45,7,140,67,411,112,784,2637,1010,6945,3307,11347,898,26146,14,7,73,23,40,8,165,3,0,5,0,0,0,6,30,16,116,67,164,21,420,39,22,128,78,57,4,329,15,6,60,70,140,21,311,5,5,46,34,105,6,202,58,35,439,258,881,104,1765,101,21,422,207
SOS61,36,7,114,106,561,62,893,16,4,46,62,469,28,621,70,27,266,265,2151,122,2901,22,5,74,104,377,24,612,11,12,118,216,3532,109,3999,11,6,81,103,564,39,809,38,17,226,182,1209,106,1772,38,7,127,126,696,57,1038,18,13,113,178,1036,114,1469,21,5,68,69,154,15,331,15,16,86,130,112,15,378,4,11,40,69,153,14,293,124,64,541,215,304,35,1288,16,3,62,77,370,38,568,98,109,328,302,698,51,1583,300,110,833,166,323,51,1781,237,97,679,309,552,55,1920,7,14,62,57,174,18,330,23,16,97,86,970,31,1224,17,5,77,81,607,185,970,1115,548,4042,2910,15005,1163,24787,13,7,65,59,128,22,297,4,0,12,7,26,0,42,21,15,119,115,330,37,640,6,3,36,46,63,3,163,5,8,46,59,171,17,305,11,8,33,42,115,16,228,23,25,269,263,1217,159,1950,19,13,163,182
SOS62,3,3,29,54,250,56,398,6,4,26,16,138,6,200,11,0,26,45,285,25,390,7,3,12,13,82,3,118,3,0,18,38,598,32,681,3,0,9,12,62,4,85,6,6,27,36,141,15,232,4,0,20,24,131,6,179,0,3,13,21,112,18,173,3,0,7,7,14,0,44,3,3,11,15,13,0,44,0,0,3,9,16,0,31,37,10,75,34,50,12,216,3,0,11,7,56,8,85,25,17,65,49,122,7,280,53,21,120,19,41,3,256,25,7,76,37,46,9,204,3,4,11,20,27,3,72,4,0,12,11,166,9,200,5,3,9,15,92,43,166,198,79,594,476,2441,272,4055,0,0,10,9,28,9,66,0,0,8,6,4,4,20,5,5,18,29,48,10,114,3,0,9,3,3,0,20,0,0,5,8,33,3,46,3,3,3,11,18,0,39,3,7,33,42,141,33,254,3,7,45,44
SOS63,56,30,300,403,1363,196,2352,7,3,30,30,246,20,331,38,16,132,160,1152,95,1594,15,10,35,73,259,19,407,4,6,89,146,2070,101,2413,5,3,33,51,269,23,377,11,8,73,65,450,53,648,11,5,64,56,262,27,424,3,5,43,110,499,46,709,4,5,23,34,86,4,154,12,3,43,40,35,7,139,3,7,18,22,77,8,141,105,24,323,130,151,28,757,5,5,38,49,189,13,296,53,43,205,205,391,35,931,134,63,320,83,157,16,785,100,50,243,159,213,23,791,22,8,55,36,117,11,252,13,3,27,33,538,24,640,10,9,47,46,419,118,646,595,299,2155,1929,8945,863,14790,25,13,251,199,333,92,921,0,0,5,9,17,3,37,13,7,100,82,207,36,448,3,5,31,32,26,4,106,0,8,33,55,110,23,226,9,3,28,28,69,8,146,15,14,146,139,461,82,846,19,13,129,112
SOS67,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,12,0,13,0,0,3,3,4,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,9,0,20,9,48,3,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0
