SOS_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,0,0,3,0,11,0,0,3,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,11,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,0,0,3,0,11,0,0,3,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,37,17,0,4,77,44,180,94,50,11,3,168,118,447,212,122,23,16,363,315,1052,132,83,18,15,217,349,813,103,57,19,19,193,242,628,83,69,20,12,138,134,460,48,40,20,11,106,60,283,12,4,7,0,34,21,72,0,0,0,0,8,0,9,715,443,117,80,1298,1293,3942,45,22,5,7,61,40,178,133,66,21,12,121,105,453,181,140,46,54,172,195,795,77,88,37,49,79,146,479,62,74,30,25,70,87,347,39,70,38,32,89,81,352,21,37,23,20,59,40,204,3,6,7,4,10,16,49,3,3,0,0,14,12,28,567,509,208,198,668,721,2883,82,37,10,5,133,90,357,225,109,26,15,293,227,898,391,266,76,68,530,512,1848,209,178,60,63,294,497,1295,160,134,47,38,266,331,975,123,145,57,46,230,214,816,66,75,42,36,159,98,482,16,14,15,3,46,36,121,3,3,0,0
SOS30,47139,8640,925,389,40325,8417,105828,46089,18702,2422,1077,41454,9976,119713,83628,62325,11071,4629,54680,20252,236588,66992,73355,17573,7161,37742,16827,219655,60631,69341,16489,6569,38155,16024,207203,44301,53677,15315,6972,36746,13260,170272,22063,34978,16250,9222,33190,11620,127322,8162,12983,7347,5085,19743,8303,61621,2420,2815,1482,1164,9265,4496,21640,381428,336809,88860,42260,311310,109164,1269829,47873,12461,1593,711,32638,7524,102797,43607,28829,6110,4616,27843,8854,119862,55061,75162,30613,34795,32356,17919,245900,29788,76095,46874,44182,20389,14243,231564,29962,81411,44835,28191,22441,14002,220836,23050,60979,37130,25054,25312,12813,184335,10831,31381,29226,26018,27917,12416,137788,6419,12758,10900,10695,22024,11342,74134,3835,4344,2367,1838,17376,9040,38799,250421,383413,209652,176097,228284,108149,1356018,95016,21101,2516,1100,72964,15940,208634,89695,47527,8529,5689,69295,18833,239568,138688,137483,41685,39423,87030,38168,482484,96777,149449,64450,51343,58130,31069,451215,90587,150748,61323,34755,60599,30029,428041,67357,114658,52441,32027,62061,26074,354606,32891,66359,45473,35238,61102,24036,265108,14572,25740,18251,15775,41766,19641,135751,6252,7160,3845,3000
SOS31,11578,2581,328,157,9421,2922,26987,8675,4678,823,443,7659,2743,25026,15962,14745,3345,1673,10912,6150,52787,13955,16130,4409,2306,9326,5655,51776,14052,17014,4535,2212,11184,5831,54832,11282,15038,5007,2722,12570,5519,52136,5932,10152,5759,4333,11863,5120,43155,2372,4113,2600,2367,7449,3683,22580,660,812,460,428,3087,1541,6985,84479,85263,27263,16637,83459,39171,336271,11194,3509,616,323,7256,2716,25611,6681,6894,2062,2197,4526,2247,24610,8205,16030,8685,11880,5740,4623,55156,5351,16331,11256,11725,4847,4096,53602,6632,19806,11581,7965,6315,4573,56880,5352,15665,11013,9040,7886,4689,53652,2705,8204,8841,9940,9628,5159,44485,1854,3639,3339,4200,7868,4494,25389,1048,1229,667,582,5670,2462,11661,49015,91310,58057,57855,59739,35066,351044,22777,6089,950,474,16680,5638,52606,15357,11571,2887,2637,12182,4992,49633,24163,30772,12029,13546,16649,10774,107945,19308,32459,15660,14027,14171,9749,105374,20689,36824,16116,10181,17506,10410,111716,16639,30710,16015,11765,20453,10210,105789,8643,18357,14599,14276,21488,10280,87643,4218,7751,5940,6568,15313,8175,47969,1707,2041,1128,1018
SOS32,1719,411,81,31,1356,619,4213,1160,610,123,70,1021,474,3458,2026,1779,459,287,1370,904,6826,2039,2454,763,428,1492,1002,8177,2536,3054,923,541,2101,1142,10303,2231,3096,1181,757,2553,1187,11000,1249,2116,1346,1113,2501,1315,9644,445,670,433,476,1230,643,3900,96,112,55,78,396,214,956,13504,14302,5360,3773,14020,7502,58466,1567,543,120,58,1047,585,3922,918,910,303,334,558,375,3399,1060,2027,1166,1637,700,631,7224,887,2558,1738,1863,727,668,8436,1162,3453,2091,1565,1115,894,10279,1092,3081,2222,2024,1488,944,10853,518,1524,1683,2087,1656,1063,8532,288,517,440,657,962,652,3516,105,140,77,74,514,222,1134,7603,14757,9840,10286,8774,6036,57294,3287,958,201,83,2403,1202,8132,2076,1521,427,410,1579,852,6856,3091,3808,1626,1918,2069,1539,14049,2927,5012,2498,2290,2227,1668,16612,3703,6508,3012,2107,3218,2036,20584,3324,6177,3407,2780,4044,2131,21853,1768,3646,3028,3197,4161,2379,18174,731,1184,874,1134,2190,1298,7421,204,255,136,151
SOS33,5911,1376,170,88,4399,2003,13950,3718,1692,320,184,3166,1458,10530,5668,5166,1391,772,4119,3251,20361,6755,8201,2473,1428,4229,3485,26572,8549,10765,3392,1849,6474,4196,35217,7542,10060,3792,2568,7657,4086,35710,3973,5900,3775,3333,6728,3626,27336,1209,1901,1165,1378,2900,1827,10373,254,367,145,170,772,461,2170,43577,45436,16624,11764,40441,24383,182219,5743,1734,250,126,3095,1605,12551,2822,2378,692,654,1655,930,9128,2516,5390,3268,4942,1595,1847,19550,2191,8047,6074,6623,1452,2462,26852,3030,11610,7950,6219,2500,3162,34470,2611,9099,7426,7039,3222,3129,32520,1229,4050,4804,6259,3312,2750,22396,636,1365,1156,1826,1601,1318,7908,269,290,216,211,698,453,2140,21050,43958,31839,33897,19121,17657,167514,11653,3111,415,215,7495,3604,26495,6538,4073,1006,836,4818,2384,19656,8188,10553,4654,5709,5709,5095,39910,8950,16250,8551,8055,5678,5947,53426,11579,22376,11339,8065,8973,7356,69689,10156,19161,11221,9607,10879,7214,68226,5197,9946,8579,9593,10043,6373,49736,1839,3267,2329,3200,4502,3146,18283,525,661,366,383
SOS37,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,7,3,3,0,0,0,0,10,4,0,0,0,4,0,7,4,0,3,3,9,0,13,0,0,0,0,3,0,7,0,0,0,0,0,0,0,12,9,7,3,26,6,65,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,4,0,0,4,0,7,3,0,3,0,8,3,19,0,3,4,4,7,4,16,0,0,0,0,0,0,7,0,0,0,0,0,3,0,7,19,11,4,28,17,81,3,0,0,0,3,0,11,0,3,0,0,0,3,11,3,3,0,0,4,0,11,3,8,0,0,3,0,14,3,11,0,0,7,0,24,10,0,3,0,13,4,30,4,4,3,7,12,4,33,3,0,3,0,11,0,16,0,0,0,0
SOS39,55,12,3,3,87,48,212,123,56,11,10,233,127,559,254,154,44,18,457,359,1288,159,110,38,25,304,337,964,160,134,33,30,321,292,975,187,207,77,54,354,269,1147,161,220,93,55,366,216,1120,18,32,15,10,98,47,225,0,0,0,0,15,3,19,1114,939,319,208,2230,1697,6509,68,21,6,0,66,37,203,126,80,20,17,216,119,576,229,157,48,59,290,227,1005,81,107,53,52,84,138,514,114,165,65,53,139,156,688,191,294,171,110,256,202,1224,95,182,127,82,183,132,798,8,22,10,16,59,42,153,0,0,0,0,11,5,18,912,1021,500,382,1304,1063,5179,121,36,9,3,159,85,408,248,136,36,23,445,240,1133,478,307,97,76,742,582,2293,240,215,88,77,390,474,1485,271,302,95,77,461,448,1663,375,509,255,162,610,470,2373,258,403,218,141,547,351,1916,31,49,26,24,158,90,381,0,0,0,0
SOS40,15179,2723,277,99,15297,2354,35928,15591,6337,906,356,16089,2442,41723,28430,22420,4139,1690,19921,5289,81894,21981,25787,6455,2611,13773,4678,75281,21225,25979,6213,2476,15077,4715,75689,17276,21526,5936,2561,15154,4159,66615,8939,14399,6548,3245,13347,3861,50334,3825,5913,3374,2186,9012,3130,27452,1249,1639,843,634,5329,1690,11384,133695,126723,34696,15858,123007,32325,466302,16010,3941,477,206,11873,2128,34631,14965,9572,1905,1435,10478,2178,40535,18153,26245,10829,12201,11776,4578,83779,8995,24825,15979,15149,7180,3712,75838,9667,29012,17174,10039,8634,3862,78384,8741,24803,15380,9438,10477,4038,72874,4204,13080,12815,10540,11826,4478,56946,2970,6158,5527,4885,10752,4438,34727,1898,2549,1450,978,10337,3107,20318,85617,140179,81544,64867,93320,32506,498030,31194,6659,750,297,27171,4480,70554,30555,15915,2807,1790,26566,4616,82252,46584,48657,14976,13888,31695,9867,165670,30976,50607,22434,17755,20951,8390,151122,30890,54994,23381,12516,23709,8577,154069,26018,46327,21322,12000,25627,8196,139495,13146,27477,19363,13783,25172,8338,107279,6798,12076,8906,7068,19763,7569,62177,3146,4189,2296,1616
SOS41,4162,738,90,36,3471,913,9410,3130,1587,264,117,2687,744,8526,5351,5120,1144,550,3265,1602,17027,4574,5855,1708,804,2836,1496,17270,5277,6857,1835,835,3685,1606,20091,4709,6198,1957,954,4566,1633,20016,2636,4631,2541,1647,4484,1782,17721,1138,1915,1310,1031,3083,1440,9911,363,493,245,243,1562,700,3606,31338,33392,11084,6223,29634,11923,123591,4055,1150,155,94,2636,816,8897,2512,2333,681,632,1419,592,8171,2539,5271,2874,3965,1568,1121,17335,1630,5771,4194,4036,1402,1069,18108,2205,7892,4643,2797,2145,1357,21044,2103,6733,4572,3279,2843,1543,21080,1159,3840,4261,4180,4037,1953,19438,806,1773,1765,1853,3587,1838,11631,556,659,431,345,2881,1156,6035,17568,35415,23574,21190,22519,11462,131734,8218,1890,246,131,6109,1730,18310,5640,3926,946,750,4102,1333,16700,7894,10393,4013,4510,4828,2723,34361,6210,11621,5903,4848,4235,2565,35374,7483,14746,6479,3632,5827,2970,41134,6813,12931,6529,4233,7411,3180,41101,3797,8469,6802,5828,8519,3739,37156,1946,3686,3077,2886,6673,3284,21546,918,1148,679,592
SOS42,630,144,21,6,483,186,1476,483,254,44,24,372,86,1251,811,826,202,97,481,212,2619,728,967,310,151,431,223,2815,926,1243,371,171,717,312,3739,947,1299,469,277,940,377,4299,543,882,474,403,991,425,3722,199,315,211,200,566,288,1781,66,66,37,50,242,115,575,5331,6000,2139,1375,5211,2222,22281,654,181,38,11,367,156,1412,330,323,109,92,190,103,1141,329,796,464,686,181,199,2661,216,925,700,683,186,204,2917,356,1377,850,587,298,249,3719,387,1293,928,679,510,318,4108,209,625,738,846,689,353,3456,115,241,289,338,510,291,1789,68,109,70,58,475,210,982,2665,5876,4187,3972,3416,2077,22179,1289,331,65,18,850,338,2891,814,579,151,113,559,185,2392,1142,1618,663,784,666,410,5278,943,1898,1008,836,618,428,5731,1277,2628,1220,755,1014,563,7452,1329,2589,1391,961,1444,690,8402,753,1504,1212,1247,1678,781,7180,312,551,498,537,1084,583,3567,128,172,113,102
SOS43,2086,413,34,27,1438,610,4608,1397,558,118,40,1076,376,3554,1940,1751,449,247,1169,816,6383,2197,2823,908,449,1205,958,8533,3190,4064,1225,582,2051,1205,12316,3045,3904,1407,827,2617,1207,12995,1509,2276,1321,1018,2221,1019,9364,416,675,400,374,896,493,3263,106,124,80,78,235,133,754,15886,16594,5937,3636,12906,6814,61775,2066,506,72,27,973,504,4147,1019,753,199,160,472,214,2823,826,1683,994,1491,456,405,5851,584,2449,2048,2268,371,560,8278,963,4005,2969,1985,677,837,11439,944,3509,2861,2146,1111,947,11525,422,1520,1829,1965,1112,757,7601,167,470,436,591,576,406,2649,83,116,91,83,301,131,796,7079,15010,11497,10720,6049,4759,55110,4151,920,106,54,2408,1111,8754,2411,1312,317,204,1545,594,6381,2768,3435,1440,1739,1624,1224,12234,2783,5265,2959,2714,1573,1524,16817,4154,8071,4191,2566,2728,2039,23752,3989,7413,4269,2974,3723,2154,24519,1934,3799,3142,2983,3338,1770,16965,584,1146,834,967,1477,900,5909,191,235,170,159
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,29,6,0,0,38,18,95,40,14,4,3,68,38,161,76,40,6,9,141,73,349,44,36,8,10,100,85,280,39,42,4,15,78,104,282,38,38,14,12,76,61,239,12,40,14,3,62,39,168,4,8,7,0,21,3,43,0,0,0,0,9,3,13,283,223,51,54,600,419,1627,19,20,0,3,21,14,80,17,16,7,7,32,20,99,48,40,12,11,53,36,209,24,28,11,17,21,37,140,39,44,18,9,40,48,192,18,46,16,16,36,28,164,8,18,13,7,30,20,97,3,6,0,0,6,8,21,0,0,0,0,10,0,7,180,214,88,73,251,206,1016,51,25,3,0,62,28,173,59,30,14,8,103,56,266,132,80,20,24,199,110,556,67,68,15,27,126,124,421,75,83,25,25,119,151,474,59,88,34,28,115,87,403,22,58,33,12,90,58,271,7,10,7,0,24,16,59,0,0,0,0
SOS50,25758,4801,442,188,23495,4229,58919,24904,9410,1226,517,24737,5123,65921,51501,37088,6467,2554,37836,13401,148852,39034,41411,9564,4178,26223,10387,130795,35311,39116,8972,3770,25871,9256,122291,25547,30642,8220,3769,22921,7428,98533,12434,19988,8540,4685,18657,6274,70572,4865,7823,4148,2860,11268,4761,35729,1382,1824,998,723,4926,2496,12346,220741,192094,48579,23231,195936,63362,743945,26308,6784,785,326,18370,3865,56441,23500,14618,3013,2291,15266,4421,63114,32356,44097,18131,23139,21230,10975,149926,15039,39810,26691,30214,12883,8029,132670,14512,43872,27212,19089,13057,7467,125204,11692,33853,22379,15961,14648,6856,105395,5461,17041,15931,15026,15261,6702,75422,3688,7790,6637,6642,12327,6629,43707,2100,2690,1564,1210,9188,4821,21571,134651,210561,122341,113883,132234,59768,773447,52071,11589,1225,517,41862,8097,115359,48405,24027,4236,2803,40005,9543,129031,83853,81192,24600,25690,59067,24374,298774,54072,81217,36259,34390,39110,18423,263462,49826,82981,36185,22853,38931,16717,247498,37242,64496,30598,19727,37570,14288,203928,17890,37029,24472,19708,33921,12977,145991,8553,15613,10786,9495,23594,11395,79433,3485,4513,2560,1925
SOS51,4788,1008,116,62,3877,1424,11274,3445,1767,292,144,3235,1193,10078,7528,6603,1301,692,5358,3327,24811,6643,7556,1934,1009,4569,3043,24761,6308,7528,1832,911,5097,2966,24641,4852,6064,1834,958,4927,2554,21181,2206,3749,1820,1261,3996,1882,14920,860,1382,862,719,2104,1298,7227,246,325,163,169,961,521,2384,36866,35995,10153,5918,34120,18210,141275,4664,1397,217,126,2847,1297,10550,2576,2648,833,772,1799,1024,9641,3799,7306,3795,5806,2664,2572,25948,2338,7399,5111,5927,2001,2226,25005,2641,8328,4961,3402,2582,2344,24259,2114,6275,4371,3315,3007,2097,21179,939,2863,3061,3343,2894,1827,14930,624,1260,1187,1402,2301,1604,8381,311,449,268,234,1679,861,3803,20010,37922,23801,24327,21775,15849,143683,9454,2408,338,189,6721,2720,21827,6016,4420,1124,915,5027,2216,19714,11328,13911,5098,6500,8018,5898,50764,8980,14957,7049,6940,6576,5265,49760,8946,15854,6790,4317,7681,5315,48895,6963,12337,6200,4265,7935,4651,42357,3145,6616,4876,4599,6890,3713,29846,1489,2644,2045,2122,4411,2903,15608,555,775,432,399
SOS52,661,191,25,10,634,359,1880,577,299,47,24,462,220,1632,1180,953,255,100,875,520,3888,979,1070,317,187,820,532,3914,1039,1299,398,215,1058,606,4612,993,1246,390,269,1180,628,4709,527,762,446,351,1006,515,3608,173,261,176,171,490,343,1612,55,62,38,36,150,102,445,6192,6135,2091,1360,6676,3837,26298,663,253,56,28,413,285,1697,480,427,129,126,270,213,1649,672,1067,551,890,464,510,4162,447,1032,707,906,345,437,3873,526,1409,875,749,523,479,4562,438,1213,873,791,665,505,4486,218,548,553,774,609,436,3135,130,243,221,289,424,352,1654,67,76,41,36,213,137,561,3643,6274,4011,4589,3922,3350,25786,1324,441,81,40,1046,649,3579,1060,729,180,148,737,432,3277,1856,2020,812,993,1337,1033,8045,1431,2099,1023,1097,1171,974,7790,1562,2712,1273,965,1577,1083,9179,1433,2462,1264,1058,1842,1135,9195,747,1311,997,1120,1619,954,6744,303,503,397,457,911,691,3265,122,136,82,69
SOS53,2003,500,56,28,1600,760,4957,1332,657,108,57,1464,1043,4662,2795,2179,518,282,3491,3250,12506,2873,3124,883,517,3048,2882,13329,3515,4051,1222,686,3842,2536,15848,2900,3590,1347,846,3445,1829,13957,1467,2209,1167,1005,2225,1210,9278,395,637,378,384,872,570,3230,92,112,55,50,219,129,659,17373,17059,5732,3842,20207,14217,78428,1879,526,70,34,1023,602,4125,944,829,204,191,565,383,3124,1110,1896,1068,1819,828,926,7644,708,2552,2140,2734,553,977,9668,1089,3896,2906,2353,1004,1222,12472,883,3297,2700,2420,1161,1121,11581,379,1316,1641,2025,954,858,7171,174,437,407,553,483,405,2457,87,112,68,71,178,115,633,7251,14864,11206,12188,6753,6616,58873,3879,1029,123,62,2626,1370,9078,2275,1492,316,244,2034,1423,7782,3903,4069,1592,2093,4317,4182,20155,3589,5680,3023,3246,3602,3862,22994,4608,7944,4127,3044,4849,3758,28322,3782,6890,4046,3259,4606,2951,25541,1841,3527,2808,3025,3183,2066,16447,567,1072,785,939,1355,974,5691,176,223,127,116
SOS57,0,0,0,0,0,0,0,0,0,0,0,12,7,17,6,9,0,7,67,28,124,8,12,3,4,76,18,120,12,5,0,0,63,17,94,3,4,0,0,27,5,43,3,0,0,0,0,0,8,0,0,0,0,3,0,3,0,0,0,0,3,0,3,30,28,6,9,257,74,408,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,3,6,0,3,0,0,0,0,3,0,0,0,0,3,3,8,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,8,26,0,0,0,0,0,0,0,0,0,0,0,12,5,20,7,15,0,7,71,27,127,8,12,0,4,83,18,127,12,5,4,0,70,15,105,3,4,0,0,31,5,43,3,0,0,0,0,0,8,0,0,0,0,3,0,3,0,0,0,0
SOS59,19,12,4,0,31,26,84,62,33,5,3,91,64,254,159,81,25,12,275,221,773,76,70,31,21,198,214,606,81,62,24,13,207,249,638,94,86,23,10,195,127,540,64,55,32,18,123,84,375,5,3,9,3,24,12,58,0,0,0,0,6,4,12,564,404,152,72,1145,1002,3336,15,5,0,3,21,19,65,54,33,9,6,78,69,242,126,72,32,27,130,152,534,56,49,15,24,51,99,305,47,57,28,17,68,101,325,67,114,49,30,94,89,442,25,60,36,20,64,49,254,3,5,3,7,10,14,37,0,0,0,0,6,5,11,401,394,177,140,520,594,2220,40,15,4,3,52,41,151,115,63,16,8,173,133,503,281,154,51,36,402,372,1306,132,121,45,43,248,318,910,130,121,52,29,275,350,957,164,195,76,45,281,213,977,90,116,73,35,187,135,633,10,6,7,9,32,26,98,0,0,0,0
SOS60,2321,382,37,21,2368,412,5540,2402,949,140,65,1989,451,6000,3995,3325,650,247,2473,976,11661,3038,3718,962,382,1642,777,10524,3060,3991,977,377,1842,845,11089,2677,3539,1035,425,2242,836,10747,1415,2256,1098,610,2049,752,8176,614,939,535,398,1373,560,4416,198,265,130,121,696,251,1652,19718,19368,5559,2649,16664,5853,69810,2408,590,92,50,1792,406,5343,2126,1498,307,263,1366,373,5926,2525,3981,1666,1671,1514,711,12079,1389,3933,2510,2068,976,636,11514,1494,4634,2570,1347,1213,674,11935,1462,4189,2390,1470,1682,815,12000,667,2151,2065,1734,1964,845,9417,443,1036,866,808,1671,814,5643,295,415,235,156,1396,499,2999,12808,22430,12690,9571,13572,5778,76850,4730,975,134,68,4167,816,10883,4531,2443,443,335,3354,818,11926,6520,7305,2314,1925,3987,1693,23740,4428,7655,3475,2450,2618,1414,22036,4548,8620,3549,1721,3058,1521,23022,4136,7734,3419,1893,3922,1652,22751,2080,4411,3161,2347,4013,1596,17594,1061,1979,1401,1211,3043,1369,10056,498,685,362,271
