SOS_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,11,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,3,0,0,0,7,0,0,7,7,0,3,0,0,0,16,0,3,3,10,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,7,6,0,0,0,0,19,4,3,8,5,7,3,3,0,0,21,0,0,3,7,7,7,3,0,0,35,0,0,0,6,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,3,10,30,88,24,10,8,3,0,176,28,32,98,304,105,71,44,6,0,689,215,173,624,1864,628,460,283,72,9,4331,0,0,3,3,0,0,0,0,0,3,124,139,304,665,210,210,116,24,17,1804,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,7,8,0,0,3,0,0,12,0,0,0,8,0,0,0,0,0,10
SOS30,0,0,17,187,209,296,251,179,41,1190,32,356,410,1723,695,584,372,158,41,4375,78,230,864,3190,426,543,374,79,10,5793,98,453,619,1012,181,76,32,8,0,2483,3,5,18,86,102,105,72,29,6,428,5,28,49,318,213,89,49,21,4,780,149,828,869,2065,995,843,620,189,62,6613,66,349,701,2789,1801,1381,603,203,87,7988,17,113,167,538,501,324,363,178,67,2273,3,112,437,1276,691,546,214,52,8,3336,624,3405,5714,17278,6734,5401,3934,2118,714,45926,5616,10092,13881,31946,14702,12314,9562,5529,2775,106428,106692,214553,225544,456242,207203,170272,127322,61621,21640,1591077,11,100,300,619,166,65,35,8,4,1313,91528,168081,160503,290601,135303,117152,86883,45966,24266,1120283,25,122,141,650,103,52,17,4,0,1109,4,8,89,608,375,282,144,65,17,1590,11,28,56,425,214,172,55,31,20,1024,80,281,484,2124,684,527,262,101,55,4587,7,31,61,419,222,154,122,47,15,1081
SOS31,0,0,0,6,16,28,50,34,0,137,9,57,34,307,77,43,28,12,5,576,3,15,95,356,5,10,5,0,0,485,16,56,69,91,21,9,3,0,0,263,0,0,0,3,10,4,4,0,0,16,0,0,0,24,20,13,4,0,0,71,13,98,66,236,142,156,166,59,15,946,7,73,65,233,77,23,9,4,0,489,0,12,23,58,71,74,85,54,12,389,0,64,84,226,189,121,37,14,0,731,49,264,320,1193,662,623,675,447,124,4353,1912,3563,3829,10443,5612,5225,4081,2350,915,37926,29242,61383,52013,104564,54832,52136,43155,22580,6985,426903,0,6,5,20,3,0,0,0,0,41,25863,51456,42122,82550,42170,40011,31860,18295,8439,342763,6,18,23,83,11,0,0,0,0,145,0,0,0,12,3,4,4,0,0,27,0,5,10,36,6,12,0,0,0,70,15,26,58,302,107,106,77,31,9,730,0,0,0,26,15,10,8,0,0,58
SOS32,0,0,0,0,4,12,9,6,0,31,0,0,0,4,3,0,3,0,0,13,3,3,0,12,0,0,0,0,0,15,0,4,8,14,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,5,7,16,22,26,39,38,8,0,155,0,0,4,3,0,0,0,0,0,6,0,3,0,9,13,12,14,13,3,62,0,0,13,17,33,19,13,4,0,95,4,25,29,111,91,126,142,93,24,637,260,561,553,1422,1090,1110,1048,436,124,6593,4466,9834,7667,14998,10303,11000,9644,3900,956,72766,0,0,0,0,0,0,0,0,0,0,3888,8518,6383,12641,7731,8134,5973,2516,849,56628,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,17,0,0,14,31,24,32,24,3,0,126,0,0,0,0,0,0,0,0,0,8
SOS33,0,0,0,3,9,28,26,22,5,89,0,6,7,28,8,14,20,4,0,90,0,7,10,48,13,17,8,3,0,102,7,15,18,43,12,6,0,0,0,94,0,0,0,4,4,5,0,3,0,11,0,0,0,3,12,3,3,0,0,23,0,46,33,98,109,122,135,33,14,595,0,11,5,48,50,33,8,0,0,161,0,8,9,30,45,44,45,21,0,199,0,6,21,72,73,72,30,13,3,292,20,85,95,446,398,450,427,237,36,2194,814,2111,1980,5101,3915,3891,2977,1261,263,22316,11453,30466,24478,46933,35217,35710,27336,10373,2170,224138,0,0,0,0,0,0,0,0,0,0,10022,25342,18600,36338,25634,24010,15809,5538,1522,162798,0,0,0,5,0,0,0,0,0,14,0,0,0,6,3,0,5,0,0,11,0,4,7,21,16,4,3,0,0,57,3,14,30,104,64,85,47,8,0,357,0,0,0,7,9,7,7,0,0,29
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,12,0,0,5,15,10,7,13,7,0,66,0,0,0,0,0,0,0,0,0,0,3,0,5,8,7,14,4,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0,0,9,37,0,0,0,0,0,46,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,14,11,4,0,0,3,0,35,0,0,7,3,4,0,0,0,0,11,0,0,8,0,0,7,4,0,0,17,0,0,4,0,3,0,3,0,0,10,5,0,28,78,19,20,18,3,0,174,28,37,130,417,160,200,157,38,3,1172,182,249,772,2257,975,1147,1120,225,19,6937,0,0,0,0,0,0,0,0,0,0,130,183,337,734,438,791,472,77,6,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,3,0,0,29,0,0,0,9,0,0,0,0,0,15
SOS40,0,0,9,134,132,183,165,131,46,794,25,198,180,901,252,114,72,52,6,1809,16,24,105,289,26,29,15,0,0,511,16,55,156,449,52,21,9,6,0,759,0,3,3,23,26,37,35,29,6,175,0,17,17,71,60,43,29,25,12,263,37,191,185,502,266,237,178,51,21,1661,46,175,508,1977,1332,1308,454,152,83,6032,3,43,58,197,196,225,187,129,39,1071,0,36,79,192,102,71,13,4,0,506,270,1441,2310,5850,2279,1805,1461,1091,533,17039,1541,2594,3391,8489,4443,4026,3214,2150,1067,30916,35571,67824,77645,157177,75689,66615,50334,27452,11384,569694,24,227,727,1001,254,84,40,8,0,2367,30439,53665,55652,102129,50972,46068,32331,16699,11032,398995,38,130,65,566,51,29,8,0,0,887,0,6,53,335,224,204,88,60,12,988,9,43,117,671,287,294,134,59,22,1634,19,58,70,372,147,130,58,23,18,892,3,9,16,117,74,65,48,24,5,353
SOS41,0,0,0,3,14,19,24,35,3,92,0,17,16,91,17,7,14,4,0,163,0,3,24,118,0,3,0,0,0,150,12,40,43,27,4,0,0,0,0,129,0,0,0,0,3,3,3,0,0,11,0,0,0,15,12,0,6,0,0,33,12,29,29,64,52,52,48,16,7,310,5,18,18,90,36,19,3,0,0,193,0,10,3,24,42,52,53,31,13,232,0,18,18,51,30,25,5,4,0,148,16,97,84,318,180,210,265,179,74,1434,428,912,945,2428,1564,1637,1421,907,424,10669,9105,19781,17937,34301,20091,20016,17721,9911,3606,152477,0,5,24,44,8,0,0,0,0,80,8289,17078,15065,28891,15990,15568,13585,7621,4172,126260,0,13,0,40,0,0,0,0,0,57,0,0,0,10,8,3,3,0,0,25,0,0,3,20,7,0,0,0,0,32,0,11,8,54,27,33,23,3,3,162,0,0,0,12,11,3,3,0,0,24
