SOS_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,5754,11477,7690,5035,6564,1918,873,39318,746,616,357,270,348,114,85,2531,243,408,267,210,259,79,47,1507,11042,22476,16661,12045,17112,5664,2723,87728,974,1942,1180,740,928,223,116,6103,1339,2334,1138,707,673,170,79,6444,2314,4278,2324,1443,1605,395,192,12550,13351,26749,18988,13493,18720,6054,2918,100275,15808,15118,7806,4952,5434,1601,887,51601,269,361,212,146,110,29,16,1134,29424,42231,26998,18584,24259,7685,3817,153013
SOS31,1772,3613,2368,1626,1881,176,62,11490,184,196,125,71,109,13,7,712,84,127,96,69,84,6,8,469,3134,6468,4678,3329,4349,505,178,22638,434,924,591,345,374,30,12,2717,524,899,456,276,210,15,3,2389,961,1823,1048,619,593,50,16,5103,4092,8288,5731,3944,4941,557,189,27743,6821,6113,3070,1885,1668,188,75,19810,163,178,119,66,39,0,3,566,11073,14580,8914,5899,6639,744,265,48122
SOS32,254,496,331,202,245,9,6,1554,30,33,18,15,7,3,0,110,14,13,16,0,14,0,0,66,454,955,654,427,526,51,24,3079,61,131,75,52,57,3,3,372,83,113,57,28,25,3,0,311,142,240,135,78,78,7,3,687,592,1194,785,509,599,60,28,3767,1198,1062,547,310,242,21,9,3392,36,30,25,17,13,0,0,121,1832,2282,1361,833,852,85,33,7274
SOS33,420,1058,748,483,575,76,41,3406,58,55,41,21,32,6,0,218,30,53,36,27,45,4,0,194,859,1876,1497,1039,1393,192,94,6953,69,192,129,83,93,10,8,582,90,183,78,76,62,10,0,496,166,370,204,163,151,18,5,1079,1024,2254,1702,1201,1549,206,100,8031,1564,1569,856,529,541,68,19,5146,32,37,27,21,16,4,0,140,2615,3858,2584,1753,2104,276,121,13309
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,1995,3848,2623,1862,2568,1039,564,14501,302,199,122,76,137,53,44,934,72,102,71,53,68,37,16,420,3375,6577,4875,3680,5891,2749,1520,28672,232,574,320,244,307,141,51,1873,397,719,406,221,256,96,44,2135,628,1285,725,471,564,234,95,4006,4001,7865,5606,4150,6457,2984,1616,32679,5666,5345,2816,1958,2305,956,529,19588,117,146,81,45,39,14,9,449,9785,13361,8505,6158,8798,3958,2151,52713
SOS41,574,1351,993,653,888,189,64,4716,87,58,37,30,46,16,8,281,17,35,31,16,25,4,0,132,927,2135,1639,1221,1846,399,158,8320,86,195,144,98,123,24,0,670,137,238,158,73,80,12,9,709,224,431,300,165,209,31,12,1376,1154,2563,1937,1391,2053,429,170,9698,1951,1799,960,607,629,124,31,6105,49,58,27,17,15,0,0,178,3152,4423,2931,2021,2694,559,201,15975
SOS42,66,186,156,105,140,21,7,678,10,12,3,5,3,0,0,45,0,4,3,0,3,0,0,11,111,281,247,195,252,53,8,1146,8,25,20,8,10,3,0,74,12,11,14,12,10,3,3,62,24,36,28,20,25,3,3,140,133,319,275,210,277,53,13,1283,259,258,121,98,75,23,3,835,4,8,3,0,0,0,0,14,402,579,404,311,350,74,16,2135
SOS43,113,261,210,152,207,62,20,1017,14,12,9,9,10,0,0,63,4,13,0,7,12,0,0,33,180,460,386,329,454,124,44,1977,16,33,26,16,31,7,0,120,21,39,22,9,19,0,0,115,35,68,48,31,47,8,0,237,212,534,438,357,501,131,47,2219,354,335,209,153,147,21,8,1211,16,17,12,7,6,0,0,67,585,883,655,515,657,149,55,3496
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,2712,5771,3923,2673,3667,1329,671,20752,326,247,172,128,211,74,66,1222,115,149,94,82,123,56,29,635,4887,10209,7614,5820,8923,3680,1965,43102,403,899,587,416,569,203,86,3160,641,1234,704,388,385,108,58,3511,1042,2135,1290,799,958,305,142,6673,5928,12347,8905,6619,9879,3983,2115,49777,7695,7067,3567,2270,2535,884,537,24566,178,190,119,71,38,12,4,620,13808,19598,12596,8965,12452,4883,2656,74959
SOS51,648,1422,995,632,802,73,29,4605,63,93,55,45,53,4,8,318,22,39,23,21,36,3,0,143,1131,2435,1880,1417,1902,208,69,9038,72,215,129,116,109,17,3,656,126,313,148,87,88,7,4,771,203,524,276,201,191,23,7,1428,1328,2956,2155,1620,2095,234,79,10461,2462,2147,1011,650,546,42,15,6871,77,98,57,35,15,3,0,281,3868,5200,3228,2301,2657,276,94,17617
SOS52,101,203,161,111,101,12,3,698,13,19,13,5,7,0,0,61,4,5,3,9,8,0,0,25,184,407,332,246,213,22,10,1420,12,48,33,24,22,0,0,145,18,52,26,11,12,0,0,126,31,100,61,40,37,4,0,266,218,508,392,278,245,27,9,1682,505,512,281,159,99,8,0,1567,20,16,15,9,3,0,0,68,744,1031,687,456,355,31,9,3317
SOS53,106,279,198,130,165,27,9,916,20,19,18,12,17,0,0,89,10,5,9,7,6,0,0,38,208,504,417,293,393,54,27,1896,20,69,42,31,22,8,0,189,34,60,24,18,17,3,0,162,55,131,70,51,41,6,0,357,265,632,493,341,430,59,27,2248,409,384,245,142,157,20,10,1367,22,25,18,11,6,0,0,79,696,1046,761,495,596,78,33,3698
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,410,813,486,357,492,153,52,2758,52,45,27,29,25,8,5,186,14,22,11,6,20,8,3,89,643,1329,936,737,1107,386,155,5291,36,83,42,33,40,14,3,247,62,131,57,35,30,12,5,323,95,207,101,68,72,19,3,573,740,1542,1036,809,1178,403,160,5865,1188,1092,559,356,391,132,59,3770,26,20,16,9,3,0,0,76,1961,2649,1607,1169,1566,538,214,9715
SOS61,459,941,631,411,582,150,32,3193,77,59,39,29,32,11,0,247,25,30,14,14,31,5,0,113,712,1482,1078,796,1224,306,91,5685,48,136,79,43,62,22,0,381,84,179,88,58,66,6,0,482,130,316,171,95,124,30,3,863,843,1798,1248,890,1348,334,93,6549,1623,1478,673,462,492,93,23,4853,22,38,19,11,4,4,0,109,2488,3316,1937,1370,1850,434,121,11511
SOS62,44,126,69,63,70,4,3,387,12,7,0,0,4,0,0,28,3,0,0,0,0,0,0,9,76,174,124,100,139,30,9,651,8,7,9,6,6,0,0,34,3,11,6,5,4,0,0,31,7,24,10,10,7,3,0,70,82,198,135,114,148,32,9,713,172,169,77,45,55,5,3,526,3,4,0,3,0,0,0,14,261,377,209,165,197,38,9,1255
SOS63,118,216,175,108,159,30,7,819,8,17,14,5,5,3,3,57,3,6,8,3,6,3,3,38,185,392,328,237,304,81,25,1560,14,21,21,11,9,4,0,86,13,36,28,17,18,3,0,122,25,64,44,33,30,9,0,205,207,457,370,277,335,89,25,1763,278,319,196,116,126,19,9,1070,5,3,3,3,0,0,0,17,491,776,575,392,464,109,33,2848
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,152,221,136,109,123,19,8,760,23,23,8,14,16,0,0,85,8,19,6,12,11,0,0,60,414,759,497,372,527,91,43,2709,32,42,36,14,23,3,0,153,26,43,18,15,7,3,0,108,53,82,54,32,35,3,0,260,467,850,551,405,558,93,43,2974,483,404,204,145,117,21,7,1390,32,19,15,8,5,0,0,85,988,1272,770,562,686,118,55,4447
SOS71,74,128,104,52,37,3,3,397,17,12,10,3,4,0,0,48,13,17,11,9,6,0,0,60,217,373,279,178,195,19,5,1264,37,46,19,12,13,0,0,130,5,15,6,11,3,0,0,44,48,60,25,20,23,0,0,175,267,436,307,196,213,16,7,1446,395,414,198,127,96,14,0,1238,18,29,14,19,0,0,0,76,676,879,518,338,306,27,12,2757
SOS72,55,89,37,35,22,0,0,243,11,10,9,7,0,0,0,41,12,4,10,3,3,0,0,29,113,223,132,79,50,6,0,605,35,48,34,21,17,0,0,163,23,17,11,11,0,0,0,67,55,70,42,35,19,0,0,226,173,294,176,113,72,6,0,834,301,340,192,129,54,0,3,1021,32,37,20,10,3,0,0,104,501,669,387,254,130,9,4,1956
SOS73,19,49,38,25,22,0,0,158,9,6,6,0,8,0,0,25,4,7,8,6,5,0,0,33,87,167,122,95,104,5,0,579,17,28,26,7,0,0,0,80,16,21,7,7,0,0,0,43,25,49,29,11,3,0,0,123,114,211,151,107,107,7,0,702,135,148,94,62,31,3,3,487,32,12,14,10,0,0,0,70,281,383,259,176,144,10,5,1251
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,574,942,632,405,503,160,69,3295,111,50,38,28,54,27,14,324,12,33,16,11,24,16,6,115,1238,2270,1743,1227,1905,757,354,9498,46,92,57,39,65,21,13,329,59,105,59,29,50,16,3,322,101,195,122,66,115,32,17,653,1339,2465,1863,1302,2021,788,368,10148,1088,1029,578,324,409,190,91,3714,27,18,11,10,3,3,0,71,2458,3514,2455,1630,2441,984,460,13933
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS83,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,6,3,5,0,3,0,0,19,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,7,7,5,3,3,0,0,27
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,4,10,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,10,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,10,3,0,27
SOS92,3,10,6,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,14,3,8,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,14,3,8,3,0,46,8,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,12,11,11,5,13,3,0,57
SOS93,3,0,3,0,0,0,0,9,0,3,3,0,3,0,0,5,0,0,0,0,0,0,0,0,3,6,8,5,10,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,12,12,8,8,0,0,43,0,8,3,4,0,0,0,16,0,4,3,0,0,0,0,8,8,23,14,13,13,0,0,62
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
