SOS_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS27,13,0,12,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,12,0,11,3,0,3,28,4,29
SOS29,810,544,1354,300,188,486,94,89,185,1046,961,2005,103,111,216,28,24,54,57,42,106,16,15,31,10,15,28,5,11,18,0,3,3,1368,1270,2645,331,340,666,94,64,159,2095,1859,3954,1374,795,2164,4279,3200,7480
SOS30,1147252,1201472,2348721,43124,46194,89319,13427,14169,27595,6342,6357,12696,184307,195840,380145,1958,1963,3924,2894,2832,5732,916,981,1890,1760,1569,3332,1170,1190,2362,38,23,63,212817,224921,437738,27070,30569,57633,4919,4194,9113,287926,305883,593812,136240,134581,270824,1571416,1641938,3213358
SOS31,309070,317766,626838,21265,23369,44631,2574,2790,5366,1210,1320,2529,38478,41681,80157,471,446,925,737,735,1469,263,279,539,457,460,918,138,134,273,6,3,12,44347,47843,92189,2784,3241,6026,1360,1244,2600,69753,75695,145447,42766,38716,81480,421590,432181,853768
SOS32,55549,54467,110019,2706,2790,5497,378,357,735,115,139,258,5137,5353,10493,59,50,111,116,139,259,32,37,64,95,100,193,20,27,44,0,0,0,5948,6202,12149,242,298,540,287,248,537,9189,9539,18721,7229,6112,13339,71965,70116,142078
SOS33,173764,161815,335576,5285,5430,10711,1054,1003,2055,363,403,766,15304,15151,30456,122,117,239,281,254,530,60,62,116,227,232,457,40,40,80,0,0,0,17444,17259,34708,872,915,1783,487,432,920,24085,24040,48120,24327,18892,43223,222174,204744,426924
SOS37,52,57,102,0,0,0,3,0,5,0,0,0,4,4,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,21,0,6,3,0,0,0,6,17,22,6,17,21,66,84,152
SOS39,1610,1127,2737,558,343,903,308,318,619,171,192,367,1677,1520,3196,48,57,106,161,146,306,28,35,59,54,41,100,7,14,25,3,0,3,2455,2331,4783,436,549,983,148,97,243,3598,3312,6907,1702,1098,2805,6908,5543,12454
SOS40,443976,466846,910825,11669,12338,24001,1585,1692,3278,1604,1560,3161,1179,1208,2384,50204,52586,102798,673,549,1224,153,171,324,507,528,1032,249,205,455,3,8,9,56151,58509,114662,9185,10245,19426,1161,957,2123,78163,82045,160215,40883,40732,81617,563020,589627,1152650
SOS41,118085,123742,241824,8176,9072,17249,401,409,812,499,487,987,450,489,938,8759,9535,18291,280,276,553,54,52,99,189,198,383,20,26,45,0,0,0,10654,11463,22111,731,862,1590,357,300,662,19910,21696,41610,12824,12360,25183,150815,157794,308613
SOS42,21728,21377,43106,911,1003,1916,63,55,118,64,69,133,70,77,147,1504,1467,2968,54,46,95,13,19,30,66,67,130,7,6,7,0,0,0,1838,1797,3642,86,94,176,54,46,105,2888,2950,5830,2126,2029,4156,26737,26353,53093
SOS43,61352,55836,117183,1676,1615,3287,142,120,267,172,148,313,147,114,261,3564,3436,7003,124,109,232,21,27,39,69,76,150,11,15,23,0,0,0,4251,4034,8292,193,207,399,138,119,259,6254,5975,12237,6807,5069,11880,74416,66888,141306
SOS47,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SOS49,366,183,552,144,83,221,35,26,64,25,30,58,54,52,102,461,380,839,21,15,44,8,6,12,13,13,30,0,0,0,0,0,0,618,528,1142,102,82,185,40,14,52,899,699,1592,466,238,700,1724,1122,2847
SOS50,689936,710659,1400593,26884,27655,54540,1960,2019,3981,1861,1860,3723,1814,1801,3613,765,698,1464,93485,95718,189203,226,274,495,551,533,1078,194,220,414,32,28,61,100890,103149,204032,17122,18889,36016,1946,1784,3726,146843,151470,298308,78073,73650,151722,914855,935774,1850623
SOS51,127854,129077,256928,11747,12239,23985,454,452,903,439,453,893,734,713,1450,229,222,455,14564,15298,29864,119,128,252,235,233,464,20,23,42,15,11,29,16823,17535,34356,1483,1713,3193,481,465,947,30531,31953,62486,20389,18243,38627,178780,179267,358048
SOS52,24596,24107,48698,1457,1559,3016,58,63,122,57,47,102,83,74,163,37,31,71,2123,2200,4326,14,9,22,28,50,76,4,3,7,0,0,0,2409,2485,4895,193,237,429,303,288,589,4365,4567,8932,3640,3241,6887,32601,31917,64518
SOS53,66186,55753,121940,2093,2021,4112,312,119,426,277,122,398,701,177,881,114,62,177,7297,5657,12950,39,22,58,91,64,151,9,5,16,4,0,7,8844,6221,15071,515,383,895,314,260,571,11765,8888,20652,14224,6963,21180,92176,71603,163774
SOS57,259,11,272,0,0,0,3,0,3,3,0,3,4,0,6,0,0,0,45,7,53,0,0,0,0,0,0,0,0,0,0,0,0,62,8,69,11,0,15,0,0,0,73,12,84,71,8,80,408,26,434
SOS59,814,434,1248,245,154,396,99,104,201,67,62,132,142,130,274,45,37,78,808,594,1395,15,15,22,32,17,52,4,7,13,0,0,0,1209,962,2166,189,195,387,44,36,84,1691,1346,3036,1020,617,1636,3518,2398,5915
SOS60,65289,70578,135867,1968,2097,4063,384,445,833,559,593,1149,481,489,961,118,108,221,201,217,414,7132,7736,14874,65,66,131,56,66,124,0,0,3,8991,9724,18711,1049,1219,2276,208,155,364,12222,13197,25416,7408,7347,14754,84916,91121,176036
SOS61,73998,80349,154345,3099,3624,6724,456,456,913,479,502,981,545,611,1152,117,123,241,268,276,546,7274,8054,15333,68,68,131,26,33,57,0,0,0,9241,10122,19367,650,582,1231,194,199,400,13184,14526,27714,8216,8734,16953,95404,103610,199013
SOS62,12233,12252,24485,586,609,1187,93,103,192,103,105,208,104,120,224,23,13,40,69,55,124,690,793,1479,10,9,27,3,7,12,3,3,4,1090,1207,2297,49,63,116,21,26,50,1748,1902,3649,1298,1280,2577,15283,15437,30713
SOS63,41712,38838,80548,1154,1135,2291,262,251,510,186,183,372,328,320,647,93,78,170,173,176,344,2200,2358,4564,39,45,80,10,3,15,0,3,3,3284,3419,6703,158,170,324,84,79,160,4679,4801,9477,4137,3697,7840,50531,47337,97865
SOS67,32,16,47,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,10,7,13,3,0,3,0,0,0,11,7,22,4,0,9,49,21,68
SOS69,112,66,176,46,30,72,10,16,32,19,10,31,25,31,59,3,6,13,9,13,24,127,126,253,5,0,4,4,0,4,0,0,0,207,205,415,20,21,39,3,3,8,279,258,540,128,63,188,516,391,909
SOS70,37872,35495,73365,1351,1274,2628,743,659,1399,725,664,1391,1398,1196,2599,418,394,806,743,647,1388,59,51,106,6696,6609,13308,93,87,180,4,3,4,10882,10305,21184,1424,1541,2961,238,192,434,13891,13316,27207,9354,6694,16046,61116,55502,116617
SOS71,16821,16781,33601,764,852,1613,166,193,357,192,218,412,316,311,625,172,182,351,103,124,223,13,12,27,1337,1399,2727,20,27,47,0,0,0,2310,2464,4781,318,394,710,207,197,404,3605,3905,7510,3112,2894,6005,23536,23582,47116
SOS72,10265,10638,20900,291,273,566,77,77,155,84,83,164,178,168,349,65,51,112,67,70,139,7,8,16,395,387,784,9,3,10,0,0,3,876,852,1732,56,77,132,165,182,346,1384,1385,2770,1155,1040,2196,12804,13066,25865
SOS73,12470,11109,23574,351,329,682,203,186,393,108,82,189,282,236,516,69,65,136,111,97,209,13,12,21,840,743,1584,13,10,24,0,0,0,1642,1424,3070,106,102,203,87,83,178,2194,1941,4133,3365,2247,5615,18025,15294,33322
SOS77,45,10,52,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,7,10,4,19,61,14,70
SOS79,370,269,639,92,73,167,73,73,145,64,68,126,114,105,215,27,18,46,56,60,116,4,8,8,118,109,222,3,4,7,0,0,0,452,450,900,34,64,94,9,6,21,588,591,1185,361,290,654,1321,1151,2476
SOS80,143993,149617,293609,2801,2875,5682,4631,4941,9567,1229,1255,2480,1253,1322,2570,396,421,819,517,478,995,127,146,267,228,198,434,16734,17090,33826,17,15,34,25139,25859,50995,4554,4838,9394,384,326,713,32874,33907,66781,15356,14934,30287,192221,198460,390682
SOS82,114,124,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,5,11,0,0,0,6,9,17,0,0,0,0,0,0,6,9,17,9,7,12,132,143,270
SOS83,347,290,638,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,17,21,40,0,0,0,22,31,52,0,4,4,0,0,0,19,33,59,47,43,87,411,368,776
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,60,41,98,31,14,47,20,28,43,3,3,6,10,8,18,3,3,7,0,5,6,0,0,0,0,0,0,61,61,122,0,0,0,103,110,211,21,23,45,8,5,14,165,153,319,86,35,125,312,226,538
SOS91,612,498,1112,23,23,45,10,3,12,4,3,11,10,3,13,3,3,8,29,25,51,0,0,0,10,3,15,10,5,11,3,0,3,76,52,123,11,10,21,0,3,3,109,85,193,168,112,280,883,702,1583
SOS92,542,587,1130,22,19,43,26,17,44,10,3,12,15,7,27,0,0,0,18,15,30,0,0,0,0,0,0,15,12,19,3,0,7,88,55,141,17,16,25,3,0,3,126,89,219,69,56,126,731,742,1471
SOS93,452,484,931,13,18,32,23,21,46,0,0,0,15,15,23,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,34,44,80,9,9,15,8,0,6,61,77,142,294,61,356,805,620,1423
SOS97,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6
SOS99,13,8,21,0,0,0,0,0,0,0,4,10,3,0,8,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,0,4,4,0,3,3,5,22,28,0,3,9,24,28,50
