SOS_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOS40,15458,13452,7333,4536,6572,4186,2234,53769,4001,3948,2327,1631,2264,1184,687,16034,4061,3570,1938,1223,1775,955,552,14073,31285,30302,16313,10249,13951,6483,3161,111754,240,252,133,87,77,24,10,827,55041,51518,28049,17731,24642,12836,6637,196459,1353,1842,1362,1073,1731,1130,670,9165,952,1245,833,626,989,440,256,5346,498,821,526,413,729,347,204,3538,6604,9070,5529,3887,5206,1987,996,33281,381,383,257,156,134,51,23,1381,9785,13361,8505,6158,8798,3958,2151,52713,64830,64879,36554,23884,33441,16792,8791,249171
SOS41,928,996,658,471,646,247,92,4034,636,791,471,307,475,154,55,2889,735,737,382,268,402,98,53,2679,11073,11317,6186,3911,5083,1126,356,39060,84,61,51,28,37,6,0,267,13465,13905,7747,4986,6640,1631,550,48933,86,134,127,80,126,41,25,619,155,247,184,136,213,51,29,1008,80,148,154,118,170,56,20,742,2707,3715,2362,1639,2140,398,130,13098,123,177,103,48,44,9,3,514,3152,4423,2931,2021,2694,559,201,15975,16621,18327,10675,7007,9332,2194,749,64907
SOS42,84,98,65,44,66,31,4,395,94,112,56,39,67,18,4,398,69,72,59,40,57,19,9,328,2055,2094,1122,682,875,174,49,7058,13,26,9,4,4,0,0,56,2324,2408,1307,813,1076,249,74,8244,0,3,4,8,11,3,0,35,29,36,30,31,24,13,3,172,3,23,19,14,18,3,0,87,340,492,337,251,288,56,13,1765,26,22,14,7,5,0,0,74,402,579,404,311,350,74,16,2135,2726,2991,1717,1115,1426,324,84,10376
SOS43,195,308,229,164,255,120,51,1320,227,278,224,164,209,67,35,1213,334,328,221,156,222,83,39,1376,5182,6409,3989,2588,3253,687,237,22337,58,51,48,23,15,3,3,203,5988,7379,4713,3097,3957,959,358,26447,9,22,24,29,26,16,9,130,40,51,44,37,48,24,10,243,16,33,34,25,38,7,0,153,489,740,531,408,530,107,35,2831,34,42,30,26,12,0,0,145,585,883,655,515,657,149,55,3496,6573,8260,5371,3613,4613,1109,407,29943
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,36876,34859,19674,12582,18104,9729,4892,136721,11079,10216,5611,3441,4765,1922,890,37927,11256,9936,4994,2965,4132,1901,846,36025,41360,40584,21377,12810,16623,6637,2914,142309,468,440,228,176,174,65,26,1576,101045,96044,51882,31974,43791,20258,9559,354552,2744,4122,2973,2254,3723,1929,1198,18940,1837,2494,1597,1180,1634,623,317,9679,1231,2003,1264,992,1347,510,268,7613,7454,10415,6395,4296,5554,1750,843,36704,552,569,358,241,195,70,30,2014,13808,19598,12596,8965,12452,4883,2656,74959,114848,115642,64475,40936,56243,25139,12221,429510
SOS51,2896,3130,1823,1179,1498,231,63,10813,1599,1546,776,489,635,60,17,5132,1880,1622,837,480,616,44,10,5498,13166,13006,6909,4061,4898,417,93,42558,130,135,74,41,33,4,0,417,19675,19441,10422,6250,7686,748,193,64411,173,294,231,190,272,41,9,1216,320,407,240,198,273,34,9,1487,229,353,260,170,228,13,11,1260,2952,3962,2386,1675,1825,176,55,13037,188,184,107,65,55,4,3,613,3868,5200,3228,2301,2657,276,94,17617,23536,24640,13651,8551,10337,1027,283,82034
SOS52,239,273,165,123,131,28,4,966,208,220,111,76,100,12,9,740,245,259,120,73,86,16,3,799,2282,2323,1271,712,692,68,21,7367,31,33,18,13,4,0,0,97,3002,3106,1682,995,1003,123,41,9958,24,34,32,23,26,3,0,136,42,70,48,30,26,4,0,224,23,44,27,15,33,8,4,158,637,841,543,361,256,17,8,2663,25,39,37,25,9,3,0,138,744,1031,687,456,355,31,9,3317,3751,4141,2371,1448,1355,161,49,13277
SOS53,467,689,415,303,449,132,59,2512,445,620,366,242,346,86,26,2133,709,720,415,235,382,89,28,2568,4742,6041,3527,1920,2244,346,138,18970,37,44,37,24,26,4,0,174,6397,8121,4760,2725,3449,659,253,26362,26,52,55,41,61,6,9,242,50,95,63,52,72,12,6,360,49,59,60,44,57,13,6,282,547,811,556,346,399,36,16,2708,22,27,28,9,4,0,0,100,696,1046,761,495,596,78,33,3698,7098,9162,5520,3222,4043,734,287,30056
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,857,727,419,242,386,179,95,2905,545,580,306,231,286,106,65,2109,516,495,241,159,220,97,50,1779,5658,5752,3140,1942,2657,999,356,20512,40,31,24,9,15,6,4,129,7618,7584,4125,2579,3562,1388,569,27425,68,144,98,67,119,58,40,607,120,166,112,90,120,50,31,678,38,77,67,67,87,43,11,391,1636,2167,1300,909,1213,371,132,7735,93,93,36,44,31,8,3,304,1961,2649,1607,1169,1566,538,214,9715,9573,10242,5729,3754,5134,1925,785,37142
SOS61,557,488,294,202,264,102,45,1954,398,432,249,123,231,65,18,1521,430,433,218,132,169,39,24,1439,6908,6979,3940,2523,3318,888,239,24799,42,44,19,24,18,3,3,151,8337,8377,4716,3003,4006,1104,325,29865,43,62,43,32,81,28,16,300,98,181,125,95,118,34,8,671,64,121,77,58,91,29,10,453,2160,2847,1637,1129,1523,335,85,9720,122,108,59,51,29,11,0,369,2488,3316,1937,1370,1850,434,121,11511,10821,11692,6654,4369,5855,1541,443,41373
SOS62,39,57,35,25,22,12,0,189,70,99,56,28,43,11,6,320,76,84,37,21,24,13,0,246,993,1148,650,358,496,103,29,3777,10,10,3,3,0,0,0,32,1191,1399,779,429,591,137,38,4565,4,9,4,6,8,3,0,31,4,12,9,7,9,3,0,43,4,11,3,13,12,0,0,45,230,336,193,137,164,33,12,1091,18,15,0,5,3,0,0,45,261,377,209,165,197,38,9,1255,1455,1774,995,591,789,176,51,5820
SOS63,113,190,140,92,132,44,17,728,231,237,180,113,150,35,18,962,255,268,153,107,121,33,15,952,3354,4180,2655,1628,2088,515,127,14544,20,27,20,17,7,3,0,92,3973,4905,3140,1963,2502,632,172,17285,9,7,6,11,15,8,0,54,36,50,38,36,30,11,6,209,16,33,25,23,30,14,8,141,412,654,486,317,390,78,23,2352,22,28,19,15,9,0,0,91,491,776,575,392,464,109,33,2848,4466,5677,3712,2353,2971,743,206,20132
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,2030,1624,903,578,729,263,106,6232,491,441,234,154,204,44,17,1587,712,544,268,151,225,48,19,1970,3665,3137,1514,900,1029,185,60,10494,42,42,24,8,8,0,0,127,6947,5785,2941,1795,2198,535,211,20415,106,144,94,85,139,46,27,647,85,89,63,40,65,10,7,356,67,104,73,54,70,20,4,382,670,874,506,362,404,40,18,2876,61,51,35,20,11,0,0,181,988,1272,770,562,686,118,55,4447,7931,7054,3715,2352,2884,653,262,24859
SOS71,514,427,201,134,172,33,4,1485,147,125,46,29,41,4,0,399,189,130,49,44,47,5,0,462,1832,1897,1055,648,543,59,15,6039,41,37,14,20,3,0,0,112,2725,2613,1370,873,803,97,16,8500,16,24,28,18,28,0,0,116,18,35,23,11,8,0,0,92,21,26,17,9,20,0,0,98,596,747,427,276,250,30,9,2323,33,50,21,19,3,3,0,126,676,879,518,338,306,27,12,2757,3402,3491,1884,1211,1107,132,28,11262
SOS72,48,53,27,12,3,0,0,143,23,16,5,5,3,0,0,49,34,30,14,5,4,0,0,86,1430,1486,771,458,309,27,8,4499,12,7,10,9,0,0,0,38,1549,1595,821,492,321,30,7,4812,0,9,0,0,0,0,0,10,3,3,3,0,3,0,0,16,0,3,0,3,0,0,0,9,479,627,376,242,129,9,4,1864,16,20,8,7,0,0,0,60,501,669,387,254,130,9,4,1956,2055,2257,1214,746,453,34,14,6765
SOS73,56,68,56,32,33,13,7,263,52,64,33,20,35,7,3,216,106,95,45,37,52,7,3,340,1403,1589,857,481,468,59,14,4869,14,17,5,9,5,0,0,56,1636,1831,998,585,592,83,25,5750,3,12,3,7,9,3,0,41,15,11,3,4,3,0,0,30,6,12,10,8,7,0,0,48,248,335,227,153,116,6,3,1084,13,11,20,5,5,0,3,49,281,383,259,176,144,10,5,1251,1919,2214,1250,764,734,90,37,7001
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,5884,5116,2518,1498,2019,1192,603,18825,1866,1816,1032,588,893,377,188,6772,2104,1926,964,608,876,352,192,7023,12585,11579,6035,3702,4991,1913,889,41693,85,82,41,26,23,13,6,270,22521,20530,10586,6425,8802,3853,1875,74585,389,546,391,280,446,277,143,2465,308,386,290,170,267,115,51,1581,131,266,176,128,213,85,38,1036,1531,2220,1547,1027,1482,499,219,8529,101,94,53,28,35,6,6,318,2458,3514,2455,1630,2441,984,460,13933,24979,24041,13042,8059,11238,4835,2332,88519
SOS82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,0,0,0,0,4,6,18,8,6,4,3,0,49,0,0,0,0,0,0,0,0,8,26,14,13,4,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,26,15,13,11,6,0,68
