SOS_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,3,14,3,27,0,3,12,4,0,0,0,0,0,0,0,4,10,12,12,58,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,6,4,0,3,0,0,0,3,9,9,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,9,11,10,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,0,3,0,0,0,3,0,0,0,3,0,0,29,0,0,3,8,20,13,39,23,12,6,13,3,5,17,46,219,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,11,0,0,0,0,3,5,3,6,0,3,3,0,0,5,7,41,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,13
SOS30,646,514,364,231,218,127,222,9220,126,1996,2670,1452,310,267,400,405,112,202,238,290,254,140,473,9336,5,72,54,133,268,1632,3434,1995,421,444,427,462,567,551,781,11244,0,0,3,34,256,1147,3494,4743,893,1011,1044,993,1312,1042,923,16895,6,41,89,325,243,215,163,89,30,12,27,18,23,14,36,1317,28,29,509,1219,1628,2018,2092,2051,388,465,521,695,804,549,392,13381,4,587,472,230,108,51,45,28,4,16,6,10,4,5,43,1607,6,2498,2252,963,993,525,844,533,81,124,79,104,98,74,298,9474,165,366,1589,7166,21494,27309,39638,30334,7330,7228,5544,4167,3560,2053,5681,163628,0,8,9,46,103,154,725,898,238,354,471,432,398,295,126,4260,9,7,62,343,2776,6118,4691,7106,1348,1344,1254,1208,1239,655,813,28977,12,394,253,212,1140,935,468,379,73,83,79,77,92,31,120,4349,20,19,141,585,518,729,1331,908,170,202,244,328,346,328,212,6074
SOS31,81,126,38,36,29,19,47,1330,96,674,712,250,48,24,43,52,8,27,21,30,66,48,144,2237,0,6,6,6,13,56,142,86,33,13,23,45,102,64,105,710,0,0,0,4,7,42,131,173,42,62,55,69,220,144,196,1143,3,3,5,20,12,3,3,9,0,0,0,0,0,0,4,60,7,5,80,157,131,94,99,109,20,35,37,31,46,33,49,939,14,235,128,69,18,8,5,4,0,3,0,0,0,0,19,505,4,812,662,254,257,103,162,76,10,8,12,11,12,4,63,2449,38,108,385,1896,4412,4213,4632,3394,1045,878,672,436,307,191,937,23544,0,3,9,3,4,8,44,68,32,44,47,28,37,14,3,339,0,3,14,50,659,960,846,2225,604,686,664,642,538,251,310,8463,0,47,25,22,123,56,32,41,9,16,5,3,9,0,14,414,0,3,16,74,40,36,63,41,9,19,14,12,12,14,16,380
SOS32,3,12,4,3,3,0,5,176,10,108,101,42,4,5,8,3,5,3,0,14,3,14,26,337,0,0,0,0,3,9,36,30,0,4,3,0,8,3,11,109,0,0,0,0,0,7,5,3,0,4,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,20,10,10,10,0,0,3,0,0,0,4,106,0,47,15,4,12,0,0,0,0,0,0,0,0,0,0,80,0,142,134,59,45,15,26,26,3,0,9,3,6,3,16,489,3,9,83,412,842,726,630,357,58,69,57,29,27,28,159,3498,0,0,0,0,0,4,3,3,3,4,0,0,4,0,0,28,0,0,0,3,92,121,98,121,29,28,24,30,36,9,30,629,0,8,6,3,23,9,3,9,3,0,0,0,0,0,4,66,0,3,3,18,3,9,8,0,0,0,3,0,0,0,0,49
SOS33,32,24,8,13,9,4,24,580,30,330,332,122,26,15,16,19,3,8,3,11,13,9,84,1023,0,8,5,4,4,42,61,40,3,15,4,11,16,31,52,299,0,0,0,0,7,3,54,35,8,8,11,9,30,18,46,224,0,0,4,12,5,0,5,0,0,0,0,0,0,3,5,36,3,3,64,79,78,44,40,29,3,3,0,5,7,7,28,396,3,131,80,42,13,15,3,4,0,5,0,0,0,0,8,303,3,418,363,173,201,72,125,108,11,10,15,5,10,6,37,1563,9,40,204,1153,2615,2080,1851,855,197,164,97,73,77,47,507,9956,0,0,0,3,3,11,3,8,0,0,0,3,7,0,0,42,0,3,3,19,207,260,193,309,54,80,82,111,72,51,90,1534,0,14,22,10,49,33,22,19,0,3,3,0,0,0,8,188,3,0,12,49,24,21,34,15,3,5,3,6,11,6,10,196
SOS37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,3,0,3,11,15,3,45,0,0,0,0,0,0,0,0,0,0,0,10,17,20,10,60,0,0,0,0,0,3,3,0,0,0,0,0,5,10,9,28,0,0,0,0,0,3,4,0,3,0,0,7,15,9,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,0,3,0,0,7,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,17,5,3,0,0,0,0,0,0,3,12,11,0,88,0,0,6,44,111,93,123,56,11,17,20,6,7,6,66,567,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,5,12,4,3,3,0,3,0,8,11,7,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,3,0,0,0,0,0,5,3,15
SOS40,154,125,78,45,19,24,67,2628,146,3985,7633,2777,382,213,203,162,38,90,88,93,91,55,737,16675,0,24,12,22,32,146,348,269,62,51,46,61,84,99,85,1336,0,0,5,15,102,195,673,1261,250,232,176,153,180,133,105,3467,11,54,78,313,274,213,233,105,18,33,20,27,19,19,42,1461,10,9,121,451,717,1007,1070,1278,293,350,360,434,541,456,173,7282,6,410,429,177,71,39,9,11,0,3,0,0,0,0,50,1215,8,1096,1750,462,226,72,177,137,34,31,28,16,15,23,124,4203,40,79,256,893,1860,1743,1644,955,250,272,175,149,149,95,310,8866,0,3,12,11,15,40,324,643,239,330,500,397,469,184,79,3240,0,8,18,80,814,1800,1419,2580,472,524,521,511,574,264,252,9830,13,487,417,254,1308,1296,337,178,23,26,37,32,22,6,132,4566,3,8,56,186,230,249,434,376,68,79,115,140,169,142,62,2323
SOS41,14,10,12,3,6,0,20,404,20,261,519,147,21,14,14,6,0,3,6,9,4,10,69,1102,0,3,0,3,3,8,38,32,5,3,6,11,10,0,8,136,0,0,0,0,16,13,23,35,0,5,8,8,12,16,15,153,4,0,0,10,13,5,3,5,0,0,0,0,0,0,3,44,3,0,19,46,46,29,43,62,14,10,8,11,15,11,16,322,0,46,35,24,8,0,3,0,0,0,0,0,0,0,6,130,3,489,593,135,87,13,44,39,3,3,3,3,0,0,41,1466,13,16,68,272,509,404,527,258,80,61,70,39,53,20,110,2502,0,0,0,0,3,0,14,27,10,26,30,26,25,4,11,177,0,0,3,9,146,161,212,547,123,181,204,189,132,60,82,2063,0,43,34,18,55,40,19,8,0,12,3,4,3,0,9,247,0,4,8,23,13,4,22,7,0,3,3,3,0,0,3,105
SOS42,5,5,0,3,0,3,0,75,0,29,40,13,5,0,3,0,0,0,0,0,6,3,7,107,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,3,3,3,0,0,0,0,0,0,0,24,0,7,4,10,0,0,0,0,0,0,0,0,0,0,0,18,0,65,105,25,17,0,10,9,0,0,0,0,0,0,3,230,7,4,19,62,98,74,50,47,13,8,8,4,10,3,21,426,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,16,25,21,29,9,11,12,28,11,4,9,176,0,7,4,5,8,4,4,3,0,0,0,0,0,0,3,36,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,17
SOS43,9,10,0,3,3,0,4,172,3,178,270,98,20,3,4,0,3,0,0,9,3,5,43,640,0,0,0,0,0,6,12,7,6,4,0,0,0,0,3,41,0,0,0,0,0,4,10,7,0,0,3,0,3,3,9,38,0,0,3,15,7,3,0,7,0,0,0,0,0,0,0,34,0,0,10,22,12,6,5,13,9,0,4,0,8,8,3,107,0,22,15,10,0,0,0,0,0,0,0,0,0,0,0,53,0,196,269,70,45,14,40,18,4,0,0,0,3,0,13,681,3,10,30,133,224,204,201,125,32,31,15,12,7,5,61,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,26,49,48,86,16,14,22,36,24,14,40,373,0,8,16,12,23,22,5,3,0,0,0,0,0,0,8,98,0,0,6,17,7,3,8,3,0,0,0,3,0,4,9,48
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
