SOS_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
SOS50,18,3329,..,2414,408,2821,28,2848,..,179,11,192,0,193,..,2597,520,3120,13,3129,..,2716,287,3011,32,3038,..,1608,201,1814,8,1818,..,339,25,364,5,367,..,2067,366,2435,34,2462,..,4137,151,4293,42,4331,..,5114,511,5621,35,5661,..,6266,259,6522,67,6595,..,3173,224,3399,36,3427,..,18689,1146,19830,179,20012,..,4449,503,4949,50,5000,..,2761,338,3102,29,3130,..,3066,554,3619,33,3646,..,610,174,782,4,788,..,6683,3466,10144,70,10216,..,30069,6466,36535,686,37222,..,167116,30763,197880,2032,199913,..,2422,356,2778,53235,56010,691457,169537,31123,200661,55267,947382,1371373,..,..,..,..,1371373,..,10757,171,10930,76,11004,..,11143,2366,13512,156,13673,..,652,24,683,29,709,..,14738,3938,18676,96,18769,..,34440,10742,45189,243,45430,..,3409,758,4169,26,4195,..,52586,15436,68028,364,68391,..,4505,595,5100,52,5148,..,3919,83,4008,43,4049,..,7993,354,8348,85,8432,..,6973,217,7190,84,7269
SOS51,0,176,..,66,6,68,0,75,..,4,0,4,4,10,..,56,13,66,0,69,..,213,17,223,4,229,..,90,18,109,0,110,..,42,3,42,0,42,..,49,4,51,0,51,..,946,36,981,7,989,..,356,23,379,3,385,..,1201,51,1250,22,1268,..,542,98,639,7,644,..,3045,207,3251,43,3295,..,268,11,280,3,284,..,123,8,134,3,137,..,573,85,659,12,668,..,11,4,17,0,17,..,201,109,304,6,312,..,2206,395,2599,68,2666,..,13418,1665,15082,288,15367,..,559,50,610,14846,15459,150812,13977,1717,15691,15130,181632,300035,..,..,..,..,300035,..,2293,42,2335,17,2351,..,272,35,307,0,307,..,1866,90,1956,111,2071,..,317,92,412,5,415,..,1084,515,1597,18,1613,..,67,36,101,0,102,..,1471,639,2109,19,2134,..,175,13,189,3,189,..,553,25,571,12,586,..,700,34,732,10,743,..,1067,33,1103,19,1114
SOS52,0,15,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,4,..,20,0,18,0,21,..,13,0,13,0,13,..,8,0,8,0,8,..,8,0,8,0,8,..,124,4,131,0,132,..,20,3,24,0,24,..,135,0,142,3,145,..,30,0,30,0,30,..,315,10,331,6,333,..,23,0,26,3,25,..,6,0,6,0,6,..,49,6,49,0,53,..,0,0,0,0,0,..,15,8,20,0,20,..,233,28,259,14,269,..,3218,376,3591,124,3707,..,91,22,113,3092,3204,25369,3310,397,3703,3212,32279,51471,..,..,..,..,51471,..,180,6,186,0,186,..,26,0,30,0,30,..,3683,467,4156,190,4344,..,17,9,29,3,30,..,110,81,184,0,187,..,14,3,13,0,13,..,135,91,224,3,227,..,26,3,24,0,24,..,125,3,125,4,132,..,78,3,84,0,85,..,168,7,173,0,180
SOS53,0,14,..,26,4,30,0,30,..,4,0,4,0,4,..,6,0,8,0,8,..,59,3,59,0,59,..,37,0,38,0,38,..,3,0,3,0,3,..,15,0,14,0,14,..,88,5,93,0,90,..,66,3,69,0,69,..,103,3,104,0,104,..,43,0,43,0,43,..,296,13,305,0,308,..,83,4,85,0,85,..,11,0,11,0,11,..,110,15,126,4,132,..,4,0,4,0,4,..,99,84,183,0,183,..,469,63,538,21,557,..,4350,504,4856,114,4963,..,170,12,178,6283,6467,60822,4515,523,5038,6399,72257,134030,..,..,..,..,134030,..,632,11,645,9,655,..,93,14,107,5,116,..,2661,308,2968,123,3088,..,82,17,103,0,103,..,386,131,519,5,519,..,30,7,42,0,42,..,500,161,656,5,660,..,168,11,184,4,190,..,309,5,313,0,313,..,270,12,287,6,286,..,687,13,702,11,710
SOS57,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,8,8,14,3,0,3,8,26,309,..,..,..,..,309,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3
SOS59,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,8,0,8,..,6,0,6,0,6,..,14,3,18,0,18,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,47,3,47,0,51,..,235,40,268,9,281,..,3,0,8,575,582,1559,240,40,275,578,2415,3819,..,..,..,..,3819,..,12,0,12,0,12,..,4,0,4,0,4,..,32,0,32,0,35,..,14,10,21,0,25,..,49,38,82,4,87,..,6,0,6,0,6,..,62,45,109,3,114,..,0,0,0,0,3,..,22,4,27,0,27,..,40,5,49,0,49,..,40,0,46,0,46
SOS60,0,150,..,3,0,3,0,3,..,3,0,3,0,3,..,91,61,149,0,149,..,232,31,266,4,268,..,64,5,69,0,69,..,7,0,7,0,7,..,49,7,53,0,51,..,97,0,97,0,97,..,52,9,60,0,60,..,182,3,189,3,189,..,82,0,82,0,82,..,417,10,430,3,435,..,231,28,262,5,268,..,83,7,84,0,84,..,149,27,176,3,174,..,21,7,27,0,27,..,111,42,151,6,152,..,938,306,1238,33,1269,..,6930,1328,8261,108,8369,..,234,16,253,4946,5196,78481,7171,1345,8514,5051,92047,151512,..,..,..,..,151512,..,155,4,158,0,155,..,444,92,534,0,533,..,32,0,32,0,32,..,520,120,637,4,644,..,2273,445,2716,21,2735,..,173,46,215,8,219,..,2961,610,3570,29,3598,..,176,24,203,0,203,..,281,3,286,3,293,..,416,12,427,3,427,..,636,10,646,10,657
SOS61,0,64,..,4,0,4,0,4,..,3,0,4,0,4,..,50,91,147,0,147,..,70,3,77,0,77,..,46,11,56,0,56,..,7,0,7,0,7,..,10,0,14,0,14,..,97,3,97,0,97,..,46,0,51,0,51,..,202,6,204,6,213,..,50,0,54,0,56,..,399,9,411,9,418,..,119,14,138,0,138,..,51,4,56,0,55,..,105,18,124,0,120,..,5,0,8,0,8,..,64,23,88,3,89,..,585,192,773,17,794,..,3464,806,4271,50,4328,..,296,14,310,6263,6570,93809,3761,823,4584,6317,104702,180287,..,..,..,..,180287,..,117,0,119,0,119,..,221,37,257,7,267,..,23,0,23,0,20,..,203,68,272,8,279,..,795,183,976,13,990,..,33,8,45,0,45,..,1035,265,1295,20,1316,..,43,3,46,0,46,..,332,8,340,0,343,..,196,10,209,3,207,..,379,7,388,9,397
SOS62,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,9,0,9,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,18,..,12,0,12,0,12,..,19,0,19,0,19,..,7,0,7,0,7,..,57,0,56,0,54,..,8,0,9,0,9,..,3,0,3,0,3,..,10,3,14,0,14,..,3,0,3,0,3,..,3,0,3,0,3,..,58,8,62,4,66,..,360,32,390,8,398,..,27,0,31,1076,1100,14069,385,31,422,1082,15573,28089,..,..,..,..,28089,..,28,4,30,0,30,..,12,0,16,0,16,..,0,0,0,0,0,..,12,0,10,0,8,..,35,8,50,0,50,..,3,0,3,0,3,..,47,9,60,0,63,..,6,3,10,0,10,..,51,0,54,0,54,..,50,0,49,0,55,..,113,3,118,3,121
SOS63,0,34,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,32,4,40,0,40,..,36,3,40,0,45,..,0,0,0,0,0,..,0,0,0,0,0,..,28,0,28,0,28,..,12,0,17,0,17,..,48,3,50,0,50,..,10,0,10,0,10,..,100,8,106,0,106,..,62,3,69,0,69,..,3,0,3,0,3,..,25,5,29,0,29,..,7,0,7,0,7,..,10,0,10,0,9,..,195,33,224,3,231,..,1161,93,1256,17,1274,..,100,0,98,2984,3084,43386,1256,97,1353,3000,47741,89793,..,..,..,..,89793,..,62,5,63,0,63,..,16,0,19,0,19,..,14,0,12,0,15,..,30,3,33,3,29,..,134,43,181,4,184,..,4,3,7,0,7,..,168,49,214,9,218,..,10,0,11,0,11,..,207,0,209,3,217,..,124,3,123,0,123,..,379,12,394,3,396
SOS67,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,18,0,0,0,0,21,60,..,..,..,..,60,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
