SOS_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SOS29,0,0,0,3,6,0,7,0,0,0,0,0,0,3,0,25,0,0,0,4,0,0,0,5,0,0,0,0,0,3,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,5,3,0,0,0,0,0,0,3,26,0,11,27,47,32,15,11,8,5,7,3,8,46,49,39,306,0,0,0,3,0,3,3,3,0,0,0,0,3,17,5,47,0,0,0,0,11,16,9,8,7,4,0,8,7,0,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,13,24,32,52,60,11,24,16,41,63,80,89,519,3,35,61,104,113,130,178,195,49,54,81,109,221,375,305,2011
SOS30,13,46,284,872,2213,2500,10602,9359,1237,1320,1017,901,933,537,482,32329,3,68,217,600,489,1297,1322,2121,411,634,406,292,287,259,168,8574,0,3,12,93,403,1102,1617,2041,402,355,422,479,540,333,381,8191,0,4,53,283,117,149,171,50,7,14,4,12,10,11,13,898,0,8,19,247,126,191,242,186,43,49,39,26,46,29,63,1323,521,8458,19075,32421,16425,16363,23219,23193,3700,3806,2971,2599,2494,1386,4528,161170,10,148,319,1425,1030,1507,2666,2183,599,561,582,679,777,568,387,13445,4,8,19,345,5002,4550,1983,2313,460,539,700,611,560,348,615,18055,0,11,68,116,729,637,2318,1814,185,154,159,140,146,100,92,6658,221,2208,4661,12564,11031,19219,27466,25229,5255,6227,7512,7209,8096,5940,5517,148349,1409,22001,38767,69684,75236,104641,154609,156656,30291,32860,33340,32409,33264,22407,27839,835416
SOS31,4,10,70,143,288,237,1415,1903,242,321,171,136,113,45,100,5193,0,12,37,61,24,45,54,295,78,183,44,44,56,32,30,987,0,0,0,20,47,135,222,289,82,59,67,68,70,44,73,1176,0,0,4,8,3,4,11,0,0,0,0,5,0,0,0,32,0,0,0,18,15,31,15,16,3,3,0,3,3,0,10,120,153,2465,5177,7970,3157,2475,2982,2914,415,464,391,360,423,223,1107,30660,0,32,86,322,194,225,324,327,92,86,64,71,59,33,61,1977,0,3,0,8,65,100,123,428,36,34,61,88,64,34,70,1099,0,0,21,18,116,75,433,553,46,69,27,40,27,15,20,1460,57,437,1072,2138,1229,1228,1614,2399,516,595,572,556,762,438,919,14536,421,5871,9684,14919,11797,11157,14997,18714,3861,4356,3582,3376,3612,1998,4840,113185
SOS32,0,0,15,32,44,41,137,156,3,21,8,7,7,3,6,483,0,0,11,6,3,3,3,3,0,7,0,0,0,0,0,29,0,0,0,0,8,16,30,28,12,5,14,4,6,12,11,153,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,17,470,967,1501,571,457,561,496,51,41,45,39,57,10,187,5466,0,5,21,91,35,39,62,41,6,11,6,4,3,12,21,354,0,0,0,0,0,9,9,9,0,0,4,3,4,0,3,38,0,0,8,3,30,24,52,36,8,0,0,3,0,0,3,167,10,81,213,389,279,225,232,160,33,37,43,48,42,27,150,1971,48,1083,1830,2884,2204,1855,2063,1700,252,279,257,224,260,150,699,15782
SOS33,0,8,53,96,176,179,631,568,79,74,62,49,35,18,58,2077,0,0,18,30,8,28,19,15,9,3,7,10,5,7,3,157,0,0,0,4,22,88,68,105,18,14,21,29,30,13,27,446,0,0,0,12,3,0,0,0,0,0,3,0,0,0,3,20,0,0,3,17,5,4,0,0,0,0,0,0,0,0,4,40,24,1104,2642,4265,1719,1595,1901,1380,223,175,133,117,131,63,622,16085,3,21,58,254,145,162,239,171,21,29,26,26,16,4,40,1216,0,0,3,13,61,82,36,43,10,6,11,8,10,3,28,327,0,3,14,17,116,69,216,93,16,13,7,4,7,4,7,578,22,218,597,1302,818,812,786,599,113,124,98,136,156,117,354,6249,115,2810,5139,8480,6945,6131,6965,5003,893,860,718,726,752,490,2273,48299
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,8,4,3,0,3,3,3,0,0,0,0,0,9,40
SOS39,0,0,0,6,4,3,14,9,0,0,0,0,3,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,12,0,0,0,0,0,0,0,3,0,0,0,0,3,5,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,46,109,169,83,62,55,35,4,9,9,16,122,188,67,972,0,0,3,4,9,3,8,5,0,0,0,0,7,24,5,67,0,0,0,0,3,0,0,6,0,0,0,5,0,3,0,28,0,0,0,0,0,0,8,0,0,0,0,3,0,0,3,16,0,10,18,39,29,22,42,38,9,5,22,50,123,110,93,616,0,99,190,297,260,242,280,203,46,56,84,154,401,514,338,3157
SOS40,3,14,123,250,335,416,1442,1338,232,232,173,98,134,111,97,4999,0,18,52,127,202,262,330,875,242,442,273,125,268,163,54,3433,0,0,10,15,294,440,465,438,77,105,78,87,106,58,111,2286,3,43,53,110,28,38,37,10,8,0,5,0,0,0,9,356,0,15,35,128,35,71,78,66,4,5,14,13,7,7,13,487,256,4993,17454,26171,6607,5713,6348,7909,1282,1496,935,772,727,378,2178,83212,4,20,97,431,324,389,657,470,107,147,143,143,156,114,83,3279,0,0,3,123,4199,3653,1353,1442,273,311,398,379,466,351,421,13376,0,4,31,23,66,79,272,312,48,65,57,29,43,37,16,1068,90,2350,2373,3872,3540,5600,9651,11116,2373,2562,3166,2919,3163,2467,1727,56956,693,18445,38141,41869,24316,28118,36800,53004,9721,11368,12118,12229,13864,8940,9611,319239
SOS41,0,6,36,47,72,42,275,352,44,91,60,44,28,23,19,1128,0,4,7,13,15,13,12,90,15,49,27,9,20,4,7,284,0,0,0,6,17,38,72,124,22,9,44,25,18,11,18,397,0,0,4,10,0,0,0,0,0,3,0,0,0,0,0,19,0,3,0,21,11,13,5,4,0,0,0,0,0,0,3,60,63,1445,5212,7729,1477,1068,1053,1252,144,246,134,113,89,47,717,20778,0,15,22,102,54,93,119,113,17,33,16,21,24,3,20,658,0,0,0,17,36,36,47,106,7,11,12,37,27,32,31,402,0,0,14,7,16,4,62,108,13,12,16,14,7,5,12,288,17,311,460,601,283,252,395,691,211,212,204,139,229,117,303,4432,136,3469,7926,9984,3172,2584,3490,4756,820,1118,985,886,952,443,1766,42501
SOS42,0,0,5,13,5,12,34,31,7,13,6,3,4,7,4,150,0,0,0,3,4,0,3,0,0,5,0,0,0,0,0,17,0,0,0,0,0,3,8,12,0,5,7,9,3,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,10,242,827,1179,245,157,135,155,10,17,14,11,3,3,130,3128,0,0,6,19,13,7,26,13,0,0,3,0,0,3,0,83,0,0,0,0,11,24,9,15,0,0,0,3,5,0,3,73,0,0,0,0,0,3,6,11,0,0,0,0,0,0,0,27,0,45,82,103,50,25,34,30,13,6,17,15,27,14,40,507,20,516,1216,1536,517,382,393,442,60,83,78,88,94,51,256,5724
SOS43,0,0,16,22,26,13,82,71,26,22,8,4,4,9,14,317,0,0,3,3,8,0,4,3,0,13,8,0,3,0,9,48,0,0,0,3,5,23,20,22,7,4,5,6,5,0,6,113,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,5,6,3,0,0,3,0,0,0,0,3,39,11,436,2046,2702,609,471,536,446,42,66,52,26,24,22,337,7820,0,3,10,72,39,52,71,31,11,3,3,3,3,4,17,330,0,0,0,4,133,158,47,48,13,0,8,12,7,3,35,472,0,0,5,3,14,7,15,34,4,9,0,0,3,3,4,99,8,120,179,268,141,163,181,124,39,18,33,38,43,18,89,1467,28,1281,3363,3784,1572,1398,1495,1216,248,215,191,193,161,113,779,16025
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SOS49,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,31,18,15,4,6,0,0,0,0,20,21,15,171,0,0,0,0,0,3,0,0,0,0,0,0,3,6,3,11,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,0,12,13,0,5,4,8,21,18,20,116,0,20,41,50,45,39,35,54,12,9,16,34,82,91,71,605
SOS50,13,39,276,699,2529,3262,9146,10788,1725,1863,1274,993,839,448,520,34404,14,96,99,369,340,973,967,1806,381,671,551,368,255,202,132,7237,0,6,9,66,436,828,1150,1871,314,335,342,336,347,210,227,6480,7,108,155,871,361,646,348,187,17,37,29,24,19,27,94,2939,0,14,9,123,84,180,304,174,57,45,51,17,26,16,38,1130,525,5756,14030,44246,22366,24317,25329,26705,5631,6447,4713,3646,2798,1339,4729,192576,7,61,173,793,705,938,1408,1289,364,412,317,357,370,229,264,7674,0,6,9,84,4012,3965,1604,1943,363,443,631,515,509,308,565,14941,0,10,77,101,982,890,2307,3126,344,494,330,248,271,139,128,9460,103,1501,2410,9153,6086,11914,18285,21265,3925,5176,5191,4984,5178,3376,2874,101429,1207,18702,28721,75641,60658,83945,105224,134137,29230,35131,29462,25840,24443,14341,19028,685713
SOS51,3,10,43,110,223,208,1014,1753,339,323,198,162,120,41,84,4617,5,13,8,12,11,23,36,124,35,26,44,35,25,17,5,409,0,0,0,6,30,87,182,317,57,51,68,56,73,25,79,1029,3,13,3,15,14,18,11,0,0,0,0,0,0,0,3,80,0,0,0,7,6,4,15,6,3,3,0,5,4,0,0,48,119,1170,2499,6871,2537,2138,2078,2468,590,635,418,277,219,105,854,22980,0,4,29,158,106,103,143,119,46,37,31,48,44,35,27,935,0,0,0,9,55,84,51,87,17,21,40,30,44,11,29,470,0,0,12,24,132,105,381,524,81,61,79,43,51,22,28,1543,15,229,291,697,419,467,785,1454,296,429,428,338,351,190,337,6723,207,3027,4005,9670,6192,6410,8413,13640,3154,3613,2928,2283,2188,1148,2865,69755
