SOS_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,221,718,40,45300,5654,855,276,5086,620,3346,276,1237,425,2483,21587,41850,430,64,258,469,110,222,61,78,135,340,960,3126,85845,13802,2759,106524,12650,69568,3676,18430,4382,27812,23229,368678
SOS31,67,104,19,6344,1302,210,73,1308,136,889,75,347,139,713,6888,12087,103,26,64,108,20,73,18,16,52,150,316,947,17816,2998,811,23707,2785,16400,1024,4505,1362,8048,7449,86907
SOS32,15,19,0,763,270,49,18,242,27,186,21,77,24,173,1025,2104,23,5,8,25,9,17,3,6,12,30,62,199,2628,561,144,3551,398,2411,200,830,228,1727,1137,13822
SOS33,39,72,13,4118,1290,232,71,1157,112,580,56,242,85,430,3567,7820,120,9,79,116,27,66,7,10,30,62,179,712,11490,2005,545,14042,1411,7935,605,2304,724,4116,3912,49083
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,64,199,14,12889,1903,380,92,2273,215,1233,119,507,145,1108,6695,14671,98,21,69,166,28,67,12,22,38,159,302,966,24757,6085,1070,41490,4469,22814,1491,8026,1448,12877,7250,131777
SOS41,3,30,0,2007,512,114,29,651,52,290,30,129,37,201,1971,4024,30,3,19,30,16,6,0,12,8,47,68,244,5720,1400,318,10244,1085,5034,407,1672,394,2498,2117,30888
SOS42,3,3,0,228,101,34,9,107,10,51,5,24,7,57,342,748,7,0,0,7,0,3,0,3,0,14,18,54,845,280,58,1690,163,799,81,313,64,482,374,5144
SOS43,5,20,4,1256,414,73,34,506,31,193,27,61,27,132,1008,2510,28,5,12,32,4,15,7,3,10,18,79,217,3557,854,242,5947,516,2505,213,688,206,1056,1138,16923
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,291,652,29,36242,3051,608,214,3686,378,2379,198,885,337,1590,18947,32266,202,55,117,283,61,153,37,43,79,215,559,1802,40348,8703,1759,67716,7037,50015,2513,12042,3262,16622,19879,229904
SOS51,44,48,8,4399,623,111,46,693,77,403,56,129,66,256,3829,6300,47,9,16,51,6,25,11,3,26,60,135,394,6950,1392,440,11579,1291,8000,597,1668,718,2372,4053,39070
SOS52,4,12,0,430,133,23,12,125,21,85,10,36,22,115,523,1103,9,0,8,9,3,5,0,8,3,25,68,137,891,233,73,1458,171,1213,85,361,152,870,612,6120
SOS53,20,25,4,1894,503,93,23,533,37,252,34,87,31,149,1528,3281,45,4,24,48,6,17,0,4,8,24,90,270,3365,806,203,5259,404,2916,240,790,263,1115,1677,17041
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,7,35,5,1751,285,57,11,352,21,142,19,75,27,142,878,2002,11,3,8,14,3,3,0,6,10,31,28,114,3486,982,132,6027,686,2562,233,1007,181,1566,946,17813
SOS61,5,21,4,870,300,68,11,405,34,178,16,79,28,179,960,2265,10,3,14,22,3,14,5,7,14,43,48,173,3195,924,148,6293,634,3186,275,1189,286,2034,1088,19250
SOS62,0,4,0,141,50,15,8,88,4,37,3,22,8,29,163,422,3,0,0,3,0,0,0,0,0,5,12,28,471,151,40,945,109,513,48,212,57,254,198,2986
SOS63,3,5,10,574,253,68,18,324,26,141,9,80,28,103,608,1659,13,0,13,13,0,10,7,5,6,16,33,101,2074,646,148,3645,336,1644,172,699,154,1004,710,11233
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,15,22,3,2385,297,23,14,119,27,124,10,26,26,61,848,1576,24,0,19,11,3,12,0,3,9,11,40,136,4225,297,164,2727,582,2635,123,395,205,615,925,12891
SOS71,4,0,0,436,130,16,7,42,7,41,3,27,9,117,295,687,6,0,4,0,0,5,0,4,3,21,70,114,1367,117,60,819,163,719,42,190,63,937,389,4868
SOS72,0,0,0,102,33,6,0,18,3,26,0,33,17,114,78,317,9,11,9,5,3,8,3,25,11,118,69,261,306,85,30,225,51,382,13,222,66,1060,168,2611
SOS73,5,5,3,462,106,14,3,39,8,42,3,17,6,43,201,485,9,0,6,5,0,8,0,0,0,20,43,98,1040,110,57,616,125,473,41,163,47,512,261,3445
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,39,145,21,11578,913,75,37,542,106,343,25,106,49,240,2554,4987,50,4,23,31,13,22,0,0,7,16,71,241,14591,1699,506,13316,2489,7422,533,1664,423,2469,2746,47864
SOS82,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0,8,0,3,0,3,0,40
SOS83,0,0,0,27,3,0,0,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,26,4,3,42,6,14,0,0,0,3,4,106
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,26,3,0,0,4,0,4,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,46,5,3,38,5,37,3,8,0,3,13,156
SOS92,0,0,0,7,9,0,0,3,0,3,0,0,0,4,12,28,0,0,0,0,0,0,3,0,0,0,0,3,42,7,3,34,3,32,5,9,6,16,12,163
SOS93,0,0,0,0,6,0,0,4,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,3,34,3,0,35,5,6,0,3,0,6,11,108
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
