RA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
RA40,2138,530,7413,2915,2116,2094,694,1867,181,19945,36,48,47,70,51,56,29,110,29,469,629,995,492,700,716,314,400,381,166,4795,698,766,1232,979,890,811,660,1109,1123,8268,44754,115565,55140,47489,44583,21795,12269,20918,5017,367534
RA41,439,84,1351,490,321,361,140,451,30,3663,14,3,8,11,12,5,3,26,3,86,101,100,78,71,63,32,91,75,32,650,269,137,351,240,174,182,212,406,156,2129,8051,13058,10659,7860,6139,3452,2699,4996,704,57635
RA42,309,35,829,324,192,259,132,366,27,2473,6,6,7,9,10,3,10,38,8,97,59,42,40,46,32,16,58,51,13,363,285,101,230,183,115,179,219,349,159,1809,6380,8048,7014,5495,3644,2031,2473,3832,600,39506
RA43,98,13,275,105,62,83,36,91,3,758,0,3,0,0,0,4,0,3,0,15,11,16,11,10,12,3,16,13,6,98,93,22,64,46,32,49,36,82,41,467,1977,2284,2216,1330,1051,584,656,1016,173,11287
RA44,33,5,57,18,15,9,19,13,0,168,0,0,0,0,0,0,0,0,0,3,9,3,3,3,3,0,3,10,3,34,33,31,12,36,11,8,15,23,21,191,539,631,490,432,252,116,180,283,68,2979
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA49,3,0,6,0,0,7,0,8,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,8,10,3,25,35,96,77,32,34,20,36,109,7,444
RA50,3510,957,11667,5274,4086,3392,1977,2871,315,34045,70,69,151,127,98,109,115,222,23,991,945,1461,1036,1003,945,454,682,536,278,7341,1118,1223,2305,1421,1389,1157,1319,1663,2050,13648,76806,187729,108624,67451,71616,34858,26184,33180,9031,615478
RA51,413,75,1297,529,363,325,305,489,43,3848,3,3,15,12,5,10,3,22,11,90,80,115,97,78,66,40,97,51,25,659,224,106,399,198,188,191,256,338,226,2126,7016,12275,13816,6849,5897,3285,3825,4903,876,58745
RA52,303,70,869,368,303,250,213,310,22,2717,12,5,16,7,6,12,9,19,3,96,62,82,68,96,45,26,77,67,25,541,235,96,312,189,124,134,274,315,187,1878,6941,10163,9990,5559,4546,2309,3265,3843,723,47332
RA53,201,45,404,200,203,106,101,146,10,1430,4,8,5,4,7,3,6,8,0,54,38,43,47,43,31,11,76,22,9,313,144,64,211,91,104,87,129,166,122,1110,3933,4933,5902,2354,2598,1062,1789,1833,474,24881
RA54,119,20,354,113,97,57,188,168,8,1123,3,5,3,4,8,0,6,8,0,38,27,32,39,30,22,6,72,21,13,269,70,61,156,105,52,26,130,134,119,854,2213,3702,6148,1582,1411,414,2342,1789,365,19960
RA55,0,0,15,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,13,78,73,0,4,0,21,55,9,250
RA59,3,5,29,8,6,4,8,17,3,85,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,9,7,0,22,0,0,9,3,0,0,9,9,8,42,73,214,279,110,77,41,139,193,42,1169
RA61,685,149,2399,1029,684,621,216,577,62,6418,8,15,13,17,17,15,10,30,11,134,192,309,136,184,209,74,79,93,50,1319,221,244,425,325,285,236,242,407,295,2678,11908,29538,15874,12874,11874,5338,3053,4967,1427,96844
RA62,267,60,902,381,237,248,114,340,21,2561,9,3,5,4,3,5,10,6,9,57,73,76,47,46,37,26,45,44,9,403,234,95,278,189,130,175,216,353,157,1819,5518,7753,7084,4866,3670,1914,1986,3253,640,36693
RA63,23,4,71,36,7,7,9,30,4,195,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,20,3,6,3,4,11,7,21,10,83,329,256,327,193,135,85,113,195,28,1661
RA64,7,0,14,5,4,0,0,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,5,3,3,6,0,13,9,49,216,112,122,60,60,33,27,110,18,746
RA65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
RA69,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,7,45,31,22,13,4,5,23,3,149
RA72,276,88,846,433,378,207,148,222,38,2639,7,7,18,11,12,3,10,31,10,109,113,124,108,183,96,27,67,60,32,814,150,116,281,180,177,117,138,207,253,1617,6519,12574,9825,5877,6132,2160,1970,2735,925,48723
RA73,87,42,220,127,125,67,28,68,6,781,3,3,3,3,0,4,3,7,0,26,24,57,31,69,28,5,14,13,13,257,59,55,70,97,68,20,59,66,69,555,1704,3902,2038,2092,1554,505,464,708,282,13247
RA74,46,23,106,59,44,24,12,32,10,353,4,3,3,0,0,0,0,0,3,16,20,17,3,30,13,7,5,10,7,109,34,102,40,128,40,42,28,114,143,671,892,1830,782,1175,598,214,252,583,263,6579
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,18
RA79,0,0,9,4,0,0,4,7,0,24,0,0,18,3,0,0,0,0,0,20,0,0,3,0,0,0,0,3,0,9,0,0,4,0,0,0,0,3,0,11,28,102,85,54,22,12,31,54,4,387
RA80,655,246,2025,811,909,400,147,313,85,5601,10,18,9,13,6,13,3,30,4,105,586,677,141,312,504,94,66,94,133,2603,277,378,285,263,349,148,89,184,422,2391,26554,57015,14283,13464,22979,5438,2085,4237,3577,149626
RA81,3,0,3,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,4,0,9,61,70,49,34,31,4,5,9,6,275
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,47,11,21,29,7,3,8,9,139
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,3,0,9,33,17,5,20,3,0,3,5,4,96
RA94,11,0,33,10,12,8,10,7,0,88,0,0,0,0,0,0,0,0,0,5,3,0,11,0,3,0,3,0,0,20,12,4,14,13,9,4,10,10,8,84,205,193,272,175,146,53,61,108,27,1244
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
