RA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
RA52,21147,689,48,539,148,22563,20520,515,44,134,89,21307,5572,1356,279,19,22,7244,2037,942,189,23,21,3206,5138,427,70,50,31,5717,214,265,101,23,3,599,1627,224,50,177,42,2114,620,52,13,12,3,710,15206,3260,697,295,126,19586,455,137,3,35,8,645,1493,219,48,69,51,1887,58826,4821,844,1073,426,65993
RA53,5686,136,41,398,71,6334,5195,130,61,55,42,5477,3056,542,511,29,11,4142,1824,384,115,0,37,2357,1787,134,85,35,25,2071,127,64,19,3,3,222,4009,480,291,130,79,4992,453,31,17,21,18,535,11255,1637,1035,213,173,14318,253,18,10,13,5,304,579,92,57,58,46,837,22969,2018,1199,743,336,27262
RA54,1912,19,17,625,58,2643,1647,28,19,73,31,1797,927,144,70,13,7,1157,2989,320,101,14,16,3430,749,46,24,82,15,917,494,36,15,4,10,551,3039,298,112,172,41,3662,268,22,11,32,13,349,8468,867,329,314,91,10066,125,7,9,35,14,184,501,87,15,150,64,824,12666,1001,390,1199,262,15516
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,40619,1577,1380,184,86,43840,43122,1148,1045,100,84,45495,10988,2327,3551,79,54,17004,4367,1546,1388,3,4,7307,8204,1268,1829,94,68,11467,560,433,368,3,8,1370,717,203,222,57,14,1208,469,98,95,10,0,669,25306,5883,7455,234,152,39026,728,237,188,3,7,1165,2522,396,362,36,48,3368,112304,9234,10424,563,375,132896
RA62,23958,327,95,297,93,24766,19440,100,35,101,98,19773,4196,471,216,34,18,4931,1283,482,127,0,3,1897,4458,261,118,61,29,4927,224,151,59,0,3,436,844,64,30,58,17,1006,497,34,16,19,9,574,11497,1459,568,174,78,13774,402,53,7,7,6,475,1451,114,48,36,30,1684,56753,2049,753,618,311,60479
RA63,1356,25,5,6,9,1398,701,17,6,5,8,732,242,12,22,0,0,276,27,3,5,0,0,38,264,9,5,0,3,280,9,0,7,0,0,12,173,3,17,3,0,198,62,0,3,0,0,68,784,22,60,4,5,879,28,0,0,0,0,34,104,4,4,3,3,118,2969,68,69,17,26,3152
RA64,423,5,0,3,9,435,210,3,0,3,8,218,19,0,0,0,0,19,22,6,3,0,0,37,137,4,5,0,3,151,24,3,0,0,0,33,73,6,0,0,3,83,25,0,0,0,0,29,309,21,14,0,9,355,3,0,0,0,0,5,31,3,0,0,3,38,976,32,15,3,23,1053
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
