RA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
RA61,3399,2905,2165,1128,426,230,15351,1221,2932,2975,2978,2523,1204,320,99,14255,261,696,633,518,387,278,117,44,2928,914,1496,1132,925,551,384,118,39,5552,41,17,18,16,37,63,38,25,249,51,179,197,188,176,85,40,13,924,1645,1434,1402,1574,1768,1938,1639,1020,12413,7074,15615,15252,14647,13168,8571,4373,2068,80769,296,1098,1192,1015,827,551,179,74,5235,433,1187,853,551,335,140,25,3,3526,1253,3244,3529,4007,3979,3087,1661,559,21310,891,2168,1588,1797,1704,1097,616,197,10054,259,676,846,785,565,269,134,42,3561,941,3110,2895,3257,3273,2018,926,347,16778,293,1931,2392,2446,3092,2085,1000,320,13557,2072,5595,5306,4869,3851,2210,850,367,25118,1700,4023,4080,4113,3643,1994,557,172,20281,467,1203,1078,856,670,513,204,74,5068,1312,2327,1939,1544,976,627,225,61,9012,87,48,41,36,69,103,69,27,483,119,358,425,422,384,215,105,48,2063,3459,3190,2993,3400,3567,3621,2859,1543,24618,13585,30144,29147,29092
RA62,1126,1216,1012,523,128,46,5537,447,871,1032,1287,1210,508,92,21,5465,54,158,185,221,213,145,46,13,1030,409,638,535,429,306,201,43,17,2560,17,6,5,16,22,32,22,9,131,11,37,60,73,78,37,17,8,315,820,585,723,975,1076,1197,858,319,6555,2660,4822,5498,6456,6556,4395,1935,642,32959,31,150,236,258,264,234,69,19,1263,87,155,166,166,134,63,13,0,787,684,1532,1757,2267,2492,1840,815,195,11579,367,648,574,768,971,580,276,40,4225,297,611,733,713,493,269,106,27,3248,262,759,816,1235,1618,953,379,111,6131,117,572,851,958,1313,1091,438,93,5429,543,1358,1580,1766,1596,941,232,75,8094,537,1037,1294,1628,1592,847,190,33,7163,91,238,287,308,349,267,90,15,1650,548,878,818,703,561,372,102,24,4006,28,17,16,25,54,51,44,24,248,34,86,123,178,176,126,50,14,771,1770,1232,1476,2082,2317,2429,1584,545,13442,5404,9268,10725,13045
RA63,43,51,58,25,8,0,241,15,41,33,46,32,14,9,0,197,0,7,6,7,16,3,4,0,47,20,46,39,16,28,6,3,0,162,0,0,0,0,0,0,3,0,3,0,3,0,3,3,4,0,0,16,38,41,34,55,72,86,45,29,401,122,258,217,264,331,241,96,36,1564,0,7,10,15,7,9,8,0,60,0,3,3,10,10,3,0,0,33,24,82,98,141,175,118,55,6,698,10,18,21,47,44,42,17,3,199,19,41,25,38,27,12,7,0,166,8,30,20,52,72,54,18,8,256,8,30,26,31,58,53,13,4,226,27,63,57,65,80,52,11,3,361,15,40,42,68,44,28,13,0,255,3,9,9,10,14,8,3,0,67,29,73,68,37,48,22,7,0,276,0,0,0,0,0,0,4,0,10,0,7,0,5,6,3,3,0,30,79,85,79,123,150,177,82,45,823,226,496,471,642
RA64,19,19,18,15,3,0,94,4,14,9,13,19,4,4,0,66,0,0,0,3,4,3,0,0,17,3,3,8,7,6,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,20,14,6,20,19,17,10,4,109,39,104,71,85,129,79,40,13,570,0,3,4,4,4,3,0,3,20,0,0,0,0,0,0,0,0,3,14,36,31,39,47,40,14,7,227,3,11,7,11,27,10,10,0,86,13,21,20,16,23,6,6,0,105,5,21,12,12,35,16,8,8,120,0,18,19,16,33,25,10,0,120,9,21,19,27,30,20,8,0,131,6,15,5,13,29,10,10,0,83,0,0,7,4,4,6,3,0,28,3,9,14,11,14,9,0,0,66,0,0,0,0,0,0,0,0,3,0,0,3,0,6,3,0,0,14,31,22,17,41,44,40,23,7,233,90,189,164,194
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,3,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,6,19,6,5
RA69,13,4,5,0,0,0,29,3,9,4,3,7,3,0,0,27,0,7,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,12,7,17,6,11,0,0,60,20,47,35,38,46,18,7,0,208,0,7,0,0,3,8,0,0,12,0,3,0,0,0,0,0,0,4,9,17,11,10,9,7,0,0,59,0,3,6,0,6,4,0,0,20,4,3,0,3,0,0,0,0,16,3,7,8,10,11,0,0,0,42,0,3,0,3,4,3,0,0,19,8,11,10,5,7,4,0,0,47,3,9,10,12,12,3,0,0,47,0,10,6,4,0,4,0,0,21,9,12,0,3,0,0,0,0,28,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,7,34,44,34,37,18,13,6,0,186,67,127,93,80
RA72,1845,1335,731,268,56,13,7200,404,1454,1193,962,710,226,55,7,5002,86,336,222,128,81,34,7,3,895,349,694,429,297,127,54,22,6,1976,15,22,11,11,7,8,3,0,80,19,87,95,95,40,23,3,0,368,1076,1633,1177,1024,874,470,201,89,6544,3293,9753,7696,5894,4092,1743,530,150,33137,102,385,447,342,229,106,23,8,1636,175,513,469,214,131,35,3,0,1540,1003,3557,2813,2513,1673,801,254,44,12654,261,1243,832,662,506,276,103,17,3888,106,343,394,277,182,68,13,3,1392,388,2036,1437,1082,840,351,109,31,6271,135,987,1094,1011,884,457,110,18,4696,946,3423,2825,2200,1257,493,100,20,11258,608,2072,1770,1456,1077,407,107,12,7498,151,496,369,219,150,80,15,8,1487,478,1116,732,543,248,107,33,7,3262,39,47,25,21,24,18,4,0,182,74,261,254,220,112,55,11,4,995,2520,4127,3108,2679,2056,1097,406,146,16144,6996,20607,16577,13429
RA73,376,375,247,63,18,7,1627,89,424,313,336,234,57,11,3,1476,26,80,62,43,38,11,7,0,265,102,156,112,100,42,20,5,3,532,3,5,4,3,3,4,4,0,25,6,24,21,28,8,0,0,0,96,527,708,530,596,464,240,72,43,3176,1043,2749,2238,2233,1640,620,193,67,10786,17,92,92,72,51,30,5,0,356,19,85,59,43,40,8,3,0,258,221,612,506,580,487,217,60,13,2703,49,219,182,166,151,76,24,4,865,65,140,166,141,67,22,11,0,614,96,630,504,472,360,136,53,11,2260,33,318,333,349,349,166,45,5,1599,129,662,573,564,395,110,26,10,2471,127,649,542,534,392,109,27,3,2377,56,133,99,78,67,27,11,0,469,160,256,192,188,85,43,11,3,940,7,5,4,7,9,12,4,0,53,20,73,69,67,39,11,3,0,289,1247,1605,1161,1293,992,536,183,65,7079,2249,5474,4488,4551
RA74,160,139,99,29,3,0,701,66,216,170,152,113,21,5,0,738,5,37,26,18,14,3,0,0,101,57,85,47,36,20,7,0,0,252,0,7,3,6,3,0,0,0,27,8,15,16,19,4,3,0,0,69,945,854,634,503,288,121,41,0,3389,1266,1876,1451,1251,896,278,61,3,7091,8,38,31,16,20,3,3,0,110,10,23,10,5,3,0,0,0,62,94,329,269,263,186,83,11,0,1241,38,138,117,93,67,31,8,0,493,119,169,120,95,45,11,3,0,558,45,192,207,209,191,49,5,0,890,31,272,235,267,248,74,9,0,1145,100,302,249,215,164,53,6,0,1083,104,321,275,242,181,34,9,0,1164,13,54,49,33,30,6,3,0,188,89,150,72,68,45,15,0,0,434,4,14,6,10,3,0,0,0,41,19,39,38,41,23,6,0,0,169,2001,1739,1304,1006,615,259,79,11,7030,2684,3777,2995,2563
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,7,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,15,3,27,21,7
RA79,15,12,18,3,0,0,73,10,15,15,9,9,4,0,0,62,5,4,0,3,3,3,0,0,20,3,10,8,4,5,0,0,0,34,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,41,93,73,87,44,32,5,0,368,80,192,144,141,123,62,8,0,740,3,4,8,3,0,3,0,0,20,0,3,0,0,5,0,0,0,13,3,27,24,41,46,34,4,0,179,8,14,11,8,9,16,0,0,70,8,10,8,9,3,0,3,0,36,0,22,15,18,28,6,0,0,92,0,19,6,9,22,14,0,0,72,15,22,27,23,25,14,0,0,123,12,23,22,17,13,9,0,0,89,9,16,3,8,3,3,0,0,28,8,15,11,4,14,7,0,0,51,18,0,0,0,0,0,0,0,20,3,0,0,4,0,3,0,0,9,76,198,156,195,110,72,11,0,823,162,376,295,324
RA80,5999,4713,3116,1786,562,227,24697,2025,6842,5735,4511,3519,2043,603,147,25427,540,1635,1291,901,498,271,115,49,5309,724,1271,936,641,387,225,79,24,4294,51,14,15,16,19,28,22,11,178,89,435,490,391,249,154,64,29,1901,1636,2130,1649,1460,1346,1122,974,930,11239,9381,27760,24316,19371,14961,9310,4043,1924,111062,1039,2831,2544,2352,1889,1334,470,181,12644,974,3919,4075,2745,1602,470,48,0,13834,1071,4122,3946,3605,3060,2251,1142,422,19632,781,2305,1783,1453,1136,826,449,135,8876,249,819,864,702,511,289,144,34,3613,934,4417,3596,3021,2739,1498,796,269,17276,544,2780,2982,2530,2698,2136,949,229,14855,3168,10608,10190,8172,5514,3125,968,366,42107,3148,11002,9317,7502,6218,4182,1335,382,43088,983,2784,2148,1472,884,455,173,68,8967,1063,2212,1672,1121,660,384,142,44,7301,111,31,29,20,39,45,42,22,340,186,755,885,742,508,345,177,78,3674,3410,4681,3657,3150,2612,2162,1740,1323,22731,17669,53277,47690,38587
RA81,14,5,4,0,0,0,39,0,7,12,4,3,3,0,0,37,0,0,3,6,0,0,0,0,13,0,3,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,5,3,8,0,0,0,0,30,13,40,52,39,23,5,0,3,177,0,9,8,0,8,0,0,0,19,0,0,3,3,0,0,0,0,7,6,12,7,5,10,3,0,0,36,0,12,4,7,3,0,0,0,32,0,0,4,4,3,0,0,0,14,0,3,10,3,6,0,0,0,22,4,3,3,4,3,0,0,0,27,0,9,20,15,11,0,0,0,48,4,18,25,8,3,8,0,0,54,0,3,8,6,0,3,0,0,14,0,3,4,3,3,0,4,0,17,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,14,14,16,14,6,0,0,0,65,26,89,102,77
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,7,3,3,0,0,0,30,3,11,9,7,7,0,0,0,37,0,3,7,0,0,0,0,0,6,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,9,5,3,0,0,0,31,34,36,30,18,25,8,0,0,151,0,3,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,11,9,6,6,3,9,0,0,0,31,0,0,0,0,0,0,0,0,6,4,3,0,4,0,0,0,0,13,0,5,7,3,3,0,0,0,20,3,0,0,0,5,4,0,0,15,10,8,8,0,3,0,0,0,37,9,14,10,8,5,3,0,0,55,0,3,3,0,0,0,0,0,11,0,7,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,16,31,20,20,8,0,0,115,58,68,75,54
RA91,4,4,0,0,0,0,16,3,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,3,0,10,0,0,46,20,14,28,14,12,8,0,0,96,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,3,3,3,0,0,0,17,0,0,0,0,3,0,0,0,8,4,0,3,0,0,0,0,0,13,0,0,0,3,0,0,0,0,9,0,3,3,0,3,0,0,0,7,3,7,3,9,0,0,0,0,23,8,6,6,3,3,0,0,0,25,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,22,16,18,18,4,12,5,0,96,41,53,44,42
RA94,58,45,42,17,4,0,216,6,20,20,15,12,7,0,0,77,0,4,3,3,0,0,0,0,23,10,15,10,13,11,0,0,0,57,0,0,0,0,3,0,0,0,5,0,0,0,3,4,0,0,0,11,23,22,21,55,51,27,21,6,227,65,151,174,178,165,81,45,9,874,0,12,18,7,5,4,3,0,48,0,11,6,4,3,0,0,0,23,14,39,55,77,68,40,11,5,313,7,13,21,32,38,13,11,0,129,0,8,13,13,7,3,0,0,46,6,11,17,15,32,17,5,0,111,5,22,34,32,18,16,9,0,138,17,46,76,63,51,26,5,0,293,8,35,34,22,21,16,6,0,139,4,5,7,11,0,6,0,0,30,11,28,30,24,18,4,0,0,109,0,0,0,0,3,0,0,0,5,3,0,8,8,3,3,0,0,25,89,155,114,124,118,69,36,11,714,156,388,430,416
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
RA99,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,5,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,6,0,7,5
