RA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
RA23,8,3,0,0,0,0,13,0,6,0,0,0,0,8,10,8,3,0,4,0,20,3,7,0,3,0,0,7,7,11,3,5,0,0,26,6,8,0,0,0,0,19,9,6,0,4,0,0,19,4,3,0,0,0,0,10,3,8,3,0,0,0,13,3,3,0,0,0,0,4,3,0,0,0,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,7,0,0,0,0,17,63,74,17,13,10,0,185
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,4112,2647,2035,507,756,180,10234,1208,629,596,125,251,24,2831,2082,1239,1152,287,547,64,5372,1704,1140,996,275,457,60,4618,2792,2087,1747,580,856,114,8175,3712,3398,2428,833,1199,142,11718,4817,5273,3238,1176,1370,173,16036,6322,8020,3832,1721,1755,230,21879,6418,9622,3513,1717,1610,222,23109,8131,12944,4242,1961,1715,260,29249,6497,11255,2935,1367,1032,222,23309,10742,18954,5919,1841,1543,328,39334,4849,9734,2275,707,546,111,18226,3714,7220,1839,481,361,91,13708,7311,14547,3951,1015,806,203,27827,8261,16811,4876,1013,868,197,32022,2837,5627,1750,302,276,62,10848,1847,4084,1324,264,192,48,7764,3395,4787,2415,670,793,196,12249,90755,140009,51077,16839,16929,2931,318532
RA31,1531,573,485,135,202,31,2958,563,164,162,45,84,15,1022,1155,410,376,134,213,27,2325,942,442,387,156,159,16,2100,1670,996,761,296,368,42,4120,2162,1749,1031,479,466,47,5926,2551,2697,1204,599,508,49,7600,3139,3784,1292,723,577,83,9601,2825,4021,1160,626,415,65,9113,2969,4780,1439,654,415,81,10327,2029,3554,891,342,207,32,7062,3011,4877,1384,445,291,51,10058,1226,2308,514,175,84,12,4316,772,1436,349,97,64,13,2731,1769,3310,887,242,156,31,6388,1751,3036,913,227,141,17,6093,593,849,264,47,34,4,1790,370,476,178,47,33,4,1108,1474,1270,724,269,253,48,4043,32483,40730,14403,5744,4673,662,98698
RA32,1046,517,329,91,125,17,2118,248,118,82,30,46,4,534,591,296,207,91,119,12,1321,533,298,193,94,102,14,1226,1057,734,420,204,202,21,2639,1327,1137,551,278,277,30,3604,1546,1703,662,356,316,43,4622,1934,2387,795,429,361,51,5958,1702,2471,734,431,307,37,5677,2017,3056,790,458,298,43,6666,1364,2362,526,260,163,19,4694,2164,3326,925,306,232,37,6993,789,1454,310,125,49,19,2745,507,978,209,52,45,12,1797,1185,2151,544,155,96,21,4150,1238,1942,624,136,96,23,4059,397,555,180,35,26,3,1189,284,384,122,36,14,8,848,974,908,398,128,159,40,2616,20913,26775,8593,3694,3041,453,63467
RA33,169,116,51,12,9,4,363,20,4,4,3,3,0,31,41,18,11,8,3,0,87,32,38,15,14,5,0,108,90,53,14,18,11,3,189,112,111,45,27,26,4,329,126,113,39,21,6,3,315,136,149,36,16,9,3,347,87,158,44,22,21,0,328,106,205,41,22,15,5,390,82,147,37,9,10,0,291,146,242,41,24,8,3,464,43,99,18,10,3,4,174,36,76,11,0,4,0,123,77,133,30,8,14,0,259,81,102,29,13,12,0,236,31,45,19,0,5,0,104,33,44,18,3,3,0,101,111,108,53,18,14,0,305,1568,1970,557,240,182,31,4553
RA34,146,68,36,3,13,3,267,11,18,6,7,3,0,39,31,24,9,18,4,0,94,32,38,10,10,0,0,96,64,74,20,22,6,4,187,67,79,17,13,12,5,192,74,96,31,7,3,0,206,55,61,11,8,3,0,149,38,58,8,5,3,0,106,33,42,13,5,3,0,96,17,33,12,5,0,0,67,43,56,13,0,0,0,121,16,30,6,4,0,0,53,9,23,11,3,0,0,43,21,37,11,0,3,0,76,24,48,17,8,0,0,93,8,23,6,0,3,0,41,21,21,3,0,6,0,54,71,62,34,16,3,0,188,796,891,268,126,74,15,2166
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,1875,1203,995,208,425,75,4785,661,326,380,73,178,19,1641,1301,777,871,168,485,53,3652,1111,737,751,194,472,49,3320,1857,1552,1423,496,850,60,6238,2331,2488,1776,772,1036,97,8496,2932,3814,2123,918,1074,123,10986,3458,5665,2297,1087,1157,161,13825,3474,6011,1973,984,899,139,13479,3844,6697,2018,875,796,150,14381,2611,4947,1283,496,412,67,9819,3696,6903,2170,599,564,112,14041,1426,2967,736,210,181,34,5550,976,2041,496,122,100,32,3763,2074,4146,1179,243,206,43,7892,2169,4679,1418,250,267,53,8843,768,1658,547,80,99,15,3168,451,1277,387,70,87,12,2279,1158,1579,946,279,365,112,4440,38164,59472,23772,8140,9645,1413,140597
RA41,462,209,136,27,52,13,901,187,73,58,12,31,5,359,374,135,155,42,68,7,787,321,158,163,49,68,10,758,578,377,297,150,146,10,1556,700,682,387,172,199,12,2158,838,956,424,193,175,15,2592,883,1276,428,225,183,17,3010,780,1196,337,156,108,20,2594,681,1262,346,114,101,16,2516,483,841,215,72,48,7,1671,600,1028,326,72,57,6,2091,244,425,108,26,16,0,825,136,233,69,13,6,0,461,304,568,184,23,33,5,1120,340,530,175,22,28,3,1105,114,155,66,14,8,0,353,67,112,58,9,11,0,258,337,278,158,58,61,9,902,8435,10502,4105,1441,1392,156,26027
RA42,358,204,120,27,44,4,757,143,32,34,5,32,3,254,387,163,122,48,85,14,818,361,194,132,80,95,5,863,608,521,231,180,137,9,1692,678,703,286,219,150,16,2057,665,856,279,145,93,10,2052,576,785,299,139,106,6,1914,377,691,174,65,41,4,1352,346,609,187,51,30,3,1229,174,350,82,23,7,0,634,257,451,106,38,22,3,871,57,136,33,9,8,3,235,37,79,26,6,0,0,149,103,190,47,13,7,0,360,96,172,58,14,10,0,354,44,50,17,3,0,0,122,41,45,21,8,0,0,117,283,247,113,46,45,5,738,5600,6454,2381,1118,916,106,16577
RA43,111,77,31,7,7,4,231,34,10,9,3,5,0,63,83,35,16,13,8,0,156,78,39,12,4,19,0,146,133,87,39,21,15,0,295,131,136,46,29,22,0,377,136,174,45,34,24,5,421,143,189,65,24,9,0,430,136,179,45,21,18,0,395,101,161,43,11,8,0,325,40,106,24,7,9,0,182,75,131,33,3,6,0,240,27,64,5,0,0,0,101,12,35,6,0,3,0,58,38,63,13,0,0,0,122,35,81,19,0,4,0,135,11,19,3,0,0,0,39,5,17,5,0,0,0,30,55,43,26,9,9,0,140,1392,1638,483,193,172,19,3890
RA44,19,10,9,0,0,0,37,9,0,0,3,0,0,16,13,11,3,4,3,0,34,23,21,3,3,3,0,44,27,21,3,3,4,0,56,25,23,7,7,5,0,54,14,32,7,5,3,0,61,28,23,8,5,0,0,72,13,29,9,3,0,0,54,17,18,3,5,0,0,43,10,13,7,0,0,0,25,12,15,3,0,0,0,30,0,3,0,0,0,0,5,0,0,0,0,0,0,3,3,9,0,0,3,0,14,3,9,0,0,0,0,9,0,3,0,0,0,0,3,0,0,0,0,0,0,7,18,8,9,0,0,0,34,224,265,65,42,29,4,627
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,3039,2102,1646,418,675,174,8051,792,415,409,93,175,22,1910,1341,855,812,225,442,45,3726,1153,864,737,209,419,36,3425,1893,1510,1343,453,696,66,5963,2277,2276,1655,628,942,117,7891,3033,3691,2231,781,1101,96,10934,3737,4961,2499,1083,1185,152,13621,3851,5936,2328,1127,1126,182,14556,4970,8090,2695,1378,1255,236,18622,4400,7729,2018,1015,786,184,16132,8313,14244,4351,1473,1320,343,30044,4212,7953,1686,600,509,117,15075,3549,6663,1531,476,322,103,12644,6934,12169,3308,901,708,201,24210,7790,15040,4620,947,791,202,29385,2790,5384,1904,323,286,92,10772,2070,4584,1532,254,213,68,8724,2269,3398,1683,430,604,150,8536,68418,107844,38999,12815,13566,2583,244228
RA51,382,173,114,34,57,15,776,112,58,37,19,11,3,236,226,97,93,33,54,3,498,186,108,70,34,49,3,459,355,201,134,71,90,4,858,448,320,177,115,116,11,1178,530,487,253,126,126,4,1526,595,764,299,156,144,11,1969,598,904,268,140,113,19,2040,708,1154,331,184,104,13,2497,496,958,220,121,70,13,1875,899,1656,424,142,84,10,3215,378,797,195,56,30,6,1451,260,509,114,41,25,4,958,594,1031,279,77,44,8,2023,719,1170,361,63,54,12,2380,220,310,122,26,16,0,695,148,193,62,11,11,0,426,382,388,159,45,57,11,1038,8233,11274,3707,1494,1246,137,26087
RA52,367,190,92,38,47,7,732,78,36,22,7,11,4,158,203,110,66,36,47,9,467,185,95,61,46,43,9,439,348,220,107,69,72,13,830,377,352,153,96,84,11,1076,487,532,222,115,85,12,1442,544,748,245,123,85,14,1755,457,647,184,100,63,9,1447,455,786,176,88,51,8,1580,359,605,139,56,38,4,1200,532,893,237,74,45,8,1790,243,409,68,36,22,3,782,161,256,55,23,7,0,505,334,602,140,28,29,6,1144,328,578,202,37,22,5,1178,122,164,56,7,8,0,363,89,110,40,7,0,0,252,296,258,102,46,48,4,756,5968,7590,2365,1026,820,123,17887
RA53,141,106,33,8,12,3,300,22,7,3,6,0,4,48,52,32,8,8,9,0,114,49,42,16,10,14,3,136,66,58,25,29,10,0,186,82,83,36,16,18,0,235,99,107,47,19,4,0,270,86,125,44,26,16,0,286,84,118,24,22,13,0,260,79,125,26,9,11,0,252,61,113,21,11,11,5,215,132,165,43,24,13,0,370,40,82,26,13,6,0,172,61,71,21,4,5,3,155,89,177,31,11,11,0,324,186,331,59,28,19,3,620,100,132,34,8,6,0,278,45,94,28,3,5,0,176,91,88,29,7,8,5,233,1573,2051,531,266,177,32,4632
RA54,49,29,9,3,3,0,98,6,3,3,0,0,0,15,19,16,12,5,4,0,60,22,13,7,4,4,3,49,21,24,7,3,6,0,64,27,26,6,3,3,0,67,38,36,8,12,10,0,97,28,36,15,5,5,3,97,35,37,12,7,7,0,93,34,42,9,4,0,0,86,19,41,9,3,0,0,68,52,47,8,10,3,0,120,25,25,3,3,0,0,54,11,22,0,0,0,0,39,36,41,8,3,0,0,86,53,77,15,11,0,0,154,19,22,3,3,0,0,50,24,32,3,0,0,0,56,38,25,14,7,10,0,97,554,597,143,93,56,13,1456
