RA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA32,336841,330793,667628,22325,20667,42994,46809,44165,90970,21466,20048,41515,21008,19887,40900,42898,43947,86851,42550,44501,87046,46559,46565,93121,43362,41740,85107,31829,29115,60941,14156,14188,28349,3873,5971,9844,312727,313959,626681,24111,16834,40950,17451,17978,35431,3740,3926,7668,3105,3180,6285,24294,25087,49385,256762,249527,506287,45343,50135,95481,279685,274999,554677,23845,27702,51550,283536,279503,563041,3366,3131,6503,41404,39247,80658,12786,13135,25926,3299,5090,8389,6306,13534,19845,106527,122104,228626,23977,21808,45791,69946,64822,134767,15736,12628,28367,16619,14197,30815,1317,1276,2598,292021,296736,588756,64444,51168,115613
RA33,37888,33441,71327,2746,2618,5363,5097,4674,9770,2014,1710,3727,2289,2200,4487,5597,5231,10827,4927,4357,9287,5328,4628,9954,4934,4009,8948,3357,2540,5900,1300,1096,2403,285,378,665,35007,31181,66183,2876,2266,5142,4957,5067,10029,149,115,261,396,361,750,5501,5540,11043,28926,25730,54659,3794,3710,7507,30544,27426,57966,2444,2371,4812,31023,27752,58769,366,376,739,4390,4041,8425,958,881,1834,124,227,350,482,1041,1522,9850,11261,21112,2414,2110,4521,8677,6426,15107,1909,1284,3190,2234,1473,3705,178,92,265,30557,28528,59082,17571,9268,26846
RA34,26985,25740,52723,2269,2150,4415,4253,4017,8274,1664,1510,3176,1830,1878,3706,3683,3933,7617,3280,3207,6482,3515,3408,6925,3371,2873,6249,2082,1712,3795,841,741,1583,201,299,502,24488,23570,48055,2494,2173,4665,5063,5300,10360,3386,3386,6775,1786,1830,3623,10234,10520,20757,23158,22053,45211,1494,1574,3074,18897,17751,36649,5640,5850,11491,24205,23071,47280,342,350,694,3695,3494,7192,593,666,1258,96,192,285,288,662,950,6703,7898,14608,1624,1885,3510,5827,4843,10669,1483,959,2444,2072,1596,3670,201,139,339,23285,22790,46073,10220,7202,17417
RA35,66,87,150,0,3,3,0,0,4,3,5,11,3,4,11,4,6,11,7,3,14,10,7,24,7,19,30,13,16,33,7,7,16,0,0,4,56,81,135,10,3,21,0,3,6,0,0,0,0,0,0,0,5,3,43,50,89,18,20,40,56,56,110,7,10,21,51,65,116,0,0,0,0,0,4,3,5,7,0,0,0,0,3,3,24,23,50,7,9,15,13,26,39,3,7,11,5,6,17,0,0,0,0,0,0,940,1037,1974
RA39,6937,5572,12510,182,160,339,249,233,489,212,203,408,559,576,1133,1288,1005,2293,964,514,1485,975,688,1663,1147,1224,2373,1120,798,1916,225,153,381,19,18,44,0,0,0,6937,5572,12510,423,255,678,42,24,67,21,29,51,488,310,799,4186,3164,7348,1580,1575,3157,4759,3934,8697,636,657,1293,4444,3602,8050,15,12,25,179,179,353,58,76,131,73,96,169,124,177,295,2120,2089,4206,492,379,867,1468,1198,2664,448,281,729,325,186,510,50,24,70,0,0,0,0,0,0
RA40,601460,628829,1230284,37293,35061,72353,72144,68808,140955,38172,36661,74835,43560,42267,85827,84811,86855,171668,78963,79911,158874,80476,83392,163868,71153,77507,148655,53782,60549,114326,29159,36666,65826,11948,21144,33097,571890,603415,1175306,29567,25410,54976,8147,8566,16712,305,309,612,194,209,398,8639,9082,17726,408822,423759,832578,159880,171501,331389,449762,468399,918165,121367,130661,252031,507346,530872,1038218,6531,6420,12956,66938,63842,130781,29614,29688,59303,17893,20017,37904,20980,30904,51882,251936,274667,526603,84186,79856,164041,71172,75603,146777,23830,25058,48893,22601,28294,50894,4614,5974,10583,556863,583846,1140707,37224,40312,77533
RA41,105861,108653,214510,5898,5725,11624,13699,12990,26694,6605,6415,13015,5644,5268,10913,10532,10733,21265,11899,12650,24550,14659,15520,30179,15197,15645,30844,13166,13511,26681,6427,6828,13258,2129,3357,5489,99182,102785,201967,6681,5870,12544,1747,1724,3471,81,60,142,36,20,54,1863,1811,3673,84534,86169,170698,14207,15259,29467,95027,97820,192852,4495,4831,9327,94747,97701,192448,1071,998,2072,12512,11920,24434,4619,4796,9412,1131,1591,2725,1577,3496,5077,31335,37818,69158,18626,17703,36331,17207,16541,33753,6207,5383,11592,5188,4990,10172,302,246,548,96176,99420,195598,7256,7376,14633
RA42,87501,84907,172404,4842,4575,9411,10892,10102,20997,5123,4644,9764,4409,3834,8243,9018,8715,17734,9587,9317,18902,12477,11907,24391,13158,12529,25686,10909,10527,21438,5334,5889,11222,1754,2861,4615,80921,79220,160146,6576,5682,12263,3601,3640,7239,73,73,153,59,67,125,3737,3780,7515,71917,69117,141036,8674,8998,17676,76187,75100,151289,4201,4073,8273,77147,76001,153145,842,788,1634,9822,9106,18929,3374,3314,6681,445,680,1127,936,2260,3196,19695,24497,44191,16232,14662,30896,15466,13593,29058,5787,4922,10712,5896,5168,11060,455,315,769,77441,76459,153902,9295,7386,16676
RA43,22353,20950,43300,1429,1306,2735,2839,2610,5452,1176,1059,2238,1025,911,1938,2595,2447,5039,2534,2462,4992,3186,2866,6051,3364,3064,6424,2577,2353,4927,1197,1222,2417,421,667,1088,20370,19277,39643,1981,1674,3655,687,584,1273,11,7,21,14,9,22,708,602,1315,18522,17248,35768,1835,1945,3782,19749,18757,38501,640,685,1326,19696,18657,38352,227,192,416,2533,2335,4872,738,726,1465,75,162,241,250,593,846,5584,6845,12429,4072,3389,7461,3825,3076,6898,1287,968,2250,1233,1061,2296,42,32,73,19154,18509,37663,4562,2597,7156
RA44,7091,6188,13278,405,451,856,875,843,1714,345,317,663,409,391,799,966,872,1845,918,800,1721,1037,891,1926,1060,841,1897,711,497,1210,284,187,475,75,101,173,6536,5722,12259,549,473,1026,1786,1893,3676,3,3,9,18,10,25,1802,1906,3706,5637,4940,10573,650,533,1180,4745,4041,8786,1435,1376,2812,6123,5270,11395,75,85,160,727,704,1428,157,159,319,22,50,73,104,165,268,1515,1685,3201,1085,871,1953,1193,846,2036,451,268,717,497,296,792,63,45,109,5711,5317,11033,3579,1726,5310
RA45,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,4,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,107,219
RA49,1734,1129,2863,50,43,91,56,68,129,95,80,173,161,99,266,349,209,556,280,140,421,282,192,474,239,164,403,168,97,271,43,21,59,13,7,22,0,0,0,1734,1129,2863,136,114,246,4,0,4,4,0,4,141,114,249,1137,748,1886,366,235,605,1167,769,1933,196,150,347,1152,788,1941,3,4,11,42,55,90,39,42,85,20,22,42,47,49,97,462,378,845,220,130,352,291,184,475,120,61,178,96,49,143,20,10,30,0,0,0,0,0,0
RA50,948475,968373,1916847,64320,61051,125375,123336,116903,240245,60519,57931,118451,67166,64380,131547,151056,152238,303287,133321,135417,268741,125620,128616,254234,101287,108248,209530,72697,77265,149970,36584,44440,81028,12571,21876,34447,893512,931570,1825085,54964,36797,91765,14229,14669,28893,392,326,713,307,326,632,14920,15325,30242,542873,552268,1095136,341856,354771,696627,698215,709595,1407813,188409,201403,389805,739808,761076,1500883,12855,12433,25287,113999,108016,222016,45340,45597,90940,24438,25303,49743,29741,44397,74144,415568,445929,861497,73861,72138,146001,147796,146928,294718,32917,31709,64624,21988,25484,47467,4695,5613,10311,860323,894587,1754914,63803,65472,129272
RA51,109338,107703,217037,6929,6335,13260,15190,14508,29698,6932,6359,13294,5670,4925,10599,12500,12259,24762,14284,14329,28613,15651,15664,31319,14416,14784,29202,11340,10888,22225,4991,5456,10453,1431,2188,3621,100062,101415,201479,9275,6288,15556,3050,2534,5587,49,59,111,75,52,120,3176,2647,5821,78532,76970,155503,20954,21528,42478,91483,92932,184414,6062,6711,12766,89692,91071,180768,1351,1226,2578,13572,13014,26579,4436,4323,8763,615,933,1549,1311,3460,4767,30474,37079,67554,10299,10516,20814,25423,23085,48514,5425,4468,9896,3250,2768,6014,286,223,510,92254,96553,188815,14221,9887,24110
RA52,92652,90535,183178,5915,5693,11607,12603,12078,24680,5787,5249,11041,4914,4219,9135,10648,10781,21432,11093,11333,22425,13124,12955,26077,12872,12413,25285,9637,8985,18622,4634,4827,9464,1418,1996,3416,85124,84772,169899,7522,5757,13278,5081,5042,10122,58,64,128,92,77,175,5233,5184,10419,67929,65687,133617,15636,16391,32034,77727,76614,154342,5967,6376,12343,76496,75766,152265,1075,1030,2106,11184,10742,21931,3454,3364,6818,534,665,1201,1157,2785,3944,25799,30209,56007,8618,8885,17503,21287,18662,39948,5090,3916,9005,3587,2788,6379,368,288,660,79535,80188,159720,12511,9738,22255
RA53,43934,39672,83602,3505,3250,6754,6208,5843,12052,2269,1894,4160,2266,2159,4428,7102,7050,14149,6676,6064,12741,6471,5487,11957,5263,4280,9540,2781,2224,5011,1086,1050,2135,312,376,688,40413,37114,77526,3519,2559,6075,4452,4525,8972,167,124,288,184,216,407,4798,4866,9665,31203,27851,59060,6810,6828,13640,34799,31535,66340,3432,3582,7016,34549,31286,65833,583,545,1133,5290,4976,10264,1280,1152,2435,153,262,423,602,1422,2029,12910,14127,27041,4026,3548,7571,8714,6363,15075,1838,1234,3074,1131,855,1989,112,112,223,36007,34239,70250,15573,9791,25365
RA54,40080,27279,67357,2414,2168,4576,4120,3924,8043,1524,1382,2900,2262,1848,4111,8756,5356,14109,7421,4068,11491,6526,3786,10312,4539,2918,7458,1909,1296,3202,504,415,917,105,128,233,37183,25091,62279,2896,2184,5079,9304,9475,18774,92,86,176,153,132,287,9547,9693,19239,26002,19839,45834,7343,3914,11257,26234,17777,44007,6883,5888,12767,29368,21703,51074,375,359,739,3382,3191,6574,596,574,1172,117,138,256,701,788,1488,11355,8075,19429,3930,2517,6449,7879,4572,12453,1614,1108,2726,1297,948,2246,296,266,562,22123,21480,43610,48178,16456,64633
RA55,408,26,434,0,0,0,0,0,0,0,0,0,17,3,20,124,6,127,120,3,127,94,8,105,43,7,43,8,0,8,3,0,3,3,0,3,397,27,418,8,5,15,3,0,3,0,0,0,0,0,0,10,0,10,177,16,193,164,9,168,288,14,309,51,3,53,250,20,272,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,199,14,215,45,0,44,84,5,84,13,0,13,8,0,8,0,0,0,0,0,0,3004,668,3668
RA59,3532,2415,5950,81,79,161,120,120,237,84,65,151,254,242,503,773,534,1306,606,305,910,638,325,957,540,442,977,375,254,633,58,37,98,12,11,23,0,0,0,3532,2415,5950,324,237,563,6,6,11,7,3,12,341,247,587,2138,1378,3512,851,634,1484,2258,1559,3819,305,281,585,2133,1447,3584,9,9,17,93,88,186,26,23,53,28,37,67,71,72,145,1035,875,1909,312,183,488,715,434,1144,179,85,262,100,46,142,25,12,33,0,0,0,0,0,0
RA61,166403,177606,344005,10218,9813,20030,21425,20462,41892,10969,10546,21518,11271,10948,22216,20901,21768,42673,19939,21942,41884,22086,23866,45954,21384,23510,44895,16617,18504,35120,8552,10765,19316,3034,5471,8503,156218,167776,323992,10184,9833,20017,5899,6168,12074,338,333,670,240,272,513,6484,6770,13254,133958,142703,276660,21382,22983,44357,144870,154864,299730,11177,12359,23540,147012,157881,304885,1601,1590,3192,19774,18840,38616,8011,7890,15898,3769,3948,7718,5120,7885,13004,56204,64048,120253,11391,12767,24152,38949,40387,79333,10036,10482,20514,6033,6710,12751,697,779,1477,151203,161655,312855,13104,13512,26619
