RA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
RA69,3,3,4,8,12,18,3,0,4,3,0,8,9,17,24,4,6,13,0,3,3,0,3,3,4,12,20,3,9,8,0,0,0,0,4,7,0,0,0,0,0,0,3,9,13,5,8,17,12,3,17,0,0,0,0,6,3,0,0,0,20,21,39,0,0,0,3,3,5,0,0,0,3,3,5,119,61,181,165,121,285
RA72,1021,991,2009,4092,3863,7961,795,679,1471,881,861,1737,5769,5399,11171,2521,2377,4901,606,588,1193,873,947,1819,3995,3912,7912,104,90,193,103,138,242,244,196,435,436,724,1161,19,14,31,908,1160,2067,697,824,1521,601,912,1514,209,347,552,889,1804,2691,14,21,32,2404,3907,6309,121,127,254,275,624,892,16,15,28,409,764,1171,9828,7034,16864,24331,23178,47501
RA73,344,352,694,1257,1172,2427,376,368,736,298,291,584,1927,1824,3749,586,538,1126,333,274,608,379,347,728,1301,1163,2462,28,16,45,13,30,45,72,58,128,113,248,358,5,0,13,241,347,592,27,81,105,74,136,207,29,69,99,255,590,845,3,4,9,382,884,1262,51,43,95,77,128,204,4,3,10,136,178,312,4029,3346,7374,8349,8086,16434
RA74,509,499,1001,2464,2269,4729,214,200,416,107,124,230,2785,2591,5377,1142,1061,2197,146,124,268,148,209,356,1434,1388,2825,19,16,41,21,39,64,18,23,40,67,135,206,0,3,8,134,216,347,3,24,32,28,41,73,12,16,25,107,215,322,0,5,6,156,303,452,24,23,51,30,56,87,5,3,7,64,87,146,3327,2940,6267,8402,8026,16425
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,13,16,7,23
RA79,3,0,3,22,25,48,3,0,5,3,6,10,32,35,62,5,7,11,0,0,0,0,0,3,7,3,13,17,5,27,3,0,6,3,0,3,3,3,8,0,0,0,25,11,39,3,0,3,0,7,8,0,0,0,6,3,10,0,0,0,12,13,18,9,14,16,4,4,7,0,0,0,10,14,22,449,379,822,527,450,986
RA80,3099,2789,5891,10692,9988,20679,4208,3888,8094,1997,1964,3957,16898,15839,32739,6896,6681,13574,3284,3068,6353,2066,2139,4203,12250,11890,24138,597,606,1205,590,777,1370,1175,760,1935,1434,2153,3585,29,24,51,3824,4314,8135,8129,8983,17111,3376,3112,6491,761,973,1739,3680,5088,8770,43,51,93,15984,18211,34198,456,436,889,743,1484,2224,14,20,39,1210,1938,3152,11686,11263,22951,64953,66255,131205
RA81,6,3,13,23,11,31,13,18,26,0,3,8,32,29,66,5,20,22,7,3,11,3,0,3,20,21,43,0,0,0,0,0,0,5,3,6,3,7,9,0,0,0,8,7,14,5,8,14,3,3,8,0,0,0,0,6,4,0,0,0,11,18,30,3,4,9,0,3,4,0,0,0,3,3,7,35,36,73,122,120,243
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,0,5,11,12,20,0,0,3,0,0,0,11,12,16,3,4,3,0,0,0,0,0,0,5,4,6,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,3,5,7,18,13,28,10,8,18,0,4,4,3,3,6,0,0,0,29,31,62,0,3,3,0,0,0,0,0,0,0,6,6,76,25,105,123,84,211
RA91,3,3,5,10,10,18,0,0,0,0,0,0,12,10,19,12,8,25,0,0,3,0,0,0,15,15,28,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,4,3,6,6,0,6,0,0,0,0,0,0,6,0,6,48,44,92,96,68,163
RA94,43,30,67,166,159,326,0,0,0,0,0,0,167,159,321,100,118,217,0,0,0,0,9,6,102,122,222,0,0,0,3,4,6,6,0,4,9,8,17,0,0,0,14,14,34,0,0,0,0,3,5,0,0,0,9,13,23,0,0,0,9,14,28,0,0,5,0,9,13,0,3,3,0,10,16,487,214,701,833,564,1398
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,7,6,16
