RA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
RA62,200,424,889,982,1177,1063,524,178,15,5447,13,46,238,283,295,221,33,0,4,1122,170,377,735,860,1083,727,116,14,3,4084,4,24,83,122,178,170,29,0,0,613,247,467,841,804,1010,827,139,11,5,4342,37,73,174,220,263,206,34,3,0,1013,395,271,363,358,438,384,110,18,3,2331,304,163,169,178,175,208,86,13,0,1302,18,98,251,381,642,649,164,18,0,2219,10,15,43,37,56,54,15,0,0,236,7,14,27,42,57,50,16,0,0,218,0,15,31,36,58,91,28,3,0,268,12,35,133,187,202,234,111,22,3,938,31,80,119,153,193,184,47,4,3,816,5,46,178,338,489,432,82,4,0,1577,20,29,150,256,321,364,72,6,0,1228,10,50,176,246,389,405,94,6,3,1375,30,28,51,65,97,100,31,6,0,411,60,132,231,194,292,243,65,10,0,1227,117,131,253,275,374,305,106,38,5,1607
RA63,14,36,66,43,65,61,19,3,0,309,3,21,68,66,95,54,5,0,0,314,3,3,12,17,20,17,9,0,0,85,0,7,7,6,11,8,5,0,0,36,0,7,23,26,41,37,4,0,0,137,0,3,0,0,7,4,3,0,0,13,15,4,6,3,9,18,5,0,0,64,6,9,42,31,28,49,17,0,0,194,0,4,11,6,22,14,3,0,0,59,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,4,0,0,0,11,0,0,0,5,6,13,5,0,0,29,0,0,6,12,10,11,3,0,0,42,0,0,10,9,17,20,4,0,0,71,0,3,7,6,10,10,3,0,0,39,0,0,4,3,9,7,0,0,0,24,0,0,7,5,6,10,0,0,0,31,0,7,3,10,14,15,0,0,0,44,7,3,3,14,15,8,5,4,0,62
RA64,0,21,30,33,49,63,30,14,3,244,0,0,0,0,3,0,0,0,0,4,3,5,18,4,22,14,0,0,0,63,0,0,11,9,4,3,0,0,0,27,0,6,14,14,18,23,4,0,0,81,0,0,0,8,0,0,4,0,0,10,3,0,3,4,3,5,3,3,0,23,0,3,4,3,5,5,3,0,0,22,0,3,6,6,16,17,3,0,0,45,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,7,0,0,11,0,0,3,0,3,0,0,0,0,10,0,0,11,3,11,9,3,0,0,35,0,0,3,10,6,3,0,0,0,14,0,0,3,0,3,5,3,0,0,16,4,0,0,0,0,3,0,0,0,10,3,4,8,4,0,3,3,0,0,25,0,3,0,5,5,12,3,0,0,23
RA65,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,4,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,4,0,3,5,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,12,0,3,11,3,0,0,0,0,0,19,0,0,4,3,3,0,0,0,0,17,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,5,0,0,9,0,8,0,0,0,0,15
RA72,14,37,101,94,120,90,41,8,0,506,10,63,371,365,298,140,23,0,0,1267,58,133,384,379,341,192,41,3,0,1537,13,47,196,260,220,148,26,0,0,913,163,546,2330,1830,1408,816,187,15,3,7295,25,80,265,236,240,147,25,0,0,1022,367,313,554,414,323,237,66,10,0,2293,364,329,650,344,254,139,33,9,0,2117,42,159,586,539,636,463,141,9,0,2573,22,48,119,84,102,60,11,0,0,440,3,14,80,69,73,46,10,0,0,306,14,28,124,127,114,73,35,13,3,526,49,148,900,725,460,349,97,10,0,2741,28,71,234,234,188,146,34,3,0,946,135,1073,2121,1568,1384,811,150,3,0,7247,34,64,269,332,328,334,94,0,0,1456,29,74,425,417,290,242,70,9,0,1557,66,91,173,134,131,94,21,5,0,707,93,157,317,289,279,159,43,9,0,1347,111,223,533,462,448,251,59,11,0,2097
RA73,21,39,80,54,80,46,24,8,0,349,3,14,70,75,79,53,3,0,0,303,10,25,46,58,60,40,4,0,0,242,3,16,39,46,53,54,5,3,0,205,56,116,299,194,215,177,49,5,0,1111,4,13,37,30,42,41,3,0,0,162,119,69,151,107,95,92,31,0,0,670,103,75,139,88,99,67,29,0,0,605,7,40,147,108,136,111,41,5,0,609,12,10,26,18,20,38,9,0,0,124,0,4,13,9,4,7,0,0,0,40,7,9,12,24,29,18,9,5,0,109,3,19,93,92,104,119,31,3,0,462,19,27,65,50,66,46,18,0,0,281,21,111,536,501,516,345,68,0,0,2108,17,29,122,112,137,136,38,3,0,601,14,33,240,227,187,134,39,0,0,883,20,25,38,41,41,28,12,0,0,208,14,58,144,109,107,85,23,0,0,542,32,46,100,103,98,72,21,6,0,491
RA74,52,112,119,72,71,48,18,3,0,494,0,26,135,179,149,76,13,0,0,566,0,7,16,17,25,4,0,0,0,71,0,3,12,16,16,21,0,0,0,76,12,39,105,71,76,41,21,0,0,365,4,3,3,3,7,3,3,0,0,28,24,36,88,59,66,68,16,0,0,349,18,79,141,73,55,59,17,4,0,443,9,17,49,44,39,37,11,0,0,197,0,0,8,0,7,4,0,0,0,26,0,0,0,3,0,3,0,0,0,10,0,0,6,3,3,6,3,0,0,21,0,6,18,5,12,10,3,0,0,54,10,13,31,35,28,27,8,0,0,154,16,64,196,222,210,130,22,0,3,870,8,34,138,112,92,91,26,6,0,504,10,31,111,128,127,89,15,0,0,506,3,12,34,34,23,16,11,0,0,128,26,65,143,126,101,63,15,3,0,547,23,53,104,77,53,52,13,3,0,382
RA75,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,9
RA79,0,5,7,3,4,0,3,0,0,31,0,0,4,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,14,11,19,3,0,0,0,62,0,0,0,0,0,0,0,0,0,3,0,3,4,5,7,3,0,0,0,18,0,3,17,7,3,8,0,0,0,34,0,0,6,3,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,0,0,0,0,21,0,0,3,7,0,3,0,0,0,10,4,13,3,8,4,6,0,0,0,44,0,0,3,0,5,0,0,0,0,11,0,0,3,0,0,3,0,0,0,8,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,8,4,4,3,0,0,0,26
RA80,10,50,51,55,57,64,47,18,4,351,0,4,24,24,31,16,0,3,0,101,100,252,577,541,532,282,99,16,0,2406,15,55,244,293,246,152,21,3,0,1042,436,1433,3256,2360,1790,1138,274,32,4,10718,38,129,362,372,358,193,62,11,0,1522,1117,1513,1710,1042,826,514,196,18,7,6945,1695,1712,1786,929,582,299,90,6,4,7100,53,208,715,836,890,708,199,22,0,3632,62,173,577,586,464,222,55,4,3,2149,0,104,431,406,300,163,65,14,0,1487,26,111,306,297,271,177,83,12,0,1287,85,771,3148,3032,2345,1462,488,52,3,11392,85,228,695,649,486,374,126,15,0,2658,340,1666,7857,8843,8080,4211,720,40,0,31760,264,611,1525,1603,1322,1045,327,39,0,6729,110,446,1391,1265,1023,762,212,29,0,5242,247,297,392,260,255,179,86,7,0,1724,129,347,742,613,553,404,139,19,5,2944,161,368,863,743,580,345,130,25,8,3229
RA81,0,0,0,0,11,9,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,8,4,11,11,10,3,0,0,0,42,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,14,12,5,0,0,0,34,0,0,7,3,3,0,0,0,0,13,0,0,0,7,0,0,0,0,0,5,0,3,3,3,0,3,0,0,0,14,0,3,0,3,0,0,0,0,0,10,0,0,0,3,7,0,0,0,0,7
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,8,6,10,0,3,0,0,0,24,0,0,0,3,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,6
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,19,4,14,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
RA94,0,4,0,4,6,6,3,3,0,27,0,9,14,26,26,32,28,0,0,127,0,0,3,0,7,5,0,0,0,22,0,0,3,12,5,6,6,0,0,37,5,4,12,24,36,33,7,0,0,126,0,0,0,3,0,3,0,3,0,13,5,6,6,14,16,15,9,4,0,67,6,6,10,24,21,16,5,4,0,92,4,3,22,10,11,17,3,0,0,69,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,5,3,5,3,0,0,13,0,0,4,8,5,0,3,0,0,25,0,0,3,6,4,14,10,0,0,39,0,7,39,39,70,44,20,0,0,217,0,0,5,10,7,6,7,0,0,37,0,3,0,4,0,6,3,0,0,14,4,5,8,7,4,9,3,3,0,39,0,0,5,4,13,7,4,0,0,32,0,6,5,10,19,18,5,0,0,69
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
