RA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
RA40,15621,13725,7538,4698,6853,4322,2287,55044,4220,4255,2527,1755,2454,1275,722,17209,4275,3814,2104,1332,1957,1034,588,15104,33465,32816,17779,11166,15112,6948,3362,120645,250,266,149,98,88,26,7,889,57832,54881,30092,19050,26464,13608,6969,208896,1356,1871,1389,1087,1760,1141,677,9288,985,1304,873,658,1036,452,271,5590,513,851,568,445,775,367,209,3729,6971,9564,5853,4114,5543,2089,1042,35175,401,403,268,165,138,51,25,1451,10225,13989,8948,6471,9255,4107,2228,55232,68055,68879,39041,25516,35726,17718,9197,264129
RA41,505,629,444,311,443,203,73,2604,487,554,355,254,346,118,44,2161,491,535,307,226,306,97,51,2021,7698,8362,4711,2985,3997,1030,361,29138,53,35,31,21,17,5,0,178,9232,10117,5848,3795,5111,1459,533,36093,58,75,67,56,89,34,20,398,98,169,135,97,145,59,16,715,55,98,100,72,111,31,8,465,1337,1990,1330,959,1273,277,100,7254,57,84,46,25,24,11,3,247,1593,2415,1677,1210,1634,401,141,9079,10828,12531,7529,5002,6749,1861,677,45175
RA42,403,368,231,152,214,54,16,1439,193,243,166,112,177,24,3,915,296,251,146,103,148,23,3,960,6059,6540,3802,2463,3190,404,76,22532,54,42,30,20,20,0,0,170,7000,7436,4384,2846,3742,503,100,26021,34,44,43,36,36,9,4,204,61,78,65,56,70,14,3,342,34,58,47,43,63,14,3,258,1461,1962,1245,865,1068,138,25,6768,86,111,63,31,30,3,0,327,1675,2257,1462,1024,1265,181,34,7895,8680,9691,5840,3872,5007,688,141,33910
RA43,102,108,52,48,30,8,0,348,56,72,29,24,39,3,0,223,106,82,41,28,29,3,0,290,1854,1859,1004,649,737,72,5,6191,16,20,11,6,3,0,0,60,2139,2143,1144,747,848,86,5,7121,3,14,14,16,9,0,0,46,24,29,18,16,20,3,0,115,3,18,17,9,11,0,0,61,249,343,225,172,223,33,4,1242,15,12,13,6,4,0,0,53,292,406,284,211,270,37,7,1514,2435,2555,1429,959,1115,127,17,8631
RA44,31,22,13,7,9,0,0,75,12,10,4,0,3,0,0,30,36,32,4,0,5,0,0,76,521,541,313,168,133,19,3,1700,17,25,18,3,0,0,0,66,612,626,349,187,148,19,3,1945,0,5,0,0,3,0,0,7,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,116,164,102,75,68,4,0,530,15,12,14,4,0,0,0,45,137,179,121,80,73,5,0,602,755,803,472,268,223,25,4,2547
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,37217,35338,19984,12784,18376,9828,4937,138465,11300,10487,5756,3544,4915,1982,905,38880,11538,10186,5131,3054,4315,1960,865,37052,42531,41923,22187,13323,17301,6825,2999,147090,474,450,244,182,174,65,26,1620,103060,98389,53303,32888,45085,20664,9724,363110,2765,4152,3001,2278,3773,1940,1202,19100,1874,2545,1625,1194,1663,632,319,9863,1261,2044,1285,1009,1376,513,274,7766,7632,10650,6556,4410,5700,1771,855,37585,566,584,370,246,201,77,30,2070,14098,19979,12829,9139,12710,4937,2683,76386,117161,118369,66132,42032,57792,25602,12412,439494
RA51,1265,1522,924,616,828,164,59,5373,918,1038,552,376,523,69,33,3515,1049,1000,573,347,462,61,19,3521,6950,7509,4373,2693,3331,368,126,25346,53,61,41,26,25,3,0,214,10240,11127,6456,4059,5165,678,234,37965,81,141,109,102,169,25,8,632,173,257,155,144,183,26,5,947,125,204,175,109,166,20,8,810,1350,1970,1245,899,1058,116,35,6667,51,77,55,27,32,0,3,242,1780,2646,1743,1284,1609,193,64,9308,12015,13772,8202,5346,6770,865,303,47274
RA52,1116,1264,718,517,629,86,14,4349,648,672,366,231,293,27,10,2235,733,739,385,234,303,13,3,2403,6183,6585,3592,2062,2462,201,36,21119,71,70,36,32,21,0,0,229,8748,9327,5089,3071,3702,329,63,30336,88,140,125,87,107,17,7,563,142,176,117,81,116,10,4,648,88,129,117,74,100,8,4,506,1258,1787,1116,781,812,78,26,5856,90,90,56,34,18,6,0,293,1668,2323,1524,1049,1154,116,37,7873,10416,11646,6620,4122,4860,441,101,38206
