RA_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,0,0,0,19,3,6,0,0,0,0,0,0,8,0,6,4,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,8,3,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,4,18,18,10,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,10,0,0
RA79,0,8,0,6,3,0,0,0,19,0,3,0,5,3,0,0,0,9,8,20,13,8,14,6,0,0,65,5,7,7,10,10,7,0,0,51,12,39,38,40,58,51,9,0,251,8,3,0,3,0,3,0,0,14,10,0,3,0,3,3,0,0,19,27,43,41,46,65,53,8,0,279,3,0,0,3,3,0,0,0,9,41,100,87,112,71,40,9,0,457,83,180,154,188,159,112,19,0,890,0,12,9,3,4,3,0,0,32,0,8,3,3,7,0,0,0,21,11,37,24,14,18,6,0,0,122,5,5,15,14,18,13,0,0,68,12,17,11,12,16,0,0,0,67,3,0,3,0,5,0,0,0,11,3,9,3,6,3,4,0,0,32,19,26,17,18,33,4,0,0,112,0,3,0,4,3,3,0,0,13,41,97,73,88,44,32,6,0,373,80,192,144,141,123,62,8,0,740,0,17
RA80,140,3839,5098,3938,3029,1847,665,190,18739,84,996,1102,1212,1167,594,105,19,5269,2636,9127,7026,5082,4088,2842,1101,373,32272,722,2832,3074,2776,2007,1224,446,163,13245,2248,5449,4405,3936,2983,2076,1139,344,22583,411,313,181,125,72,45,21,13,1183,145,258,339,303,310,258,100,39,1756,2806,6018,4933,4353,3366,2386,1261,394,25520,111,223,200,196,176,162,114,52,1232,1796,2485,1947,1660,1280,1135,837,447,11597,8288,25515,23378,19217,15119,10199,4530,1628,107877,255,4627,4645,3184,2022,985,244,44,16002,158,1812,1902,1746,1453,851,173,26,8123,3576,12041,9012,6130,4563,2649,1023,279,39268,1027,3213,3473,3369,2625,1727,753,230,16416,1952,3173,2673,2252,1530,622,200,86,12478,458,334,311,258,221,140,51,27,1803,227,293,512,733,793,695,281,115,3635,2635,3796,3497,3243,2540,1455,533,223,17918,74,184,176,208,227,257,116,58,1304,1657,2081,1609,1481,1540,1395,1207,1060,12036,9381,27760,24316,19371,14961,9310,4043,1924,111062,393,8458
RA81,0,0,5,7,3,3,0,0,18,0,0,5,0,0,0,0,0,5,0,7,9,3,4,5,0,0,27,0,6,12,7,3,0,0,0,21,12,27,15,16,15,3,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,28,17,16,14,3,0,0,82,0,0,0,0,0,0,0,0,0,7,5,4,4,5,0,0,0,29,19,41,53,39,31,12,0,0,194,0,3,4,5,0,3,0,0,15,0,0,0,0,4,0,0,0,4,0,9,13,5,0,4,0,0,40,0,5,16,12,3,0,0,0,45,5,10,10,5,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,9,5,0,0,0,34,0,0,0,0,0,0,0,0,0,10,5,5,3,0,0,0,0,33,13,40,52,39,23,5,0,3,177,0,6
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,4,3,3,5,4,0,0,14,0,0,0,0,0,0,0,0,4,3,15,5,3,0,0,0,0,29,3,0,12,3,0,0,0,0,15,3,8,10,5,8,3,0,0,36,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,9,10,11,5,7,3,0,0,41,0,0,0,0,0,0,0,0,5,8,8,21,16,18,7,0,0,79,25,35,48,29,36,15,0,0,186,0,5,5,4,8,3,0,0,20,0,0,0,0,3,0,0,0,9,7,23,7,6,8,3,0,0,55,0,3,0,3,3,0,0,0,18,8,3,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,7,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,3,7,5,3,0,0,0,32,34,36,30,18,25,8,0,0,151,0,11
RA91,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,5,11,3,0,4,0,0,0,22,0,0,0,8,0,0,0,0,13,3,4,3,4,7,0,0,0,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,3,5,7,0,0,0,21,0,0,0,0,0,0,0,0,0,14,15,3,12,3,0,5,0,48,23,33,18,25,16,7,4,0,120,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,8,3,3,4,0,0,0,20,0,3,4,3,0,0,0,0,8,0,3,3,4,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,3,9,4,0,9,0,0,40,20,14,28,14,12,8,0,0,96,0,3
RA94,0,4,9,0,6,8,3,0,24,0,3,6,5,0,0,0,0,20,0,16,33,21,21,14,0,3,110,3,11,23,24,17,13,3,0,90,12,55,82,102,110,47,17,3,436,6,4,5,5,0,3,0,0,28,0,5,6,8,9,6,4,0,38,23,65,92,111,118,61,17,6,499,4,3,0,3,0,0,0,0,14,66,126,97,75,67,42,25,3,498,91,236,254,238,226,141,51,13,1253,0,3,14,8,3,3,0,0,38,3,7,10,8,4,0,0,0,34,5,37,48,17,37,13,4,5,167,3,28,37,33,30,17,7,3,156,16,33,27,32,12,6,0,0,133,7,6,8,3,7,0,0,0,29,5,9,13,13,13,12,0,0,58,25,48,45,47,36,13,3,0,219,0,0,3,4,0,0,0,0,16,27,22,22,57,58,34,23,6,249,65,151,174,178,165,81,45,9,874,0,10
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,6,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,5,3,3,3,0,0,18,0,0
