RA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
RA43,152,187,188,299,317,606,432,1789,68,4050,160,191,277,317,374,392,291,464,23,2486,88,175,207,288,498,596,358,731,45,2985,96,362,373,402,246,141,102,137,24,1882,76,304,276,355,456,213,112,125,9,1936,65,465,229,281,226,139,109,105,17,1638,82,103,92,79,229,152,232,602,25,1588,145,608,381,428,330,309,174,296,96,2758,27,27,9,17,24,40,14,46,115,322,893,2421,2042,2474,2703,2588,1818,4297,415,19648
RA44,46,53,40,69,96,152,123,572,23,1177,46,32,47,94,137,137,86,142,20,738,42,32,46,59,94,133,58,205,22,694,46,88,88,122,131,91,31,67,20,690,26,60,61,78,128,65,19,38,8,484,16,68,54,40,63,35,25,27,9,334,20,33,25,36,55,48,38,210,11,477,24,117,88,121,104,108,46,171,27,808,10,6,8,7,22,5,5,20,39,126,265,490,457,633,821,781,442,1459,178,5529
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
RA49,4,0,4,6,7,8,4,13,0,54,15,15,13,10,23,20,5,16,3,103,10,5,12,9,20,18,6,26,3,112,4,13,10,4,8,3,3,3,0,53,3,4,10,12,12,6,5,7,0,57,3,12,9,13,6,3,4,0,3,49,0,6,6,11,17,8,16,13,11,85,13,24,18,32,50,36,17,14,12,212,0,0,0,0,0,0,0,0,8,11,53,82,68,103,139,100,63,98,32,734
RA50,2689,3953,4579,6320,15459,24254,15063,30746,849,103911,7915,16728,18708,20855,37325,47141,21762,30975,1598,203014,5008,7589,8194,10190,28871,33802,16790,28514,2260,141223,4112,20501,16395,17460,14984,11245,5381,6872,1555,98499,4342,14201,15500,15722,31656,23427,9273,8672,1113,123902,2637,24675,13284,10966,11385,8858,4224,6280,1063,83373,2754,3549,3448,4525,11519,9418,6923,15821,1136,59100,2952,19172,12533,10484,12026,9524,4349,8538,1520,81099,694,1205,902,946,2063,2284,894,1870,3866,14722,33107,111569,93550,97461,165298,169960,84658,138282,14949,908835
RA51,494,674,631,923,1235,2066,1378,3780,116,11306,681,1289,1546,1711,2090,2363,1404,2041,116,13244,909,933,1016,1354,2965,3759,2456,4171,293,17851,500,1890,1655,2069,1337,1015,561,666,152,9845,408,1649,1598,1682,2267,1487,704,745,87,10624,349,2430,1299,1296,1196,800,432,607,132,8549,660,428,455,500,1049,1060,1530,3212,170,9060,608,2734,1517,1737,1758,1471,796,1472,227,12325,115,123,86,91,180,186,110,236,416,1537,4727,12142,9803,11357,14071,14211,9371,16927,1723,94331
RA52,550,766,668,933,1083,2002,1438,5335,194,12971,648,891,1059,1255,1838,2225,1188,1904,74,11086,557,746,688,959,1986,2671,1798,3642,213,13259,444,1363,1217,1687,1207,1037,475,659,136,8233,357,1271,1155,1369,1911,1378,570,645,98,8754,245,1709,854,1015,1023,710,475,529,110,6664,554,407,390,431,753,1011,1089,3573,178,8377,534,2147,1209,1314,1183,1364,721,1422,245,10140,91,116,59,79,131,153,96,225,416,1372,3977,9412,7303,9037,11117,12564,7848,17929,1656,80846
RA53,302,290,254,386,552,1093,797,3640,107,7424,322,348,427,523,892,1131,637,1074,54,5406,362,299,264,348,878,1193,1270,2647,112,7370,223,480,404,613,593,468,313,398,63,3560,247,464,435,564,957,793,438,596,46,4541,94,551,286,427,394,331,198,285,50,2614,219,177,122,173,336,472,724,1818,94,4139,207,708,426,548,454,579,414,970,97,4405,52,43,23,36,66,98,91,168,210,784,2031,3360,2647,3616,5127,6158,4875,11592,837,40239
RA54,153,110,110,143,276,487,364,1921,64,3620,245,214,228,261,540,674,484,1467,55,4165,455,212,179,206,432,528,727,4390,132,7268,151,219,201,399,467,370,234,488,69,2592,135,179,172,271,489,395,215,571,33,2468,38,178,108,144,224,132,96,108,24,1051,412,170,112,134,173,221,514,3560,120,5413,220,294,221,329,311,410,250,2001,95,4143,47,31,19,28,53,55,29,197,188,644,1855,1612,1358,1917,2965,3277,2905,14700,783,31369
RA55,3,0,0,0,0,0,0,8,0,11,0,0,3,0,3,5,3,64,0,78,3,0,0,0,3,0,0,71,0,87,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,35,0,0,5,0,0,3,3,79,3,100,0,3,0,0,0,0,0,9,0,9,16,12,11,0,4,14,11,274,4,334
RA59,17,7,4,3,4,16,9,48,3,104,29,26,14,20,25,44,25,58,3,235,27,21,19,15,40,35,21,161,11,349,9,20,25,18,19,17,12,34,7,162,7,15,10,9,20,16,16,21,0,114,5,17,14,11,17,11,8,5,3,90,19,15,15,16,24,24,18,139,3,276,12,35,48,44,48,56,25,114,10,386,10,4,3,3,0,6,0,8,24,58,140,151,146,136,200,222,136,587,60,1773
RA61,508,678,754,1232,2906,3290,2315,4758,137,16578,1538,2634,3520,4571,6746,5595,2997,4123,214,31940,577,1347,1239,1817,5065,5214,2413,2472,270,20416,947,3909,3360,4104,2804,1664,1022,1152,264,19222,958,2180,2566,3125,6453,3093,1434,1234,133,21172,624,4615,2230,2248,2508,1370,823,895,172,15477,302,597,577,724,1799,1424,1214,1314,161,8121,630,3745,2176,2246,2665,1716,755,826,291,15045,142,203,166,199,489,323,125,225,646,2513,6222,19903,16589,20266,31431,23683,13087,17004,2291,150484
