RA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
RA23,61,0,0,0,0,0,0,7,67,28,4,3,0,0,0,0,0,40,24,0,9,0,0,0,0,3,37,13,6,9,12,3,0,0,3,54,5,7,26,20,5,3,0,4,77,12,9,25,14,4,4,0,4,66,18,10,27,27,5,0,3,10,93,14,11,31,29,11,5,0,6,103,17,20,51,40,16,7,0,5,145,18,15,32,36,19,0,0,8,136,15,13,47,32,20,0,3,6,140,4,9,30,25,14,8,5,13,113,6,5,17,14,18,7,3,5,66,3,4,4,9,6,6,6,7,54,4,0,11,13,16,3,5,3,59,249,114,324,271,138,44,24,95,1260
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RA29,120,13,0,0,0,0,0,50,178,297,29,13,3,0,0,0,112,453,279,43,15,5,3,3,0,104,450,161,32,28,20,3,0,3,92,345,78,23,27,17,7,7,4,78,253,69,23,27,22,11,4,7,67,229,43,14,23,27,11,5,3,48,170,47,21,36,15,10,3,0,47,177,31,9,47,32,15,9,3,41,188,24,13,35,32,8,3,3,35,169,22,11,34,32,18,0,3,17,141,6,0,18,9,10,10,0,17,62,5,3,6,8,4,0,0,4,32,0,0,4,3,0,0,3,3,16,3,0,6,6,0,4,5,9,28,1190,232,328,236,96,44,38,716,2883
RA30,82727,903,125,19,11,3,23,9105,92917,87028,7259,3031,663,147,20,60,9703,107900,68739,16215,10865,3619,1020,279,150,9222,110125,41838,23852,25023,8952,2835,892,584,7739,111725,22388,18125,34651,14699,4853,1552,1095,6166,103522,17279,15964,39481,18883,6236,1953,1505,6026,107316,15840,14979,38651,19298,6569,2065,1511,6082,105000,13893,12712,34833,19159,6805,2098,1451,5807,96755,11517,10499,31673,19455,7257,2182,1343,5490,89415,9128,8685,28100,17835,7001,2005,1171,5060,78988,7272,7118,26338,17291,6836,2053,1232,4775,72914,5135,4711,17803,13444,5913,2054,1303,3896,54252,3459,2799,10340,9622,5525,2374,1692,3401,39211,2324,1984,6307,6386,4220,2039,1890,3267,28425,2761,2966,7288,6674,4395,2285,2244,6774,35376,391315,148768,314499,176007,69631,23840,17271,92503,1233837
RA31,24626,533,79,15,13,7,7,3423,28694,17492,3188,1621,448,75,21,9,2277,25134,11710,4886,4571,1802,538,139,65,2025,25733,6553,4928,7768,3942,1369,462,254,1863,27136,4019,3551,8786,5270,2201,728,539,1758,26858,3800,3709,10219,6442,2716,977,739,2093,30695,4007,3832,11108,6878,2898,1007,770,2276,32773,3993,3571,11136,7360,3175,1070,698,2329,33329,3727,3149,10855,8099,3479,1021,657,2406,33390,3166,2768,10190,7485,3409,1048,614,2266,30945,2692,2410,9755,7294,3475,1128,602,2294,29646,1808,1595,6682,5824,3134,1157,791,2025,23020,1234,954,3703,3806,2684,1211,1002,1565,16155,793,615,1958,2343,1913,1034,1083,1388,11125,796,804,2040,2051,1648,931,1156,2296,11715,90417,40485,100467,69050,32727,11936,8984,32268,386341
RA32,16826,370,55,8,5,4,3,2782,20048,14069,2179,1025,244,50,11,19,2288,19887,10631,3699,3064,1250,420,104,52,2241,21462,6363,4070,5635,2779,977,305,227,2131,22488,3691,3067,6700,3762,1443,504,411,1885,21467,3228,2956,7473,4405,1790,642,532,2011,23031,3209,2749,7601,4681,1884,658,574,2098,23459,3072,2539,7431,4772,2041,699,488,2077,23115,2682,2190,7023,4973,2223,698,462,2032,22281,2047,1779,6139,4600,1996,643,427,1818,19457,1470,1386,5196,4070,1992,677,441,1687,16913,1007,886,3323,2956,1587,654,499,1289,12200,608,513,1803,2063,1369,676,566,1052,8642,348,339,963,1223,917,501,522,738,5550,409,387,1063,1143,861,502,603,1003,5971,69648,29124,64498,42914,19558,7280,5818,27122,265964
RA33,1285,55,18,0,0,0,5,352,1710,1341,287,151,49,14,0,0,358,2200,1182,422,382,180,67,27,6,409,2677,633,410,631,360,139,47,35,306,2556,296,233,603,424,191,58,53,234,2085,255,225,635,487,231,79,103,256,2266,254,220,671,429,238,81,95,277,2263,242,208,643,537,263,106,77,285,2364,203,190,593,529,249,95,74,247,2186,150,151,502,451,204,85,80,208,1820,98,117,402,370,184,78,71,190,1504,73,67,237,239,177,44,62,131,1036,55,34,123,144,112,55,72,93,684,29,16,57,88,71,48,54,49,410,31,26,70,70,49,34,45,48,378,6117,2665,5721,4363,2194,828,818,3436,26150
RA34,1041,86,8,5,0,0,0,375,1510,1000,357,177,54,20,0,3,270,1878,793,312,321,176,82,37,21,262,1997,459,286,439,269,152,81,53,182,1932,266,164,356,261,169,106,109,161,1583,219,161,397,285,179,100,136,141,1619,219,164,388,327,185,96,118,167,1661,208,165,416,353,214,106,116,178,1746,150,127,421,364,206,89,94,146,1597,117,95,317,281,171,78,76,147,1276,85,72,234,222,129,48,77,121,994,55,33,147,166,100,73,76,60,712,36,17,78,87,84,32,56,60,439,13,9,57,51,54,23,63,32,304,24,17,34,53,45,32,51,55,299,4679,2056,3791,2947,1790,899,1045,2354,19573
RA35,4,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,5,8,0,0,0,3,14,0,0,4,0,0,0,0,0,3,3,0,3,3,4,0,0,4,12,0,0,0,3,0,0,0,0,9,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,18,18,5,3,0,9,81
RA39,157,0,0,0,0,0,0,33,203,412,17,15,4,3,0,0,118,576,436,23,21,7,7,0,0,138,627,198,33,32,9,11,0,3,83,374,78,31,45,22,15,3,3,65,261,70,33,35,28,6,5,5,68,256,66,39,59,33,14,9,7,72,298,87,32,104,60,20,12,7,84,393,91,56,166,112,48,12,14,100,592,53,47,207,154,64,14,10,91,639,42,35,175,129,56,16,5,82,539,20,20,60,65,38,14,9,33,254,5,6,29,23,18,3,8,29,118,4,5,3,9,3,0,0,0,34,3,3,0,7,0,0,0,10,18,1728,366,959,652,307,89,77,1006,5179
RA40,32723,290,53,20,4,3,4,3554,36661,35308,2399,1006,190,41,5,14,3301,42267,27881,6527,3962,1147,305,79,54,2843,42787,16503,10298,10232,3167,923,310,192,2454,44065,8519,7469,14096,5374,1553,509,380,1973,39881,6514,6403,15661,6501,1990,653,492,1822,40028,6594,6201,16397,7465,2200,612,523,2019,42013,6534,5647,15935,7498,2495,734,510,2039,41379,5872,5144,15796,7898,2657,706,455,2111,40645,4761,4516,14655,7502,2477,682,375,1884,36862,3683,3651,14077,7552,2489,643,397,1933,34428,2301,2179,9973,6491,2354,726,439,1666,26125,1500,1390,6261,5486,2737,1028,683,1475,20555,1006,1148,4115,4081,2455,1027,855,1430,16111,1536,1842,5296,4655,2764,1383,1181,2490,21144,161238,65107,147512,75025,27436,9097,6540,32995,524955
RA41,5584,67,9,4,0,0,3,745,6415,4093,488,229,31,11,0,4,410,5268,2616,949,845,273,91,18,4,320,5109,1402,1052,1776,777,220,61,35,305,5624,857,800,2053,1224,350,115,51,307,5765,886,828,2624,1436,525,138,76,378,6888,973,929,2872,1596,547,171,122,438,7652,1062,948,2866,1638,602,205,103,439,7874,994,815,2941,1779,656,190,94,501,7968,937,733,2951,1714,650,122,86,477,7677,715,679,2980,1804,682,176,84,493,7618,505,411,2083,1551,651,189,110,382,5898,276,239,1052,1126,683,215,157,322,4064,163,131,610,728,443,245,198,243,2761,212,230,726,735,501,281,272,403,3357,21283,9297,26610,16426,6619,2131,1405,6168,89935
RA42,3972,74,14,3,0,0,0,579,4644,2701,488,246,51,20,0,4,324,3834,1928,765,807,309,92,24,16,297,4246,995,848,1283,696,249,74,54,280,4476,564,533,1497,1017,373,102,88,249,4418,514,495,1780,1155,417,147,115,270,4899,635,556,1996,1400,545,157,113,382,5787,671,585,2079,1535,512,176,107,458,6121,650,555,2324,1531,609,196,116,452,6436,504,487,2245,1539,647,162,89,420,6094,392,385,2152,1589,614,196,107,482,5916,291,257,1372,1295,618,202,151,419,4606,192,160,798,922,584,289,190,319,3450,125,97,396,579,518,234,220,274,2441,153,152,484,563,452,218,261,580,2861,14280,6440,19471,14191,6260,2175,1631,5777,70229
