RA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3
RA49,25,79,58,653,33,843,0,0,0,44,0,44,62,0,0,3,0,67,3,0,0,4,0,3,30,6,4,7,0,43,226,97,67,525,21,937,20,3,0,0,0,22,12,0,4,6,0,17,46,16,3,107,3,176,8,5,0,11,0,27,3,0,0,0,0,7,35,0,0,0,4,36,60,16,17,124,4,215,23,8,0,21,3,59,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,13,11,0,0,0,0,12,12,0,0,3,0,16,9,3,0,12,0,22,9,0,0,0,0,9,48,12,15,113,9,198,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,16,7,0,0,6,0,14,155,19,10,34,8,214,9,0,0,34,564,610,706,166,110,1252,631,2863
RA50,20414,83598,65964,362257,7277,539516,104,338,195,3850,78,4562,91103,1855,3027,2425,669,99076,8566,1976,1011,5075,151,16774,20333,5014,3293,7886,270,36796,285835,75455,59859,281800,8570,711520,25737,339,1769,212,242,28303,9001,840,685,2298,115,12943,22159,4953,3896,22821,615,54444,6110,1900,929,4375,159,13464,2901,447,298,613,35,4303,60335,1688,1219,1216,358,64825,64051,15058,11071,84138,1874,176192,44221,13333,6397,37709,1118,102775,7261,90,248,76,42,7708,1946,350,226,350,32,2907,5973,877,542,1707,81,9184,1881,614,320,996,45,3851,17474,1481,1014,446,297,20706,15840,4617,3044,1043,224,24769,11321,1522,1223,3032,155,17253,3840,301,379,612,34,5158,65475,16258,12477,69221,1657,165087,5112,380,248,329,60,6136,21619,1436,1293,363,147,24859,7240,568,485,1439,79,9820,6631,386,246,195,32,7491,1890,182,110,84,18,2279,19505,317,607,194,155,20777,11218,1730,1220,3764,160,18092,192208,14334,13594,14786,2103,237030,8079,959,772,5742,111988,127546,876821,147131,114095,645799,133004,1916847
RA51,1460,9985,7716,65491,1360,86009,4,28,18,581,7,648,1199,56,94,160,24,1536,250,79,43,253,11,633,2316,604,485,1025,48,4472,26484,9343,7574,50238,1473,95103,1904,20,155,21,20,2127,620,82,68,317,12,1103,2157,594,527,3857,110,7243,236,123,52,365,8,783,149,50,20,69,0,289,1054,77,57,94,17,1293,4611,1601,1283,12408,272,20171,3059,1229,579,5417,150,10433,301,3,25,9,0,339,77,12,8,16,0,112,57,12,5,72,0,149,123,44,27,88,4,288,1576,234,141,69,45,2072,1556,672,356,173,40,2803,865,167,132,474,12,1655,236,27,38,80,6,382,5490,1933,1608,11275,270,20580,105,15,10,31,3,158,1531,122,109,38,14,1808,324,53,41,220,7,636,151,10,22,13,0,199,30,5,0,10,0,43,247,10,13,4,0,268,873,198,130,575,26,1804,6405,1108,1055,1702,102,10374,510,142,120,1358,18468,20598,52671,16957,13160,112677,21575,217037
RA52,1232,7341,5950,59953,1277,75755,8,75,26,1406,34,1551,1032,42,80,210,23,1380,219,86,37,264,3,611,1838,531,316,982,29,3691,17594,6930,5581,44701,1356,76161,2279,24,248,46,33,2631,439,55,51,265,12,820,1712,488,448,3649,104,6409,147,64,22,212,3,459,136,22,19,35,3,218,1130,53,39,76,10,1310,3008,1178,860,10850,244,16149,1625,757,260,3316,105,6066,53,8,13,4,0,81,26,5,3,16,3,59,179,27,19,105,8,330,82,41,12,52,5,199,1751,178,166,116,64,2279,1262,437,298,147,42,2195,598,114,81,330,16,1140,164,21,21,58,3,264,4197,1508,1107,9696,243,16752,52,5,0,7,3,70,1107,79,88,32,16,1321,267,22,21,141,8,471,118,11,6,9,0,147,39,7,3,9,0,54,233,6,13,8,3,263,652,165,91,492,11,1408,6243,892,847,1917,121,10009,474,108,92,1294,15290,17256,39980,12677,9916,102406,18206,183178
RA53,520,2949,2705,29118,680,35969,5,55,39,1811,30,1933,522,46,50,203,7,827,101,34,26,115,4,280,524,190,152,307,14,1186,6213,2415,2176,17647,516,28971,1349,13,98,52,28,1545,252,21,30,94,9,413,705,183,201,1750,26,2868,76,32,14,111,5,237,55,17,14,16,0,101,664,33,31,43,3,768,1407,420,402,4353,116,6701,441,270,110,1280,37,2145,91,9,3,0,0,102,20,3,3,3,0,28,51,3,3,10,0,71,37,23,10,44,0,117,1014,96,86,56,27,1275,693,200,156,77,12,1142,156,53,41,140,3,386,56,5,14,31,0,104,1607,583,454,3986,98,6730,29,0,4,12,0,51,514,20,56,30,4,621,154,19,12,67,4,253,114,6,12,6,3,143,20,0,0,3,0,34,70,0,3,0,0,79,185,50,48,144,12,431,3047,459,482,1062,83,5132,240,65,52,794,9498,10643,16588,4921,4402,46848,10837,83602
RA54,365,1665,1459,17071,434,20992,8,81,24,11681,167,11951,556,26,29,106,3,723,135,29,11,85,0,261,372,134,78,186,8,777,4790,1379,1252,9737,314,17473,720,4,52,42,10,828,181,11,18,67,3,276,581,131,106,1006,25,1849,57,28,8,67,0,159,50,9,0,20,0,73,488,12,15,30,8,555,1277,271,207,2763,78,4604,371,161,79,733,21,1364,82,0,0,0,0,86,23,6,3,3,0,34,47,19,5,41,0,112,29,17,13,30,0,85,913,49,41,31,16,1046,581,112,82,31,10,806,145,25,18,68,3,255,41,5,3,14,0,71,1383,350,283,2423,61,4505,45,0,5,10,7,71,291,17,15,14,0,342,125,6,17,33,0,189,73,0,4,3,0,76,14,0,4,0,0,23,259,6,8,4,17,290,152,34,27,104,3,316,2480,259,232,785,45,3799,157,17,23,524,9898,10619,13277,2902,2424,37855,10903,67357
RA55,5,9,7,48,0,72,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,3,80,7,11,69,3,169,3,0,0,0,0,5,0,0,0,0,0,0,10,3,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,27,3,3,22,0,54,7,0,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,4,21,3,4,23,0,49,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,8,36,5,0,3,0,43,4,0,0,0,73,73,193,18,21,128,76,434
RA59,41,167,117,1354,37,1716,0,0,0,63,6,70,127,0,0,11,0,134,7,0,0,4,0,14,74,8,8,26,0,116,650,131,106,825,35,1752,20,0,0,0,0,25,32,0,0,5,0,40,94,20,13,102,5,231,3,3,0,6,0,13,3,0,0,0,0,7,41,4,5,0,0,42,155,24,11,301,4,501,72,13,4,50,0,139,11,0,0,0,0,11,0,0,3,0,0,3,0,3,0,3,0,10,3,0,3,0,0,13,58,4,0,0,0,65,53,8,10,0,0,72,21,0,0,9,0,29,7,0,0,3,0,12,157,26,34,234,3,459,0,3,0,0,0,4,32,3,0,3,0,35,9,0,0,5,0,16,0,0,0,0,0,0,3,0,0,0,0,4,10,0,0,0,0,10,29,0,3,7,0,34,296,35,17,73,4,426,22,0,0,23,1519,1561,1619,277,198,2263,1587,5950
RA61,1073,10856,7591,121794,2489,143805,0,47,24,982,14,1067,5289,157,244,600,52,6334,394,124,34,221,13,780,2953,1059,721,2360,54,7146,18611,10805,7337,113434,2776,152954,1106,41,346,55,13,1565,544,112,86,654,18,1410,2756,1064,617,7918,161,12520,996,279,111,706,38,2133,296,163,37,178,6,679,2118,126,98,132,12,2481,3348,2274,1328,31396,586,38929,1778,853,262,2762,75,5729,527,17,48,33,8,628,128,51,7,62,0,262,30,14,5,12,0,64,164,78,23,174,7,441,285,118,88,128,9,635,713,407,307,244,18,1685,1379,425,158,876,23,2854,375,59,40,140,6,623,4460,2548,1678,23174,415,32279,155,26,11,38,0,234,588,101,71,41,4,800,501,74,39,214,7,829,287,24,11,16,3,348,83,22,11,11,0,127,383,26,15,16,4,452,800,219,135,872,30,2047,12097,2048,1398,3197,176,18916,464,117,110,2999,18289,21982,53693,19866,13310,233271,23858,344005
RA62,441,3873,2874,63051,1539,71779,0,12,4,514,12,539,385,35,43,256,6,726,74,31,3,45,4,166,1402,398,307,795,34,2932,9561,3586,2730,52128,1510,69521,395,3,120,23,7,544,207,30,18,211,5,475,1273,376,262,3335,106,5344,102,40,16,82,3,244,155,47,17,65,10,292,264,30,27,66,6,388,1562,716,516,12475,305,15566,349,245,61,790,32,1475,53,0,12,14,0,80,32,10,9,16,0,62,9,0,0,9,0,14,84,29,17,75,3,208,207,65,38,55,9,375,407,157,124,86,7,777,279,66,34,172,10,569,121,17,12,66,3,214,2228,858,642,10261,238,14228,34,11,3,6,0,53,195,15,20,20,0,248,125,10,18,83,3,242,47,3,3,7,0,59,15,9,3,0,0,25,28,3,14,0,0,45,425,88,53,317,4,887,2504,569,413,1151,50,4690,174,68,39,1786,8961,11028,18595,6713,4962,112469,12074,154807
RA63,20,183,111,2975,74,3365,0,0,0,22,0,23,24,0,3,7,0,41,9,3,0,5,0,19,75,14,11,29,5,129,433,181,111,2448,72,3247,20,0,0,3,0,26,14,0,3,10,4,29,72,22,23,235,3,352,4,0,0,3,0,7,9,0,3,4,0,17,23,4,0,0,0,26,69,36,27,693,16,838,21,17,8,37,3,84,3,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,3,18,0,3,0,0,28,23,10,6,3,0,36,22,5,0,9,0,40,6,0,0,0,0,6,120,49,27,490,10,691,3,0,0,0,0,3,18,0,0,0,0,21,6,0,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,24,3,0,27,0,55,145,22,19,61,0,250,10,8,5,86,589,687,961,340,213,5428,742,7681
RA64,4,66,32,942,32,1078,0,0,0,21,3,22,3,0,0,0,0,4,3,0,0,0,0,4,29,10,4,8,0,55,120,56,43,775,16,1010,24,0,3,0,0,27,4,0,0,5,0,6,42,9,4,73,0,126,5,0,0,0,0,8,3,0,0,0,0,5,5,0,0,0,0,5,29,12,11,207,3,268,17,0,3,30,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,3,0,0,8,6,3,3,0,0,13,0,0,0,0,0,0,38,14,12,203,5,267,0,0,0,0,0,0,13,0,0,0,0,13,3,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,52,17,6,16,0,90,5,5,0,23,165,200,336,124,81,1732,210,2487
RA65,0,4,0,13,0,20,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,6,9,5,0,16,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,3,24,11,3,36,4,68
RA69,3,25,14,279,19,337,0,0,0,3,0,5,24,0,0,0,0,28,0,0,0,0,0,3,7,0,0,3,0,17,61,17,7,213,14,314,3,0,0,0,0,3,8,0,0,9,0,8,13,3,4,27,0,44,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,14,6,7,69,0,91,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,7,3,4,52,0,71,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,10,33,0,3,13,0,52,0,0,0,12,163,170,145,35,29,517,190,912
