RA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
RA23,454,880,0,3,28,117,7,18,137,561,173,704,3,11,32,92,32,96,60,193,231,895,0,0,12,47,4,4,27,78,47,132,3,12,6,17,39,77,46,101,95,234,7,18,789,2025
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,290577,577917,5538,31875,32627,151596,9653,44341,191972,742752,239793,970564,16107,67167,29137,98191,56631,179008,101873,344371,341666,1314928,1725,8189,8926,31846,4557,16235,51445,138259,66655,194525,5001,16000,13125,29315,42528,91799,60650,137115,127304,331635,13636,28656,773188,2253139
RA31,109430,215813,1989,11238,9666,45198,3609,16425,52864,209123,68133,281981,3829,15616,6736,21246,18078,55885,28647,92746,96782,374728,547,2618,3013,10973,1763,6514,18448,51629,23769,71726,1214,3856,3089,6664,12843,27302,17149,37821,40914,109549,3230,6732,250352,706823
RA32,70380,137996,1213,6768,6752,31145,2386,10889,39658,154992,50004,203796,2370,9572,4674,14606,11001,33744,18044,57918,68055,261715,380,1831,2007,7295,1175,4400,13255,36868,16820,50392,793,2510,2331,4947,8316,17656,11449,25115,28266,75508,2480,5213,169176,480435
RA33,6784,13354,111,646,573,2584,286,1429,4433,17727,5407,22386,184,706,320,924,1066,3332,1571,4965,6977,27347,39,177,132,485,162,722,1151,3386,1485,4769,46,162,136,257,760,1731,943,2156,2420,6922,249,550,16431,48169
RA34,4283,8492,120,745,329,1510,386,2106,3151,13077,3986,17435,101,374,152,406,781,2516,1036,3297,5023,20736,57,292,106,442,213,927,1311,4085,1683,5749,20,77,67,126,628,1503,714,1706,2396,7454,304,727,12006,37408
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,123655,244790,1814,10278,13204,60800,2939,13118,74923,286070,92873,370265,8100,33701,13650,46869,25252,79565,47004,160135,139876,530401,649,2941,3924,13752,1579,5510,20682,54071,26834,76274,2683,8415,6639,14822,19993,42605,29313,65839,56145,142113,6003,12646,325674,929951
RA41,26799,52888,417,2301,2348,10772,650,2862,12160,47991,15571,63920,1207,4936,1973,6496,4339,13515,7515,24948,23087,88871,110,500,684,2365,268,946,3411,9094,4471,12896,300,931,914,1977,2576,5387,3788,8295,8266,21198,571,1199,58724,164158
RA42,21534,42331,279,1541,1790,8179,479,2093,8851,35147,11391,46966,664,2644,1256,3889,3044,9336,4963,15867,16359,62831,99,478,504,1786,261,929,3025,8411,3894,11597,208,653,586,1238,2190,4601,2984,6501,6881,18096,544,1132,45315,124399
RA43,5320,10399,63,312,416,1854,111,486,2638,10473,3231,13123,134,528,299,917,576,1741,1012,3183,4242,16310,10,56,108,350,42,155,609,1649,770,2211,46,135,142,300,406,828,588,1262,1360,3474,92,197,11017,30375
RA44,1280,2569,20,117,93,433,64,308,754,3069,933,3921,24,95,41,127,180,558,245,780,1172,4705,6,41,40,136,28,146,233,702,306,1024,5,19,28,63,138,327,171,411,481,1432,64,152,2994,8855
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
