RA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
RA23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,0,0,0,3,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,4,5,0,0,12,3,5,9,46,13,14,4,0,0,99,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,17,0,3,3,0,0,24,0,0,0,6,0,0,0,0,0,4,0,0,3,3,0,3,0,0,0,15,0,0,8,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,6,0,0,12,23,4,0,0,0,0,40,0,0,3,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,0,0,0,0,19
RA30,0,19,51,157,110,138,89,43,16,621,4,53,205,585,179,130,87,34,22,1300,13,58,437,1199,52,21,8,3,0,1784,13,71,123,557,466,730,1375,744,335,4422,783,7027,9938,27573,14331,10902,6287,2408,871,80121,4,47,55,340,270,252,350,182,59,1569,48,231,192,864,146,88,44,9,3,1630,26,244,518,1800,1345,884,352,204,52,5420,137,813,1563,6687,3427,2759,1123,269,73,16854,3,27,58,771,268,500,333,203,220,2391,21,306,336,1402,1435,1521,1626,946,415,8011,47,233,694,1056,444,442,210,56,15,3193,96,1148,2295,5581,3176,1800,1099,458,164,15812,0,3,11,163,228,266,233,151,58,1104,27,298,328,1451,651,537,337,147,78,3856,99,229,1064,4305,799,911,359,75,14,7858,70,417,635,2726,772,374,134,18,4,5156,0,3,21,124,120,85,64,38,11,463,7,17,46,193,132,51,52,17,3,515,142,723,833,2249,916,727,527,137,47,6300
RA31,3,0,0,16,11,16,14,4,0,66,0,3,6,38,14,12,11,5,0,84,0,17,46,208,4,11,0,0,0,285,0,25,35,105,147,293,524,233,88,1458,60,601,774,3129,2481,2387,1546,504,131,11622,0,3,0,44,58,60,88,45,8,304,12,30,24,84,4,8,5,0,0,172,7,55,88,316,308,163,54,23,8,1023,67,437,458,1876,917,767,359,63,7,4958,0,0,3,62,29,60,31,32,21,233,7,38,46,196,281,351,472,248,89,1722,13,13,30,84,67,57,25,7,4,298,11,275,350,859,542,313,189,93,29,2658,0,0,0,5,19,31,32,17,6,114,13,56,36,204,63,44,34,14,4,471,8,15,114,454,22,23,7,0,0,644,12,56,64,400,194,57,22,3,0,806,0,0,3,3,4,0,0,0,0,16,0,0,0,20,18,4,11,0,0,54,12,116,108,303,208,212,198,56,14,1228
RA32,0,3,3,23,14,16,10,10,3,90,0,3,13,71,14,11,6,5,0,119,10,66,107,110,9,6,0,0,0,304,0,14,16,146,92,182,247,104,38,837,52,463,637,2455,1794,1622,792,257,67,8140,0,10,12,35,37,38,42,20,0,194,4,14,11,53,9,7,3,0,0,99,18,208,333,842,526,313,130,31,7,2416,44,302,364,1576,828,713,272,56,10,4162,0,0,6,87,18,39,39,14,16,218,4,24,42,219,198,232,226,98,28,1075,4,6,14,55,56,35,14,0,3,199,6,125,209,562,310,166,92,31,5,1513,0,0,0,5,14,27,18,23,8,96,4,33,36,128,44,44,27,11,3,324,4,5,70,415,15,10,0,4,0,523,14,70,99,479,242,91,26,5,0,1028,0,0,0,3,4,3,5,0,0,13,0,0,0,13,14,4,0,5,0,42,16,63,119,380,153,164,111,41,10,1055
RA33,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,9,0,3,5,6,0,0,0,0,0,15,0,3,3,4,7,7,5,3,3,41,6,86,117,293,162,157,49,11,9,887,0,0,0,3,0,4,0,0,0,9,0,0,0,8,0,0,0,0,0,10,0,9,3,39,16,20,5,3,0,93,3,34,52,196,106,81,26,4,0,512,0,0,0,3,0,3,3,0,0,9,0,0,3,14,14,12,17,3,0,59,0,0,0,3,0,0,0,0,0,4,0,30,22,89,31,6,11,3,3,197,0,0,0,0,0,0,0,0,0,3,3,0,0,24,5,3,0,0,0,33,0,0,8,33,0,0,0,0,0,34,0,7,0,33,15,5,3,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,30,8,18,7,3,0,71
RA34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,6,0,0,0,8,3,9,11,5,0,35,0,11,24,103,84,46,30,9,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,12,10,45,36,34,9,0,0,155,4,15,4,74,24,23,10,0,0,159,0,0,0,3,0,0,0,0,0,3,0,0,3,4,7,5,10,0,0,24,0,0,0,0,0,0,0,0,0,6,0,3,5,14,10,7,8,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,11,3,0,8,18,10,5,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,5,0,0,3,28
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,8,8,3,0,38,0,5,13,65,40,76,64,4,0,270,0,0,3,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,0,25,0,5,4,11,9,7,5,3,0,41,0,0,0,0,0,0,0,0,0,5,0,0,11,10,6,7,10,3,0,45,0,0,7,7,0,0,0,0,0,8,0,0,0,8,4,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,4,17,57,0,0,0,0,0,75,0,0,3,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,6,4,0,0,31
RA40,0,5,6,44,12,10,10,8,5,92,3,67,132,335,57,26,16,10,6,653,23,197,377,764,19,17,5,5,0,1399,8,30,41,158,147,502,816,402,225,2326,56,265,395,1459,902,837,447,181,73,4611,0,16,21,106,170,199,255,130,41,938,87,314,180,688,77,31,24,7,3,1416,0,16,22,133,103,47,17,14,3,349,54,385,622,2559,1157,910,420,125,31,6263,3,16,55,565,307,639,413,330,335,2665,8,148,159,571,805,1067,1096,734,314,4894,27,99,246,426,184,163,113,25,5,1282,10,233,419,883,567,309,199,82,34,2742,0,0,13,107,145,196,179,168,82,877,34,192,145,822,222,101,77,36,16,1646,12,39,114,462,82,32,22,3,0,768,18,98,140,932,235,108,31,7,0,1572,0,3,4,30,22,42,35,46,4,185,3,12,14,64,40,36,24,28,15,237,40,191,208,579,269,224,190,46,19,1758
RA41,0,3,0,4,3,0,3,0,0,7,0,6,10,56,13,7,10,3,0,110,0,0,3,8,0,0,0,0,0,7,0,11,3,30,42,141,254,79,32,595,8,42,64,232,187,162,106,30,9,838,0,0,0,6,17,21,26,17,3,91,0,3,4,7,3,0,0,0,0,26,0,0,0,19,27,13,0,7,0,58,5,73,79,269,123,94,47,7,0,703,0,0,0,19,7,22,14,13,15,89,0,14,15,55,96,177,188,81,30,656,0,0,6,7,12,10,3,0,0,42,0,43,45,116,70,45,32,8,5,363,0,0,0,0,6,5,3,9,0,32,0,4,0,34,7,0,6,0,0,56,0,0,30,64,5,3,0,0,0,101,4,41,37,70,32,6,0,0,0,207,0,0,0,0,0,3,0,0,0,6,0,0,0,5,0,5,0,0,0,15,0,22,25,70,48,51,31,6,3,265
