RA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
RA32,287,297,2552,2996,859,6370,519,3667,284,17838,1230,2723,5535,5046,2492,3508,1616,3911,369,26437,5589,11659,11847,7662,6729,4099,5006,6534,844,59963,8190,11566,10041,7289,8374,4178,5987,6209,1004,62837,10112,10748,8740,7314,9302,4625,7118,7371,1052,66377,7843,7440,5900,4685,6432,3417,5556,6347,744,48364,3295,1653,1138,805,1394,940,1261,1503,320,12308,985,154,89,61,149,96,95,186,139,1957,134,26,13,3,18,13,4,23,36,265,37659,46262,45859,35855,35760,27247,27172,35743,4798,296351
RA33,33,22,259,197,87,382,57,418,36,1494,171,334,570,397,226,200,247,607,42,2802,880,1220,1448,707,656,338,1002,915,99,7261,1231,850,1132,580,679,296,999,700,119,6587,1505,729,930,611,725,310,1118,898,125,6957,1319,496,665,395,485,231,775,784,85,5228,687,122,129,78,138,67,180,192,51,1645,219,13,23,3,20,6,13,32,19,344,26,3,0,0,3,0,0,0,4,44,6064,3790,5158,2981,3008,1838,4398,4552,574,32366
RA34,31,33,194,148,70,209,29,324,34,1068,86,258,337,320,174,133,107,526,51,1992,660,805,750,620,496,206,420,738,87,4776,863,622,569,495,502,199,432,584,97,4354,1161,542,509,514,549,164,500,669,85,4692,1160,457,418,355,355,153,385,536,63,3887,467,79,92,53,75,45,88,180,43,1118,127,4,11,4,8,12,3,25,25,222,13,3,0,4,3,0,0,0,3,27,4561,2789,2884,2518,2236,1114,1978,3578,495,22137
RA35,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,9,0,0,0,0,3,0,0,0,0,8,0,3,3,0,0,3,0,0,0,11,5,4,3,0,3,0,0,3,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,9,0,7,7,0,6,4,60
RA39,11,0,16,20,8,25,3,30,0,103,25,25,39,86,22,39,21,207,7,480,67,164,133,137,59,44,70,310,27,1010,37,84,79,34,37,21,64,88,21,470,49,82,69,41,47,28,70,110,17,509,68,71,53,27,51,25,47,75,8,430,15,12,0,3,0,8,19,4,9,76,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,264,446,392,349,226,182,300,825,97,3087
RA40,340,506,2192,4741,1115,10569,610,6153,350,26584,2295,6147,8315,10654,5419,10062,2080,7185,722,52881,11521,32828,19294,15814,15676,9884,6299,11039,1903,124253,16125,32120,15275,12827,17086,7704,6401,9600,1873,119012,17732,26861,15156,13249,20302,8633,7767,10642,1816,122158,11342,20600,10068,9240,15561,5998,5821,7782,1161,87572,2744,5136,2052,1625,3357,1502,1166,1798,427,19809,369,516,185,103,246,192,71,160,178,2022,45,56,11,21,26,18,18,13,75,276,62509,124772,72549,68265,78792,54554,30231,54373,8510,554564
RA41,71,66,687,934,185,1685,138,1559,81,5395,375,524,1626,1247,515,1273,394,1656,85,7690,1548,2600,3154,1821,1708,1264,1089,2274,189,15639,2897,3379,2792,2023,2392,1329,1414,2185,258,18666,3787,3520,3112,2697,3206,1750,1845,2841,307,23060,3063,3218,2314,1963,2510,1310,1509,2294,241,18424,1334,849,422,310,573,341,371,534,123,4861,329,72,47,23,44,34,39,86,38,721,44,15,9,4,8,4,4,9,13,116,13444,14249,14156,11022,11134,8984,6814,13432,1328,94566
RA42,86,57,545,457,154,1305,106,1077,70,3850,303,527,1237,705,387,711,330,1168,65,5438,1443,2067,2072,1267,1071,922,1123,1878,173,12020,2403,1944,1817,1467,1529,944,1217,1867,193,13380,3345,1935,2059,2009,2016,1225,1724,2530,275,17127,3239,1791,1564,1536,1553,871,1455,2129,228,14363,1592,385,298,250,364,193,314,531,109,4041,377,28,36,10,49,28,39,72,62,702,56,5,10,4,10,7,7,20,24,145,12844,8735,9646,7707,7141,6198,6318,11269,1201,71067
RA43,37,6,168,128,35,325,33,291,14,1040,109,129,342,188,98,155,89,270,15,1385,579,632,707,329,370,277,309,486,61,3758,769,567,642,376,451,257,320,436,51,3863,1075,561,613,434,497,316,404,621,55,4582,925,474,444,361,380,260,345,524,64,3778,429,95,65,64,87,46,83,126,17,1020,97,11,7,0,13,3,5,12,26,180,17,3,4,0,3,0,3,0,7,35,4050,2486,2985,1882,1936,1638,1588,2758,322,19648
RA44,16,7,24,20,8,48,8,62,0,185,34,63,60,74,29,45,30,88,5,429,163,194,159,167,95,68,87,132,25,1080,234,150,163,150,107,44,90,153,21,1107,303,145,135,147,127,64,132,159,31,1245,296,158,128,112,87,50,94,154,19,1103,111,27,29,21,25,7,38,55,9,319,17,0,3,0,0,3,5,3,10,51,3,3,0,0,0,0,0,0,0,4,1177,738,694,690,484,334,477,808,126,5529
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
RA49,0,0,0,0,0,9,7,13,0,23,0,9,5,3,4,3,4,49,3,88,14,35,38,15,17,13,20,82,3,242,13,23,26,6,10,0,17,23,3,125,15,22,24,14,12,12,13,26,0,131,12,16,8,11,11,7,14,23,3,102,4,0,4,0,4,4,5,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,103,112,53,57,49,85,212,11,734
RA50,581,1010,5242,8171,2128,17372,1253,9186,650,45592,3804,10603,15928,15634,9596,15586,4265,10699,1316,87432,20464,57904,40789,23423,27682,14928,13821,18072,3457,220530,27533,53339,31493,18421,26697,11332,12819,14291,3331,199259,28921,43513,27243,18102,30247,12362,14157,14496,3193,192241,17726,28503,16754,12192,21859,8877,10300,10990,1838,129043,4283,7332,3494,2369,5207,2596,2311,2940,676,31203,533,743,250,172,444,295,157,392,203,3193,71,68,29,18,39,24,16,36,61,345,103911,203014,141223,98499,123902,83373,59100,81099,14722,908835
RA51,72,69,961,825,254,1985,114,1272,79,5630,327,502,1959,1000,630,910,394,1181,94,6987,1412,2464,4036,1631,1667,1182,1406,2399,224,16423,2444,3379,4030,2036,2403,1311,2081,2328,319,20325,3163,3546,3954,2297,2924,1598,2596,2528,383,22987,2510,2624,2437,1722,2220,1239,2010,1966,270,17009,1105,595,418,306,478,300,428,557,119,4310,235,62,38,18,46,25,30,79,37,574,30,6,4,5,4,4,0,12,12,79,11306,13244,17851,9845,10624,8549,9060,12325,1537,94331
RA52,88,59,827,586,232,1567,109,1013,80,4560,297,512,1595,709,578,690,483,1007,83,5947,1541,2419,3079,1392,1474,999,1561,1788,232,14479,2571,2704,2709,1719,1833,974,1688,1752,256,16208,3372,2719,2720,2003,2326,1250,2285,2176,280,19139,3118,2104,1885,1523,1826,902,1767,1770,254,15153,1520,493,402,281,426,263,445,543,117,4498,415,68,31,22,49,18,32,74,57,765,47,9,8,0,3,0,4,16,11,88,12971,11086,13259,8233,8754,6664,8377,10140,1372,80846
RA53,42,31,266,203,93,523,50,330,33,1569,196,275,710,336,337,318,232,443,64,2897,1215,1632,2254,886,1172,481,880,1096,174,9786,1706,1437,1856,833,1084,421,931,807,169,9244,1920,1112,1317,721,1023,478,1077,883,190,8712,1584,735,811,496,675,304,769,643,101,6121,598,163,136,71,139,76,182,162,38,1561,158,10,22,11,23,14,13,34,14,288,23,3,5,0,3,0,0,7,6,53,7424,5406,7370,3560,4541,2614,4139,4405,784,40239
RA54,14,21,118,112,59,173,25,180,16,717,84,258,516,274,185,120,208,427,51,2129,625,1443,2429,693,662,225,1346,1151,132,8705,851,1002,1883,585,554,179,1348,871,153,7436,922,781,1448,521,536,177,1417,824,158,6781,819,554,758,315,382,140,907,560,94,4531,254,101,115,82,83,29,149,114,28,958,45,6,11,4,7,3,5,18,11,113,0,3,0,0,0,0,0,3,0,10,3620,4165,7268,2592,2468,1051,5413,4143,644,31369
RA55,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,19,3,21,21,0,3,0,9,41,0,100,3,28,26,0,4,0,15,28,4,98,5,20,26,0,0,0,9,16,0,82,0,8,13,0,0,0,6,10,7,35,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,87,3,10,0,35,100,9,334
RA59,0,0,3,5,3,10,0,8,0,26,8,14,27,36,9,16,16,57,4,202,21,91,127,62,20,22,65,167,20,598,25,48,78,16,25,16,72,35,9,332,23,28,66,27,20,16,67,50,14,308,20,45,41,15,31,7,45,56,7,266,9,9,5,4,3,0,9,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,235,349,162,114,90,276,386,58,1773
RA61,121,132,887,1447,386,3328,182,1742,119,8352,587,1389,2552,2745,1404,2571,557,1855,192,13855,2802,7389,5075,3904,3983,2658,1419,2698,490,30425,4175,8007,4138,3675,4700,2214,1536,2557,511,31512,4726,7674,4094,4060,5596,2424,2189,3083,596,34439,3227,5873,3064,2857,4166,1802,1813,2516,369,25682,813,1303,545,497,848,436,386,525,154,5504,115,142,59,35,73,46,34,58,59,624,6,28,3,4,8,4,3,7,22,90,16578,31940,20416,19222,21172,15477,8121,15045,2513,150484
RA62,87,35,514,486,142,1199,87,829,61,3442,282,287,1059,664,389,657,307,899,85,4619,1058,1456,1937,1062,969,757,792,1415,160,9605,1770,1844,1775,1370,1293,899,990,1645,209,11796,2332,2190,2038,1925,1943,1086,1539,2223,273,15545,2230,2047,1588,1374,1582,813,1272,1819,239,12967,968,470,261,199,326,173,268,361,84,3115,249,32,27,20,29,19,24,50,40,490,36,6,3,5,6,0,6,9,13,75,9006,8375,9193,7099,6671,5599,5294,9244,1165,61651
RA63,4,0,7,15,0,34,4,29,5,102,18,18,30,37,20,11,18,47,6,209,79,66,87,78,36,26,49,92,4,515,82,54,87,46,45,31,56,98,6,506,131,58,111,73,60,59,84,134,14,722,149,62,84,53,50,53,62,140,11,666,52,15,11,6,17,14,16,28,6,171,11,0,4,0,0,0,0,6,6,23,0,0,0,0,0,0,0,0,3,3,527,279,420,314,228,231,287,568,66,2922
RA64,3,0,6,3,0,0,0,9,0,27,6,6,16,13,3,0,4,34,0,85,37,26,38,14,19,7,9,56,0,210,59,19,20,11,20,14,13,38,5,195,75,24,31,20,25,25,20,61,8,285,100,27,32,25,24,13,15,42,4,293,43,11,7,0,17,3,7,12,3,100,21,3,0,0,0,4,0,3,0,30,0,0,0,0,0,0,0,0,0,4,335,120,166,88,98,75,68,256,24,1229
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,6,0,0,0,3,0,21,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,14,0,0,4,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,9,0,0,3,15,0,47
RA69,0,0,0,0,3,6,0,3,0,12,0,3,3,5,0,0,0,6,0,22,4,18,10,13,8,0,4,23,0,86,3,11,4,3,10,5,9,7,0,47,9,6,7,8,5,3,6,10,0,46,0,6,8,7,3,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,49,38,33,27,14,20,54,3,247
RA72,49,78,447,563,283,1096,93,522,69,3203,331,621,1334,1460,957,798,370,699,173,6740,1796,4257,4027,2688,2618,1116,1033,1693,368,19584,2323,3577,2843,1876,2403,822,864,1285,322,16319,2429,2825,2228,1372,2246,763,974,1144,285,14271,1505,1905,1209,752,1496,443,734,767,182,9000,323,460,227,141,364,138,164,169,63,2053,30,43,23,5,18,22,10,10,8,172,0,0,3,0,0,3,0,3,6,21,8798,13762,12336,8862,10396,5201,4239,6290,1475,71357
RA73,14,33,106,168,76,301,19,175,26,909,69,185,311,257,204,148,60,195,51,1474,451,1211,726,872,580,242,184,378,117,4753,528,1063,521,704,536,171,173,275,110,4086,715,1002,499,637,648,191,237,357,114,4400,519,746,359,414,475,160,223,277,64,3227,131,147,92,83,108,36,59,77,21,760,15,14,8,7,9,7,8,6,3,77,0,3,0,0,0,0,0,0,0,4,2439,4402,2622,3133,2632,1250,962,1734,512,19691
RA74,7,34,31,73,31,48,7,119,42,402,40,147,109,237,91,69,47,265,67,1066,251,632,323,576,275,148,150,374,149,2886,262,550,266,481,254,122,141,277,100,2449,316,494,221,442,209,82,151,246,100,2268,297,412,138,236,145,53,86,154,58,1589,67,88,29,47,39,10,28,46,14,364,4,8,7,5,3,0,3,3,4,36,3,0,0,0,0,0,0,0,0,9,1240,2379,1120,2103,1042,537,612,1497,545,11064
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,8,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,13,0,28
RA79,0,0,6,3,0,0,0,0,0,18,0,4,12,18,0,4,3,23,0,75,7,43,23,32,0,10,9,32,3,169,9,30,12,12,8,5,9,16,4,97,7,18,26,9,9,6,20,23,0,111,8,8,17,7,12,3,13,14,3,89,0,0,5,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,108,104,84,34,32,63,104,15,574
RA80,465,382,876,2783,628,3662,207,1562,141,10713,1506,3403,2724,4548,3330,3123,427,1441,371,20885,6486,19248,5984,5020,8654,2516,938,2344,1305,52503,9494,17051,4198,3679,7965,1639,863,1792,1349,48033,9255,12688,3360,3236,7938,1481,1071,1568,1127,41720,4572,7658,1920,1879,4907,1094,884,1240,588,24740,800,1936,457,427,1055,366,269,325,161,5805,94,195,39,36,101,47,20,34,35,593,11,15,5,0,7,3,0,7,22,78,32684,62586,19557,21609,34589,13929,4677,10314,5113,205053
RA81,0,0,3,4,0,3,0,3,0,23,0,4,8,7,3,0,0,3,0,25,6,18,21,11,12,3,0,4,3,80,24,25,12,7,15,3,0,3,3,103,23,13,14,5,6,0,3,3,0,75,15,13,3,3,7,3,4,3,0,45,5,0,0,4,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,75,75,60,47,46,16,7,25,9,369
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
